date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得採用權益法之投資,存入保證金增加,存出保證金增加,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分其他資產損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,70385.0,,-10000,-24816,,286810,,5585,43740,,-38043.0,,-102841.0,,,,6797.0,,-1470,64138,,-156785,-606806,,-2240.0,-12136.0,-2298199,,-455208,6483,,4928.0,99400.0,,-74259,,264517,-81941,39145,82394,,222.0,-804836,8640,7657,10860,,-60815,1470,,,2013年01月01日至2013年03月31日,759068,784004,,24936,1655058,,366342,488606,,,0.0,,-1794365.0,463430,1655058,1026810,-2263647,-1236837,2150000.0,,,,,2137.0,-230.0,,,-1166452,-458,,784004,-62919,-11553,,,,20635.0,,,-218119,1277523
2013-08-14,2,2013,255514.0,,-20000,43697,,67465,,36625,-770383,437.0,,204252.0,,,-11253.0,12061.0,-16655.0,,-4926,128202,,-312887,-1062286,,,,-1740781,,294059,-13322,,6422.0,99520.0,,-44133,,461676,-44023,-2361,11690,-48464.0,,-1154234,19094,284896,76089,,-336822,4926,,,2013年01月01日至2013年06月30日,759068,523091,,-235977,4332141,,759820,1978329,,,0.0,,-2360465.0,158437,4332141,-506671,-2102655,-2609326,2350000.0,,,,,21281.0,31028.0,,,-2353812,-1074,,523091,-886613,-6158,12185.0,,,100635.0,,,-254905,-896847
2013-11-12,3,2013,304183.0,,-30000,-162608,400000.0,750974,,430464,-320244,652.0,,341963.0,-1175830.0,,-14088.0,,3046.0,,-5445,141897,,-451203,-1516787,0.0,,,-4766527,,148944,119859,,26629.0,273479.0,,103391,,297777,-230405,37959,95020,,,-1601700,29461,1741221,112972,,-527618,5445,,,2013年01月01日至2013年09月30日,759068,342901,,-416167,5416725,,952415,2653682,,-2700016.0,0.0,,-682265.0,233118,5416725,2180028,-5247254,-3067226,2750000.0,,,,,21281.0,31028.0,,,-2763043,-1060,,342901,-1179094,-17915,12185.0,,,236008.0,,,-926225,762783
2014-03-28,4,2013,228049.0,,-40000,583983,,1462854,,124227,14168,863.0,,1003855.0,-2250980.0,,-14315.0,,7117.0,,-9402,132774,15000.0,-567369,-2159423,-124113.0,,,-11162073,,1386981,216338,,5467.0,918721.0,,1588748,,380555,-436518,-79044,107280,-21610.0,,-1818652,40154,2114632,-11497,1028.0,-707392,9402,,,2013年01月01日至2013年12月31日,759068,409160,,-349908,7714048,,-722961,1362419,3200000.0,-2701538.0,0.0,,-2387192.0,2176705,7714048,6086503,-12666181,-6579678,2750000.0,,,,,21281.0,31028.0,,,-6351629,-1101,,409160,-1387390,31779,12185.0,,,451029.0,,,-1332591,718143
2014-05-13,1,2014,85585.0,-49985.0,-15000,9539,,-277771,,-37910,9758,-118.0,,327305.0,-172661.0,2.0,,-41.0,,,-511,9255,-23000.0,-214674,-744468,,,,-2872396,,-794573,-25714,2763.0,,,-7575.0,-1502512,48300.0,32366,82531,92812,29944,-102588.0,,-589578,10755,136,88971,382.0,-191032,511,42300.0,,2014年01月01日至2014年03月31日,409160,396206,,-12954,1416463,,-4456147,-4189857,,,,4528329.0,,5055771,1416463,-2731042,-2960863,-5691905,600000.0,,,,,0.0,0.0,,,-5606320,-180,3089.0,396206,-75769,-26356,,,,0.0,,,-60765,-152866
2014-08-14,2,2014,152201.0,-49985.0,-30000,-116333,,-476378,,24696,-1863,232.0,,36717.0,605039.0,170915.0,,,21061.0,,-4967,-29351,-69150.0,-805237,-1356592,,,,-5449314,,-264503,-49968,-5467.0,,,-70758.0,-1618194,,29011,14727,40412,-4619,21610.0,,-2060455,21920,1585,108864,998.0,-415080,4967,42300.0,,2014年01月01日至2014年06月30日,409160,640071,,230911,2209259,,-6109961,-5086181,,,,6590305.0,,8470477,2209259,-2360557,-5087084,-7447641,1300000.0,,1296.0,-1213.0,,0.0,0.0,,,-7295440,-155,3089.0,640071,-613667,52861,0.0,,,560000.0,,,-343672,145513
2014-11-13,3,2014,-173844.0,-49985.0,-45000,-129184,150000.0,-436657,,144478,-499,509.0,-13283.0,,71427.0,2129.0,,,12000.0,,-5545,46879,-5290.0,-1409036,-2331731,-60000.0,,,-8731666,,226577,99550,143291.0,,527370.0,,-1569416,,-99756,366663,22876,63623,21610.0,,-2916464,33115,1585,174142,1608.0,-657095,5545,42300.0,,2014年01月01日至2014年09月30日,409160,365381,,-43779,3274710,,-7644599,-6033500,,-1253149.0,,7036209.0,,10522574,3274710,-454133,-8680233,-9134366,2020000.0,,1296.0,-1213.0,,841990.0,-483027.0,,,-9308210,-506,3089.0,365381,-959549,57108,0.0,,,2135000.0,,,-396096,1067225
2015-03-30,4,2014,-792193.0,-49985.0,-60000,17813,,-856771,,103549,14296,1149.0,-13873.0,,-660696.0,544.0,,,30170.0,,-10594,98388,76714.0,-1475404,-5357254,-180000.0,,,-13422924,,4362088,630065,7837.0,,390995.0,,-1460651,,-489824,-224245,-167,53944,21610.0,,-6030370,43753,373,-479152,8860.0,-923664,10594,42300.0,,2014年度,409160,2368089,,1958929,6101522,,-6845554,-4904246,0.0,-1253149.0,,7952742.0,,14758139,6101522,4887397,-15100972,-10213575,3370000.0,,4486.0,-4236.0,5326.0,913879.0,-523476.0,15514.0,,-11005768,-511,3089.0,2368089,-1028238,55661,0.0,,,4406992.0,,,-393339,2082829
2015-05-14,1,2015,,-1995979.0,-15000,-79340,,-51861,,-35102,71645,3977.0,-500279.0,,235899.0,28.0,,9665.0,,,-1678,64738,-2371.0,-1248,0,,,,-88961,,-1132639,136659,394136.0,,,-82430.0,1256092,0.0,504449,-807013,142731,-171454,0.0,,-491862,11541,187,-114971,1655.0,-198571,1678,0.0,-26034.0,2015年01月01日至2015年03月31日,2368089,1419518,,-948571,1836219,,2652764,2904370,,,,,-1013721.0,-3107102,1836219,1036347,57838,1094185,0.0,,,,,,,,,1068151,0,32099.0,1419518,-54713,-19418,,,,,,,170355,544425
2015-08-13,2,2015,,-1996980.0,-30000,174515,,-390961,,-60188,22742,7945.0,,6718.0,-792299.0,951.0,,,10657.0,,-7541,122175,-61730.0,-2014,0,-240000.0,,,-48951,,-1697760,-245586,683687.0,,,3606026.0,-97788,,531357,-441008,137130,-94761,-96198.0,,-224639,23124,-1679175,-489254,3008.0,-391654,7541,0.0,-336642.0,2015年01月01日至2015年06月30日,2368089,1521723,,-846366,4451290,,-1422645,-477261,,,,-717349.0,,862648,4451290,-2410408,-2181501,-4591909,0.0,,0.0,0.0,,,,,,-4928551,0,32184.0,1521723,-561271,-20338,,,,0.0,,,279662,-784272
