date,season,year,不影響現金流量之收益費損項目合計,償還公司債,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失
2013-04-29,1,2013,117576.0,,-48359,-104.0,-54086,-27048,53320,-1433,-19592,-85164,,-19917,8152,96111,-70914,,,,-463,5359,17452,-135294,-12983,338769,-615,-122242,122894,0.0,-2665.0,,-6507,16235,,,2013年01月01日至2013年03月31日,1836009,2229313,393304,272657,,507673,519852,,0,-88238,-88238,272657,,,-223788,353407,129619,48532,-7767,,,,247195,2229313,-21907,16879.0,0.0,,
2013-08-09,2,2013,227404.0,,-44001,-104.0,-40981,-21489,74394,-2865,8936,-121122,,-45279,14729,199155,-169027,,0.0,,-603,7546,93077,-178307,-18324,422668,-532,-151385,251439,,-1535.0,776.0,-11543,44448,,,2013年01月01日至2013年06月30日,1836009,2428717,592708,486831,,753406,997771,,682713,-891181,-208468,486831,,,-262225,545761,283536,105195,5375,,17690.0,-818.0,510940,2428717,-277270,2717.0,0.0,,
2013-11-08,3,2013,343472.0,,-88595,-27.0,-32804,-24943,66279,-4298,516583,-179043,,-59635,20889,132239,-197923,,1262.0,-1204.0,-6214,11111,185247,-162085,-16514,114009,-1557,270063,378151,0.0,-1535.0,1164.0,-17777,61044,2000.0,,2013年01月01日至2013年09月30日,1836009,1785319,-50690,872485,,880708,1250669,-782305.0,968446,-1519899,-1333700,872485,,-2000.0,-292164,326876,34712,107859,21553,0.0,17690.0,-818.0,378184,1785319,-415228,-14297.0,0.0,0.0,
2014-02-19,4,2013,468146.0,,5504,110.0,-7116,-23171,31712,-5731,157320,-239957,,-84822,26088,194220,-221183,,1744.0,-2709.0,-17844,25635,205817,-130597,-3370,197056,183,-156307,509090,0.0,-1535.0,1561.0,-21754,82844,2000.0,,2013年01月01日至2013年12月31日,1836009,1882957,46948,1196007,,1548854,1934550,-782305.0,242444,-998993,-1539819,1196007,,-2000.0,-151524,421921,270397,122032,40673,0.0,17690.0,-818.0,738543,1882957,-448786,-20091.0,0.0,0.0,
2014-04-29,1,2014,104384.0,-1900.0,-21277,-100.0,-58447,4703,61884,145,-79358,-123975,,-21872,4115,9540,-122429,,,,-201,3429,-43721,-45202,-4645,189296,-511,-266413,122252,,0.0,403.0,-3582,20190,,,2014年01月01日至2014年03月31日,1882957,2239525,356568,304536,,495643,491045,,465642,-345944,117798,304536,,,-66521,148646,82125,56121,-514,,,,186509,2239525,-12010,0.0,,,
2014-08-08,2,2014,219641.0,-1900.0,16205,-214.0,-27695,5413,68769,-1359,-382884,-148334,,-54251,8545,-98791,-275445,,,-276.0,-1742,4931,-69222,14405,-20877,209281,-520,-738976,248334,,0.0,,-9669,50232,,,2014年01月01日至2014年06月30日,1882957,1996816,113859,611830,,954630,1025657,,735146,-735974,-3004,611830,,,14932,179254,194186,64498,17013,,0.0,0.0,413827,1996816,-111590,0.0,,,
2014-11-05,3,2014,315696.0,-1900.0,-2613,-214.0,-55888,10017,58964,-1214,-380278,-415254,,-71058,10789,35920,-345691,-17000.0,0.0,-275.0,-17310,4702,-68962,142003,-16647,-64759,-1033,-1003513,363588,,0.0,,-13728,67011,500.0,,2014年01月01日至2014年09月30日,1882957,1569577,-313380,964817,,1110696,1280167,-536176.0,941688,-859820,-456483,964817,,-500.0,132546,-132892,-346,167318,12877,,0.0,0.0,315350,1569577,-223254,0.0,,,
2015-03-06,4,2014,446327.0,-1900.0,86612,-214.0,-11875,4973,6224,-1068,-121351,-81217,,-121086,15156,180962,-996445,-17149.0,42.0,-277.0,-18053,27277,-60924,120216,-11693,-104015,-703,-989707,499147,,0.0,1601.0,-16378,88139,500.0,,2014年度,1882957,2193531,310574,1460323,,1759733,1934183,-536176.0,1416402,-1518505,-640414,1460323,,-500.0,199894,-172361,27533,217231,52009,,0.0,0.0,473860,2193531,-246711,0.0,,,
2015-05-05,1,2015,,0.0,-164427,0.0,-20894,-2507,-9734,159,-378223,17429,,-27776,3075,-49654,-35379,,,,-1828,1515,-56213,-87351,-6684,99339,56,-381650,136628,,,409.0,-1763,27205,,147654.0,2015年01月01日至2015年03月31日,2193531,2422020,228489,474702,,382864,374100,,467475,-185576,276929,474702,,,-260969,12713,-248256,14836,15318,,,,-100602,2422020,-16678,,,-4970.0,20000.0
2015-08-07,2,2015,,0.0,-63066,0.0,-4636,2003,-33144,318,-316277,33200,,-55686,6636,-120995,-222232,,502.0,-43.0,-1908,3931,29596,-317205,-14279,290808,-2096,-481544,272623,,,598.0,-6066,43056,,256507.0,2015年01月01日至2015年06月30日,2193531,2615289,421758,946512,,961635,1091318,,753838,-686665,62662,946512,,,-392547,280846,-111701,21742,32336,,,,144806,2615289,-166673,,,-4970.0,
2015-10-30,3,2015,,0.0,-62228,0.0,-13383,4054,-37416,-1023,-114850,-38441,,-84255,9894,99383,-278525,0.0,495.0,-414.0,-9463,12735,-19945,-199362,-15413,-42961,101,-399245,399387,,,1219.0,-10013,62295,513.0,420601.0,2015年01月01日至2015年09月30日,2193531,2509697,316166,1554841,,1368595,1587866,-714902.0,962959,-995735,-752567,1554841,,-513.0,-272949,-114627,-387576,29299,77720,,,,33025,2509697,-272066,,17149.0,-4970.0,
2016-03-07,4,2015,,0.0,187130,0.0,8554,66030,47295,-1762,-106413,-2199772,,-111523,13377,-53610,-457074,0.0,1089.0,-423.0,-9757,13703,-44738,-47623,-16335,-476528,17,-2710674,530172,,,2864.0,-12988,83295,513.0,628171.0,2015年度,2193531,2444932,251401,2109437,,2249749,2459648,-714902.0,1894184,-409042,765936,2109437,,-513.0,189202,-467162,-277960,48639,97681,,,,350211,2444932,-280719,-1036.0,17149.0,-4970.0,80000.0
2016-04-25,1,2016,,,-154490,,20052,-60796,-105240,0,-22916,-77262,,-27829,6908,-35392,-73452,,,-487.0,-529,217,-102478,-220914,-240,895679,957,-159908,131225,-386315.0,,,-6089,27920,,148773.0,2016年01月01日至2016年03月31日,2444932,2864554,419622,229643,-720.0,262215,263911,,1161457,-808263,352707,229643,,,-437160,322655,-114505,14034,5832,,,,34268,2864554,-23527,32637.0,,0.0,0.0
2016-08-03,2,2016,,,-77598,,-18302,19619,13516,0,450767,-721433,,-55923,14220,-157486,-299681,,0.0,-482.0,-2861,277,-205932,-224489,288,1047211,237,-549094,261569,-32612.0,,,-13688,80095,,257020.0,2016年01月01日至2016年06月30日,2444932,3379203,934271,602319,-1441.0,1093922,1379836,,2124535,-1577124,546929,602319,,,-283621,804118,520497,23837,12451,,,,777517,3379203,-352321,24703.0,,0.0,
2016-11-03,3,2016,,,-205528,,-32016,-25590,15922,-2161,1297223,-401641,9558.0,-72648,21790,-288011,-1137845,,0.0,-471.0,-2852,478,-311105,78130,3895,694138,-1439,-214206,417696,,,,-21333,118122,1250.0,464525.0,2016年01月01日至2016年09月30日,2444932,2727659,282727,923936,,1052726,1602707,-714902.0,5421377,-4973786,-267782,923936,7528.0,-1250.0,-149093,363339,214246,30431,15420,,,,678771,2727659,-648020,66431.0,0.0,0.0,
