date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無形資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,退還（支付）所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-10,1,2013,38715.0,-342,-64826,,-15978,,554,31583,,-2898,2125,48109,-16957,,,,,-401,-469,,95,0,-1055,29321,,-242931,48,483,-9161,244123,31353,-282.0,-22533,33653,0,-2602,1824,4302,-1465.0,2780.0,,2013年01月01日至2013年03月31日,739470,760861,21391,39357,,,74207,79757,,,-78145,-78392,39357,,,-316115,317800,1685,,1216,,178,,,,,40400,760861,-6865,,,,,,,-5336,0
2013-08-09,2,2013,91457.0,-19545,-60308,-1508.0,-1322,,-4080,-5304,,-5612,3652,62409,-36663,-25000.0,,,,-2199,1948,43791.0,165,0,-1443,12738,,-41702,-2377,-2131,-10518,41301,-24995,-553.0,-75781,68158,286,4731,5641,8646,,,,2013年01月01日至2013年06月30日,739470,811068,71598,100826,,127803.0,110579,127803,,,-50020,-25609,100826,8971.0,,-121383,56903,-64480,,1903,0.0,53,,,0.0,,26977,811068,-19416,-19416.0,,,,,29754.0,-10871,0
2013-11-08,3,2013,132406.0,-19545,-31230,0.0,-2021,,6725,-14793,,-8826,5337,44807,-88470,-25000.0,0.0,-57169.0,0.0,-3918,2070,43791.0,155,0,-775,-27616,,150835,18742,16816,-159,-224634,7554,-811.0,-195204,104415,0,5941,7388,13045,,,,2013年01月01日至2013年09月30日,739470,694021,-45449,182699,,220804.0,196083,220804,-298787.0,182970.0,0,-91135,182699,8971.0,-17.0,160918,-255219,-94301,0.0,3615,0.0,23,,,0.0,,38105,694021,-28392,-28392.0,,281.0,,,350.0,-23487,0
2014-03-24,4,2013,177049.0,-19545,9964,0.0,-6819,,11272,-14899,,-12283,7610,63830,-142360,-25000.0,0.0,-59825.0,0.0,-6134,7489,43791.0,119,0,-397,-32354,,77301,15983,2866,12577,-158345,-51321,-1058.0,-248800,142347,0,5662,15070,17546,,,,2013年01月01日至2013年12月31日,739470,660510,-78960,151090,,220161.0,187574,220161,-298787.0,181225.0,0,-81564,151090,8971.0,-117.0,128905,-236883,-107978,11350.0,4627,0.0,110,2805.0,-1994.0,0.0,,69071,660510,-37968,-37968.0,,283.0,,-7700.0,21193.0,-22516,0
2014-05-08,1,2015,,-410,-22819,,670,,4109,15860,,-5444,2894,-17078,-55199,22426.0,,,,-626,4601,,-77,0,324,9541,,-124826,0,-18822,0,128436,13395,,-23833,39716,-127,-69,0,4214,-2643.0,5046.0,50325.0,2015年01月01日至2015年03月31日,999748,1071657,71909,9764,-200.0,,39957,43633,,,73350,72863,9764,,,-162685,146229,-16456,,6827,,-103,,,,,33869,1071657,-6079,,4447.0,,,,-21604.0,2415,0
2014-05-13,1,2014,44073.0,-291,-85797,,-72,,-646,9195,,-3030,2090,7437,-20093,,,,,-372,-1390,,2,0,-652,21734,,-358978,-34784,-3808,-8554,398598,5487,-237.0,-23064,38636,398,1940,2654,4472,-2007.0,2953.0,,2014年01月01日至2014年03月31日,660510,709303,48793,37011,,,29706,28082,,,35003,34714,37011,,,-492406,439404,-53002,,211,,641,,,,,-8929,709303,678,,,,,,2522.0,-2158,0
2014-08-08,2,2014,104540.0,-291,-69639,0.0,-57605,,-1334,24550,,-6339,5187,-20648,-56141,0.0,,,,-1128,4285,0.0,13,0,-5145,111874,,-396245,-39632,-7154,-31356,418362,10370,-450.0,-48669,76595,440,562,6667,8923,,,,2014年01月01日至2014年06月30日,660510,681615,21105,15465,,86716.0,75092,86716,,15608.0,0,15330,15465,0.0,,-545370,512081,-33289,,208,0.0,2189,,,0.0,,71251,681615,-13197,-13197.0,,,7033.0,,3968.0,0,13537
2014-10-31,3,2014,132700.0,-1063,-69446,0.0,-312,,-5363,15405,18852.0,-9693,7496,17488,-90217,-51183.0,0.0,0.0,0.0,-1485,4470,0.0,179,0,-4617,27295,,-257651,-23331,-5508,-41095,377364,57482,-638.0,-70140,113836,92,1832,10449,13384,,,,2014年01月01日至2014年09月30日,660510,846207,185697,62361,,265587.0,258618,265587,-85760.0,66375.0,0,-20269,62361,0.0,-26.0,-402940,473466,70526,0.0,662,0.0,2020,74161.0,-35100.0,0.0,,203226,846207,-9616,-9616.0,,0.0,7012.0,,-5600.0,2539,0
2015-03-16,4,2014,205300.0,-1826,-58689,0.0,3398,29539.0,-528,-10074,17672.0,-14186,9103,71357,-166556,-51183.0,0.0,0.0,0.0,-1738,25872,0.0,956,0,-2643,-12538,-11979.0,-281644,-34697,18895,-33777,382979,96995,-824.0,-120475,152723,643,1607,15917,17835,,,,2014年度,660510,999748,339238,42485,,316554.0,302110,316554,-85760.0,184855.0,0,86246,42485,0.0,-26.0,-390621,459390,68769,0.0,1440,2500.0,2131,74161.0,-35100.0,75.0,78.0,274069,999748,-18407,-18407.0,6164.0,0.0,7042.0,0.0,-2977.0,-5995,0
2015-08-11,2,2015,,-939,5948,0.0,56869,,74,18125,,-10396,5629,-40586,-107120,-27371.0,,,,-1129,4423,0.0,1103,0,687,79590,,-129282,0,-31232,0,-95856,22114,,-97072,79224,-643,40,0,7853,,,92144.0,2015年01月01日至2015年06月30日,999748,760886,-238862,46049,-399.0,66279.0,53992,66279,,-155360.0,0,-155196,46049,0.0,,-155534,83620,-71914,,7116,22426.0,-329,,,0.0,,20230,760886,-17023,-17023.0,5740.0,,0.0,,2738.0,0,8319
