date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他項目,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,員工執行認股權,存出保證金增加,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,收取之利息,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失
2013-05-08,1,2013,0.0,-6029,-21981,-14842,-3584,-24602,-2643,110462,-1182,0.0,2252,-219,16035,,-34654,70532,1304,4079,2768,2705,2013年01月01日至2013年03月31日,3984697,4207995,-1416,223298,124857,109280,130334,,2252,124857,11439,-71477,82983,11506,,5477,4207995,-21054,4346
2013-08-12,2,2013,0.0,11985,-9982,-14997,1115,-23545,-5924,136113,-7154,0.0,8969,-99,38207,-250998.0,-47411,63986,-2128,8504,5569,5125,2013年01月01日至2013年06月30日,3984697,4124430,-5051,139733,246314,247777,289217,,-242029,246314,26222,-72390,103308,30918,,42903,4124430,-41440,6210
2013-11-13,3,2013,0.0,-9947,-60521,-15110,3280,-28785,-9510,82698,-8158,0.0,11003,-177,65460,-250998.0,-66824,94961,1171,12979,8372,9506,2013年01月01日至2013年09月30日,3984697,3917392,-6741,-67305,364871,333669,376170,-244848.0,-484843,364871,15320,-142455,163701,21246,,11299,3917392,-42501,-1582
2014-03-27,4,2013,0.0,-22071,-48153,-14231,5075,-49185,-14428,113890,-8661,0.0,15050,17,72108,-523118.0,-61871,193560,3557,17362,11145,12201,2013年01月01日至2013年12月31日,3984697,3846887,-8408,-137810,442390,497659,566807,-244848.0,-752916,442390,23418,-124255,270743,146488,61.0,124417,3846887,-69148,-2036
2014-05-07,1,2014,,19742,-2692,-70,-4177,7142,-8292,84162,-963,,596,-513,-8774,,10550,-21694,6729,4497,2841,8205,2014年01月01日至2014年03月31日,3846887,4006870,2155,159983,93092,68496,85977,,596,93092,5940,7788,-34645,-26857,,-7115,4006870,-17481,5459
2014-08-05,2,2014,,85061,100842,-47,-4788,20000,-16231,4367,-3057,,17604,135,-46982,0.0,1168,-61517,13730,9067,5654,16652,2014年01月01日至2014年06月30日,3846887,3968515,2147,121628,77779,85927,151516,,17604,77779,11305,101963,-113287,-11324,,73737,3968515,-65589,53119
