date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應收帳款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-02,1,2013,104641.0,86571,43205,,-80363,-297904.0,,1446,-61,1374.0,-5026,155,8649,-101162,,-979167,,-21610,1449,,-8798.0,814,-67419,135805,-93693,-3018.0,-781721,92715,,5054,-155,4961,,2013年01月01日至2013年03月31日,1219443,1030609,-5381,-188834,426001,,582750,578414,,0,,1488,426001,182200,-134428,47772,,,626167,168,-579.0,0.0,,,152413,0.0,1030609,-470,-127.0,0,39.0,16288.0,,25238.0,
2013-08-09,2,2013,205662.0,149147,-11993,65272.0,-70436,-354557.0,,1243,-62,2588.0,-10848,317,11730,-161278,,-1305136,,-26232,1449,-9651.0,-9431.0,1894,-198658,219200,-139227,-6160.0,-978780,188014,,10211,-315,10561,,2013年01月01日至2013年06月30日,1219443,1108019,-3464,-111424,859497,,863828,1073547,,0,,-8202,859497,279758,-271370,8388,,0.0,1259978,168,-1174.0,,,,214050,0.0,1108019,-219965,-113.0,0,0.0,19963.0,,,-383956.0
2013-11-11,3,2013,386979.0,231538,-8994,38152.0,-42376,0.0,174428.0,-9288,-62,49256.0,-15628,511,9396,-242955,0.0,-1305136,,-12764,1449,-9651.0,-14485.0,2779,-293494,135615,-227233,-7660.0,-274927,286004,,15560,-510,15601,,2013年01月01日至2013年09月30日,1219443,1059930,3010,-159513,1265797,,1218100,1423391,-1113880.0,10000,,-1112082,1265797,262478,-491863,-229385,,0.0,1584139,171,-1366.0,,,,157594,-45645.0,1059930,-220382,-386.0,0,0.0,49847.0,,,-460871.0
2014-03-24,4,2013,445015.0,-72345,-6802,58047.0,-2619,53643.0,,-11674,9042,56230.0,-20895,758,13181,-871901,0.0,-1305136,,-31790,3450,-12292.0,-15025.0,10306,-245529,23370,135384,-7933.0,-481982,388016,-340.0,25508,-755,20721,,2013年01月01日至2013年12月31日,1219443,1334326,-8109,114883,1632409,,1686527,1887754,-1113880.0,16000,,-1102843,1632409,-125558,-64112,-189670,200502.0,0.0,1586985,-83947,-2247.0,,,,255345,-59229.0,1334326,-221193,,22494,3879.0,67207.0,,,-118608.0
2014-04-30,1,2014,138549.0,80699,5475,,-53278,-307610.0,,2492,-64,7426.0,-4524,219,9010,-392054,,0,,-10020,784,,-1946.0,6532,-185666,249932,-201387,-367.0,-725092,113715,,13259,-233,4358,,2014年01月01日至2014年03月31日,1334326,994857,2283,-339469,404923,,395829,392071,,-20000,,-19216,404923,275035,-426436,-151401,,7782.0,0,82,-5741.0,,,,-12852,-7426.0,994857,-367,464.0,1000,0.0,10366.0,,-41875.0,-27712.0
2014-08-06,2,2014,265064.0,149744,-9801,3721.0,-43377,262349.0,,-1424,-914,33951.0,-9765,354,727,-579019,,-577225,,-18311,2384,-660.0,-2121.0,7182,-314637,281863,-306221,-761.0,-454765,231556,,22156,-370,9322,,2014年01月01日至2014年06月30日,1334326,1480903,975,146577,820708,,619891,810928,,-21000,,-19276,820708,343717,-618561,-274844,853.0,7782.0,499140,407,-9079.0,,,,-9780,-33951.0,1480903,-199989,-149.0,1000,,0.0,-6342.0,,-54481.0
2014-11-07,3,2014,384129.0,245443,-13664,-23222.0,-12581,235885.0,,-399,-10715,42413.0,-14067,492,1625,-717000,,-1097225,,-37137,4564,-1113.0,-3567.0,9392,-243914,223285,-528042,-1102.0,-402385,351990,,30470,-507,13596,,2014年01月01日至2014年09月30日,1334326,941469,-7197,-392857,1311676,,988814,1300984,-965362.0,-19000,,-980911,1311676,400756,-795577,-394821,853.0,7782.0,1258164,407,-9378.0,,,,-10692,-40625.0,941469,-325259,1900.0,2000,,0.0,-14901.0,,-48817.0
2015-03-18,4,2014,521802.0,43612,1200,-6186.0,43168,-106072.0,,-4172,-3679,61838.0,-19234,649,10302,-900495,,-1099227,,-38569,5369,-2300.0,-5037.0,9618,-235484,166636,-286498,-3508.0,-766066,473734,1035.0,42342,-659,17835,,2014年度,1334326,1272283,-5400,-62043,1797681,,1671014,1977448,-965362.0,-15000,,-977293,1797681,189270,-531305,-342035,225195.0,7782.0,1259167,-100813,-9380.0,,22000.0,,179767,-61838.0,1272283,-323610,,33897,0.0,44169.0,,,-136749.0
2015-05-08,1,2015,,89316,7727,-21308.0,-27793,-18855.0,,6987,-61,15844.0,-5023,181,-1473,-417622,,-3003,,-408,1875,-146.0,-3646.0,5313,65405,-58737,-125013,,-424795,122359,,9210,-183,5787,167375.0,2015年01月01日至2015年03月31日,1272283,1424677,-6876,152394,469250,-604.0,561933,556761,,15000,,16729,469250,-5935,-73929,-79864,,0.0,39420,83,-1391.0,,,,87511,-15844.0,1424677,-432,-1357.0,0,,34345.0,,,-25933.0
2015-08-10,2,2015,,155743,20588,25641.0,3099,515908.0,,6823,-111,39795.0,-10716,420,-5379,-853973,,-664351,,-1274,3110,-146.0,-10715.0,12843,-35220,94814,155139,,-681121,247917,,17507,-421,11505,301969.0,2015年01月01日至2015年06月30日,1272283,2089945,-11801,817662,904746,-1200.0,1496198,1592347,,5000,0.0,7964,904746,233249,152383,385632,10.0,0.0,370770,121,-1736.0,,,,687601,-39795.0,2089945,-107233,-984.0,0,,21446.0,0.0,,-50228.0
2015-11-09,3,2015,,256385,39002,-38184.0,83793,,785574.0,7021,-231,53053.0,-15623,614,20278,-955151,,-672351,-48679.0,-4816,7342,-1284.0,-11049.0,15018,-255352,83420,-23510,,-235844,374994,,23386,-616,16412,513765.0,2015年01月01日至2015年09月30日,1272283,1743522,-18146,471239,1421419,-1810.0,1789627,2033091,-1113880.0,5000,0.0,-1102822,1421419,407932,-310025,97907,58.0,0.0,686593,100,-1397.0,,,,611672,-52858.0,1743522,-259260,-1077.0,0,,97861.0,0.0,,-30810.0
2016-03-03,4,2015,,-18921,50014,-15041.0,182321,0.0,831245.0,-3841,0,,-20238,838,16060,-1033677,-160000.0,-890902,-48679.0,-9712,6213,,,4856,-169065,-43954,164632,,-565911,502513,-831.0,29833,-827,21267,511054.0,2015年度,1272283,1831001,-1331,558718,1779127,-2459.0,2191631,2433387,-1113880.0,23533,0.0,-1083062,1779127,167001,-23795,143206,57.0,0.0,812332,707,,,,0.0,654260,,1831001,-262196,,-1268,1072.0,,,351.0,-71431.0
