date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-09-27,2,2013,112063,-9021,-202544,,-11600,,27908,3222,,,0,,246,,-2975,4835,1193,-67069,-55610,-89,,,-1020,252,,1168,13221,0,,-39098,-44722,,-431,-48924,83559,152,-4835,-30608,2975,,,2013年01月01日至2013年06月30日,251429,339926,8635,88497,155424,,-18606,16837,,,163603,,154834,155424,,,-205286,-45364,-250650,3018,66683,158,-24,,-138587,,339926,,18497,-5485,8879
2014-03-28,4,2013,230168,-13372,220795,-477532,-11,0,2577,5994,,-744,,,492,,-2001,6555,8174,-346583,-147609,-883,,,3194,-4895,,-8070,-13363,0,,-68459,-148117,,-449,-363816,171773,374,-9809,,2001,1192,,2013年01月01日至2013年12月31日,251429,494558,30071,243129,286396,,408442,486989,250000,,436128,,190329,286396,255,-1192,150864,-180439,-29575,23690,113190,-608,-40,,200593,4400,494558,-68738,21295,-24942,-8000
2014-08-04,2,2014,73177,-1866,-50001,,-1301,,-270,-1294,,,369,,323,-16108,-1129,3740,-724,-311154,-42690,-300,-29123,,2525,0,,4555,-46262,,,47586,-61251,,-1154,-289008,119090,233,-3941,,1129,,,2014年01月01日至2014年06月30日,494558,313748,-12590,-180810,257057,,118343,180878,,,-7555,,-9421,257057,,,-9847,-139509,-149356,23462,81221,-2224,-11171,,-76179,-4400,313748,-58594,-25620,-29770,-1608
2015-03-27,4,2014,185887,-1866,110091,0,-15921,,650,272,,0,,728,754,-16159,-2649,7964,13455,-610078,-67010,-3284,-103448,,4512,0,,4105,-127171,,,106379,-177355,48888,-2354,-623578,242058,979,-8048,,2649,210,,2014年度,494558,435127,1554,-59431,447770,,429331,542187,0,,123227,,121361,447770,0,-210,208419,-299889,-91470,22010,146699,-970,-20591,,94417,-4400,435127,-104808,-47514,-28602,-1947
2015-05-13,1,2015,,0,-102794,,2693,,-3128,-738,-3,,,,217,,-529,2436,-3353,-217456,,,,-32862,-747,,,1209,7929,,,9805,9630,0,,-236549,66240,575,-2436,,529,,66026,2015年01月01日至2015年03月31日,435127,363571,2880,-71556,67606,-1006,53958,66963,,,114388,,114388,67606,,,-97123,30454,-66669,12034,0,-3320,0,,-643,,363571,-10569,-1726,10940,0
2015-11-12,3,2015,,0,-44753,,-4278,,-2322,-7099,,124,,,646,0,-4070,8382,3614,-430424,-459050,-2231,,-66792,232,,,-4028,-11433,,,-169176,35446,-517,,-651943,206311,2020,-7471,,4070,0,171005,2015年01月01日至2015年09月30日,435127,475286,-9994,40159,268908,-3406,113242,199724,504000,-288750,359996,,575246,268908,,0,-219657,-20532,-240189,18833,152760,-4591,-34,134795,-69184,,475286,-79011,-27897,-32651,
2016-03-26,4,2015,,0,12467,,7316,,1317,-10641,,124,,,862,0,-4859,11633,-538,-465358,-475752,-2319,,-66792,5060,4128,,-3470,57318,,-70913,-199550,-137151,0,,-589472,276191,2614,-10974,,4859,0,245331,2015年度,435127,574642,-20834,139515,378070,-4606,234568,335455,504000,-288750,346492,,494957,378070,,0,-190384,-97562,-287946,26627,257814,-3805,-145,134795,-42615,,574642,-89913,-21386,-14404,-12
2016-05-09,1,2016,,,-101385,,7463,,-828,4328,0,,,,215,,-1133,3408,-7248,-92958,,-1269,,0,788,102,,-862,9663,,,29220,55616,,,26600,71455,612,-3378,,1133,,68881,2016年01月01日至2016年03月31日,574642,635229,-7795,60587,153546,6961,257050,266138,,,0,-215917,-215815,153546,,,-66032,109743,43711,13647,70771,-2879,-148,36138,112592,,635229,-5710,4358,32673,
2016-08-12,2,2016,,,-51026,,-2946,,-2430,6357,,0,,,425,,-2349,7511,-13126,-172952,,-1405,,-35879,1969,102,-2034,,78013,,,-12411,-6385,-1718,,-32676,124193,1214,-7060,,2349,,129245,2016年01月01日至2016年06月30日,574642,878790,-1660,304148,314337,-3118,417351,482644,,,0,-67503,-67401,314337,,,-68985,108047,39062,15126,125981,-2806,-321,36138,168307,,878790,-58233,1069,34726,
2016-11-14,3,2016,,,-73573,,8533,,-196,6631,,30,,,626,,-3278,12185,-27124,-344604,-10000,-1380,,-35879,-2980,102,-866,,174818,,,20153,17310,-3665,,-154005,187748,1676,-11773,,3278,,197556,2016年01月01日至2016年09月30日,574642,919636,2780,344994,456511,-7022,733437,842965,0,0,0,-207416,-207314,456511,,,-60638,249536,188898,21562,177716,-2662,-518,36138,386454,,919636,-97755,1979,45909,
