date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少
2013-05-07,1,2013,13442.0,-635,-3707,7363,94,-202,-239,4527.0,-1788,775,9278,-31668,,,,,,,,,0.0,,23.0,-2976,16249,-14001,-8650,-455,1464,-47.0,-32613,18314,,,,184,-775,973,,,2013年01月01日至2013年03月31日,664444,764410,99966,43465,,56040,57138,,67500.0,,67261,43465,,8929,-8698,231,0.0,-968.0,0.0,-1527,0.0,,13673,764410,-1296,-2516,,1207
2013-08-06,2,2013,35262.0,-26,438,-1369,274,-295,-828,4527.0,-3143,1883,13803,-58618,-968.0,,,,,,,,0.0,,22.0,-1827,28234,-846,21079,-5142,432,-102.0,-59564,36493,,,,367,-1883,3143,,,2013年01月01日至2013年06月30日,664444,819919,155475,71789,,144564,152949,,57500.0,,56672,71789,,25891,20007,45898,,,,-1527,0.0,,81160,819919,-9645,1189,0.0,521
2013-11-08,3,2013,42198.0,1576,-175,7872,389,-128,-921,4527.0,-4773,2880,9377,-60255,-968.0,,,-62.0,,,,,0.0,,-138.0,-4426,21777,-20720,31135,-1102,800,-150.0,-61411,53802,,,,552,-2880,4773,2875.0,,2013年01月01日至2013年09月30日,664444,923495,259051,102753,,171506,186138,,140500.0,,139579,102753,-2875.0,10355,30832,41187,12.0,,28.0,-1527,0.0,,83385,923495,-19400,-5889,0.0,-188
2014-03-25,4,2013,51593.0,6773,685,853,332,-232,-921,,-6580,4310,14688,-61679,-6125.0,0.0,,-113.0,,,481.0,0.0,,-138.0,,-2266,18786,-21461,30366,-153,1850,-330.0,-68043,70125,,4527.0,,738,-4310,6580,3689.0,,2013年01月01日至2013年12月31日,664444,980343,315899,136303,,212621,228235,-94046.0,251600.0,,156633,136303,-3689.0,4621,35718,40339,12.0,,28.0,-1527,0.0,,91932,980343,-21573,-14326,2033.0,609
2014-05-09,1,2014,5555.0,-3390,-642,-4161,89,103,-35,0.0,-4333,1588,1856,-2515,,,,,-62325.0,,,3.0,,-2.0,0.0,5777,864,716,25925,263,-288,7.0,-64842,14289,,,,187,-1588,4333,,,2014年01月01日至2014年03月31日,980343,936219,-44124,33784,,65994,64028,,0.0,-47100.0,-47132,33784,,-5964,30653,24689,,0.0,,0,,,30244,936219,-779,-6176,,-574
2014-07-30,2,2014,13203.0,-584,352,-1959,96,319,-35,,-8955,3094,-5021,-4384,0.0,,,-39.0,-80848.0,,,3.0,,,84.0,21570,-9491,556,22257,590,-1802,25.0,-85150,27425,,-5640.0,,375,-3094,8955,,,2014年01月01日至2014年06月30日,980343,929995,-50348,40624,,65955,79181,,,-26100.0,-26132,40624,,-11453,36807,25354,37.0,,7.0,0,,,38557,929995,-19087,-8743,,-935
2014-11-13,3,2014,20271.0,901,-857,2754,-964,134,-265,,-11813,4827,4390,-7414,0.0,,,-39.0,-277768.0,,,3.0,,,245.0,16145,10251,106,9711,-4416,-2221,41.0,-284937,39154,,-5640.0,,564,-4827,11813,7447.0,,2014年01月01日至2014年09月30日,980343,807737,-172606,84097,,110978,129770,-132675.0,129900.0,,-3037,84097,-7447.0,14053,11349,25402,39.0,,7.0,0,,,45673,807737,-33225,-5021,,-543
2015-02-24,4,2014,18867.0,7602,-574,-177,-830,-148,-1449,,-17415,6884,17555,-17992,0.0,0.0,,-90.0,-186879.0,,0.0,,,245.0,0.0,16462,7623,10059,1130,7727,-2119,74.0,-201662,51086,,-5640.0,,752,-6884,17415,7474.0,,2014年度,980343,716111,-264232,140547,,181099,199024,-132675.0,0.0,-127100.0,-261224,140547,-7474.0,25181,14429,39610,3054.0,,-683.0,0,,,58477,716111,-35930,-14283,0.0,-1579
2015-05-11,1,2015,,-4525,911,2336,903,248,-41,,-4062,1225,-5581,-2113,,,,-106.0,,0.0,,0.0,,-2540.0,,9392,-14324,-1388,22852,-447,-345,,8555,11809,,19360.0,,185,-1225,4062,,2483.0,2015年01月01日至2015年03月31日,716111,809345,93234,9352,-43.0,50301,48024,,40000.0,0.0,39959,9352,,-17944,54133,36189,,,,-6420,,13314.0,38672,809345,-560,-254,,1259
2015-08-03,2,2015,,-4416,635,-1202,774,435,-41,,-7686,2822,-9647,-8021,,-132955.0,,-106.0,,-31633.0,,0.0,,-2540.0,0.0,1751,-3112,-4762,33553,-71,679,,-175255,23472,,19360.0,,361,-2822,7686,,6605.0,2015年01月01日至2015年06月30日,716111,706574,-9537,28012,-92.0,65406,79933,,110000.0,0.0,109959,28012,,-13584,58900,45316,0.0,,0.0,-6420,,,51921,706574,-19391,-5944,,1784
2015-11-09,3,2015,,-4526,-6096,955,-475,172,-41,,-10760,4310,2391,-13687,0.0,-136162.0,,-106.0,,-23585.0,,0.0,-3.0,-2540.0,0.0,-7642,2814,-7953,25686,303,-990,,-176080,35020,241.0,19360.0,,650,-4310,10760,11021.0,7412.0,2015年01月01日至2015年09月30日,716111,716442,331,107067,-143.0,125854,138509,-100790.0,149000.0,,48166,107067,-11021.0,-8612,32642,24030,0.0,,0.0,-6420,,,31442,716442,-30126,-4367,,2324
2016-02-24,4,2015,,3049,817,-2431,913,432,-41,,-16539,6015,-4182,-16073,,-136350.0,,-158.0,,0.0,0.0,,-3.0,-2560.0,0.0,-6262,-5263,-9833,36276,-4099,875,,-76637,46474,241.0,19360.0,,865,-6015,16539,12295.0,16286.0,2015年度,716111,937846,221735,122163,-341.0,160388,174553,-100790.0,243000.0,0.0,142166,122163,-12295.0,-14578,50682,36104,0.0,,0.0,-6420,,78504.0,52390,937846,-36984,-1814,,2370
2016-05-03,1,2016,,-4239,147,-2785,-1100,195,-23,,-3904,1831,-3715,-4619,,,-74277.0,0.0,,,,,,0.0,,5811,-14707,30,19756,-1413,-1458,,-25579,11365,-241.0,0.0,-892.0,24,-1831,3904,,9592.0,2016年01月01日至2016年03月31日,937846,861462,-76384,13660,-57.0,23933,22563,,0.0,-71000.0,-71023,13660,,-21999,21310,-689,,,,-7467,,53317.0,8903,861462,-703,8635,,-628
2016-08-08,2,2016,,-972,-34,-3215,-204,453,-22,,-6567,3436,-10108,-13029,,,-74277.0,0.0,,0.0,,,,0.0,23.0,-2746,-1606,100,21084,-265,-1250,,15474,22668,-241.0,-2552.0,-4651.0,48,-3436,6607,,16987.0,2016年01月01日至2016年06月30日,937846,931028,-6818,42153,-111.0,61838,66806,,0.0,-74000.0,-74022,42153,,-6045,13711,7666,,,,-7467,,102757.0,24653,931028,-8139,9520,,-775
2016-11-03,3,2016,,607,-2786,-1829,-152,772,-87,,-8035,5079,-21517,-19294,,0.0,-74277.0,0.0,,102919.0,,,0.0,0.0,23.0,9458,939,-96,1456,362,1908,,23858,33850,-241.0,23984.0,-6946.0,72,-5079,8076,17264.0,12018.0,2016年01月01日至2016年09月30日,937846,806362,-131484,52193,-162.0,99868,97525,-93606.0,0.0,-140000.0,-233693,52193,-10073.0,-782,34096,33314,,14487.0,,-21420,,,45332,806362,-17918,19491,,-906
