date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他籌資活動,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券減少,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付費用（增加）減少
2013-05-09,1,2013,22210303.0,-2000000.0,-7769942,-1950264,674264,,470237,-40384,-1108842,159975,2236563,,-9311.0,,45333.0,54100.0,-47755,1420368,482787,-4455555,,-1170057.0,,-29944,-47931.0,313.0,-3115614,2669737,-6013969,-699430.0,,-3902514,5717928,0.0,-2939920,20259536,,,156314,596562,-1461727,53001,,,2013年01月01日至2013年03月31日,40897977,42652394,,1754417,1688842,,17313468,17490515,14519051.0,,,-15840534.0,-13101918,1688842,151523,,-5662700,-745930,-6408630,0.0,428670,,,,14409,,,,,15801673,270401,42652394,-177047,-395067.0,,,,,-79610.0
2013-08-08,2,2013,42394983.0,-2000000.0,-39077047,2539910,331325,,-106427,-104802,-961936,159975,2433299,3480.0,,,50776.0,107012.0,-119883,2664157,408683,-9079575,,,,-91881,,313.0,-2482107,-13338479,-5767467,-699430.0,-980000.0,5851363,6392883,,-1803200,39883236,-1222482.0,,247075,1180470,-2758554,130034,,,2013年01月01日至2013年06月30日,40897977,37882475,109251.0,-3015502,5938393,,39286064,39706166,14519051.0,,,-10074524.0,-40907049,5938393,282428,,-16930743,8303533,-8627210,0.0,625879,,3832932.0,16024.0,138297,279312.0,-1889061.0,,,33767773,878083,37882475,-420102,-420922.0,-174427.0,,212610.0,-462647.0,
2013-11-12,3,2013,62405688.0,-2000000.0,-36849085,2540371,381561,0.0,-317213,-110286,-920648,156697,2593294,,-407.0,,33540.0,158939.0,-189253,3856386,390377,-13909671,-624055.0,,0.0,-93846,,455.0,-8309305,-15112169,-7620717,-699430.0,-980000.0,11257795,6686534,0.0,-7233232,58254358,-1196832.0,,126367,1790762,-3938655,168364,201107.0,,2013年01月01日至2013年09月30日,40897977,40920556,-120914.0,22579,6865849,0.0,57185834,57996064,14519051.0,,,-20528571.0,-50320400,6865849,401934,-58239.0,-19905659,8630186,-11275473,0.0,122318,,3853259.0,16024.0,184044,279312.0,-2001560.0,127122.0,,51130215,1686015,40920556,-810230,-564010.0,-161298.0,,566419.0,,-79281.0
2014-02-17,4,2013,81361355.0,-2000000.0,-51589030,405568,734595,0.0,513119,-123046,3133498,173055,941407,,,,29586.0,,-293741,5051960,173764,-18370343,-916909.0,,0.0,-157781,,453.0,-8456587,-16066134,-4958074,-699430.0,-980000.0,8336807,6500243,,-12161047,75549643,-692928.0,0.0,63779,2301795,-5586134,364391,201765.0,,2013年01月01日至2013年12月31日,40897977,44137818,-310450.0,3239841,5643353,0.0,75889159,76863471,14519051.0,,,-14499547.0,-60662035,5643353,556874,-58897.0,-16213645,6072408,-10141237,0.0,1174898,192758.0,3963684.0,,138658,279312.0,-1977799.0,136185.0,,71220118,1157735,44137818,-974312,-582748.0,-399357.0,,921828.0,,-226676.0
2014-05-06,1,2014,17884197.0,0.0,-25997137,-427688,-1199299,,-231337,-287335,254673,-2459,1967601,,,,-1730.0,,-74647,1143680,102491,-4168926,-76986.0,,,-10864,,5.0,-410361,-2472753,-438098,0.0,0.0,-1430811,-515382,,1568252,16013619,-816814.0,,-847,529803,-1113597,114522,0.0,,2014年01月01日至2014年03月31日,44137818,36244705,432817.0,-7893113,162147,,8674209,8957779,0.0,,8875128.0,,-18238065,162147,92183,,-4376231,-4712334,-9088565,,2746829,0.0,226600.0,,113277,0.0,-365693.0,771206.0,,8795632,-1061028,36244705,-283570,,0.0,,0.0,,-52332.0
2014-07-28,2,2014,34648309.0,0.0,-41237576,2731768,8704,0.0,-683773,-66679,16648,-5246,440552,,,-445969.0,,0.0,-168241,2139710,-587857,-8836888,-103998.0,,0.0,-10863,,619.0,4864696,3730375,126308,0.0,0.0,-4407078,-2362273,,-4271679,30955552,-738199.0,,-37652,1017661,-2159028,219641,0.0,,2014年01月01日至2014年06月30日,44137818,24903724,774425.0,-19234094,3578322,0.0,39760159,40141884,0.0,,,-10732867.0,-54134717,3578322,174060,0.0,5187906,-3272653,1915253,0.0,2856816,,286769.0,,36378,0.0,-419679.0,1321378.0,883.0,36563562,-733420,24903724,-381725,0.0,0.0,,175476.0,,-571824.0
2014-10-30,3,2014,50643770.0,0.0,-50900614,2003610,-1039552,,-404229,55598,-707380,-1273913,2158154,,,-617087.0,,,-229300,2910813,-179651,-14585898,-103998.0,,-73500.0,-14310,,619.0,12236097,1803815,-242554,0.0,0.0,-7127666,-2331498,,-7530127,45385266,20189.0,59709.0,-70722,1168376,-2959769,275646,60221.0,,2014年01月01日至2014年09月30日,44137818,34575186,1189975.0,-9562632,11325692,,65448596,65923603,10625000.0,-90496.0,,-22656858.0,-67301450,11325692,461638,-35958.0,3029688,924453,3954141,,3133182,,550556.0,,221739,0.0,-576477.0,1627198.0,,54597911,576426,34575186,-475007,,0.0,-44800.0,217801.0,,-888715.0
2015-02-10,4,2014,65784566.0,0.0,-61671395,4070494,-1047816,,-290486,-257414,-721826,-1274698,464337,,,,-22070.0,,-328633,3586581,769567,-20526552,-240167.0,,-73500.0,-18140,,820.0,16736314,9518853,-3503297,0.0,0.0,-4618534,-4062415,,-13183151,59387107,198617.0,59451.0,-65814,1512449,-3608923,368335,64221.0,,2014年度,44137818,70989741,1417004.0,26851923,22534340,,104212037,104980099,10625000.0,-90495.0,,-8881219.0,-64946530,22534340,578227,-39958.0,9959173,6702020,16661193,,4253209,0.0,802524.0,,179758,0.0,-794041.0,1685201.0,,82445759,1184460,70989741,-768062,,-299025.0,-44800.0,351066.0,,-246732.0
2015-04-28,1,2015,,,-108203141,-570414,137521,,-151540,-34457,-1390810,-891,1753260,,,,251434.0,,-126496,611605,673178,-6609101,0.0,,,-101989,,0.0,487587,-10273757,-1446672,,,11298924,1098704,,-2639879,13804148,-518172.0,,-89960,350282,-728931,125059,81214.0,16100626.0,2015年01月01日至2015年03月31日,70989741,42332691,1158856.0,-28657050,10060229,,25220066,25414806,,,,-11077583.0,-51910415,10060229,33203,-81214.0,-13533268,12787219,-746049,68100131.0,1786518,,73726.0,,-1081,,10128.0,0.0,,15354577,598951,42332691,-194740,,-299026.0,,431155.0,,317112.0
2015-07-30,2,2015,,,-108307861,-1816077,532043,,159749,-6840,-22135,-1261,1943374,,,,373476.0,,-244617,1011240,408531,-10392212,0.0,,,-152800,,0.0,565488,-16781901,-2321438,,,14139858,2235521,,-5894170,27247650,-359235.0,,-110047,646545,-1014252,234345,80769.0,28750545.0,2015年01月01日至2015年06月30日,70989741,44073514,-225917.0,-26916227,17403185,,42242523,42498723,,,,-22449868.0,-63673111,17403185,68729,-192622.0,-20750054,17095047,-3655007,68100131.0,1792021,,226310.0,,158968,,-90506.0,0.0,547.0,25095538,330774,44073514,-256200,,-299026.0,,481122.0,,-11788.0
