date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,169687.0,,13453,-18306,,1809.0,,164.0,-115037.0,,,,,41980,,1413,-20948,-143656,,,,28,,,,-396676,71167,113,,242547,,-468,,-143656,101734,0,2136,-1413,,,,2013年01月01日至2013年03月31日,3035012,3411045,20647,376033,407273,,412645,414622,,127992.0,,127992,407273,,86706,-249044,-162338,,0,196,,,7349,3411045,-564.0,1624,0.0,-71,38896,,
2013-08-06,2,2013,296298.0,,-59802,-26207,,75647.0,0.0,306.0,-2492.0,,,,,73289,,3001,21518,-299796,,-107388.0,-10641.0,35,,,,-488544,56022,-713,,-29151,,-5,,-623676,211163,2375,4489,-3001,,,,2013年01月01日至2013年06月30日,3035012,3378997,0,343985,875434,,456241,642678,,491361.0,,489902,875434,,71460,-600514,-529054,,8,1248,,,-232756,3378997,-183436.0,1804,-1459.0,-1106,-54115,-205859.0,
2013-11-11,3,2013,444207.0,,-3124,-58574,,121.0,,,,0.0,-1568.0,,,98364,,5249,16330,-505790,,-107388.0,-11109.0,-2,,,,-582835,75455,-279,,154703,,-2646,449.0,-985659,323334,11416,7087,-5249,,,,2013年01月01日至2013年09月30日,3035012,2734079,0,-300933,1135362,,970759,1285120,-779916.0,479156.0,,-302363,1135362,,145851,-440300,-294449,,308,1008,,,149758,2734079,-309112.0,-1111,-1603.0,-1138,49052,-360112.0,73229.0
2014-03-21,4,2013,441068.0,,81974,-65196,,0.0,,,,,-850.0,,,11396,-37646.0,7916,16840,-738918,,-107388.0,-18215.0,5,,0.0,-988.0,-647254,41363,35,0.0,-128194,-1118.0,-230,86.0,-1346487,437569,16791,9949,-7916,37646.0,,,2013年01月01日至2013年12月31日,3035012,2289428,0,-745584,1408513,,939473,1219275,-779916.0,426109.0,,-355410,1408513,,197087,-827393,-630306,,6984,-3338,,0.0,-189238,2289428,-309532.0,1611,-1603.0,-3185,14599,-487112.0,73629.0
2014-05-08,1,2014,134015.0,,-39443,-13807,,0.0,,,0.0,0.0,973.0,,,16884,-5281.0,4175,2439,-286930,,0.0,-585.0,2,,,,-138424,-39417,-307,,342587,,-1378,31.0,-371012,114494,334,3315,-4175,5141.0,,,2014年01月01日至2014年03月31日,2289428,2792770,0,503342,185030,,491542,490958,0.0,380373.0,,380373,185030,,-54160,226073,171913,,324,126,,,305928,2792770,-382.0,-34,0.0,0,37095,-84794.0,24976.0
2014-08-06,2,2014,269914.0,,-171397,-20753,,0.0,,,0.0,0.0,18246.0,,,49220,-17657.0,1607,6933,-546195,,0.0,-1257.0,98,,,,-212714,-44028,-834,,189612,,-11506,85.0,-676051,229176,3822,6536,-1607,17445.0,,,2014年01月01日至2014年06月30日,2289428,2184375,0,-105053,397418,,247412,379604,,316653.0,,316653,397418,,-265038,-22690,-287728,,618,46,,,-17814,2184375,,-2934,0.0,0,32671,-140931.0,-48864.0
2014-11-07,3,2014,443047.0,,-93496,-115666,,109.0,,,,0.0,15609.0,,,93423,-21676.0,3139,-4283,-736044,,0.0,-1949.0,211,,,,-221232,-69424,396,,106171,,230,156.0,-881986,341935,9048,9750,-3139,21978.0,,,2014年01月01日至2014年09月30日,2289428,1303052,0,-986376,527677,,277603,546203,-811113.0,433403.0,,-377710,527677,,-208352,-216169,-424521,,930,2997,,,18526,1303052,-287439.0,4311,0.0,-91,14328,-160532.0,-46093.0
2015-03-25,4,2014,553286.0,,-206068,-37801,,0.0,,,,,15791.0,,,88322,-32308.0,4139,-21840,-842242,,0.0,-5358.0,66,1656.0,,,-740,-210624,73,,447585,,203,972.0,-1006514,458019,15498,13082,-4139,32431.0,,,2014年度,2289428,1927603,0,-361825,602209,,888295,1147650,-811113.0,587691.0,,-221766,602209,,-453503,445658,-7845,,1426,4077,,,545441,1927603,-287647.0,2531,0.0,-140,36411,-176131.0,-37856.0
2015-05-07,1,2015,,,-22077,3211,,0.0,,,,,-447.0,,,16025,-3613.0,1411,3208,-292304,,0.0,-188.0,-15,20000.0,,,31043,109291,31954,,-130044,,27,,-269640,117868,-754,2905,-1411,3350.0,,130732.0,2015年01月01日至2015年03月31日,1927603,2007522,0,79919,134298,238.0,240652,244912,,85699.0,,105699,134298,2352.0,107704,-127822,-20118,,414,68,,,110614,2007522,-6199.0,-5515,0.0,0,-32059,22885.0,-11702.0
2015-08-04,2,2015,,,-52882,-3715,0.0,0.0,,,,,1089.0,,,49856,-14470.0,2892,4634,-369364,,0.0,-323.0,-37,20000.0,,,87039,137658,-1032,,-36526,,-8944,,-343468,235223,-754,5931,-2892,14267.0,,185448.0,2015年01月01日至2015年06月30日,1927603,2409774,0,482171,366381,481.0,588737,602941,,212268.0,,232268,366381,4731.0,53482,-2370,51112,,411,603,-95381.0,,236560,2409774,-25579.0,-3146,0.0,0,-40224,24719.0,-30743.0
