date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,預付款項（增加）減少
2013-05-14,1,2013,153042.0,,,41358,,1234,0.0,436.0,3300,-3289,-14149,19445.0,,0.0,-6542,109,40513,-79507,-110000,,0.0,,192.0,0.0,,400.0,2076,-1405,-2729,1272,-250.0,6668,-35454,5995,-76779,170601,,-4054,1435,-109,5648,,,2013年01月01日至2013年03月31日,3684884,3990110,305226,159100,341433,336156,,,59,159100,-6220.0,27397,-3383,24014,,1819,110073,-1778,,-509,,,177056,3990110,-262,,-133.0,-58
2013-08-13,2,2013,316863.0,,,58838,,1431,0.0,436.0,-20008,-1396,-23917,,0.0,,-13858,450,77199,-188731,-495000,-194028.0,-1200.0,,279.0,,0.0,1295.0,3107,7657,-25305,85,-250.0,21436,23960,-316,-641231,346921,,-6533,2937,-417,12239,8692.0,,2013年01月01日至2013年06月30日,3684884,3993418,308534,321750,645555,678076,,200000.0,227011,321750,-8692.0,-2900,42363,39463,,4127,223178,-3748,,-614,,,356326,3993418,-44343,,26732.0,-5859
2013-11-11,3,2013,417875.0,0.0,,-6277,,-4610,,436.0,-1487,-1582,-36184,,0.0,,-21599,765,28839,-273947,-495000,-194028.0,-1928.0,,0.0,-1374.0,0.0,1295.0,4485,82179,-39520,3032,-250.0,10628,12945,6023,-311525,522815,,-6269,4499,-765,19458,99902.0,,2013年01月01日至2013年09月30日,3684884,4020763,335879,507276,913351,956142,-320142.0,0.0,-294786,507276,-73534.0,1493,29498,30991,,8041,543704,-7662,,-1140,,,448866,4020763,-61484,,26730.0,1609
2014-03-25,4,2013,579796.0,0.0,,-84145,,-8071,,436.0,-12140,-596,-45647,,0.0,,-29529,766,65877,-530938,-715000,-193638.0,-1928.0,,,-1011.0,,1295.0,-2809,88629,-38608,1582,-250.0,17076,38800,6709,-735154,711891,,-5884,1840,-766,27355,100233.0,,2013年01月01日至2013年12月31日,3684884,3888596,203712,675681,1167352,1218816,-322978.0,,-294363,675681,-89850.0,-90579,53918,-36661,,8353,596033,-7968,,-1470,,,543135,3888596,-78053,,29626.0,2809
2014-05-13,1,2014,178643.0,,,55293,,1427,,0.0,32221,-287,2311,0.0,,,-9198,87,63865,-70327,-285000,,-2154.0,,46.0,,,100.0,1013,-10440,-698,-1106,0.0,11325,-9214,-988,-220386,189188,,-1010,334,-87,7498,16164.0,,2014年01月01日至2014年03月31日,3888596,4105037,216441,142826,372916,365656,,,46,142826,0.0,77581,-33394,44187,,766,120065,-693,,-65,,,222830,4105037,-151,,,-36670
2014-08-12,2,2014,347119.0,,,63744,,4118,,0.0,34379,-825,-10738,,,,-21605,981,5160,-652078,-355000,0.0,-3073.0,,179.0,,,180.0,1049,13210,3483,-1777,0.0,-10250,-50984,-3358,-728942,400324,,-15591,839,-408,18386,48595.0,,2014年01月01日至2014年06月30日,3888596,4434722,546126,348861,738800,734565,-3889.0,0.0,531108,348861,-5758.0,102301,-63716,38585,534818.0,12218,220216,-11855,,-216,,,385704,4434722,-13743,,0.0,-3466
2014-11-13,3,2014,594384.0,,,55225,,4820,,0.0,12245,-1601,-18991,,-1000.0,,-30706,10450,10401,-5472059,-460000,0.0,-3073.0,,179.0,0.0,,235.0,2386,27605,2704,-1910,0.0,592,-137864,-3101,-5445961,718499,,-27105,1323,-8069,30848,110799.0,,2014年01月01日至2014年09月30日,3888596,3475890,-412706,604494,1120712,1144423,-324809.0,,3902142,604494,-64304.0,76878,-131333,-54455,4226772.0,13541,365596,-13177,,-596,,,539929,3475890,-46490,,0.0,3435
2015-03-26,4,2014,952560.0,,,-20888,,2493,,0.0,38671,-162,-45395,,,200.0,-36413,32438,233030,-8766677,-460000,0.0,-3074.0,7.0,2465.0,0.0,,240.0,2590,4650,1331,-2219,0.0,-5618,-165417,747,-8606970,1098392,,-40837,1782,-25186,37775,127640.0,,2014年度,3888596,3106834,-781762,878509,1605460,1639560,-324809.0,,5986718,878509,-88342.0,-23850,-167659,-191509,6306261.0,13684,481017,-13450,,-1017,,,761051,3106834,-46689,,2801.0,-2292
2015-05-14,1,2015,,,,18094,-458.0,2700,,,2476,-808,-5351,,-1180.0,,-5827,26906,-21799,-425983,-7158,,0.0,,1504.0,,,0.0,-660,-6914,107,-42,,5431,-53328,7110,-361730,383897,,-3878,460,-24946,5729,7197.0,401164.0,2015年01月01日至2015年03月31日,3106834,3651757,544923,238189,582868,602280,,,345584,238189,,7912,-44985,-37073,344080.0,84,65310,-84,,-310,,,364091,3651757,-195,,,-5430
2015-08-13,2,2015,,,,46578,-1892.0,2152,,,-28966,-26171,-13130,,-1180.0,,-10566,54591,-39148,-2173948,-275000,,-560.0,0.0,5944.0,,,0.0,52,51030,-231,194,,-15695,-148575,3481,-2148028,790528,,-13878,950,-52047,10958,47210.0,741215.0,2015年01月01日至2015年06月30日,3106834,3187789,80955,540060,997445,1141914,-5138.0,,1270686,540060,-74094.0,53583,-192944,-139361,1269880.0,9710,245740,-7870,,-740,,,601854,3187789,-103380,2294.0,,-8188
