date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-14,1,2013,24840.0,,,4193,369,-7496,8661.0,,,,91,,-835,301,6705,-52005,,-820.0,-146,-5724.0,,222.0,0.0,-331.0,0.0,-34804,,-29588,-17033,2029,2,-80157,13813,,203,-297,835,,2013年01月01日至2013年03月31日,213994,120260,9385,-93734,34319,-20282,-11154,,,,,0.0,0,34319,-50153,-20160,-70313,,143.0,,1660,,8590.0,,-45473,,120260,-8831,,,,-15677.0,3583,-15022.0,-229
2013-08-12,2,2013,26241.0,,,-613,-795,-7559,17060.0,,,,184,,-1832,828,18414,-101639,,-820.0,-2011,-294.0,,-7160.0,326.0,-6977.0,,-32168,,353,-45577,-4764,-8,-144708,29916,,460,-637,1832,,2013年01月01日至2013年06月30日,213994,188198,1556,-25796,67737,-13547,3122,,,,113719.0,,114045,67737,-50876,-39980,-90856,,2203.0,,6116,,,,-64615,,188198,-16032,,,-3827.0,-15632.0,-19305,-21370.0,2520
2013-11-11,3,2013,64902.0,,,4112,-3408,-8422,17205.0,,,,279,,-4823,1911,7944,-203333,,-16452.0,-2623,0.0,,-5657.0,0.0,,-14422.0,-64653,,99548,-26574,-106682,-51,-187748,49092,-1899.0,785,-2047,4823,,2013年01月01日至2013年09月30日,213994,193396,19481,-20598,133838,87528,114800,,-164000.0,,,235678.0,71678,133838,74010,-157950,-83940,,2311.0,,10585,,41948.0,,-19038,,193396,-25225,,0.0,-4852.0,,-361,,5346
2014-03-28,4,2013,102319.0,,,26609,-19022,-3483,,,0.0,17205.0,373,,-5747,3781,11893,-219190,,-16452.0,-2873,0.0,,-3721.0,0.0,1408.0,0.0,-149098,,253143,6920,-137718,-50,-166010,71013,-3523.0,1130,-3544,5747,,2013年01月01日至2013年12月31日,213994,378673,26927,164679,169052,231325,270385,0.0,-164000.0,,,251471.0,87471,169052,299780,-300766,-986,,2465.0,,12086,,45680.0,,101333,,378673,-35516,,0.0,,,5122,,16591
2014-05-13,1,2014,24754.0,,,34860,13886,-5168,0.0,,,,96,,-2124,1856,-1463,-32691,,0.0,-71,-29658.0,,0.0,,-946.0,,-55308,,-129038,-20431,67918,-258,-61182,25504,340.0,401,-2036,2124,,2014年01月01日至2014年03月31日,378673,244879,-1361,-133794,31988,-63002,-53203,,,,-8147.0,,-8147,31988,-130420,20475,-109945,,60.0,,42,,0.0,,-85191,,244879,-7763,,,,0.0,-5763,0.0,-10643
2014-08-12,2,2014,45868.0,,,31004,7678,-4541,0.0,,,,189,-14952.0,-3304,8651,-8314,-66909,-144909.0,0.0,-2146,0.0,,0.0,0.0,-6407.0,,-46379,,-105248,-24046,-63600,-1672,-219911,51503,722.0,832,-3603,3174,,2014年01月01日至2014年06月30日,378673,286488,-2518,-92185,103076,-82591,-72638,,,400000.0,-181369.0,,218631,103076,-116146,-105436,-221582,,251.0,,14171,,11987.0,,-175714,,286488,-6350,-24378.0,,0.0,0.0,-1463,,-13315
2014-11-11,3,2014,121407,,,36744,-7976,-5088,0,,,,283,-30915,-5387,15821,1155,-76282,-193562,0,-2178,-10434,,0,,,-576,-59800,,28336,-14781,-159709,-1384,-308243,74966,-102,1303,-4358,5395,,2014年01月01日至2014年09月30日,378673,440413,-1226,61740,174510,57226,82773,,-93170,400000,,4772,311602,174510,29057,-242201,-213144,,309,,24442,,0,,-91737,,440413,-21189,11307,,0,,-13332,,-16154
2015-03-18,4,2014,183281.0,,,55640,-24493,7099,,,,0.0,379,-30915.0,-6749,23669,13318,-100173,-280577.0,0.0,-4303,-85324.0,,-680.0,,0.0,-1300.0,-105065,,99021,-8133,-273171,-2343,-495596,102008,-1367.0,1810,-5395,6504,,2014年度,378673,358990,12636,-19683,292355,148840,189156,,-98400.0,400000.0,,12155.0,313755,292355,132940,-419420,-286480,,492.0,,60196,,0.0,,-103199,,358990,-34921,-5808.0,,-2813.0,,-14348,,-20687
2015-05-14,1,2015,,,,33035,4256,-12160,,0.0,,,419,,-1908,7248,-3384,-9400,-50485.0,,-906,,0.0,,,0.0,,-37044,,-41018,6267,-10328,-2770,-25693,25834,-2285.0,564,-2191,1501,45846.0,2015年01月01日至2015年03月31日,358990,380059,689,21069,71039,50146,63503,,,,,0.0,0,71039,-15157,-38225,-53382,,0.0,30291.0,1576,,,8221.0,-7536,,380059,-11166,13709.0,,,-4915.0,7661,,-1281
2015-08-11,2,2015,,,,-959,40094,-11822,,,,,568,0.0,-3837,11417,-8390,-35690,-383354.0,-4982.0,-916,,-73531.0,,2487.0,3543.0,,-104773,,-227556,-6608,295519,1070,14071,59294,334.0,1155,-4859,3323,110270.0,2015年01月01日至2015年06月30日,358990,547492,6071,188502,89203,163956,201011,,,0.0,16378.0,,18865,89203,-245434,246972,1538,,0.0,328383.0,4557,,,177295.0,111808,,547492,-32196,30711.0,,,,15062,,1511
