date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-04-25,1,2013,453.0,26155.0,,-1683,-459,390,-4245,-97,,,-1578,-1245,23.0,5338,-7512,-789.0,-858,,3107.0,24534,-22756.0,-13088,3836,-1970,-3948,21334,-588,4483,-824.0,1246,,2013年01月01日至2013年03月31日,993364,1012968,2341,19604,9971,41794,42558,,,-23580.0,9971,,-14676,21108,6432,0,0,32587,-198,1012968,-764,,1202.0,,0.0
2013-07-30,2,2013,861.0,44759.0,,1381,-2885,125,-177,-194,,,-610,-2850,621.0,4872,-43778,-1342.0,-767,,4856.0,18971,-22756.0,11920,10414,-2583,-37206,44179,-289,8828,-1653.0,2865,,2013年01月01日至2013年06月30日,993364,1028733,3179,35369,12976,92112,93750,,,-24409.0,12976,,12564,23451,36015,193,29,80774,-668,1028733,-1638,,,-8711.0,0.0
2013-11-05,3,2013,1269.0,73372.0,,4108,-1951,-187,7031,-340,,,170,-4239,1456.0,-2330,-63300,-5112.0,-775,,4378.0,884,-22756.0,23644,-5042,-840,-59084,66899,-500,12454,-1456.0,4239,,2013年01月01日至2013年09月30日,993364,982359,6473,-11005,24037,121283,122988,-46662.0,,-70874.0,24037,,25997,-418,25579,711,-231,98951,-1228,982359,-1705,,,-10104.0,0.0
2014-03-04,4,2013,1679,99412,0,30017,-3977,-120,15659,4171,,,1582,-5696,1692,-3924,-97121,-5211,-291,3504,0,-27723,-22756,41331,36911,-2829,-92343,89981,-1010,15813,-1692,5775,,2013年01月01日至2013年12月31日,993364,815507,7357,-177857,11059,189520,200870,-46662,-200000,-271110,11059,,73368,17031,90399,710,-231,189811,-2031,815507,-11350,,,-12474,
2014-04-30,1,2014,0.0,32238.0,,-43843,-645,-388,4719,412,,,610,-978,9.0,-4569,-4612,0.0,-166,,555.0,14058,0.0,-43978,4015,2900,-3017,22594,823,3255,-9.0,968,,2014年01月01日至2014年03月31日,815507,782575,6162,-32932,4932,-25337,-25284,,,-9.0,4932,,-88324,25870,-62454,72,-2,-30216,-527,782575,-53,,,754.0,
2014-08-05,2,2014,0.0,52576.0,,-23637,-1095,-345,-2329,266,,,2434,-2295,14.0,-517,-5733,0.0,-258,,1169.0,-9826,0.0,34939,-92792,977,-2197,44675,-154,6485,-14.0,2295,,2014年01月01日至2014年06月30日,815507,812999,955,-2508,46628,220,3856,,,-14.0,46628,,9871,-105219,-95348,72,-2,-42772,-1352,812999,-3636,,,568.0,
2014-11-04,3,2014,0.0,94659.0,,11693,-2750,355,-4091,469,,10380.0,3401,-3333,16.0,-1752,-12379,-3191.0,-914,,962.0,8523,0.0,26820,-107959,493,-11229,66899,-1331,9497,-16.0,3307,,2014年01月01日至2014年09月30日,815507,869070,9234,53563,66697,75576,91749,-19396.0,,-9032.0,66697,3270.0,37508,-107115,-69607,72,22,25052,-1829,869070,-16173,,,6567.0,
2015-02-26,4,2014,3491.0,115194.0,,5614,1724,-1057,4618,351,,10380.0,4877,-4838,16.0,10251,-18460,-5971.0,-770,294.0,,-23216,0.0,8845,10470,-394,-18925,88418,-439,8824,-16.0,4795,,2014年度,815507,928486,6354,112979,37151,130685,156304,-19396.0,0.0,-9032.0,37151,3270.0,11196,-7237,3959,417,-322,119153,-2557,928486,-25619,,,5874.0,
2015-05-04,1,2015,1732.0,,,-40633,-2995,-970,-4117,-138,,,1328,-1187,0.0,-2867,-6523,,-1263,,376.0,-39591,,-15941,2226,3084,-4867,21291,2345,1634,0.0,1187,36502.0,2015年01月01日至2015年03月31日,928486,817025,8493,-111461,-37956,-103727,-99072,,,0.0,-37956,,-58570,-39048,-97618,93,10,-61116,-888,817025,-4655,-3649.0,,8113.0,
2015-08-04,2,2015,3462.0,,,-44642,-3644,187,-4493,-256,,,3716,-2573,0.0,-5614,-13589,,-1293,-325.0,0.0,-27851,-60906.0,-27933,3654,1680,-10595,42970,56710,3138,0.0,2498,56768.0,2015年01月01日至2015年06月30日,928486,809858,4398,-118628,-38100,-41513,-30116,,,-60906.0,-38100,,-74840,26056,-48784,821,1,7984,-2196,809858,-11397,-5734.0,,8683.0,
