date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他非流動資產減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款減少,預收款項增加（減少）
2013-05-09,1,2013,-155661.0,-1365,-425,-56,-12715,,0.0,,-449,260,-2586,,-1923.0,-108947.0,,-90.0,505.0,0.0,,0.0,-27943,,2652,-404,-5828,-57,114960,1216,0,10,-292,132,,,2013年01月01日至2013年03月31日,42650,84698,42048,151781,-60421,-60261,,,-12991,-12491,151781,,-9413,-46968,-56381,0,0.0,,0.0,,228416.0,-153981.0,0,,,-212042,84698,,-2627,,-5.0,,,,,-10240
2013-08-09,2,2013,-156461.0,-2271,-313,-117,22103,,,,-1051,304,-9556,,-3007.0,-84137.0,,-180.0,,-1628.0,-4004.0,,0,8396.0,3361,54,-11584,-71,128937,2613,-1109,20,-354,543,,,2013年01月01日至2013年06月30日,42650,130828,88178,155152,-1294,-1483,-3475.0,,-42753,-39465,155152,,-9200,9026,-174,191,0.0,1034.0,-191.0,,228416.0,-153981.0,-113,,,-156635,130828,,-3882,0.0,-5.0,,,,,-10227
2013-11-07,3,2013,-165663.0,-2254,5,-113,-8992,,,,-1332,309,-14197,,-3007.0,-79001.0,,-270.0,,-39804.0,-4254.0,,0,8396.0,175,-367,-95,91,145509,4293,-6631,30,-359,859,,,2013年01月01日至2013年09月30日,42650,80797,38147,163261,-29721,-30221,-3475.0,,-42753,-77641,163261,,-12197,-15622,-27819,0,0.0,17552.0,0.0,,228416.0,-153981.0,-7562,,,-193482,80797,,-7150,0.0,-5.0,,,,,-9638
2014-03-19,4,2013,-164529.0,256,-3316,-1926,24118,,,,-1782,310,-15267,-2500.0,-3007.0,-96073.0,,0.0,,-39244.0,-2672.0,,0,8396.0,9401,630,-39930,-2257,133040,6020,-2698,40,-359,1168,4397.0,,2013年01月01日至2013年12月31日,42650,61387,18737,153760,-37222,-36432,-3475.0,,-42753,-77081,153760,-4397.0,-1580,-24083,-25663,556,0.0,17591.0,274.0,,234412.0,-152902.0,-8145,,,-190192,61387,-5996.0,-8317,4370.0,-5.0,,0.0,,,-9941
2014-05-07,1,2014,4202.0,130,35,-111,-129,,789.0,,-613,141,-7478,,-2010.0,18773.0,,0.0,2090.0,,,-8.0,-3552,,-5679,-1071,36258,-137,-2784,1964,-16861,10,-141,678,,,2014年01月01日至2014年03月31日,61387,66226,4839,-8241,5533,4996,,,0,2090,-8241,,-6579,15614,9035,0,,2150.0,,,0.0,0.0,59,,,13237,66226,0.0,2641,,0.0,,,-15000.0,,152
2014-08-06,2,2014,-610.0,-2265,2571,-46,-16429,-1763.0,789.0,,-2328,172,-17248,-15000.0,-2010.0,0.0,,0.0,5550.0,0.0,-5885.0,,-4600,0.0,426,-1071,30472,-364,15085,4247,-18381,21,-172,2567,1872.0,,2014年01月01日至2014年06月30日,61387,69038,7651,-5377,-11221,-15488,0.0,,0,3787,-5377,-2202.0,-2770,-6731,-9501,0,,2150.0,0.0,230.0,0.0,0.0,-536,52059.0,,-10111,69038,0.0,-1534,,0.0,1550.0,,,,186
2014-11-05,3,2014,-3023.0,-1368,986,-122,-9800,-1763.0,789.0,214.0,-2800,232,-22745,-15000.0,-2010.0,0.0,,0.0,4200.0,0.0,-8271.0,,-28926,0.0,774,-1071,35725,637,346,6731,-7875,30,-176,3206,3999.0,,2014年01月01日至2014年09月30日,61387,80105,18718,-1004,-7878,-14907,0.0,23813.0,0,26250,-1004,-3999.0,-1627,-9253,-10880,4390,272.0,2150.0,956.0,230.0,0.0,0.0,-2402,40541.0,,-13903,80105,0.0,-3535,,0.0,1550.0,,,,160
2015-03-18,4,2014,-16063.0,596,1251,-75,-527,-1763.0,,,-3409,328,-26110,-15330.0,-2010.0,45391.0,,,5108.0,0.0,-4591.0,,-32283,0.0,353,-612,5207,-1422,18872,9043,-6502,40,-283,3603,4026.0,,2014年度,61387,80555,19168,12592,-30086,-37432,0.0,27037.0,0,30382,12592,-4026.0,315,-34276,-33961,4885,11550.0,4297.0,987.0,,0.0,0.0,-15096,,,-50024,80555,0.0,-5630,0.0,0.0,1700.0,,,790.0,53
2015-05-13,1,2015,,-1946,2070,5,-92,,0.0,715.0,-630,239,-4519,,0.0,,,,393.0,,0.0,4443.0,21453,,-9026,-459,34537,3467,52854,2272,-3639,10,-279,852,,4882.0,2015年01月01日至2015年03月31日,80555,152992,72437,-7937,44027,43454,,,-24837,-24444,-7937,,-11287,57796,46509,871,330.0,1047.0,439.0,,,,13,,50682.0,51391,152992,0.0,1074,,,750.0,,0.0,,139
2015-08-12,2,2015,,-1746,2070,19,-2430,0.0,0.0,,-1270,361,-17174,0.0,-3029.0,,,,1953.0,,0.0,1389.0,6873,,-9211,389,32613,1269,34460,4987,19630,20,-396,1487,1968.0,952.0,2015年01月01日至2015年06月30日,80555,151273,70718,-6196,47423,44364,,,-13118,-11165,-6196,-2314.0,-10417,60025,49608,1214,330.0,1048.0,620.0,0.0,,,-1512,,50682.0,50560,151273,0.0,-1195,,,1255.0,,,,132
