date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他非流動資產增加,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-04,1,2013,,17816.0,-100000,-15525,-69139,-10,1322,-12025,,,,,,-2140,657,6398,-65312,0.0,,,,,-651.0,22911,-12875,,-8137,-6848,-920,3.0,7354,27518,2573,-451,2140,,,2013年01月01日至2013年03月31日,323051,502866,,179815,69395,,-33937,-33035,,0.0,,200000,69395,,-44433,-75813,-120246,300000,,,45,,71177.0,-10837.0,,,-102430,502866,-451.0,0.0,-11114,,-7889
2013-08-11,2,2013,,47305.0,-130000,-18340,-56571,-248,1820,-31487,,,,,,-4247,1787,8782,-285164,-19786.0,,,,,-866.0,25446,-13089,,-10503,22954,2540,46.0,-205582,54728,5827,-1665,4247,,,2013年01月01日至2013年06月30日,323051,282963,,-40088,21716,,6712,11760,,,,150000,21716,,-33465,-23796,-57261,280000,0.0,24813.0,70,,71174.0,-10834.0,-26.0,,-9956,282963,-3383.0,0.0,11502,,8669
2013-11-06,3,2013,,76189.0,-130000,-11881,-58850,-583,981,-41201,-7985.0,,,,,-5262,2968,9905,-379926,-19786.0,,,,,-988.0,2419,-1737,,-18179,18359,1195,39.0,-298503,80700,9479,-2822,5262,948.0,,2013年01月01日至2013年09月30日,323051,290831,,-32220,-30482,,-53753,-35848,-67491.0,205607.0,,310131,-30482,-948.0,-18940,-62615,-81555,310000,0.0,24813.0,112,,71174.0,-10834.0,-26.0,,-5366,290831,-15083.0,0.0,14482,,13401
2014-02-22,4,2013,,111327.0,-340000,8429,-50187,-2728,1413,-31038,-7985.0,,,,,-6123,5382,13977,-470581,-19786.0,,4.0,,,-2414.0,-3599,21287,,-1109,3591,2,-2970.0,-389723,114174,9582,-4056,6123,948.0,,2013年01月01日至2013年12月31日,323051,253644,,-69407,-29149,,56041,75198,-67491.0,145770.0,,250298,-29149,-948.0,65680,-72660,-6980,520000,0.0,24813.0,120,0.0,71174.0,-10834.0,-26.0,,104347,253644,-15101.0,0.0,7158,,42771
2014-05-03,1,2014,,39247.0,-60000,-2282,-66618,-1154,132,7784,,,,,,-1906,1948,-508,-59159,,,,-4.0,,580.0,19369,-18762,,-6878,10732,892,-1025.0,-56673,34912,4257,-1045,1906,,,2014年01月01日至2014年03月31日,253644,162276,,-91368,21675,,-4183,-3138,,,,-30004,21675,,-40747,-23313,-64060,30000,,,36,,0.0,0.0,,,-24813,162276,0.0,,4396,,-10646
2014-08-01,2,2014,,103678.0,-360000,-147,-37621,464,321,7441,,,,,,-2649,3688,-1704,-73463,0.0,,,-4.0,-836.0,,21165,-13918,,-6156,17110,2271,-2033.0,-71650,78019,8567,-1980,2649,,,2014年01月01日至2014年06月30日,253644,148151,,-105493,-24372,,47865,49845,,,,-80004,-24372,,-47119,17658,-29461,280000,,0.0,16053,,0.0,0.0,0.0,,74217,148151,0.0,,6971,,-25329
2014-11-10,3,2014,,152921.0,-360000,-6332,-19306,-2402,-3975,1117,0.0,-5547.0,,,,-6931,8766,-116,-140818,0.0,,,-4.0,,-8138.0,-10844,-10680,50000.0,-11717,13686,572,-3056.0,-134475,119727,12768,-9515,6931,824.0,,2014年01月01日至2014年09月30日,253644,200020,,-53624,-116906,,-32688,-21250,0.0,143659.0,,113655,-116906,-824.0,-36476,-20789,-57265,280000,,12273.0,20259,,0.0,0.0,-844.0,,95656,200020,-1923.0,0.0,-2039,,-2289
2015-02-09,4,2014,,207145.0,-460000,12782,-13821,-3437,877,5978,0.0,-15180.0,,,,-4951,8296,4499,-218398,0.0,,-4.0,,-11036.0,,-10711,-9815,,-3289,5511,1968,-3287.0,-229503,161865,17302,-9014,4951,824.0,,2014年度,253644,205196,5565.0,-48448,-92741,,66363,77327,0.0,140197.0,,110193,-92741,-824.0,-22660,-14417,-37077,430000,,12273.0,20736,0.0,0.0,0.0,-844.0,,170068,205196,-1950.0,0.0,-4219,-2937.0,-15614
2015-05-01,1,2015,,,-100000,-17029,4796,-938,-1528,1680,,-8279.0,,,,-1808,2476,-1513,-52175,,,,0.0,,4795.0,27649,-24555,,10236,-27644,-449,,-53851,46223,4993,-2266,1808,,51967.0,2015年01月01日至2015年03月31日,205196,190768,,-14428,51447,-203.0,60936,63202,,50000.0,-100000.0,-20000,51447,,-44756,4544,-40212,130000,,,83,,,,,,11755,190768,,,40,,-12267
2015-08-10,2,2015,,,-310000,-8138,3989,-992,-1160,1675,,-8497.0,91.0,-24000.0,,-3982,6327,-3020,-84998,,,,0.0,4727.0,,26012,-9621,,-1411,-2454,190,,-108762,94162,10299,-6490,3982,,107468.0,2015年01月01日至2015年06月30日,205196,136690,439.0,-68506,37851,-352.0,123276,134644,,10000.0,,-80000,37851,,-36015,25340,-10675,220000,24.0,,132,,,,,,96793,136690,-4878.0,,-2912,,-15501
