date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-13,1,2013,67968.0,,,,-16841.0,16199,,8400.0,,-686,,,332,,-221.0,8451.0,,268.0,4780.0,,0.0,,,-17,8574,-78.0,-337,,,-2107.0,,20599,-7863.0,,,1152.0,,,26447,-4028.0,,,,0.0,-1746,58944,,658,-8556,,17,,,2013年01月01日至2013年03月31日,81128,55783,-25345,-124607,-7111,1427,,,,-16410,-124607,,10333,47733,58066,,430,,-191,,126034,,55783,1.0,,,,,431,,,-7830,,-7666
2013-08-13,2,2013,231712.0,,,,-31043.0,-809,,-1613.0,,-1962,-3380.0,,3258,15741.0,2210.0,-204.0,,64.0,3077.0,,0.0,,,-123,18650,32.0,-2157,559.0,0.0,-6752.0,,11692,,,,658.0,22640.0,8404.0,-9695,5954.0,,,,0.0,-6530,115266,,1246,-19409,,176,,,2013年01月01日至2013年06月30日,81128,57123,-24005,-331737,-73792,-54557,,,,56285,-331737,,27287,18181,45468,,460,,-208,,277180,0.0,57123,-2.0,1855.0,,,-2443.0,87328,98765.0,,-3042,,-7461
2013-11-12,3,2013,271085.0,2460.0,0.0,,-25777.0,-78047,5182.0,,,-2317,-738.0,-8781.0,-70189,-18118.0,-39239.0,,,274.0,33685.0,,0.0,,,-130,26589,,-2697,1319.0,24824.0,190.0,,-18691,33784.0,71317.0,,-825.0,,,-70612,-19251.0,-1155.0,,,-54.0,-7994,145349,-11092.0,1752,-26830,,178,,,2013年01月01日至2013年09月30日,81128,32456,-48672,-341494,-306733,-280084,,149825.0,,266055,-341494,,-92076,-117599,-209675,24674.0,560,,-116,0.0,61410,0.0,32456,3.0,,,,-2443.0,87327,98765.0,,-9310,,-8823
2014-03-25,4,2013,245064.0,2460.0,,-7290.0,,-91126,0.0,14182.0,-9000.0,-1962,-738.0,-8781.0,-70105,-15738.0,-42963.0,,,,,,0.0,33823.0,-59425.0,-174,33972,0.0,-2765,2062.0,25126.0,,640.0,-25118,52770.0,0.0,,-825.0,20128.0,71317.0,-106426,-40800.0,-1155.0,9563.0,21549.0,-56.0,25937,165842,-7860.0,1846,-34138,,222,,,2013年01月01日至2013年12月31日,81128,29298,-51830,-312993,-322680,-288766,0.0,148750.0,0.0,244913,-312993,,-52050,-168787,-220837,,560,0.0,-114,-557.0,24227,,29298,2.0,,,,,87327,101612.0,,-102,,-5372
2014-05-12,1,2014,29454.0,,,,-6640.0,1622,0.0,,-99108.0,-280,1063.0,,-123,1370.0,0.0,,,-261.0,-29785.0,-32197.0,0.0,,,-1,7046,0.0,-162,3336.0,,170.0,,15927,-11341.0,,0.0,,3820.0,,22832,0.0,,-20942.0,0.0,0.0,-253,18782,151994.0,291,-7192,,1,,,2014年01月01日至2014年03月31日,29298,44901,15603,109757,274458,281649,,-120645.0,,-258602,109757,,3840,138598,142438,,0,,0,,171892,,44901,0.0,,,,,-12,,,-3581,,9862
2014-08-08,2,2014,-63073.0,,,,,-13267,,0.0,-95114.0,-1801,1075.0,,-305,2305.0,0.0,0.0,140.0,,0.0,-52171.0,,,,-53,13368,0.0,-831,4166.0,,1540.0,0.0,15560,-28458.0,0.0,0.0,,492.0,,17788,0.0,,3098.0,0.0,,2533,37104,170765.0,578,-13755,,53,,,2014年01月01日至2014年06月30日,29298,26828,-2470,254099,344435,358241,,,-188840.0,-349438,254099,,-37147,204362,167215,-13301.0,200,,1195,,104142,,26828,-104.0,1484.0,,,0.0,-12,0.0,-119431.0,-4428,,4391
2014-11-12,3,2014,-42540.0,5191.0,,,-19984.0,-15070,,,-94454.0,-66,0.0,0.0,-199,2713.0,0.0,,-125.0,,0.0,-69142.0,,,995.0,-55,19689,,-2493,5076.0,755.0,,1710.0,14236,-33228.0,,0.0,,522.0,0.0,37286,0.0,0.0,-1902.0,0.0,0.0,4683,50123,185190.0,853,-20076,-104.0,55,1525.0,,2014年01月01日至2014年09月30日,29298,26910,-2388,235374,365251,383851,,,-189485.0,-372322,235374,-1525.0,-40603,231620,191017,,400,,1735,,148477,,26910,,,,,0.0,-12,-119431.0,,-5837,,7372
2015-03-30,4,2014,5214.0,4116.0,,-26689.0,,-20295,,0.0,-87154.0,-21933,1075.0,0.0,5886,-1429.0,-77643.0,,,,,,,210.0,0.0,-71,25971,,-2796,4774.0,754.0,,1900.0,38871,-30706.0,,0.0,,4223.0,0.0,36150,0.0,0.0,-2553.0,0.0,0.0,25187,64582,189171.0,1086,-26294,,71,1525.0,,2014年度,29298,22842,-6456,151051,271588,296389,,-190130.0,,-303231,151051,-1525.0,-118014,258138,140124,,21757,,25874,-317.0,145338,,22842,-103.0,,,,,-12,-115160.0,,18786,,521
2015-05-13,1,2015,,,,,-6016.0,-12164,,,-500.0,21932,0.0,,-6204,293.0,,,,166.0,0.0,-15480.0,0.0,,,-1,6109,0.0,-227,460.0,,3510.0,,10169,-18294.0,,,,-7821.0,,32546,,,11195.0,,,3521,7835,4320.0,222,-6110,,1,,14553.0,2015年01月01日至2015年03月31日,22842,44835,21993,-21342,20318,26427,20150.0,0.0,,-1846,-21342,,-42158,75374,33216,,72,,-72,,47769,,44835,0.0,,,,,0,,,-5081,,2325
2015-08-12,2,2015,,,,,,-13450,,0.0,-500.0,16111,0.0,,-6313,-283.0,,,-477.0,,,-30960.0,,,,-14,12235,0.0,-704,388.0,1514.0,3510.0,0.0,-3759,7458.0,,,,-3656.0,,26577,-5.0,,11063.0,0.0,,10418,15610,12724.0,438,-12315,,14,-490.0,25964.0,2015年01月01日至2015年06月30日,22842,12662,-10180,-45693,4316,17857,20150.0,,-8547.0,-24914,-45693,490.0,-15935,53521,37586,-6571.0,206,,-206,-2977.0,63550,,12662,-750.0,8930.0,,,,0,,0.0,-8907,-1047.0,26
2015-11-12,3,2015,,8930.0,,,-7771.0,-12232,,,2000.0,20263,,0.0,23,-1044.0,,,-998.0,,,-43518.0,,,0.0,-15,18461,,-3105,708.0,3714.0,,3510.0,-5338,18184.0,,,,-12322.0,,30391,,,14127.0,,,8495,23454,15031.0,636,-18544,-751.0,15,490.0,38570.0,2015年01月01日至2015年09月30日,22842,6174,-16668,-67133,10309,29099,20150.0,,-10047.0,-35472,-67133,-490.0,-12922,70584,57662,,1205,,-1207,-2977.0,96232,,6174,,,,,,0,0.0,,-2846,-1047.0,-6575
2016-03-25,4,2015,,8930.0,,-8971.0,,-65163,,,-5400.0,19480,0.0,0.0,-61,-1092.0,-2126.0,-2165.0,,,,,,176.0,-82078.0,-25,24618,,-5672,2767.0,3668.0,,3510.0,5053,-4449.0,,,,-16457.0,,49062,,,10508.0,,,9387,31353,10165.0,779,-24701,,25,490.0,-21982.0,2015年度,22842,21719,-1123,-4637,-49416,-24479,61156.0,-11547.0,,38906,-4637,-490.0,-88235,90375,2140,,2443,,-1961,-1850.0,-19842,,21719,-751.0,,1899.0,4984.0,-3146.0,0,1168.0,,-636,,21
2016-05-11,1,2016,,,,,-2700.0,-3897,,,1900.0,1730,0.0,,-125,417.0,-12227.0,,,65.0,-150.0,,0.0,,746.0,-1,6079,0.0,-700,1301.0,1735.0,-69.0,,-1425,-11573.0,,,,2275.0,,7480,,,13378.0,,,-704,7911,0.0,122,-6081,,1,,16157.0,2016年01月01日至2016年03月31日,21719,10496,-11223,-16324,-11454,-5374,0.0,0.0,,935,-16324,,-28948,23741,-5207,,0,,-1,,10950,,10496,0.0,,,,,0,,,2311,,-3401
2016-08-10,2,2016,,,,,,-2009,,0.0,15900.0,1936,0.0,,-227,713.0,-18845.0,305.0,-366.0,,,0.0,,,746.0,-7,12137,0.0,-2731,1518.0,6258.0,101.0,0.0,-1815,-3877.0,,,,843.0,,6412,0.0,,7227.0,0.0,,-2996,15848,0.0,225,-12210,,7,82.0,30384.0,2016年01月01日至2016年06月30日,21719,9113,-12606,-34639,-25032,-12915,0.0,,0.0,15422,-34639,-82.0,-27368,18708,-8660,-6736.0,0,,-1,0.0,21724,,9113,4.0,0.0,,,,0,,0.0,3930,0.0,-3253
2016-11-09,3,2016,,0.0,,,-10428.0,-3450,0.0,,-3100.0,2195,,0.0,-391,938.0,-18211.0,410.0,-1064.0,,,0.0,,,746.0,-7,18246,,-3098,2774.0,6258.0,,101.0,1711,-10923.0,,,,-756.0,,9998,,,14121.0,,,-4061,23830,0.0,326,-18322,,7,82.0,45832.0,2016年01月01日至2016年09月30日,21719,8329,-13390,-51082,-32059,-13830,30000.0,,0.0,22730,-51082,-82.0,-38633,30053,-8580,,0,,-1,0.0,37252,,8329,4.0,,,,,0,0.0,,680,0.0,-4902
