date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他籌資活動,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存入保證金增加,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損迴轉利益,預付款項（增加）減少,預付費用（增加）減少
2013-05-09,1,2013,134483.0,6084.0,,-149971,-26399,1823,-39,,3656.0,-12,13138,-61530,-38280.0,,782,,,,10461,-83037,,24983.0,-1742,67745,13286,-130.0,-93719,125207,,,-14746,12,,,2013年01月01日至2013年03月31日,219426,304774,,85348,3769,,110780,125514,193275,,68287,3769,,-110966,98228,-12738,,7,,-1.0,,,121745,381.0,304774,,-2203,-6084.0,,4913.0
2013-08-05,2,2013,259088.0,6432.0,,-98220,-23141,6774,-3391,,7211.0,-185,25931,-128545,-40713.0,,807,,,-2.0,23230,-64499,,-29968.0,-30305,23811,15950,-262.0,-141574,246649,,,-26096,185,,,2013年01月01日至2013年06月30日,219426,352497,,133071,13411,,202324,228235,200509,,72321,13411,0.0,-122286,78022,-44264,,21254,-12866.0,,,,214824,-688.0,352497,,-2027,-6432.0,,8257.0
2013-11-05,3,2013,387394.0,6432.0,,-146520,-21318,3304,-531,,4050.0,-211,44059,-183181,-133153.0,,753,,,-2.0,-24172,-101186,,-10006.0,-2021,103887,25621,-415.0,-285096,363925,,,-39732,211,,,2013年01月01日至2013年09月30日,219426,292263,,72837,-4743,,337965,377486,176494,,19968,-4743,0.0,-126428,121263,-5165,,24808,-16248.0,,,,382229,-957.0,292263,,-2502,-6432.0,,12623.0
2014-11-04,3,2014,375295.0,0.0,,-232863,-26224,-1319,608,,,-306,35563,-184602,-18980.0,,1484,,0.0,,-11193,-67014,9.0,0.0,12263,54153,7130,-435.0,-198982,343554,390.0,0.0,-34156,306,,,2014年01月01日至2014年09月30日,328169,152180,,-175989,2558,,303954,337804,0,-48107.0,-280961,2558,0.0,-81801,41752,-40049,,4600,-3734.0,,-89.0,,335246,-999.0,152180,,-1177,0.0,,-7409.0
2015-03-19,4,2014,494116.0,0.0,,-267422,-9712,830,-1204,,0.0,-481,47261,-260400,-18980.0,,2186,0.0,,0.0,8410,-26954,14.0,0.0,27926,-9885,561,-584.0,-271987,453254,4998.0,0.0,-44999,481,2793.0,,2014年度,328169,185005,,-143164,8660,,440889,485405,0,-44658.0,-312066,8660,-2793.0,-10528,-6843,-17371,0.0,4600,-3731.0,,-101.0,,476745,,185005,2.0,-1479,0.0,-11757.0,
2015-05-06,1,2015,,,-131100.0,-6496,-10415,-2280,1170,,267864.0,-43,11066,-76482,,,1084,,,,-20039,-27402,1.0,,961,51203,2600,,28401,106707,1162.0,,-11051,43,,386236.0,2015年01月01日至2015年03月31日,185005,208403,,23398,-257778,-176.0,116423,127431,16169,,-121426,-257778,,-35862,34835,-1027,,3,22.0,,-128.0,104880.0,385209,,208403,,-336,,2189.0,
2015-05-06,1,2016,,,0.0,-28167,-10387,-1446,1930,,0.0,-17,12429,-66801,,,-921,,,,-29865,-4279,0.0,,9070,49931,4634,,-66801,103226,-5103.0,,-11328,17,,109087.0,2016年01月01日至2016年03月31日,301369,353636,-5461.0,52267,59894,-215.0,171582,182893,0,-24347.0,-52514,59894,,-3881,17793,13912,,0,0.0,,-15.0,0.0,122999,,353636,,-154,,-358.0,
2015-08-11,2,2015,,,-131100.0,0,-12006,1419,6025,-55496.0,345101.0,-211,27291,-142385,,0.0,1919,,,,18586,-14557,3.0,0.0,-21216,78025,3113,,-37502,214276,-3270.0,,-26638,211,,587735.0,2015年01月01日至2015年06月30日,185005,349729,,164724,-349633,-355.0,273244,299686,64383,0.0,-71018,-349633,,-42109,103693,61584,51192.0,3,24.0,,-351.0,104880.0,649319,,349729,-15.0,-314,,5820.0,
2015-11-10,3,2015,,,-131100.0,-14791,-13267,100,358,-99529.0,345101.0,-233,41076,-212214,,0.0,13316,,,,47396,-25244,6.0,,-39486,64878,-15024,,-107295,321013,-8803.0,,-38439,233,,739100.0,2015年01月01日至2015年09月30日,185005,254517,18382.0,69512,-306323,-540.0,413124,451353,9097,0.0,-236317,-306323,0.0,-78179,96755,18576,,39,-2.0,,-459.0,104880.0,757676,,254517,-23.0,906,,,8208.0
2016-03-24,4,2015,,0.0,-131100.0,-59356,-10183,-320,2598,-163674.0,345101.0,-332,54318,-239925,,0.0,14152,,,0.0,76768,-34065,94.0,0.0,-34824,47930,2366,,-132141,426928,-11497.0,0.0,-49645,332,2793.0,851350.0,2015年度,185005,301369,13401.0,116364,-229008,-750.0,601535,650863,1006,0.0,-353030,-229008,-2793.0,-77224,105745,28521,0.0,111,309.0,,-469.0,104880.0,879871,,301369,-15.0,735,0.0,-9502.0,
