date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款增加,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,避險之衍生金融資產（增加）減少,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加－處分資產
2013-05-09,1,2013,33958.0,-53305.0,-41177,-212598.0,63307,-12085,,-44471,10556,,,,1838.0,,-6310.0,,,-29642,2323,156217,-50038,,,,-11000.0,,7023,,,,,159815,-5132.0,,-823969,-16757,-124656,442318,179218,-4077,-275513,78435,2374.0,-6584,-1987,2468,-1308,26340,,2013年01月01日至2013年03月31日,5840546,6101884,261338,51748,-129155,-124896,261300.0,,,,278623.0,,509789,51748,,-1048656,838054,-210602,,9565,-5324,,0.0,,,,,-176644,6101884,-29291.0,-19338,,,,21333.0,,,5586,,
2013-08-06,2,2013,49245.0,-53305.0,38881,-557529.0,150442,-4151,,159479,11486,,0.0,17470.0,,,,5660.0,1355.0,-60379,9384,191898,-102948,,,,-15400.0,-600.0,6840,359.0,0.0,-595.0,0.0,243955,-5132.0,,-1085936,-9993,-104622,298087,112174,-11706,-635548,163437,6486.0,-326273,2893,4622,-4417,65680,,2013年01月01日至2013年06月30日,5840546,6115455,274909,-12220,-507778,-520155,261300.0,,,,1038483.0,,1226337,-12220,,-995705,438525,-557180,,23526,-9317,,0.0,,,,,-507935,6115455,-48886.0,-69590,,,,-20500.0,0.0,,-35489,,
2013-11-11,3,2013,39027.0,-53305.0,5772,,252269,-3056,0.0,-33139,13043,,41290.0,,,,,7413.0,1644.0,-94752,21014,188814,-151288,,-546072.0,,-146280.0,-1640.0,6200,-3420.0,,-2644.0,,315462,-5132.0,,-623352,4635,-31887,-166081,175094,7712,-554773,227270,1682.0,-787109,13667,6672,-18097,99748,,2013年01月01日至2013年09月30日,5840546,6067361,226815,124261,-686072,-710923,261300.0,,,0.0,1100937.0,,1278846,124261,,-676289,-197922,-874211,,45195,-16176,0.0,0.0,,,-13015.0,204385.0,-835184,6067361,-56800.0,-127775,,,,-26666.0,14278.0,0.0,-5256,,0.0
2014-03-26,4,2013,184842.0,-53305.0,5753,,124139,-3419,-480799.0,35476,15663,,,44800.0,,,-35078.0,0.0,2368.0,-123366,30854,196843,-242314,,,,-146280.0,-31852.0,1597,,-3458.0,-615.0,0.0,328304,0.0,,-163995,-10781,-144970,273657,165306,4573,-579934,348968,,77982,18587,23092,-30440,153454,,2013年01月01日至2013年12月31日,5840546,6781843,941297,75465,977058,923485,261300.0,,-28198.0,0.0,172160.0,,347330,75465,0.0,-278517,941695,663178,,107819,-23573,0.0,0.0,,,-13015.0,204385.0,848020,6781843,-69441.0,-194091,,,,-29367.0,113421.0,,-16312,,0.0
2014-05-07,1,2014,127471.0,0.0,-43296,,104290,-1405,-277700.0,-22002,-455,,270.0,,,-8146.0,,-10776.0,1513.0,-57266,12144,72359,-36365,,,,-17600.0,,-7216,,,-2815.0,,108589,0.0,,-581941,-15896,-213764,266083,18461,-1193,-333525,79397,14064.0,-368232,2694,10958,-6929,38154,,2014年01月01日至2014年03月31日,6781843,7636170,854327,11819,-573589,-589945,0.0,,,,1699268.0,,1689082,11819,,-862835,133600,-729235,,11461,-2771,,,,,,,-601764,7636170,-14869.0,88018,,,,-2040.0,,,7462,,
2014-08-13,2,2014,162340.0,0.0,-142511,,119176,-3108,-240923.0,156268,2878,,-197570.0,,,,,451.0,1560.0,-118481,33566,-58527,-70916,,,,-17600.0,-800.0,-8543,0.0,,-2387.0,,-7254,0.0,,-689539,2139,-217836,297187,-14672,-6705,-509772,154571,27455.0,-347640,6934,7790,-16620,72260,,2014年01月01日至2014年06月30日,6781843,7946935,1165092,74733,-611259,-645075,0.0,,,,2415963.0,,2344650,74733,,-864024,-18124,-882148,,19973,-4372,,,,,,,-719808,7946935,-21824.0,74939,,,,-71313.0,14376.0,,-57986,,
2014-11-05,3,2014,203436.0,0.0,10983,,116752,-1249,-347351.0,-26523,0,,-234184.0,0.0,,,,8274.0,2319.0,-181544,55958,48804,-113878,,,,-27500.0,-1450.0,-3619,2822.0,0.0,-3248.0,,36521,0.0,,-583133,3352,-194257,-245781,-5789,-4366,-692215,222534,2424.0,-364737,13899,11077,-39054,117749,,2014年01月01日至2014年09月30日,6781843,6792821,10978,241715,-743249,-798266,0.0,,,,1499470.0,,1397638,241715,,-787154,-456263,-1243417,,27122,-7542,,,,,0.0,0.0,-1039981,6792821,-23678.0,75978,,,,-104654.0,14376.0,,12386,,
2015-03-13,4,2014,-549338.0,0.0,16762,,127114,-1597,626409.0,60468,-1019,,-32060.0,,,,,1162.0,3065.0,-251476,69054,253821,-207990,,,-1074064.0,-27500.0,-7207.0,-2130,-1580.0,,-3433.0,,102417,,,-605579,8055,-54220,41582,-8740,-698,729996,303749,20736.0,18461,24679,28603,-69253,184626,,2014年度,6781843,6994867,213024,1095345,263718,191696,0.0,-1343000.0,0.0,,-319908.0,,-1034511,1095345,,-553778,199467,-354311,733101.0,106739,-6146,,,1347940.0,-813363.0,0.0,0.0,-903649,6994867,-43351.0,79572,,-2690.0,,-103124.0,15055.0,,-75363,,
2015-05-11,1,2015,,,-61904,,-25541,-2323,,-37252,509,-10676.0,0.0,,,,,-13285.0,800.0,-23526,7661,-21502,-70876,,-125568.0,,0.0,,-5542,168.0,,-382.0,,170049,,,-331341,-14040,-79927,14140,20532,-13292,-199591,66181,-16815.0,-392551,7064,4396,-6200,26955,26428.0,2015年01月01日至2015年03月31日,6994867,7189733,194866,28766,-670149,-670232,,,,,1085940.0,,1086108,28766,,-551955,-173471,-725426,,10520,-3488,,,,,,,-698998,7189733,-20672.0,-27118,,,,0.0,,,55006,,
2015-08-10,2,2015,,,29476,,-9652,-1057,,42466,-285,,-4990.0,,,,,-36794.0,1587.0,-56697,17162,-103639,-144161,,-279974.0,,0.0,-6777.0,3120,,1418.0,-5578.0,,-49296,,,-430689,-9389,-73653,95230,-4198,357,-369878,161338,-20445.0,-383666,22494,8217,-12104,51054,107920.0,2015年01月01日至2015年06月30日,6994867,6460616,-534251,36558,-644140,-649659,,,,-537200.0,1196095.0,,583406,36558,,-462234,-331903,-794137,,28535,-3962,79861.0,,,,,,-686217,6460616,-33431.0,-45339,,14485.0,,-76907.0,0.0,,6179,,
