date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-09,1,2013,111.0,44550.0,-35732,3322,,-12888,8171,41.0,13049,,-6704,1137,38242,-21840,,,-433.0,475,18298.0,,-2.0,,,11965,-70948,-27903,-4184,194287,-62061,1280,-1824.0,-22273,47016,4755,198,2310,-1125,5174,,,2013年01月01日至2013年03月31日,3939026,4138962,,199936,130741,,161384,175333,,,4287,,22583,130741,0.0,,-153438,153480,42,,,7,,44592,4138962,-17998,,-21288,,
2013-08-08,2,2013,111.0,81162.0,28497,8734,,-23817,23985,,3574,,-16643,2110,75777,-45929,,,-599.0,423,22004.0,2.0,,,,-65371,16207,-33381,-2730,-144118,-96156,-17581,-3696.0,-46528,93596,-101570,353,1205,-2122,14852,,,2013年01月01日至2013年06月30日,3939026,3993219,,54193,384799,,-14009,30648,,,4446,,38953,384799,0.0,,-18920,-416393,-435313,0.0,,7,,-354151,3993219,-57387,12501.0,-27890,,
2013-11-07,3,2013,111.0,88739.0,81841,1842,,8778,27301,,19016,,-23690,3217,56926,-89671,,,-740.0,-782,37038.0,0.0,-2.0,,,-70942,8680,-18833,-3933,80622,-163112,-62710,-5768.0,-48350,149760,-51881,117,1807,-3171,21301,42061.0,,2013年01月01日至2013年09月30日,3939026,3895006,,-44020,542409,,363335,473010,,-459754.0,1628,,-415931,542409,0.0,-42061.0,70765,-228903,-158138,0.0,,260,,-69399,3895006,-127805,5159.0,-9039,,
2014-03-17,4,2013,,135572.0,118644,4579,,5515,-12912,,22638,-13371.0,-34366,4240,78510,-173852,,,-2895.0,1564,89703.0,,3.0,,,-354393,162796,-12176,-1006,193906,-87277,-29514,-7718.0,-137338,203706,-52852,-369,2409,-4077,31719,42061.0,,2013年01月01日至2013年12月31日,3939026,4114055,-772.0,175029,652717,,611478,737463,,-459754.0,-11371,,-377621,652717,0.0,-42061.0,266055,-316881,-50826,2.0,,1221,,84746,4114055,-153627,17169.0,-1056,,-2654.0
2014-04-28,1,2014,0.0,13804.0,-63272,-44334,,4138,-4056,0.0,11125,,-9983,1031,-4668,-28271,,,0.0,286,0.0,146.0,,,,112322,-332116,4105,-2616,192949,-94994,5746,-1880.0,-1864,49775,-30218,-422,402,-1012,13023,,,2014年01月01日至2014年03月31日,4114055,4027922,224.0,-86133,130776,,-95171,-94764,,,15424,,15570,130776,,,-391641,152297,-239344,,28821.0,119,-27628.0,-225540,4027922,-12418,,3757,,-2414.0
2014-08-07,2,2014,0.0,53263.0,31570,-8445,,18107,4629,,7245,-2014.0,-23276,2133,-29370,-84244,,,0.0,1450,0.0,139.0,,,,-26891,-124144,-6813,-1073,-77534,-131214,-29015,-3621.0,-62285,100192,-31109,-762,402,-2203,25658,,,2014年01月01日至2014年06月30日,4114055,3918928,197.0,-195127,217404,,-129149,-99869,,,27552,,25677,217404,,,-85974,-284562,-370536,63.0,28821.0,555,-27628.0,-317273,3918928,-52735,0.0,7772,,-6925.0
2014-10-30,3,2014,0.0,49835.0,69650,-8047,,18946,1105,,-4640,-2014.0,-36079,3305,-153,-117212,,,0.0,2668,0.0,,168.0,,,-116800,522486,11318,-860,-570351,-376783,-20893,-5672.0,-88614,151512,181474,-768,402,-3352,38185,0.0,,2014年01月01日至2014年09月30日,4114055,3718008,281.0,-396047,422430,,60390,156940,,-422038.0,56214,,-367670,422430,0.0,-44612.0,615868,-931193,-315325,185.0,28821.0,754,-27628.0,-265490,3718008,-131383,0.0,-16258,,-408.0
2015-03-19,4,2014,,94089.0,128607,-16104,,26138,5781,,-340,-9321.0,-48481,4881,55759,-156153,,,0.0,3650,0.0,,-226.0,,-8787.0,-295547,311194,17267,-893,-149294,-138408,-41825,-7706.0,-91387,205601,177473,-1055,402,-4940,50638,44612.0,,2014年度,4114055,4256691,50.0,142636,545821,,527974,630510,,-422038.0,81875,,-349710,545821,0.0,-44612.0,474607,-484007,-9400,186.0,28821.0,1281,-27628.0,84689,4256691,-148234,0.0,-25743,,-66.0
2015-05-04,1,2015,,,-168733,-2741,,-16151,292,,20708,-1727.0,-12832,1922,-15459,-22954,,,,-39,,612.0,,-4718.0,,220533,-908430,-12586,-2540,304334,48056,3388,,59806,51634,-289,718,0,-1928,12792,,-51239.0,2015年01月01日至2015年03月31日,4256691,3742419,-151.0,-514272,34823,-1941.0,-561284,-531821,,,3780,,2665,34823,,,-1110381,594976,-515405,,94529.0,318,-92809.0,-566644,3742419,-40327,,695,,-7051.0
2015-08-06,2,2015,,,-106006,15737,-21427.0,-35419,-975,,5861,-12689.0,-26073,3781,-55149,-60906,,-30858.0,-821.0,8013,,1001.0,,-461.0,,390636,-1140356,-32425,-470,266326,26997,654,,-23145,100295,-16165,2832,29,-3688,25955,,-17497.0,2015年01月01日至2015年06月30日,4256691,3488787,431.0,-767904,-19095,-4147.0,-673744,-647240,,,-4178,,-15866,-19095,,,-1318823,708175,-610648,0.0,94529.0,457,-107262.0,-628145,3488787,-48771,,19104,-3201.0,
