date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-06,1,2013,121419.0,0.0,-52322,,4134,-2217,,8.0,-1406,0.0,1935,,-1920,17737,38145,-15814,,,,9591,,64500,,-39021,12602,17639,8685,-37922,99523,,577,-17831,1920,,2013年01月01日至2013年03月31日,1430199,1857385,4042,427186,112512,226510,257088,,-273.0,,192963.0,0.0,200453,112512,-74607,97764,23157,7755.0,2073,52,,,144576,1857385,-12747,,,,-10118,9157,-24695
2013-08-07,2,2013,240589.0,-510.0,-14233,0.0,20984,-20260,,,0,-624.0,3673,-78.0,-5496,35457,62764,-36767,-1371.0,-41811.0,,19978,,45547,,101533,29110,-298438,-47613,-132805,200502,,1060,-35994,5496,,2013年01月01日至2013年06月30日,1430199,1662465,1251,232266,274573,179492,275444,0.0,,,123325.0,0.0,122815,274573,137394,-377112,-239718,,7067,61,,,871,1662465,-59958,-3052.0,,,-12845,-56348,-64717
2013-11-08,3,2013,386445.0,-49898.0,9886,0.0,37231,-193626,,,0,193.0,5346,10177.0,-5669,52430,40561,-45286,-2431.0,-37728.0,,45100,,-30177,,149039,70129,-365650,-37386,-139926,304810,,1546,-52426,5669,,2013年01月01日至2013年09月30日,1430199,1505958,-786,75759,523905,286860,443077,0.0,-262311.0,,200473.0,0.0,-111736,523905,266285,-733558,-467273,0.0,7247,317,,,-80828,1505958,-103791,-445.0,,,-16204,-106719,-77767
2014-03-14,4,2013,587919.0,-65415.0,19835,0.0,18739,-174262,0.0,-289.0,-103,0.0,7025,10198.0,-14507,71270,73770,-97166,-3170.0,-25451.0,,61354,,-90445,,96910,339452,-463710,-6009,-188028,408888,,2147,-71943,14507,,2013年01月01日至2013年12月31日,1430199,1556711,-8229,126512,729576,677579,909247,0.0,-262311.0,,,-108794.0,-436809,729576,474936,-883184,-408248,0.0,19286,1978,,,179671,1556711,-159725,-1902.0,76403.0,,-16508,-148758,-106129
2014-05-09,1,2014,108375.0,,-37078,,-4043,45459,0.0,-23.0,-4751,,1724,,-6464,14762,21080,-44805,,,,-15814,,-145951,,86117,-8506,-436,3755,-109495,106721,1943.0,600,-14026,6370,,2014年01月01日至2014年03月31日,1556711,1825533,-3007,268822,267465,243710,328223,,0.0,,38037.0,,113527,267465,38433,-86050,-47617,75513.0,54,270,4952.0,,60758,1825533,-70487,12759.0,,,-3176,11123,-71315
2014-08-04,2,2014,206015.0,-716974.0,21101,,-4216,-37472,,-23.0,-24512,,3425,0.0,-18086,34638,-4031,-95021,-949.0,-7872.0,,-37042,,-116605,,4084,202206,-49982,-56832,-253640,212805,1943.0,1237,-33219,17745,,2014年01月01日至2014年06月30日,1556711,2093972,7140,537261,665014,686217,861921,,,1496286.0,-670574.0,,108715,665014,225118,-234226,-9108,,836,127,,,196907,2093972,-142485,3562.0,,,-1791,26665,-143867
2014-11-05,3,2014,321674.0,-714336.0,65742,,-6187,-78237,,-23.0,-6857,0.0,5120,0.0,-29089,44675,28563,-188004,-1003.0,0.0,,-44148,,-190930,,54276,190903,33883,-30354,-454561,318020,1943.0,1771,-36272,28839,,2014年01月01日至2014年09月30日,1556711,2567944,24187,1011233,961819,1081284,1353738,468854.0,-353112.0,1496286.0,-576560.0,,355947,961819,306677,-236432,70245,,1003,255,24519.0,,391919,2567944,-236182,1810.0,,34838.0,-927,29206,-313058
2015-03-13,4,2014,369130.0,-719190.0,99293,,-5050,-16743,,-23.0,-6601,,6869,0.0,-45441,54848,119274,-268270,-1009.0,0.0,,-66501,,-235836,,86667,72680,160156,-25630,-548018,428078,1943.0,2298,-39299,43763,,2014年度,1556711,2942384,-16670,1385673,1321077,1495313,1833371,468854.0,-353112.0,1496286.0,,-689836.0,319104,1321077,255533,-112369,143164,,868,261,24671.0,,512294,2942384,-298759,-329.0,0.0,116125.0,5717,5684,-341440
2015-05-07,1,2015,,,-27935,,7699,75222,,0.0,-235138,,1788,,-15592,8738,-21844,-57748,,,,-110,,106482,,-97134,-160526,-93499,28994,-607040,114086,1379.0,746,-2457,16592,108317.0,2015年01月01日至2015年03月31日,2942384,2379297,22157,-563087,310900,190169,243102,,,,0.0,-124730.0,-124372,310900,-276517,100402,-176115,358.0,123,76,,0.0,-67798,2379297,-50476,-25650.0,,,2078,-16797,-330869
2015-07-31,2,2015,,0.0,24275,,4518,88264,,0.0,5,,3699,-65319.0,-29718,16596,-52226,-281736,0.0,,0.0,380,,128210,,-11894,-222972,-409824,5827,-712773,228211,479.0,1480,-4381,30695,193493.0,2015年01月01日至2015年06月30日,2942384,2608315,-2349,-334069,753745,400586,568628,,,0.0,30344.0,,30344,753745,-205594,-173016,-378610,,352,832,,,-185117,2608315,-163661,-21548.0,,,-4090,14507,-396770
