date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,附買回票券及債券負債減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,-120480.0,,-347725,-81791,-364,1891,9442,0.0,-23446,1.0,,,65.0,7475.0,-9067,4122,-1994,,-21971,0,-127644,0,-2022,-110667,0.0,,87583,,1582,282201,-54,-1691.0,191548,30906,,,-1446,3162,-4623,5020,,,2013年01月01日至2013年03月31日,516489,505331,-11158,127170,,180774,187462,,0.0,-31502.0,-381486,127170,,53164,127608,180772,0.0,897,5778.0,0.0,,-165639,,331405.0,,0.0,0.0,0.0,24.0,60292,,505331,-6688,1138,,,2363,10867,,-2002.0,,-29504,45590
2013-08-09,2,2013,-69640.0,,-374079,-14892,-9583,320,-3580,,-16088,-28.0,,,17415.0,7475.0,-9345,7075,27023,-373.0,-78930,-1020,-204101,-661,-2368,-260269,0.0,,285895,50000.0,30163,-83818,10147,-3375.0,146882,64098,,,-2330,10117,-7092,4533,,,2013年01月01日至2013年06月30日,516489,586205,69716,237557,,163410,200031,,59892.0,,-267599,237557,,361173,-329059,32114,0.0,15004,,50046.0,0.0,-161383,,313304.0,,-46.0,0.0,,,-37526,,586205,-36621,1002,,,4081,16065,,-5990.0,37282.0,34132,63062
2013-11-01,3,2013,-25891.0,,-375436,54973,-42311,13366,6651,,51363,-3628.0,,,-14568.0,10475.0,-13292,11741,70250,-373.0,-106467,-16856,-204100,-793,8781,-177896,0.0,,43780,50000.0,20240,-83619,29548,-59380.0,139114,90727,,,-4273,15176,-11627,15804,,,2013年01月01日至2013年09月30日,516489,585624,69135,297560,,121331,181098,-238116.0,353803.0,,-261560,297560,,94175,-184746,-90571,0.0,5508,,50046.0,48116.0,6820,,331405.0,-165109.0,-46.0,0.0,,,-116462,,585624,-59767,291,,,-36183,12818,,-5973.0,36992.0,31518,21196
2014-03-13,4,2013,24879.0,,-404299,-21889,-6118,794,-61583,,103106,,,-77918.0,,,-19688,17877,-58914,,-115745,-22172,-204101,-878,13778,-128465,0.0,,4255,100000.0,24662,-60904,81012,-6743.0,262307,117700,,,-5197,18147,-17228,19688,,,2013年01月01日至2013年12月31日,516489,786826,270337,343873,,264748,338972,-238116.0,700008.0,,-197804,343873,,-5284,-24496,-29780,-265830.0,205862,,53036.0,48194.0,3347,-12994.0,331405.0,-165109.0,-2050.0,0.0,1601.0,24.0,-4901,,786826,-74224,1875,18530.0,,-72339,25645,,36329.0,,48456,-6363
2014-04-29,1,2014,39396.0,,-366,-3503,8123,-409,1128,,1426,2.0,,,-21748.0,10400.0,-4147,5204,26271,,-12391,-40246,0,-1047,-4243,-131522,,,161925,,20375,-136664,29590,-7134.0,-68826,27434,,,-1724,2462,-5153,6019,,,2014年01月01日至2014年03月31日,786826,774204,-12622,65842,,41900,47977,,,-35888.0,-11967,65842,,244762,-302023,-57261,,587,0.0,,,-365,,0.0,,,,,0.0,-17865,,774204,-924,335,,,24285,4040,,0.0,,-74104,73508
2014-07-31,2,2014,80938.0,,-36366,28785,3672,3027,-49141,,1900,1.0,,,-39662.0,25370.0,-8583,10132,-21288,0.0,-29914,-44450,-73473,-2318,4122,-262104,,,308056,-100000.0,23675,-63577,32937,-3402.0,-200894,54426,,,-2040,5023,-9322,12611,,,2014年01月01日至2014年06月30日,786826,739972,-46854,165548,,260864,277738,,-14394.0,,-85536,165548,,420020,-388768,31252,5000.0,573,,88393.0,,-187,,0.0,,-27262.0,,,,112190,,739972,-7552,-86,,,60223,20023,,-112654.0,0.0,-52455,59879
2014-10-30,3,2014,160203.0,,-38866,40763,27069,-251,616,,-2025,-13.0,,,-192384.0,25370.0,-11587,15603,9682,0.0,-57442,-44450,-83861,-6452,2690,-277490,-135334.0,,207168,-100000.0,-7841,4594,3343,-5103.0,-405613,81538,,,-3790,7711,-17114,15786,-29715.0,,2014年01月01日至2014年09月30日,786826,648257,-138569,221396,,276971,332672,-238117.0,255062.0,,-19609,221396,29715.0,273907,-322834,-48927,41000.0,10141,,88383.0,0.0,-871,,0.0,0.0,-27262.0,,,,111276,85.0,648257,-8872,568,6466.0,,61325,34052,,0.0,0.0,-78941,39086
2015-03-26,4,2014,188558.0,,-68954,35463,41542,8654,-8160,,-47475,,-133.0,-160319.0,,31836.0,-20485,21364,67626,,-49321,-46931,-99733,-6985,35304,-326467,-135334.0,,146981,-20000.0,30009,-253228,4398,-6804.0,-372026,109246,-1155.0,0.0,-5512,10420,-23242,23833,29715.0,,2014年度,786826,555714,-231112,283154,,79421,90677,-238117.0,40621.0,,-6133,283154,-29715.0,244001,-625036,-381035,216240.0,11171,3201.0,88392.0,0.0,-717,0.0,0.0,0.0,-27261.0,,0.0,0.0,-192477,,555714,-17729,1066,,,64210,10757,52255.0,,0.0,-35646,30853
2015-04-29,1,2015,,,-160000,-37027,-3109,-19437,11966,,15912,-1.0,,,58427.0,0.0,-2868,5806,-15848,,-149373,-9422,-92434,-46,11151,-75136,6041.0,,-88030,,19392,148387,20221,,-101908,29149,-1066.0,,-1352,2053,-6496,5418,,74713.0,2015年01月01日至2015年03月31日,555714,636489,80775,-44490,-1813.0,22977,38546,,313414.0,0.0,175554,-44490,,-74231,82554,8323,29848.0,14878,,64603.0,,7488,,,,-388.0,,,,83036,,636489,-9073,-107,,,-7707,23781,,,,-35687,53750
2015-07-30,2,2015,,,-185500,197358,-2883,-27991,19743,,-8181,-1.0,,,60546.0,0.0,-6455,12187,-34198,,-171348,-9422,-91707,-728,16599,-57785,6041.0,,-10961,10000.0,26016,40890,25763,,-41823,59586,-1066.0,,-4209,3831,-11961,9005,,126870.0,2015年01月01日至2015年06月30日,555714,786844,231130,11383,-3614.0,283687,335427,,199740.0,,23464,11383,,211816,-14642,197174,209848.0,16085,,139705.0,,7424,,,,-3845.0,,,,324044,,786844,-39779,207,,-206368.0,-4255,41545,,0.0,,-32189,32074
