date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付設備款增加,預付設備款減少
2013-04-26,1,2013,63422.0,47669,-125762,11829,213915,,,1269,,-1603,731,92776,-43621,,0.0,,,215.0,,-555.0,0,1179023,,-31998,0.0,37087,0.0,-47576,67556,8,-966,1611,,2013年01月01日至2013年03月31日,447437,1729605,1282168,409318,1776902,1804503,,,-540149,-539934,409318,27500,1304263,1331763,,,576.0,,,1395185,1729605,-26635.0,-5115,,,,,-5011,0.0
2013-07-29,2,2013,143795.0,-116035,8321,-11051,224299,,,2550,,-7905,733,38555,-46404,,0.0,,1081.0,310.0,,-4344.0,0,1134643,,-439381,0.0,878184,,-57728,134408,16,-968,7910,,2013年01月01日至2013年06月30日,447437,1953729,1506292,262349,2065304,2085124,,,-540149,-539839,262349,-566467,2245447,1678980,,,2350.0,,,1822775,1953729,-26762.0,3166,7396.0,,,,-6980,0.0
2013-10-30,3,2013,166827.0,-115971,10415,3627,106415,,,3831,,-10023,733,87471,-55931,,0.0,,-8620.0,246.0,,-5879.0,0,160865,,-40492,0.0,950578,,-106736,201275,24,-968,10019,,2013年01月01日至2013年09月30日,447437,751108,303671,127954,1240839,1370218,-378000.0,,-540149,-917903,127954,-152836,1228273,1075437,0.0,,3291.0,,,1242264,751108,-138430.0,-48241,24557.0,0.0,,,-44926,
2014-03-25,4,2013,112057.0,-127769,-5398,22126,-85442,,,5150,,-15266,4080,115954,-119941,,0.0,,-6607.0,345.0,,-1584.0,0,-76792,,-220969,0.0,165786,,-168091,270233,33,-3321,15219,,2013年01月01日至2013年12月31日,447437,1133761,686324,350202,6779,133801,-378000.0,1109337.0,0,731682,350202,-326612,-1846,-328458,0.0,,3563.0,,,-216401,1133761,-138920.0,-157633,8504.0,,,,-46566,
2014-04-28,1,2014,305797.0,127670,-122603,-16563,119591,,,1337,,-3871,4951,-4500,-18041,,-6955.0,,,0.0,-21.0,0.0,1962,1029927,,-166423,,-387792,,-26802,68436,769,-4996,3153,,2014年01月01日至2014年03月31日,1133761,1350085,216324,-45713,842048,843891,,,-594401,-594422,-45713,-55316,639123,583807,,,0.0,,,889604,1350085,0.0,224105,10070.0,0.0,,,-3768,
2014-08-04,2,2014,468961.0,-34458,-13896,-29787,271725,,,2660,,-10339,6183,-44679,-20547,,-6923.0,,0.0,0.0,-124.0,0.0,2006,1044547,,-52090,,687939,,-27816,136111,1557,-6928,8875,,2014年01月01日至2014年06月30日,1133761,1883888,750127,-227869,2117019,2115072,,,-1294273,-1294397,-227869,-116335,1990315,1873980,,,791.0,,,2342941,1883888,0.0,268875,63123.0,,,,-2352,
2014-11-07,3,2014,489646.0,-39760,14749,-30619,164812,,,3985,,-22382,7224,5604,-23232,,-6918.0,,0.0,18.0,,0.0,1945,48386,-81241.0,445965,,832056,,-30912,203872,2348,-7590,22251,,2014年01月01日至2014年09月30日,1133761,1278948,145187,-326586,1654093,1598649,-205200.0,,-1197175,-1483598,-326586,375586,1060003,1435589,,,938.0,,,1925235,1278948,40783.0,230731,62930.0,,,,-2707,
2015-03-09,4,2014,579612.0,17358,-38540,-24186,121619,-65432.0,,5348,,-24366,9484,72182,-33345,-1227172.0,-6966.0,,0.0,200.0,,0.0,1866,218028,-87076.0,549844,,-236928,,-102295,272701,3162,-10242,24352,,2014年度,1133761,1268294,134533,-5073,1236901,1181734,-205200.0,0.0,-780179,-1072255,-5073,543016,64179,607195,,1231953.0,944.0,-4781.0,,1186807,1268294,41057.0,283827,33293.0,,,,-3199,
2015-04-27,1,2015,,-8579,57122,-3620,148373,-30610.0,,1360,,-2779,1522,-20435,-9393,-631496.0,0.0,,,,-55.0,,24,1418134,,-350472,,313922,,-35918,68309,811,-1500,2584,44463.0,2015年01月01日至2015年03月31日,1268294,3257661,1989367,585184,2205611,2204527,,,-159836,-159891,585184,-362671,1937551,1574880,,636057.0,,-4561.0,,1619343,3257661,,-14918,0.0,-5281.0,,,-500,
2015-07-30,2,2015,,-84594,42924,57573,195589,,65432.0,2715,,-6356,1839,-65895,-10707,-2624546.0,0.0,-84740.0,,,-137.0,,59,946285,,-572712,,936815,,-269300,136416,1620,-2037,6112,56711.0,2015年01月01日至2015年06月30日,1254648,2106642,851994,517099,1968464,2095690,,,-781138,-781275,517099,-599733,2121613,1521880,,2389033.0,0.0,-13137.0,,1578591,2106642,-131301.0,-62359,0.0,-4027.0,,,-3831,
