date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得無形資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預收款項增加－處分資產
2013-05-09,1,2013,419084.0,-41970,269016,-71523,10160.0,61123,-125444,,-197.0,,,2598.0,-182380.0,,65593.0,,-7154,-15384,57990,44654,-724227,,-1783,5709,-229231,,0.0,-241297,,,821163,,-843389,303665,6199,975,1948,-60926,15384,,2013年01月01日至2013年03月31日,7822810,8847046,1024236,417647,1267943,1327712,,,379457.0,,555028,417647,,95041,395940,490981,214943,2192,-437,910065,8847046,-14227,,,,,60000.0
2013-08-09,2,2013,725894.0,-676650,314262,-14964,,-45,-47060,,-780.0,,4183.0,0.0,75433.0,,91963.0,-7915.0,0,-31379,114633,-81015,-1141843,,-7459,-16887,-281325,,0.0,-337282,,0.0,894249,0.0,-604644,703443,3094,-145068,4449,-112646,31379,,2013年01月01日至2013年06月30日,7822810,9020456,1197646,943250,1700851,2055005,,0.0,492951.0,,182454,943250,17925.0,-19971,405832,385861,582341,477920,-161988,1111755,9020456,-272887,3735.0,-220371.0,,,
2013-11-11,3,2013,1159875.0,-1730401,139516,-72979,,-28953,-185712,,450.0,,3176.0,0.0,0.0,71616.0,115720.0,,19184,-45078,172162,38767,-1909324,,-7693,-11854,-148239,,0.0,-449593,,,131473,,-1403474,1025235,-1304,-1561,6256,-171683,45078,,2013年01月01日至2013年09月30日,7822810,8014979,192169,1366541,1430547,1909064,782100.0,-742629.0,567012.0,,126329,1366541,17925.0,-340334,-277018,-617352,1463136,422293,-127544,542523,8014979,-351912,7053.0,-216065.0,,,
2014-03-18,4,2013,1424918.0,-1795839,235431,-81763,26129.0,-22103,191894,,-10271.0,0.0,0.0,-1523.0,0.0,22696.0,,,-7728,-88608,231950,-83807,-2159325,,-8258,8668,66747,,0.0,-170799,,,361155,,-1686366,1355931,3239,-1614,8115,-232130,88608,,2013年01月01日至2013年12月31日,7822810,8663229,840419,1864515,3323929,3871620,782100.0,-742629.0,629473.0,,-713337,1864515,17925.0,45768,536419,582187,635524,450391,-116844,2007105,8663229,-404169,7781.0,-220443.0,0.0,,
2014-05-14,1,2014,386103.0,-1022040,-11804,31083,0.0,47598,-20377,,0.0,9767.0,0.0,-8599.0,-377350.0,,,,1362,-31778,56686,4398,-330892,,-2247,1618,-56836,,,60122,,,-344398,,-691596,355972,10802,2613,1953,-54340,31778,,2014年01月01日至2014年03月31日,8663229,8628096,-35133,412737,475974,517643,,,705530.0,,176091,412737,,106718,-387915,-281197,501200,7764,56,104906,8628096,-19107,1596.0,,,,0.0
2014-08-12,2,2014,745270.0,-1022040,369259,-17220,,44645,-10373,,-14513.0,,0.0,-14605.0,-127768.0,0.0,,0.0,2466,-66630,111120,-7171,-1066991,-210.0,-2284,301,2192,,,285644,,,-514839,,-1168065,688870,-4289,642,4896,-106545,66630,,2014年01月01日至2014年06月30日,8663229,8252102,-411127,999900,1625471,1900831,,,0.0,220545.0,-861362,999900,0.0,695259,-539598,155661,175181,41235,5117,900931,8252102,-235445,1596.0,-220443.0,,,
2014-11-12,3,2014,1139652.0,-1107715,-277915,-11711,,113505,-31787,,149.0,,0.0,-4484.0,9121.0,,,,2635,-92975,160498,-66476,-879159,-210.0,-3945,1130,-355356,,,897453,,,-1550926,,-739097,1045978,3792,-507097,5433,-157921,92975,,2014年01月01日至2014年09月30日,8663229,6600236,-2062993,1724014,765347,1143624,0.0,-813729.0,123585.0,,-2022767,1724014,0.0,736835,-2456877,-1720042,0,132312,17992,-580390,6600236,-313331,1596.0,-220424.0,,,
2015-03-20,4,2014,1550207.0,-1384469,-16814,-59398,0.0,126459,-128010,,0.0,3328.0,,-6099.0,-32706.0,0.0,,,463,-118023,207879,-21539,-1070785,-210.0,-4347,8077,-370127,,,670067,,,-1109533,,-959036,1418825,14016,2772,8220,-204391,118023,,2014年度,8663229,8698854,35625,2282600,2496884,2962239,0.0,-813729.0,464056.0,,-1480684,2282600,0.0,793728,-1664296,-870568,480000,145221,23087,679639,8698854,-378987,2142.0,-220443.0,,,
2015-05-13,1,2015,,-315157,-416061,108292,,-29579,-1908,,,6974.0,,-2115.0,0.0,8401.0,,,2730,-26012,47056,-5867,-268343,,-367,783,192828,,,-542839,,,614341,,-249302,366358,-18696,-4095,1465,-46514,26012,389723.0,2015年01月01日至2015年03月31日,8698854,9518710,819856,439090,676214,731096,,,16083.0,,398811,439090,,-1007175,909458,-97717,700000,1303,-473,292006,9518710,-34380,546.0,,,,
2015-08-12,2,2015,,-3315671,-464415,202394,,-110464,79168,,0.0,12431.0,0.0,16244.0,0.0,31914.0,,,6709,-59132,91790,-47619,-433430,0.0,-2500,27197,290083,173801.0,,-1130825,,,1694854,,-195763,742834,-17818,-1910,2940,-90844,59132,817015.0,2015年01月01日至2015年06月30日,8698854,9798080,1099226,850954,1939144,2209036,,,,44781.0,-596536,850954,,-1723522,2264589,541067,2780000,15312,6136,1358082,9798080,-238180,5250.0,-121890.0,,,
