date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-04-29,1,2013,58,9885.0,,0.0,-6957,4000.0,0.0,2517,29.0,,-132,-62.0,,0.0,,0.0,,,-1400.0,-680.0,0.0,31,446,0.0,,,,-23,,,3770,,-811,0.0,,0.0,619,-25.0,58,-680,3624,0.0,354,0,0.0,,,2013年01月01日至2013年03月31日,12054,7283,-4771,-21276,-8537,-8537,,,,4000,-21276,,,-4558,7412,2854,,0.0,,31985,,,12739,0,7283,,7241.0,0.0,,-31985.0,,506,,3342
2013-08-07,2,2013,58,14391.0,,0.0,-3961,10000.0,0.0,2560,29.0,,-318,852.0,,-6051.0,,0.0,,,-1668.0,-680.0,-1.0,482,513,-342.0,,,,-65,,,4323,,-1462,0.0,,,-311,0.0,-334,226,5313,0.0,707,-349,1.0,,,2013年01月01日至2013年06月30日,12054,3796,-8258,-30895,-12946,-12598,,,,3949,-30895,,,-3800,7706,3906,,1248.0,,34838,0.0,0.0,18297,0,3796,,7241.0,,,-32514.0,,587,,1941
2013-11-07,3,2013,58,15947.0,,0.0,-7347,16500.0,0.0,2555,29.0,,-280,852.0,,-6051.0,,0.0,,,-1668.0,-680.0,-1.0,651,458,-342.0,,,,-50,0.0,,3473,,-176,0.0,,0.0,-2943,0.0,-1742,283,6368,0.0,1060,-349,1.0,,,2013年01月01日至2013年09月30日,12054,2854,-9200,-31367,-20390,-20042,,,,10449,-31367,,,-7666,3044,-4622,,1305.0,,34570,0.0,0.0,11325,0,2854,,7241.0,,,-32282.0,,820,,137
2014-03-25,4,2013,58,17515.0,,0.0,-6284,19500.0,0.0,-11430,29.0,0.0,-381,852.0,,-6051.0,,0.0,-680.0,,-1668.0,,-2.0,876,170,-292.0,,,,-7,,0.0,-83,,127,350.0,0.0,,-1728,0.0,829,1495,7421,0.0,1412,-349,2.0,,,2013年01月01日至2013年12月31日,12054,2081,-9973,-16701,-25087,-24740,,,,13449,-16701,,,-16001,-9553,-25554,,2467.0,,34598,0.0,0.0,-8039,381,2081,,7241.0,,0.0,-32414.0,,1978,0.0,-10194
2014-05-12,1,2014,0,1914.0,,,380,8080.0,,-86,0.0,,69,0.0,,,,,,,0.0,0.0,,281,231,,,,,-57,,,700,,-2599,,,,4196,0.0,-3307,0,1041,,349,-589,,,,2014年01月01日至2014年03月31日,2081,1206,-875,-9503,-9186,-8597,,,,8080,-9503,,,-2882,1874,-1008,,,,300,,,906,17,1206,,0.0,,,0.0,,371,,-749
2014-08-11,2,2014,0,8146.0,4616.0,-5211.0,-35605,0.0,,148,9711.0,,-1053,0.0,930.0,0.0,,67.0,,,0.0,0.0,-26.0,412,-6,-15597.0,,,,-887,,,4818,-155834.0,-19951,-13578.0,,,-13700,,-6565,-161870,9226,,806,-926,26.0,1615.0,,2014年01月01日至2014年06月30日,2081,36878,34797,35929,-47650,-35779,210375.0,39159.0,,244323,35929,,-1615.0,-76209,-3645,-79854,,5643.0,,230,,,-71708,735,36878,-12586.0,0.0,,,0.0,,1013,-765.0,-6757
2014-11-10,3,2014,0,22739.0,4616.0,-13028.0,-17495,0.0,,-2842,9711.0,,-1135,0.0,930.0,0.0,,-4933.0,,,0.0,0.0,-26.0,1080,-59,-31896.0,,,,-777,,,9062,-155834.0,-17655,-13577.0,,,-29695,,-10266,-225018,19582,,1286,-1568,26.0,1615.0,,2014年01月01日至2014年09月30日,2081,43411,41330,65362,-10219,6893,210375.0,79279.0,,276626,65362,,-1615.0,-55670,-25538,-81208,,5761.0,,709,,,-58469,1009,43411,-17185.0,2500.0,,,0.0,,-2438,-42732.0,-6817
2015-03-23,4,2014,0,56240.0,4616.0,,-11530,0.0,,-2891,9711.0,,-1133,0.0,930.0,0.0,-2436.0,,0.0,,18800.0,,-52.0,1776,-173,-84484.0,,,-907.0,443,,66.0,1513,-155834.0,-13888,-13577.0,,,-45772,,75,-238435,30556,,2666,-2259,52.0,1615.0,,2014年度,2081,50650,48569,83517,47253,65033,210375.0,735.0,,239924,83517,,-1615.0,-40683,-34041,-74724,28814.0,544.0,,2341,,0.0,-18484,656,50650,-17188.0,2625.0,,,-1300.0,,2393,,-1211
2015-05-06,1,2015,250,,,-5342.0,-20369,0.0,,-1829,,,2140,,,,,-7901.0,,,,,-6.0,1430,30,-23493.0,,,-1302.0,41,,-60.0,1633,,-3557,,,,-8264,,-84,-32756,12817,,1077,-1390,6.0,,15658.0,2015年01月01日至2015年03月31日,50650,86816,36166,45912,29182,30695,,99680.0,,39710,45912,,,-21411,-9464,-30875,,,,49,,,-15217,375,86816,-129.0,,-54628.0,,,,-920,,0
2015-08-10,2,2015,250,,0.0,0.0,-16807,,,1242,0.0,,38,,0.0,,,1096.0,-251.0,,21000.0,,-62.0,3256,65,-44805.0,,,-2154.0,65,-60.0,,-3713,0.0,-2253,0.0,,,-4675,,-163,-49819,25995,,2175,-3241,62.0,1615.0,51113.0,2015年01月01日至2015年06月30日,50650,54761,4111,66385,62866,91487,0.0,38311.0,,-9001,66385,,-1615.0,-18479,-7532,-26011,7316.0,0.0,,49,,,25102,546,54761,-27057.0,,-54628.0,,,,-223,-3645.0,-3
