date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-03,1,2013,0.0,25977.0,,-206,0.0,-22926,-2188,,-12322,-34117.0,2448.0,,0,,,-16933,,,,3529,-5557,-53670,,,,0,1302,,-326.0,,,24210,49021,,-6.0,-61349,-40261,16610,,-63766,33842,-6492,,2025,-1243,,,,2013年01月01日至2013年03月31日,963094,925088,-38006,144596,,41977,43220,,,-12970,-10660,144802,,-66923,-60430,-127353,,275,,1951,650,0,0.0,-73.0,,-101376,925088,,1635,2642,,-52309,,,
2013-08-07,2,2013,0.0,61537.0,0.0,-206,-10000.0,-34345,-6069,,-17220,11421.0,4068.0,,0,,,-17078,,,,6051,109761,-147130,,,-86803.0,-1594,1912,,-1778.0,,,4147,44795,,-30032.0,-32304,-6347,-1280,,-249282,65862,-13710,551.0,3436,-1685,,,,2013年01月01日至2013年06月30日,963094,865506,-97588,253617,,230620,265242,,,-112445,-188687,253823,,-6365,-43547,-49912,,1514,,1951,-39,0,0.0,-73.0,,11625,865506,-32937.0,915,-34432,,-20288,,,
2013-11-08,3,2013,0.0,92858.0,0.0,-206,,-1179,-11135,,1456,,-2149.0,,0,,,-12428,-1212.0,,,7998,108273,-232965,-1485.0,0.0,-87403.0,-13769,2454,,-2105.0,-1964.0,,-8937,48331,,-40000.0,-52225,23236,85823,9116.0,-344319,100776,-33775,-5250.0,4800,-1713,,,,2013年01月01日至2013年09月30日,963094,710986,-252108,329479,,315356,377118,-203749.0,,-167189,-331418,329685,,7564,-52783,-45219,117000.0,7552,,2015,-5508,0,0.0,-137.0,,47639,710986,-60049.0,153,-35375,,-107995,-16544.0,,5670.0
2014-03-19,4,2013,0.0,127707.0,1755.0,-206,,71496,-13563,,-9501,,-3702.0,,0,,,-17134,-2045.0,,,9589,120012,-384402,-1303.0,0.0,-173518.0,-38325,2254,,-2144.0,,6745.0,-12463,42263,,-10000.0,-27335,-25964,88575,4423.0,-590756,134964,-19632,-3149.0,6298,-4040,,,,2013年01月01日至2013年12月31日,963094,767941,-195153,368713,,427259,491253,-203749.0,215255.0,-252445,-151668,368919,,96156,-101323,-5167,117000.0,7976,-182.0,2015,-4994,0,0.0,45.0,,122540,767941,-59954.0,-166,-15585,,-118276,,29.0,9011.0
2014-05-06,1,2014,0.0,36586.0,0.0,0,,-75925,7675,,-389,,0.0,,0,,,-221,,607.0,,1075,1147,-13064,0.0,0.0,0.0,-257,-973,37.0,,,3509.0,27872,18085,,-10000.0,-4968,-14978,16456,2807.0,-27444,36154,44154,-1450.0,1742,-689,,,,2014年01月01日至2014年03月31日,767941,887261,119320,112726,,169784,170473,0.0,56050.0,-73296,-24167,112726,,-54474,75635,21161,0.0,128,0.0,0,509,0,0.0,0.0,,57747,887261,0.0,-250,3042,,-5544,-17978.0,,5527.0
2014-08-08,2,2014,612.0,79896.0,0.0,0,,-78318,13348,,-927,,0.0,,0,-2704.0,,111,,1973.0,,2731,-620,-51278,0.0,0.0,-40359.0,-446,442,21.0,,,3442.0,-52934,-14936,,-60000.0,13470,16589,-20061,4356.0,-119221,72306,59049,29.0,3489,-1557,,,,2014年01月01日至2014年06月30日,767941,893444,125503,239985,,279190,322920,0.0,232943.0,-236659,-33846,239985,,-75631,78670,3039,30000.0,491,0.0,0,320,0,0.0,0.0,,82935,893444,-42173.0,-144,-151,,62679,-29413.0,,-203.0
2014-11-07,3,2014,612.0,129286.0,0.0,0,-40000.0,-52677,19311,,-3204,,0.0,,0,-3349.0,,5476,,588.0,-2586.0,4510,-815,-78683,-12000.0,0.0,-40359.0,-2507,704,940.0,,,2482.0,-160984,4290,,170000.0,9994,24373,-15666,8839.0,-174569,109157,44058,5751.0,5287,-4864,2677.0,,,2014年01月01日至2014年09月30日,767941,672195,-95746,362020,,356910,421363,-446740.0,456795.0,-506376,-277272,362020,,-21130,-48813,-69943,86250.0,2336,0.0,0,654,0,0.0,0.0,,59343,672195,-62266.0,-279,1859,,40095,-39873.0,,8424.0
2015-03-25,4,2014,1423.0,176201.0,0.0,0,-40000.0,9443,18393,,-1079,,0.0,-1027.0,0,-3349.0,,10834,,0.0,-3946.0,6353,9373,-113475,0.0,-66846.0,-40359.0,-6429,10178,2195.0,,,1434.0,-208311,-35034,30000.0,,68742,-58005,4369,12540.0,-285866,146124,80482,5161.0,6438,-6678,4032.0,7186.0,,2014年度,767941,543233,-224708,458594,,582305,650933,-446740.0,0.0,-154287,-530520,458594,-7186.0,76742,-60604,16138,81750.0,1073,788.0,0,610,0,0.0,-788.0,,192339,543233,-73168.0,-1630,-3438,2630.0,103495,-57624.0,,21051.0
2015-05-05,1,2015,,,0.0,0,-3250.0,-50784,-11603,-3975.0,-156,,,0.0,0,0.0,,3210,,,-387.0,836,-270,-32773,0.0,0.0,0.0,-490,462,1132.0,,,-132.0,3298,-17477,,0.0,-16285,72231,-11335,,-53444,38353,18926,4840.0,2075,-843,387.0,,50839.0,2015年01月01日至2015年03月31日,543233,599899,56666,132902,3181.0,124182,126915,0.0,0.0,-10968,-13802,132902,,-110181,53355,-56826,0.0,93,0.0,0,1573,0,,,,-5987,599899,-2277.0,-123,-716,0.0,-14187,-19986.0,,-28816.0
2015-08-07,2,2015,0.0,,0.0,0,-79250.0,-67919,-18289,,-4288,,0.0,0.0,0,649.0,,5181,,,-1347.0,1960,508,-28072,0.0,0.0,0.0,-1709,945,2861.0,,,105.0,11505,-31561,,-40000.0,-65073,89780,-13410,,-70753,77245,3927,9228.0,4107,-2004,1415.0,1983.0,96754.0,2015年01月01日至2015年06月30日,543233,679171,135938,257969,7315.0,223514,265479,0.0,0.0,39032,-17331,257969,-1983.0,-165124,75880,-89244,40000.0,658,0.0,0,1119,0,0.0,0.0,,7510,679171,-43359.0,299,20026,0.0,2367,-38096.0,,-7886.0
2015-11-06,3,2015,0.0,,0.0,0,-53417.0,-57537,-23380,,-191,,0.0,0.0,0,,649.0,5133,,,-1855.0,3005,9739,-54725,0.0,-35912.0,0.0,-1721,1658,2912.0,,-9825.0,,33695,-14564,,20000.0,-97926,59567,-24047,,-150898,111919,4168,20563.0,6145,-3034,1653.0,12361.0,135301.0,2015年01月01日至2015年09月30日,543233,635824,92591,381906,9609.0,334689,408302,-178696.0,58172.0,0,-100939,381906,-12361.0,-161435,52530,-108905,28000.0,1779,0.0,0,517,0,0.0,0.0,,26396,635824,-84593.0,577,22090,0.0,2527,-50952.0,,-1017.0
2016-03-25,4,2015,1722.0,,3496.0,0,-155305.0,-4214,-3918,,117,,0.0,-1696.0,0,,-2034.0,21400,,,-2619.0,4059,-3199,-125050,0.0,-35910.0,0.0,-859,-3180,3061.0,,-8005.0,,71271,30574,,-10000.0,-45902,2908,1728,,-219214,156877,4168,33472.0,8187,-3044,2671.0,12361.0,212677.0,2015年度,543233,766379,223146,463702,20593.0,650865,716685,-178696.0,25155.0,0,-205306,463702,-12361.0,2201,38105,40306,90923.0,2103,0.0,0,178,0,0.0,0.0,,252983,766379,-77808.0,449,19556,4493.0,-36356,-53072.0,,1150.0
2016-05-06,1,2016,43.0,,0.0,0,-6778.0,-70472,-1241,,1071,,0.0,0.0,0,,0.0,-2701,,,-392.0,658,-996,-20516,-99110.0,0.0,686.0,-125,-4671,-101.0,,180.0,,-3391,4397,,20000.0,-20447,44008,18970,,-134826,44674,34882,1732.0,2140,-661,392.0,0.0,40769.0,2016年01月01日至2016年03月31日,766379,823474,57095,102586,1911.0,163501,163808,0.0,16174.0,0,29416,102586,0.0,-90940,111393,20453,0.0,364,0.0,0,-194,0,0.0,-564.0,,61222,823474,-38.0,44,121,0.0,18165,-17376.0,,-6329.0
2016-08-05,2,2016,43.0,,0.0,0,-37512.0,53557,1267,,-2576,,0.0,0.0,0,,5383.0,-5312,,,-1046.0,1568,-1535,-132173,-131421.0,0.0,686.0,-162,1721,,-158.0,,847.0,35151,-10496,,-30000.0,-3430,-35401,44959,,-293191,91404,34882,-443.0,4194,-1535,1116.0,1916.0,89013.0,2016年01月01日至2016年06月30日,766379,778657,12278,223099,-327.0,375911,444661,0.0,0.0,-16776,-68907,223099,-1916.0,30889,101660,132549,25000.0,936,0.0,0,-167,0,0.0,-564.0,,221562,778657,-70247.0,-469,-9461,0.0,20802,-34711.0,,-8415.0
2016-11-04,3,2016,150.0,,0.0,0,-170201.0,237,-7447,,2299,,0.0,0.0,0,,5383.0,6591,,,-1292.0,2376,6536,-46386,-131421.0,0.0,,-1792,5255,-119.0,,3968.0,,5516,19976,200000.0,,-18867,-39325,31568,,-232593,138224,39877,3187.0,6278,-3668,1356.0,17247.0,142063.0,2016年01月01日至2016年09月30日,766379,984829,218450,365756,-145236.0,307230,401551,-268044.0,186596.0,0,137277,365756,-17247.0,-157648,51380,-106268,51486.0,1331,0.0,0,-313,0,0.0,-564.0,686.0,35795,984829,-109256.0,-582,137559,0.0,21191,-66661.0,,-13758.0
