date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預收款項增加－處分資產
2013-05-07,1,2013,-87158.0,,-36000.0,-44781,-19726,-58525,-339.0,,-42,-1243,8200,9352,-9189,0.0,-361.0,0.0,10506.0,-216978,568,,142580,11830,160347,18842,11732,1479,-8414,1243,,2013年01月01日至2013年03月31日,312376,239397,-72979,58933,-163673,-157083,,-42644,-79005,58933,-19497,-109361,-128858,,,203811.0,-94239.0,-216016,239397,581.0,-20155,,
2013-08-05,2,2013,-18966.0,,-36000.0,-18591,-14746,-30154,217.0,,6094,-3663,15989,10585,-20090,,-688.0,-2250.0,0.0,-52674,5366,49818.0,18729,4318,162891,39101,12606,2974,-15180,3663,,2013年01月01日至2013年06月30日,312376,282057,-30319,1224,-38010,-24262,0.0,-129097,-165785,1224,40655,-47175,-6520,,,203822.0,-94239.0,-25486,282057,-2231.0,14778,,
2013-11-11,3,2013,-41867.0,1229.0,-36000.0,-25488,-12392,31429,414.0,,6857,-4211,23594,4698,-37062,,-976.0,,9594.0,-146470,100319,24841.0,94737,-39409,152905,57272,55430,4979,-24162,4218,,2013年01月01日至2013年09月30日,312376,308199,-4177,-9763,35094,57269,,-159898,-196874,-9763,113182,-4283,108899,,,204632.0,-94235.0,67032,308199,-2231.0,-36123,,
2014-03-17,4,2013,-4948.0,1529.0,-36000.0,6849,-268,-1538,-2569.0,20615.0,4921,-7700,31287,4597,-94523,,-793.0,,,-168312,61438,43747.0,75824,-34812,109655,78678,-12096,5307,-32187,7630,,2013年01月01日至2013年12月31日,312376,260428,-51948,-12837,-60313,-35756,,-69094,-105887,-12837,102348,-120319,-17971,195800.0,-95078.0,,,-22919,260428,0.0,-32363,10000.0,0.0
2014-05-12,1,2014,97834.0,,0.0,-69588,45013,9706,-3.0,7881.0,9981,-1498,8100,10956,-46621,363.0,0.0,-46034.0,0.0,-93910,178113,-2023.0,-297511,81872,-162243,19451,18811,1192,-6597,1498,,2014年01月01日至2014年03月31日,260428,184932,-75496,-123586,-83351,-77803,158779.0,0,159142,-123586,221100,-273151,-52051,,3.0,0.0,,45783,184932,-449.0,60605,,
2014-08-07,2,2014,84957.0,,0.0,-16957,-6389,-22166,0.0,-48732.0,6910,-3843,18800,-8986,-59636,747.0,0.0,-27638.0,,-426114,191707,-40054.0,-174116,67049,-104231,36709,23798,1896,-16623,3843,,2014年01月01日至2014年06月30日,260428,197080,-63348,-112847,-475687,-462907,524809.0,0,525556,-112847,145264,-580281,-435017,,-449.0,0.0,0.0,-350060,197080,0.0,24934,,
2014-11-10,3,2014,112976.0,4129.0,0.0,-67751,17246,-7631,-7017.0,-39613.0,7771,-6130,30724,-3505,-78242,1119.0,0.0,,2884.0,-422970,95050,-21801.0,-144147,41977,-133151,56566,24537,3168,-26575,6130,,2014年01月01日至2014年09月30日,260428,197906,-62522,-138432,-510270,-489825,583285.0,0,584404,-138432,83478,-547847,-464369,,-235.0,5829.0,0.0,-351393,197906,0.0,21112,,
2015-03-23,4,2014,158686.0,4129.0,0.0,-131557,25175,1587,-7363.0,-33826.0,8529,-8256,42858,5803,-83446,1443.0,0.0,,1347.0,-302057,43965,-43553.0,-6091,-33629,-203662,79008,87780,7158,-43663,8256,,2014年度,260428,121188,-139240,-228170,-372903,-337496,430079.0,0,431522,-228170,18224,-286236,-268012,5865.0,-233.0,0.0,0.0,-109326,121188,,29622,0.0,
2015-05-11,1,2015,,,,106378,-47984,6778,0.0,14953.0,-7134,-323,8171,-5585,-1835,186.0,,-15869.0,,191028,22289,71303.0,-87015,99733,467034,17519,-162495,1179,-6595,323,-606967.0,2015年01月01日至2015年03月31日,121188,353259,232071,561806,57038,63429,0.0,-286602,-286416,561806,45608,62982,108590,,-641644.0,378360.0,,-498377,353259,-119.0,15265,,
2015-08-07,2,2015,,,,-405285,-46759,8335,,19436.0,-3238,-3644,15113,-23589,-9478,222.0,,0.0,1620.0,364235,-57828,1991.0,2291,74855,188057,34779,-45748,2354,-14435,3644,-575376.0,2015年01月01日至2015年06月30日,121188,182313,61125,509080,242859,254512,0.0,-346424,-346202,509080,-102596,423404,320808,0.0,-634340.0,601200.0,,-254568,182313,-862.0,13600,,
