date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加,預付費用（增加）減少
2013-05-10,1,2013,,37845.0,-21067,178689,,61717,-22270,,,,,,-8592,14539,22070,-174140,,,,-17529,-337.0,,800.0,,,,260.0,-256975,,,213973.0,25763,-140500,122502,,-50399,,-402.0,-191507,72559,-3002.0,894.0,,15664,-6426,9629,,,2013年01月01日至2013年03月31日,4660206,4049091,-611115,141153,,399241,408186,,,,,-701219.0,-840919,141153,,,272438,-43250,229188,239,,,18,,,,,267033,-4544,4049091,-12148,-56343,,,,,-15691.0,,
2013-08-14,2,2013,7061.0,67236.0,238851,80067,,-11056,-49834,,,,,,-17098,28622,129334,-308661,,,,-28574,-579.0,,1500.0,,,-2017.0,0.0,-150741,,489339.0,,122576,-143638,-764367,,90776,,-804.0,-194650,148705,-4142.0,2141.0,,36119,-17062,16238,,,2013年01月01日至2013年06月30日,4660206,4494420,-165786,476913,,386773,480952,,,,,-345105.0,-487243,476913,,,827525,-890722,-63197,1922,,143259.0,2580,,,,,4039,-7239,4494420,-93355,-138753,,,,,,,-98764.0
2013-11-11,3,2013,,192084.0,136940,161607,-210.0,56095,-33465,141030.0,-428.0,,,14500.0,-25220,43086,16194,-356282,,,-6300.0,-34327,,,1500.0,,,-14174.0,0.0,-159209,,253881.0,,49022,-146869,-434854,-38214.0,15220,-8506.0,-1221.0,-281411,226808,-10852.0,0.0,,52655,-25981,29936,831.0,,2013年01月01日至2013年09月30日,4660206,3882142,-778064,755305,,759816,924680,,-544152.0,0.0,,-724172.0,-1272663,755305,,-831.0,476717,-499426,-22709,11414,,143259.0,3293,,,,,169375,-7148,3882142,-168819,-129268,,,7061.0,,,-25404.0,-1795.0
2014-02-20,4,2013,,307408.0,333301,129631,-214.0,-38091,-21944,141030.0,-680.0,,,21366.0,-33318,55396,61090,-408164,,,-6300.0,-52338,,0.0,4480.0,1451.0,,-21934.0,,-358446,,561849.0,,-6503,-150118,-405261,-78035.0,-302130,-5653.0,-1636.0,-375300,305093,-21400.0,1379.0,2359.0,70871,-31982,36738,831.0,,2013年01月01日至2013年12月31日,4660206,3812508,-847698,1023721,,931407,1107084,,-544152.0,0.0,,-917586.0,-1464895,1023721,,-831.0,819971,-1044016,-224045,10181,,143259.0,7105,,,,,83363,-7549,3812508,-180433,-120633,0.0,,,,,-40155.0,-3343.0
2014-05-07,1,2014,,102947.0,-39548,68168,,33165,18426,,12272.0,,,,-9471,12987,-11360,-82186,,-3333.0,,-14006,,,0.0,-12.0,,10038.0,,-477781,,150355.0,,66226,-3264,-733,,-506284,,-399.0,-78888,81807,1798.0,-3390.0,,14600,-5834,8009,,,2014年01月01日至2014年03月31日,3812508,3954038,141530,221230,,-392951,-356468,,,,,628005.0,624729,221230,,,219278,-899923,-680645,2504,,,-4,,,4004.0,,-577698,7681,3954038,-38658,3028,,,,,,-8181.0,1671.0
2014-08-12,2,2014,0.0,202176.0,268092,-2847,,51219,-1097,,27279.0,,,,-19524,31366,-38881,-177522,,-3333.0,,-26384,,,0.0,7554.0,,0.0,9330.0,-653771,,674185.0,,23289,-6545,-478380,,-376438,,-784.0,-190575,166828,5968.0,-5738.0,,29227,-21894,18143,,,2014年01月01日至2014年06月30日,3812508,4966127,1153619,548827,,150313,254506,-3000.0,,,,1234753.0,1232762,548827,,,1017435,-1513932,-496497,4804,,0.0,-51,-285.0,,4004.0,285.0,-294321,-4534,4966127,-100442,-5955,,,,,,-28468.0,4339.0
2014-11-12,3,2014,0.0,320342.0,207731,45819,,41148,-52379,0.0,27279.0,,,10919.0,-41526,55757,9708,-295811,,-3333.0,0.0,-39567,,,0.0,7807.0,,0.0,19397.0,-657697,,1303101.0,,26205,-9817,-757044,,-453113,,-1173.0,-312628,255965,13693.0,,,43068,-35735,25541,831.0,,2014年01月01日至2014年09月30日,3812508,4813350,1000842,838316,,676626,880439,-3000.0,-606332.0,,,1238478.0,627136,838316,,-831.0,1594151,-1872370,-278219,46425,,0.0,25674,-285.0,,4004.0,285.0,42123,3446,4813350,-193619,-28969,,,,-24349.0,,-47219.0,2044.0
2015-03-11,4,2014,,401660.0,384496,-90080,,-13455,-80340,-4320.0,27279.0,,,14560.0,-66892,82416,62686,-438437,,-3333.0,0.0,-49802,,,2560.0,9488.0,,26927.0,,-995228,,2052369.0,,-100833,-13105,-772239,,-1013576,,-1562.0,-381400,347923,29138.0,0.0,0.0,56854,-48014,29244,831.0,,2014年度,3812508,5223705,1411197,1188938,,780347,1003165,,-606332.0,,,1555186.0,949564,1188938,,-831.0,2364672,-2952105,-587433,65378,,25469.0,22433,-285.0,,4004.0,285.0,-185773,14519,5223705,-204048,-55088,,6087.0,,,-642.0,-39431.0,
2015-05-14,1,2015,,,95003,97923,,10198,13543,,0.0,,,1382.0,-21565,11138,-19182,-61155,,0.0,,-10905,,,,,-670.0,-1246.0,0.0,-543870,,377035.0,,70823,-3303,-326823,,-351602,,,-77804,103101,0.0,7052.0,,13672,-31571,6100,,92596.0,2015年01月01日至2015年03月31日,5223705,5220762,-2943,201500,-390.0,-442043,-244332,,,,,540059.0,536086,201500,,,563512,-1101940,-538428,1836,,,1813,,,0.0,,-445832,10843,5220762,-172240,-16945,,,,,,-6334.0,1837.0
2015-08-13,2,2015,,,583347,76225,,80826,-19962,,,0.0,,,-43383,27880,-55767,-361747,,0.0,,-90816,,,,-2149.0,0.0,,3457.0,-1528842,,2063684.0,,73029,-3303,-1320804,,-1024565,,,-379486,208511,0.0,14599.0,,26105,-44511,56384,,216081.0,2015年01月01日至2015年06月30日,5223705,5561876,338171,605236,-777.0,-367857,-98072,0.0,,,1146733.0,,1141281,605236,5394.0,,2880149,-3799538,-919389,4417,,,2149,0.0,,0.0,0.0,-703308,80040,5561876,-281658,-10575,,,,,,65203.0,3811.0
