date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,停業單位稅前淨利（淨損）,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-07,1,2013,59840.0,,,,-2875.0,-9317,-1356,952,30,,,3720.0,,0.0,-506,716.0,-107,-4933,,,-72.0,,0.0,,,,,45530,,,85129,498,10740,2175,-425.0,-831,10343,,-66004.0,7215,-714.0,512,,2013年01月01日至2013年03月31日,350923,462315,-148,111392,-13037,,115205,115407,,,,-2875,-13037,1030,76837,-8233,68604,0.0,,,454.0,,2312.0,,442.0,,128444,,462315,,-479.0,38915.0,,,,652.0,
2013-08-13,2,2013,74842.0,,,,-5699.0,-7588,-4175,785,44,,,,1327.0,0.0,-1146,1422.0,-106,-9383,,0.0,-72.0,,0.0,,,,,98974,,0.0,90222,1943,14570,2994,-1108.0,-7674,19505,,-70802.0,13167,-1226.0,1099,,2013年01月01日至2013年06月30日,350923,514144,-375,163221,-23659,,176700,177582,,,,-5699,-23659,1254,84254,42145,126399,,,,454.0,,2312.0,,442.0,,201241,,514144,-755.0,-654.0,38915.0,,,0.0,540.0,
2013-11-07,3,2013,97104.0,,,0.0,-8536.0,-4932,-1620,374,-47,,,,-20879.0,0.0,-1602,2124.0,-12,-11744,,-2189.0,-24072.0,,37037.0,,,,,215987,,0.0,73449,-12991,-9945,760,-1739.0,-57332,27558,,-65895.0,17657,-1930.0,1522,,2013年01月01日至2013年09月30日,350923,960229,-280,609306,-37791,,267186,268349,408000.0,,,399464,-37791,1529,54161,154875,209036,0.0,,,1552.0,,2415.0,,978.0,,306140,0.0,960229,-755.0,-887.0,38915.0,,,-28340.0,15635.0,
2014-03-26,4,2013,208750.0,,0.0,0.0,-172017.0,761,-2719,1786,4917,,,-47518.0,0.0,0.0,-3075,2223.0,6011,-13802,,-2778.0,-4954.0,,37299.0,,,-7.0,0.0,200404,,0.0,149896,-9324,83577,-42858,-2403.0,-69438,40352,,-65895.0,21783,-2121.0,2625,,2013年01月01日至2013年12月31日,350923,934207,-6444,583284,-132360,,410728,410978,408000.0,,,235983,-132360,1802,140716,193872,334588,0.0,,,2288.0,,2455.0,,1339.0,,543338,0.0,934207,-754.0,-1027.0,54680.0,,57363.0,,16446.0,-2667.0
2014-05-06,1,2014,4171.0,,,,0.0,-12958,5076,1289,-7726,,,8691.0,,,-1310,0.0,512,-2273,,-865.0,-140250.0,,,11102.0,,-7.0,,17346,,,-72454,-5052,84659,10411,-743.0,-127106,5798,,0.0,2145,0.0,814,,2014年01月01日至2014年03月31日,934207,874046,-4607,-60161,30787,,55331,54650,,,,11102,30787,132,-89918,109610,19692,,,,10265.0,,0.0,,97.0,,23863,,874046,-133.0,252.0,1664.0,,,,-156.0,-2667.0
2014-08-12,2,2014,13576.0,10000.0,,,0.0,-5207,-237,2851,-1255,,,,6842.0,,-6401,0.0,206,-6470,-6599.0,-987.0,-369686.0,,,11778.0,149.0,-541.0,,1278,,,35656,-10601,49389,-19658,-1045.0,-356517,12019,301.0,0.0,5171,0.0,6096,,2014年01月01日至2014年06月30日,934207,714773,1345,-219434,53255,,124950,119222,,,,11927,53255,171,21955,30436,52391,,,,10924.0,,0.0,,90.0,,65967,,714773,-368.0,-483.0,1664.0,,,,919.0,
2014-11-10,3,2014,34475.0,10000.0,,,0.0,4672,1615,4173,-735,,,,6420.0,,-8863,0.0,223,-10113,-6599.0,-4541.0,-551421.0,,0.0,11778.0,149.0,,19.0,-26955,,,19632,-10173,43907,-810,-1205.0,-446103,18309,232.0,0.0,7566,0.0,8431,,2014年01月01日至2014年09月30日,934207,694187,-2162,-240020,113843,,193933,186178,0.0,,,11927,113843,1878,17331,20529,37860,,,,14306.0,95826.0,35.0,,-307.0,,72335,,694187,-676.0,-544.0,1664.0,,,16899.0,3507.0,
2015-03-30,4,2014,-78171.0,10000.0,0.0,0.0,0.0,31674,310,1765,-412,,,7899.0,,0.0,-12019,0.0,15671,-15178,-6599.0,-7375.0,-954164.0,,0.0,13187.0,149.0,488.0,0.0,83209,,0.0,-82677,-13758,108801,618,-779.0,-856232,27861,301.0,0.0,10100,0.0,11803,,2014年度,934207,385853,-31100,-548354,209748,,278871,267877,0.0,,,13336,209748,5293,-63474,199774,136300,0.0,,,14306.0,95826.0,35.0,,-307.0,,58129,0.0,385853,-809.0,-652.0,1663.0,,-79045.0,,7248.0,-1435.0
2015-05-04,1,2015,,,,,,-20929,1076,259,168,,,-37339.0,,,-3306,,-497,-4622,,-320.0,,54315.0,,1283.0,,61.0,,-126808,,,97396,4085,87481,9203,,11313,5970,,,1367,,2974,10396.0,2015年01月01日至2015年03月31日,385853,523909,2951,138056,58704,0.0,125957,123281,,,,1283,58704,3414,80811,-26630,54181,,,,0.0,,,,0.0,,64577,,523909,-298.0,0.0,0.0,,,,2250.0,-782.0
2015-08-10,2,2015,,0.0,,,0.0,-11277,1628,-393,77,,,-34947.0,,,-6713,0.0,-6665,-7652,0.0,-2030.0,,644993.0,,2250.0,0.0,385.0,,-104819,,,-90810,1933,138718,7730,,598395,12156,0.0,0.0,2638,0.0,6810,20032.0,2015年01月01日至2015年06月30日,385853,1035908,6560,650055,95379,0.0,56075,57222,,,,2250,95379,5309,-100547,42358,-58189,,,,0.0,,0.0,,82.0,,-38157,,1035908,-7957.0,0.0,0.0,,,,-976.0,-2354.0
