date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得按攤銷後成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,因合併產生之現金流入,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,金融資產重分類淨損失（利益）,長期應收租賃款減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付投資款減少,預付款項（增加）減少,預收款項增加（減少）
2013-05-14,1,2013,,608780.0,,-59,-7253,,,-231554,-57681,,,,,-6493,,7236.0,-4108,29843,16903,-29384,,,,,,-269180.0,,54726,758,,,,-14482,,-418372,,,515608,6933.0,,,-350993,,-315361,459480,,471,20475,-29694,4178,,,2013年01月01日至2013年03月31日,5819523,4526590,-13063,,-1292933,-599557,-854666,-854666,,,,,-323771,,-139809,-599557,,,321903,-1185792,-863889,101920,,,,,,,,,,-255109,2717.0,4526590,,438,,,,,110978,50530.0,2752,,,-351493,28258
2013-08-07,2,2013,,715014.0,,-654,-41881,,,-575236,-1084774,,,,,-27475,,16023.0,-10226,69551,46458,-810447,-1259.0,,-88957.0,,,-34567.0,,108951,1011,1301754.0,,,-12887,,-305284,,,451761,,,-26549.0,-1092840,-395493.0,336060,801414,,976,47167,-66288,9898,,,2013年01月01日至2013年06月30日,5819523,5545264,-51717,,-274259,-263056,-1452851,-1448651,,,,,1833208,,796074,-263056,578.0,,-102158,-1798451,-1900609,-1082837,,,,,,,,,,-1185595,7276.0,5545264,-4200.0,639,,88950.0,-266584.0,,110980,50530.0,-141238,,,1121821,41244
2013-11-06,3,2013,,1322761.0,-1742120.0,-778937,-10372,,-105390.0,2084,-126168,998830.0,13951.0,-333561.0,,-40221,,,-12890,136163,55130,-981261,-1259.0,,-88950.0,,,-473198.0,,91668,2021,1301754.0,-12.0,,-54132,,-397900,,,695476,,,-6644.0,-1628060,-747496.0,-762988,1266797,238.0,1244,95369,-125126,13230,,,2013年01月01日至2013年09月30日,5819523,5311168,-10430,,-508355,193289,-1305834,-1300647,,,,,15513009,-13992612.0,1505337,193289,98673.0,,-50177,-2766520,-2816697,744077,,0.0,,,,,,,,-1493936,,5311168,-5187.0,-3222,,88950.0,-266584.0,,107270,50530.0,-213507,0.0,,143238,23893
2014-03-18,4,2013,,1932372.0,-1554684.0,-550150,20324,,,-8716,-207393,,,-370367.0,,-47260,57627.0,,-60034,189174,-28352,-2751230,-1858.0,0.0,-88950.0,,0.0,,,-11388,7746,1301754.0,8.0,0.0,-42131,10969.0,-261438,,,496682,-27191.0,,,-1345318,230863.0,-1856905,1732639,238.0,1582,62891,-175519,60023,7200.0,,2013年01月01日至2013年12月31日,5819523,6372612,29550,,553089,499419,1262226,1265587,3107000.0,,998830.0,,18081051,-20022106.0,1176120,499419,117471.0,-7200.0,-32671,-1133533,-1166204,607639,0.0,0.0,,,31.0,,,,,766168,21291.0,6372612,-3361.0,539,,88950.0,-266584.0,7318.0,126155,244556.0,-189805,0.0,,429191,35413
2014-05-06,1,2014,14561.0,507820.0,-138669.0,-281635,-26150,,,85422,-152905,,,307756.0,,-11703,17777.0,16993.0,-21600,54202,23916,-681351,,,,,,,,271,0,,24.0,,-39794,0.0,-742240,,,307829,-8039.0,,,-899422,-207531.0,-374094,485114,,0,27235,-53405,21855,,,2014年01月01日至2014年03月31日,6372612,6046247,-47992,,-326365,383551,-910445,-913838,,,,,3520874,-2671989.0,934258,383551,,,192347,-1997556,-1805209,234797,,,,,,,,,,-1297389,16134.0,6046247,3393.0,1197,17011.0,,,11366.0,42626,0.0,-22161,,,30692,55625
2014-07-24,2,2014,17997.0,1104885.0,-765247.0,-201191,-4168,,,56296,-194560,,,324236.0,,-18338,30295.0,,-58402,106920,-2570,-1461136,0.0,,0.0,,,,,235,0,,24.0,,-42723,10002.0,-999798,-11995.0,,180927,,,21559.0,-913210,160483.0,-1086041,986659,,6,45370,-81298,57737,,,2014年01月01日至2014年06月30日,6372612,6949425,-11328,,576813,762266,-60005,-52757,,,,,8501678,-6381519.0,1725429,762266,33445.0,,100308,-2020216,-1919908,209620,,,,,,-12984.0,,,,-815023,32052.0,6949425,-7248.0,-2647,15596.0,0.0,-28582.0,38865.0,242171,0.0,15212,,,-68963,-4931
2014-11-04,3,2014,18189.0,1560912.0,-1055873.0,-167249,-246006,-250243.0,,23595,-53326,0.0,,-67222.0,,-19657,40222.0,,-99963,176284,-1955,-2126714,-42500.0,,0.0,,-7305.0,,,267,0,,49.0,0.0,-96113,13624.0,-922501,-11995.0,,-785224,,,312937.0,-1097159,-123867.0,-1677729,1494232,0.0,27036,45327,-159959,100009,,,2014年01月01日至2014年09月30日,6372612,7463992,11959,-172243.0,1091380,599260,-885768,-878476,,-236003.0,3496104.0,,13029238,-12483581.0,3656832,599260,50096.0,,-325559,-2713089,-3038648,824686,,,,,,64856.0,410000.0,-73933.0,-26181.0,-1477736,48135.0,7463992,-7292.0,-558,,0.0,,65066.0,242171,29918.0,80482,,,-19987,242247
2015-03-17,4,2014,22470.0,2148340.0,-2142579.0,-80067,-274915,-679975.0,,219,-31291,,,-485484.0,,-10841,41280.0,,-115444,245238,16433,-2123341,-42500.0,,0.0,,-104024.0,-77.0,,-52,0,0.0,49.0,,-229182,13649.0,-564812,-11995.0,-207582.0,-888913,,,308519.0,-685135,130346.0,-1887586,2010938,0.0,42694,47688,-204992,115446,0.0,,2014年度,6372612,8721777,-10100,,2349165,221989,253028,261724,1722500.0,-236003.0,3496104.0,470000.0,15688300,-15492318.0,3967290,221989,80394.0,0.0,-118315,-1990290,-2108605,560605,,,12695.0,,0.0,451742.0,410000.0,-73933.0,14072.0,39735,62402.0,8721777,-8696.0,14620,,0.0,,75046.0,105624,69338.0,7999,,,115492,479525
2015-05-06,1,2015,29.0,,-312534.0,-257190,18667,-125088.0,,-1149,80488,,,-8418.0,,-4519,3606.0,,-12866,62211,-31999,-314718,,,,,,0.0,,-19,0,,0.0,-1023.0,-38826,56288.0,-610732,,-88.0,-103910,-1066.0,,,548295,17248.0,-267007,516518,,525,963,-35564,12865,,645326.0,2015年01月01日至2015年03月31日,8721777,8075311,30022,,-646466,-497004,-478823,-479540,,,,,3276871,-3071805.0,131363,-497004,14244.0,,-514989,-112873,-627862,100000,,,2956.0,,,,,,955.0,17464,9486.0,8075311,717.0,-34372,,,,23759.0,175418,,67204,,,-41751,-161160
2015-08-11,2,2015,29.0,,-716301.0,-237319,-31874,142373.0,,12687,1027568,,,68019.0,,-14555,13039.0,-1082.0,-44287,123127,-46609,-1048458,,,,,,,,174543,0,,0.0,-1026.0,-39943,175006.0,-560541,-9314.0,-22321.0,269044,-3597.0,,0.0,-7775,176169.0,-757118,1037405,,2807,1958,-83139,43915,,1300609.0,2015年01月01日至2015年06月30日,8721777,8989780,-15687,,268003,-1282018,883746,885388,,,,,6683828,-5989363.0,187984,-1282018,24690.0,,72036,794761,866797,100000,,,2956.0,,,0.0,,2387.0,955.0,2167406,21904.0,8989780,-1642.0,-19913,-11017.0,0.0,0.0,52217.0,193985,13837.0,22161,,,48841,20334
