date,season,year,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產減損損失,非金融資產減損損失,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-05-13,1,2013,12942.0,-1727,38.0,19783,,-12,2981,-1914,,,-249,289,-1053.0,-2841,,-2221.0,,,-415,-38621,868,-39,,1077,-23584,-1929,-5477,8359,1707,-196,6,,2013年01月01日至2013年03月31日,54443,27333,-27110,-1422,-31472,-31478,,11088.0,,10892,-1422,2121,-45119,-42998,,,,,-30056,27333,,,2836.0,,81.0,
2013-08-12,2,2013,24379.0,-3439,20.0,17478,,-2496,-126,-379,,0.0,-495,886,-2190.0,-3354,,-2353.0,,0.0,-415,-1984,-17176,1099,,1114,5816,-2333,-6331,16839,4203,-699,856,,2013年01月01日至2013年06月30日,54443,41801,-12642,-37494,-14578,-15432,,11156.0,,10457,-37494,-19622,17305,-2317,,,,,22062,41801,-2.0,,2946.0,,89.0,-209.0
2013-11-11,3,2013,18286.0,3150,,23813,,-2712,-139,-2078,,0.0,-746,1316,-1877.0,-8593,,-2160.0,,0.0,-422,-37055,16629,27,,133,13819,-2641,98940,24740,6700,-1090,865,,2013年01月01日至2013年09月30日,54443,123362,68919,-44580,-32868,-13348,0.0,5814.0,,4724,-44580,19667,-6721,12946,,,110424.0,-17220.0,31232,123362,-20385.0,,3496.0,,0.0,-309.0
2014-03-26,4,2013,61080.0,1198,,12825,0.0,10038,-2723,-766,,-479.0,-997,1692,-1865.0,-11585,0.0,-2268.0,,0.0,-580,-22558,-21873,38,,13308,-554,-850,95682,32453,9197,-1556,1592,,2013年01月01日至2013年12月31日,54443,72391,17948,-110339,-79626,-61021,0.0,5313.0,,3757,-110339,-23360,11598,-11762,,,110424.0,-17220.0,49318,72391,-20197.0,0.0,36434.0,,155.0,-309.0
2014-03-26,4,2014,38750.0,-12594,,-103680,,10869,-1558,-5803,-687.0,-7934.0,-929,2919,0.0,-21830,-429.0,-21127.0,,,115,38859,23055,-77,,-68368,69341,-1067,-47309,33035,10546,-2691,929,,2014年度,72391,62073,-10318,-42307,-54338,-55267,,94020.0,,91329,-42307,8826,-60536,-51710,222.0,1113.0,0.0,0.0,-12960,62073,0.0,,0.0,-4500.0,,240.0
2014-05-09,1,2014,10331.0,-957,0.0,9070,,11732,-5851,-7247,-3.0,,-13,460,0.0,-2569,-260.0,568.0,,,-316,-123844,37231,722,704.0,-7578,59477,256,-2577,7314,2570,-227,13,,2014年01月01日至2014年03月31日,72391,33661,-38730,-19015,-34959,-34972,,,-967.0,-1194,-19015,31849,-58137,-26288,,,,,-15957,33661,,,,,,
2014-08-08,2,2014,21638.0,-3280,,-13366,,11300,-6762,-2582,-405.0,,-462,858,0.0,-7156,-369.0,-268.0,,,101,-35640,23632,-77,412.0,-91361,65016,656,-7692,16015,5227,-890,462,,2014年01月01日至2014年06月30日,72391,15215,-57176,-14012,-44369,-44831,,,-4225.0,-5115,-14012,13925,-66382,-52457,,,,,-30819,15215,0.0,,,,,
2014-11-11,3,2014,26529.0,1807,,-38022,,11084,-3398,-7546,-325.0,-6794.0,-683,1725,0.0,-8997,-429.0,-14121.0,,,301,-94139,22289,-77,165.0,-48284,65941,-9966,-30714,24401,7880,-1620,683,,2014年01月01日至2014年09月30日,72391,21483,-50908,-11966,-85225,-85908,,,66651.0,65031,-11966,20786,-121257,-100471,,,0.0,0.0,-73942,21483,0.0,,,,,-7468.0
2015-05-14,1,2015,,568,,48215,,657,30,-4188,21758.0,,-212,1099,,-2914,0.0,,220.0,8048.0,0,-192146,26116,0,0.0,65994,-2191,-273,-3256,8856,2733,-1085,212,20713.0,2015年01月01日至2015年03月31日,62073,8005,-54068,-29633,-44168,-44380,,-5559.0,,-6644,-29633,26714,-62174,-35460,110.0,189.0,,,-14747,8005,,,,,,-672.0
