date,season,year,不影響現金流量之收益費損項目合計,交割結算基金增加,交割結算基金減少,以成本衡量之金融資產減資退回股款,保證責任準備淨變動,停業單位稅前淨利（淨損）,備供出售金融資產（增加）減少,償還公司債,償還金融債券,其他符合國際會計準則第七號現金及約當現金定義之項目,其他負債增加（減少）,其他資產增加,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得投資性不動產,取得無形資產,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及銀行同業存款增加（減少）,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,對子公司之收購（扣除所取得之現金）,應付商業本票增加,應付商業本票減少,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產（增加）減少,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,概括承受他公司之淨現金收取數,營業保證金增加,營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,發行金融債券,短期借款增加,短期借款減少,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產及設備,處分及報廢不動產及設備損失（利益）,處分承受擔保品,處分承受擔保品損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,金融資產減損損失,附買回票券及債券負債增加（減少）,附賣回票券及債券投資（增加）減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加
2013-05-13,1,2013,-3819950.0,-1933,1062,,-84,,3656619,,,,2407,-1057,-119038,467229,-911511,-5350618,2273266,-692098,-218405,,-2212,,350642,-793,10267717,5191,0.0,-121240,,-3152333,25973120,,699000.0,,-1706248,1236156,-334595,183294,201542836,48314,-2035732,,6001893,,,2013年01月01日至2013年03月31日,28552562,28453737,-143185,-98825,2767688,,0.0,,223677,-3646229,,,,,0.0,,5206050,11404.0,704191,2767688,58359,,37188858,-39782825,-2593967,,1254,737,7936.0,3743.0,,,-337900,-6413917,-25637470,23236283,-96255.0,2837282,-216398084,-954396,,47878,-651856,,,,,
2013-08-23,2,2013,-7918494.0,-1934,1062,6000.0,34610,,-10499363,,,,222136,-1655,-98994,247493,-83281,-10843493,4594323,527238,-616889,,-36443,,828417,-1001,31526374,9675,0.0,-314140,,-2732617,40227615,,1217000.0,,-302542,-9127822,-954759,367574,201772929,96454,-4812838,,11862383,7898.0,,2013年01月01日至2013年06月30日,28552562,31161809,-153424,2609247,5314196,,0.0,,-489907,-6480069,,,0.0,2300000.0,,0.0,5241262,0.0,3526675,5314196,115956,-12761.0,73678877,-77554648,-3875771,,1304,7012,7936.0,2874.0,,,-423532,-11794265,-55381892,25920547,-1067281.0,1227035,-201403608,-2667551,,135047,531767,,,0.0,,
2013-11-14,3,2013,-11450675.0,-1934,1062,,28902,,3788999,,-6000000.0,,333444,-2074,-809351,304936,-7651772,-16703600,7016485,712731,-1049372,,-55684,,1259383,-1243,14043528,14886,0.0,-125497,557.0,-2325983,59937300,733910.0,882000.0,,-1631357,-5765156,-407264,552518,202268892,143814,-7253502,,18864617,105403.0,,2013年01月01日至2013年09月30日,28552562,20697182,-24633,-7855380,7979353,,0.0,,-6554523,-16491056,,-1503210.0,0.0,5000000.0,,0.0,3878205,0.0,-1606324,7979353,171608,-95502.0,73993065,-87012799,-13019734,,2051,-315,15580.0,5846.0,74137.0,-11954.0,-465904,-24470409,-72220247,16818977,-1779985.0,1829741,-204298181,-3484458,0.0,147386,-823284,,,9749.0,,0.0
2014-03-05,4,2013,-14806570.0,-5828,21062,,34068,,4010952,0.0,-6000000.0,,234239,-2310,-148256,537840,-11092159,-22573791,9539118,1043572,-1519854,,-161463,,1672454,-4612,395795,10568,0.0,-129088,557.0,-4995222,119288991,733910.0,,1200772.0,-4960637,-13861540,-938339,745755,202433018,219478,-9853202,,25926151,117131.0,,2013年01月01日至2013年12月31日,28552562,22624904,-48376,-5927658,10214297,0.0,0.0,0.0,-6509113,-20713896,0.0,-1503210.0,0.0,6500000.0,,0.0,1280852,0.0,476222,10214297,234781,-100787.0,117430987,-133552610,-16121623,268092.0,2594,-327,19416.0,8327.0,102665.0,-11643.0,-483447,-30928193,-88595557,21344052,-1985297.0,642805,-221303846,-4212153,,168384,1296566,,,1589.0,0.0,
2014-05-02,1,2014,-4315058.0,-3776,0,,461,,-5427079,,-1000000.0,,-35113,-672,-54958,1365592,-28991807,-6220881,2722464,-975809,-441841,,-8064,,373661,-267,22280578,9164,,-1191000,300.0,1463603,36276606,-80026.0,1349927.0,,626539,1352395,-1734165,201518,240547,63166,-2166523,,6986643,5.0,,2014年01月01日至2014年03月31日,22624904,24759999,-50787,2135095,3586269,,-10000.0,,888346,-3846984,,,,3500000.0,,,4387151,0.0,3956723,3586269,76863,-5.0,66251889,-69370084,-3118195,97632.0,914,2102,0.0,0.0,,,-163733,-7433253,-21272800,20372848,-84795.0,2522228,-16679985,-1319887,,0,3215726,,,,,
2014-08-29,2,2014,-8863486.0,-3776,54,0.0,4533,,-23308248,,-4700000.0,,85604,-3344,40467,471168,-38797451,-12967491,5706489,-739853,-945605,,-32475,,546278,-531,36668808,205441,,-1204032,464.0,3652341,62162973,-80026.0,1087065.0,,-1721672,-7558926,-2243096,403452,263901,119662,-5771065,-575196.0,13948903,14199.0,,2014年01月01日至2014年06月30日,22624904,26190858,-6790,3565954,6796450,,-35000.0,,-4141235,-11758076,10500000.0,,,3500000.0,,,1936171,,10690138,6796450,409910,-13522.0,110117029,-119808069,-9691040,97632.0,60644,-8663,0.0,0.0,,,-425733,-18554526,-57159683,24254687,,1201814,3059530,-2649612,,18001,11248865,,,,,
2014-11-14,3,2014,-12170478.0,-3942,54,,5071,,-14289582,,-5200000.0,,27372,-4024,-653245,-43209,-35799129,-20000373,8691872,-219549,-1513650,,-54566,,1190064,-841,20564201,400034,,-571024,744.0,2827742,77069582,-80026.0,1347119.0,,5678921,-8841368,-2191901,612993,1399963,184497,-8321641,,21965729,166112.0,,2014年01月01日至2014年09月30日,22624904,26309810,-49899,3684906,10306860,,-35000.0,,-2761782,-15382460,10500000.0,-1786647.0,,3500000.0,,,5573325,20214.0,8858138,10306860,484187,-116114.0,124659933,-138178775,-13518842,97632.0,60966,-8976,0.0,0.0,8567.0,1297.0,-460717,-25689320,-82593988,20716271,-1189522.0,11133317,-229168,-2771487,,62491,10230590,,,4616.0,,
2015-03-20,4,2014,-15588241.0,-3988,53,,1774,,-13626359,-500000.0,-7200000.0,,-25588,-4522,37636,-38197,-35186045,-27147256,11662630,264767,-2500172,,-239194,,2031915,-1136,10554000,228973,0.0,-1193124,744.0,-1096468,129900866,-80026.0,,846948.0,2239471,-8702922,-3980560,837795,2639585,252007,-11444813,,30123542,198802.0,,2014年度,22624904,32061680,-108027,9436776,12771067,0.0,-35000.0,0.0,7465663,-9957346,10500000.0,-1786647.0,0.0,3500000.0,,0.0,2379423,134897.0,5686906,12771067,549238,-121367.0,163022394,-170162566,-7140172,97632.0,60980,-8886,5210.0,2926.0,8479.0,1384.0,-482573,-22728413,-108656664,29547360,-1454522.0,13529746,-5553468,-3140078,,80591,6863232,-17861.0,,0.0,-314.0,
2015-04-24,1,2015,,-9955,0,,-2588,,-9327956,,-2300000.0,,-38227,-2761,-899081,-819902,14521464,-7174195,3042235,-955137,-357460,-207069.0,-25097,,998725,-331,-847980,-133764,,-683804,270.0,1443361,26625257,0.0,2007024.0,,2836456,-4458239,-1285707,226345,192696,79960,-2566151,,8632886,6.0,-3772855.0,2015年01月01日至2015年03月31日,32061680,28586750,85948,-3474930,3699371,,0.0,,-840346,-6829003,,,,0.0,33000.0,,2552003,105668.0,-393740,3699371,83798,-6.0,27345650,-34101169,-6755519,0.0,169,-166,0.0,0.0,,,-230702,-10528374,-6202646,25929079,-78084.0,3177970,-29123946,-900833,,18624,-3587593,-246822.0,,,,
2015-08-21,2,2015,,-10100,0,,-4070,,-36567448,,-7300000.0,,213297,-3132,-41084,-236327,-5571455,-14558984,6171117,1067324,-4233558,-207069.0,-63537,,2027794,-620,9364581,0,-142508.0,-9482,936800.0,-2974921,110108307,0.0,922033.0,,-70033,-14598152,-3588551,456381,880698,162310,-6351501,,17077061,10645.0,-8053005.0,2015年01月01日至2015年06月30日,32061680,25064263,78712,-6997417,7650314,,0.0,,-3410280,-13517529,0.0,,,5000000.0,454565.0,,1844397,,-1065910,7650314,175326,-34674.0,122468258,-135583096,-13114838,0.0,1527,-286,,,,,-296849,-21167843,-53565351,23219866,-628956.0,9039099,-22407684,-2248250,,18624,-5950046,-737699.0,,,-156.0,
2015-11-13,3,2015,,-10100,54,,17597,0.0,-16761768,,-7300000.0,0.0,302117,-6760,-189243,-721080,5725088,-22307093,9346764,1424210,-5968183,-235174.0,-151099,0.0,2769707,-941,12061422,0,-83021.0,-3374077,5705.0,-7249739,127157841,0.0,0.0,-1200803.0,9139304,-11247919,-9737440,690728,859702,243954,-9019507,,25850366,217162.0,-15409820.0,2015年01月01日至2015年09月30日,32061680,42848703,75859,10787023,11988615,,0.0,,21389678,5327428,0.0,-3173850.0,,8750000.0,388609.0,,7718883,0.0,-2289425,11988615,274522,-209828.0,153149132,-144400499,8748633,329640.0,2194,-469,,,0.0,0.0,-272042,-6661187,-69465027,35129820,-985771.0,10341939,-44977587,-6075432,,35824,-5131470,-1094006.0,,89.0,,
2016-03-18,4,2015,,-10100,219,,8549,,-45947317,0.0,-7600000.0,,224885,-8198,-564280,-1177391,8955422,-29981181,12507553,1217132,-6508542,-234705.0,-375984,,3557881,-13639,12970509,0,-86070.0,-2025685,0.0,-4590329,175702178,0.0,0.0,-549935.0,120569,-4743325,-9133078,940743,628643,334516,-12549995,0.0,34273681,230718.0,-20018456.0,2015年度,32061680,41803384,75949,9741704,14785131,0.0,0.0,0.0,19626544,-1032277,0.0,-3173850.0,0.0,8750000.0,536621.0,0.0,5092652,0.0,-1968894,14785131,343836,-216343.0,193053882,-188852834,4201048,372823.0,10255,-4760,8997.0,-8884.0,10665.0,-2562.0,-316949,-15817408,-91181192,36710732,-1295583.0,10309903,-50531473,-7377757,,121133,-5083132,-878983.0,-218483.0,0.0,-180.0,
2016-04-27,1,2016,,-1048,4516,,-16989,,6912133,,0.0,,-29402,-11843,204382,10261,2850457,-7550363,3221062,-628127,-362353,0.0,-39509,,49849,-283,-10623605,49372,0.0,0,897858.0,5567583,20564991,-140651.0,591054.0,,1349611,2281207,346983,253479,4066,103753,-2615201,,8713091,1632.0,-5958058.0,2016年01月01日至2016年03月31日,41803384,40153915,1110,-1649469,4405045,,0.0,,-2327564,-8318869,,,,0.0,318813.0,,3627494,190200.0,959239,4405045,101244,-3555.0,20845817,-27611673,-6765856,0.0,13,7404,0.0,0.0,,,-121510,-12723914,4139760,36336221,-108217.0,11252106,-49875195,-2003542,,0,-1677862,303934.0,,,,
2016-08-12,2,2016,,-1048,4523,,-23077,,-14661982,,-300000.0,,102932,-23464,463036,3890215,11383401,-14882883,6025504,957571,-1105607,0.0,-110607,,596699,-2068,-6459716,26091,0.0,-751,1944460.0,12942001,41767550,-140651.0,0.0,-60890.0,5427397,-6235775,566890,511534,-1239685,226123,-6236322,,18429997,20263.0,-11598757.0,2016年01月01日至2016年06月30日,41803384,39079676,1021,-2723708,8481671,,,,-4486134,-15837101,,,,0.0,404469.0,-154565.0,1866831,10813.0,237965,8481671,196711,-33329.0,56687110,-69407125,-12720015,322860.0,35,7398,,,,,-205914,-24318772,-17458052,37202032,-862971.0,14292244,-54828117,-4021464,,2920,-2331444,228048.0,,,0.0,
