date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人減少,其他應收款增加,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付投資款增加,預付設備款增加
2013-05-13,1,2013,2675962.0,,-36747476,521604,,,,1658953,-64269,-57763,0.0,-3574.0,,-10746.0,0.0,275858,,-161382,216034,614028,-873606,,,-15462,-784622.0,,20808,4509,31123,,-5535.0,,-625186,-1179955.0,,-6697589,439469,,701890.0,,8864128,,270.0,-7804119,1415242,137738,41046,-87390,141163,,2013年01月01日至2013年03月31日,23237949,25752081,2514132,6062114,,12551459,13479583,,,,1566140.0,,-2847236,6062114,61098,-5098625,9840132,4741507,32389432,5481,15337,,,,0,,,7417469,,,25752081,-1069287,,,,689363,-35180.0,-330000.0,-4609674
2013-08-12,2,2013,4339679.0,0.0,-4906811,1125287,-29957.0,,,731883,-309452,-152935,,,-6540.0,,-8868.0,234574,,-330320,446529,814530,-2261537,,,-31965,-5299411.0,,8415,133780,81072,,-459.0,,4100520,-1302493.0,,-13714752,250991,,1380424.0,,11255916,,263.0,-18537524,2971856,268505,80348,-190156,263650,,2013年01月01日至2013年06月30日,23237949,28453840,5215891,8946218,,16148005,17954042,,0.0,,9548991.0,,6790880,8946218,70182,-11267239,15935384,4668145,2248139,36558,16155,,,,37,0.0,,9007824,,0.0,28453840,-2069687,0.0,,-87638.0,635496,-62061.0,,-9669386
2013-11-13,3,2013,6005641.0,0.0,-6027475,-394706,-30085.0,,,41679,431005,-211112,,,-8469.0,,931.0,-165226,,-536039,726249,434721,-4242574,,,-58015,-3713831.0,,-3732,182313,21002,,-132155.0,,352221,-1305681.0,,-11697556,-1674283,,1124448.0,,17708138,,-67.0,-22204400,4644727,500730,123244,-312432,489212,,2013年01月01日至2013年09月30日,23237949,40163854,16925905,9938098,,19425972,21623506,,-6870195.0,,25390671.0,,19269612,9938098,112396,-12211159,17890926,5679767,7012101,42357,19186,,,,37,0.0,,11685408,0.0,0.0,40163854,-2686746,,,-87819.0,648253,-64147.0,,-12795469
2014-03-25,4,2013,11046138.0,0.0,-6186989,-167499,-30035.0,,,-3655668,-329199,-96201,,,-10555.0,,-496315.0,-2599,,-819915,1078076,824771,-5709564,,,-65795,-5978727.0,,6641,200396,15714,,36946.0,,4257901,-1304443.0,,-10220231,-1673509,,1943017.0,,13142200,,-693.0,-30153665,6392841,1923186,167718,-499001,786007,,2013年01月01日至2013年12月31日,23237949,38299393,15061444,8904183,,20469213,23145409,0.0,-6870195.0,0.0,28965087.0,,23921125,8904183,130791,-10453144,13648232,3195088,8335812,45170,71666,,,,7839,0.0,,14241226,-5030.0,0.0,38299393,-3462203,,,891.0,892555,1205178.0,,-16688776
2014-05-06,1,2014,1681586.0,,-1516751,-198119,,,,3377857,596337,-74505,,,-1345.0,-107.0,,-92984,-419126.0,-381164,411375,952423,-1337427,,,-31820,-7663936.0,,8,23788,0,-26765.0,-2534.0,,1573562,0.0,,-7810763,-503204,-1046764.0,,,6132037,,105.0,-11386911,1807408,177827,42306,-260155,223785,,2014年01月01日至2014年03月31日,38299393,35207155,-3092238,98749,,3631911,3826878,,,,5481224.0,,3710339,98749,38451,-8962408,11008951,2046543,10343,4200,-1639,,,,738,,,3728129,,,35207155,-418752,-16013.0,,,0,-303989.0,0.0,-1936899
2014-08-07,2,2014,3541665.0,-11078507.0,-2058726,608392,-7720.0,,,2765476,108709,13704,,,-2055.0,-16862.0,,-289914,-442871.0,-739475,760430,229969,-1894246,-150000.0,,-40360,-3771619.0,,-7846,139925,-26914,,-4326.0,,1453532,0.0,,-4954720,-140091,-118316.0,,,1877237,,-329.0,-11918402,3658023,606251,84744,-561065,616077,,2014年01月01日至2014年06月30日,38299393,24249769,-14049624,288792,,5457254,5444051,,,,5708981.0,,-7818445,288792,88714,-4496355,6109949,1613594,491960,100369,7573,,,,996,,,5155259,,,24249769,-602874,42898.0,,-424324.0,0,-669733.0,,-5699483
2014-11-04,3,2014,6022057.0,-11045273.0,-3696082,-140007,-7697.0,,,3612254,168530,-44304,,,-2770.0,,1.0,-144094,-441502.0,-1026758,1101481,769027,-3578024,-150000.0,,-82776,-2865361.0,,-1398,177845,0,-26973.0,-26517.0,,994919,0.0,,-2400440,342586,-1025465.0,,,-512024,,-234.0,-14192235,5619121,652578,125652,-872340,890318,,2014年01月01日至2014年09月30日,38299393,25347059,-12952334,6287,,7107514,7010063,,-1646549.0,,7828977.0,,-6636640,6287,131201,-3069126,4050845,981719,3078546,3808,8270,,,,4402,,,7003776,-14096.0,,25347059,-792867,131532.0,,-424324.0,0,-575528.0,,-7056266
2015-03-03,4,2014,9714280.0,-11091658.0,-4071928,-400207,-7729.0,,,1862015,50433,-38690,0.0,,-2991.0,-1696.0,,-363481,-531646.0,-1310941,1430786,2517895,-3688691,-150000.0,,-112903,-7477769.0,,-3120,192918,0,-25615.0,34450.0,,2093724,0.0,,12647,52325,,,,1047012,-29106.0,-1580.0,-21498746,7889564,389068,163581,-1133280,1087455,,2014年度,38299393,29539623,-8759770,575412,,14411530,14886268,,-1646549.0,,10509340.0,,-4190449,575412,171629,-338379,4934955,4596576,3511367,8899,29207,,,,6139,-89.0,,14310856,-51997.0,,29539623,-1562193,137447.0,,-424324.0,2108808,-928179.0,,-9585529
2015-05-12,1,2015,,,-2881714,-318669,,,,2828303,-29955,-64134,,,0.0,-291.0,,829073,0.0,-302333,330528,-448027,-224241,,-35174.0,-3301,,0.0,-3387,8722,5230,0.0,-1203.0,,-1766016,,,-4074500,-282500,,,,2711022,,,-304637,2366666,53242,38252,-331538,530814,3392098.0,2015年01月01日至2015年03月31日,29539623,27356058,-2183565,-1102265,-133.0,1683133,1269235,,,,0.0,-2121017.0,-3114034,-1102265,106372,-4729773,3709175,-1020598,2206283,48731,-36074,,,,231,,1957794.0,2371500,-24016.0,,27356058,-116916,-60322.0,,,70081,0.0,,-2047183
2015-08-12,2,2015,,0,-3958840,-302808,0,-3743,,2339704,28419,-150852,,,0,0,134,811617,-1037,-529374,663550,-1088012,-349130,0,-157654,-11417,,0,3356,29293,1042,0,0,9277,-1751301,,,-6826009,-121991,,,,2277168,,,789284,4776673,105543,74717,-592617,722063,6129928,2015年01月01日至2015年06月30日,29539623,28402879,-1136744,-2006207,-215,-10391,-409870,4112916,,7781249,0,-10956830,-827625,-2006207,158723,-7248310,2714719,-4533591,3134958,199963,-39713,,,,482,-70,4316534,1596337,-25706,,28402879,-322584,-1308,,-378796,127662,-21448,,-3214125
