date,season,year,不影響現金流量之收益費損項目合計,代收款項增加（減少）,以成本衡量之金融資產減資退回股款,借券保證金－存入增加（減少）,借券保證金－存出（增加）減少,借券擔保價款（增加）減少,備供出售金融資產（增加）減少,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,利息收入（含財務收入）,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得子公司股權,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳提列（轉列收入）數,存入保證金增加（減少）,客戶保證金專戶（增加）減少,庫藏股票買回成本,應付商業本票增加,應付商業本票減少,應付帳款增加（減少）,應付票據增加（減少）,應付融券擔保價款增加（減少）,應收帳款（增加）減少,應收期貨交易保證金（增加）減少,應收票據（增加）減少,應收證券借貸款項（增加）減少,應收證券融資款（增加）減少,應收轉融通擔保價款（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,期貨交易人權益增加（減少）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業外金融商品按公允價值衡量之損失（利益）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分待出售非流動資產損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,融券保證金增加（減少）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,轉融通保證金（增加）減少,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,附買回債券負債增加（減少）,附買回票券負債增加（減少）,附賣回債券投資（增加）減少,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,-22570.0,-6537,,-415605,-742094,131958,101233.0,,-218024,118922,-274,-4649,76847,-19114,-20863,-281544,-98.0,106.0,,29486,43353,-9940,,,,,-3661,-30.0,-102.0,562968,,0.0,,-425449,-606,-1316068,-1849262,0.0,5745,,-546756,17407,-1438.0,-13875,49217,0.0,0.0,-21044,9848,,-55394.0,,,2013年01月01日至2013年03月31日,5408513,3819948,-554000,-1588565,353759,-2775.0,-3620043,-3255638,,,1602000,,2002000,353759,,,-3304757,-282070,-3586827,400000.0,0.0,,,0,,,0.0,,,-911133,-3609397,,3819948,12751,-309011,1982702,1371926,-87378,,-1130428.0,472894,,4352,-2762
2013-08-28,2,2013,296315.0,-2745,7000.0,-1225019,617573,77670,211974.0,,-139422,-113337,-749,673,78912,-19113,21136,-364439,,-92.0,,65493,53735,-16131,,,0.0,,-5967,-61.0,-327.0,761208,,3099531.0,,878944,-735,-1677187,-739922,0.0,5198,-540.0,-1707386,8095,-1771.0,-15847,95293,0.0,0.0,-30514,19259,-115125.0,,,,2013年01月01日至2013年06月30日,5408513,3949010,-793557,-1459503,723444,,-5806922,-5113630,,,1210000,,4309531,723444,,95039.0,-4904971,-1228418,-6133389,,0.0,,,0,,,0.0,,,-1056819,-5837074,0.0,3949010,13443,-578167,-671883,-1368283,51898,,169582.0,901178,,4663,-1153
2013-11-08,3,2013,181207.0,1677526,10000.0,779830,-1030223,33480,214454.0,-299881.0,-101087,102958,-1035,-282,-1564143,-19113,-14105,-253551,,0.0,,101895,29861,-28847,,,0.0,,-9620,-75.0,-210.0,731145,,1399660.0,,-251607,150,-994945,-3177091,0.0,6649,0.0,-4338578,-20045,-1783.0,-29491,140739,0.0,0.0,-43631,28480,-146112.0,,,,2013年01月01日至2013年09月30日,5408513,3995127,-728756,-1413386,1216562,,-7222347,-6471393,,-387707.0,5096519,0.0,5808591,1216562,,44517.0,3929344,-11798506,-7869162,,11.0,,,171,,,0.0,,,-559377,-7687955,0.0,3995127,-15759,-604842,1768913,-3919728,-90889,,2611014.0,1199670,,-7190,2622
2014-03-26,4,2013,79519.0,429912,10000.0,-7628,-213411,-48244,225997.0,-299881.0,55638,110883,-2286,-2379,-423181,-20172,-204554,55790,,0.0,,141091,44293,-53359,,,0.0,,-25841,-91.0,1207.0,760289,,2299582.0,,2874245,-219,-385726,-2550955,0.0,737,,-1970533,-139114,-1666.0,-51874,187513,0.0,0.0,-55722,38410,-198054.0,,,,2013年01月01日至2013年12月31日,5408513,4554344,-766692,-854169,1793877,,-4477581,-3449466,,-387708.0,2019000,0.0,3630993,1793877,,44517.0,3525228,-8848090,-5322862,,19612.0,,,-1356,,,0.0,,,-188474,-5243343,-639.0,4554344,-176671,-830061,-444846,-5390546,-274843,,1786090.0,1173007,,-1794,140787
2014-05-07,1,2014,15725.0,-425181,23395.0,-1020315,1037075,246781,0.0,,-198501,8712,-266,73335,460576,0,169367,-184329,0.0,0.0,,40569,34422,-19595,,,,,-8520,0.0,2992.0,161383,,2899197.0,,1231596,-387,-1295128,237225,,873,,-1488216,76389,-92.0,863,47426,,,-14864,10738,-40915.0,,,,2014年01月01日至2014年03月31日,4554344,3339566,-168081,-1214778,563786,48315.0,-3749260,-3700858,,,0,-400000.0,2499197,563786,,,862502,-5142871,-4280369,0.0,5849.0,,,-2999,,,,,,-915600,-4264644,,3339566,96223,-7487,1473381,-4639078,-113460,,2421468.0,-1524076,,13895,-132656
2014-08-28,2,2014,22651.0,-434510,9700.0,-1267594,1165112,235489,0.0,,-24675,-234002,-1171,14820,481689,0,109142,120246,,0.0,,83177,-1478,-47798,,226013.0,,,-8759,0.0,3153.0,-623607,,4748413.0,,882210,-768,-1351029,-343764,,696,0.0,-3306619,151294,-453.0,-18788,92943,,,-32862,20375,-141499.0,,,,2014年01月01日至2014年06月30日,4554344,3727018,531579,-827326,1223305,58093.0,-7726886,-7554739,,,1921366,,6919826,1223305,6604.0,49950.0,-3123923,-5676772,-8800695,,5845.0,23395.0,,-3001,24034.0,,,,,-962148,-8778044,,3727018,181895,-30648,570115,-3721048,-252628,,-1071191.0,217710,,9241,-133678
2014-11-13,3,2014,-734276.0,1296965,247186.0,-645528,917539,-28110,0.0,0.0,246202,23687,-1751,17970,-1266055,-3328,80537,209781,,,-1159780.0,130272,30103,-84633,,226013.0,,,-11831,0.0,5575.0,-2044931,,2199444.0,,-648415,186,-385486,1774575,,3117,-370.0,-3568959,150424,-443.0,154819,137111,,,-49061,29863,-188437.0,1139038.0,432650.0,,2014年01月01日至2014年09月30日,4554344,3692345,1945145,-861999,1811745,126683.0,-3826685,-5159826,,-1139521.0,1469794,,2779764,1811745,6604.0,-403030.0,4386304,-10623599,-6237295,,5848.0,,,-2999,24034.0,,,,,-120394,-6971571,,3692345,182815,-50110,2182532,-6914745,450061,422593.0,,68574,,-1697,-137051
2015-03-27,4,2014,-1558967.0,-437215,223791.0,474847,694406,-279583,0.0,500000.0,59591,-63556,-3069,15421,522898,1373,174557,565012,,,-1573548.0,178760,104267,-103880,,-24348.0,,,-39924,0.0,,-4198994,,0.0,-549865.0,-1658685,288,-414943,1169681,,4532,,-1682067,133718,,106160,181418,,,-63728,39692,-233696.0,1498820.0,457506.0,,2014年度,4554344,4227583,4149735,-326761,2432701,36056.0,-211502,-1857640,226014.0,-1139521.0,638000,,-325686,2432701,6604.0,-407672.0,5234724,-7966098,-2731374,,5847.0,23395.0,,-2996,24034.0,,,,,-134757,-4290341,-107.0,4227583,174587,-76492,1250313,-5180538,46447,1494923.0,,558394,,5867,-131072
2015-05-13,1,2015,,1503528,0.0,-1619288,302946,330372,,-500000.0,-133224,-5094,-452,21158,-1564852,872,174923,1203086,,,-396510.0,46510,-23310,-27248,,,,,-28929,,,193807,,3398924.0,,3034808,-678,-1602465,-391308,,2094,,-5031590,24001,,-56629,44231,,,-14831,10043,-49215.0,331698.0,2125.0,-447217.0,2015年01月01日至2015年03月31日,4227583,4416833,-271420,189250,681728,-6531.0,-8199040,-8445840,,,4267104,0.0,8468229,681728,,-2008.0,2195165,-10875516,-8680351,1300000.0,0.0,,,0,,,,,,-1416734,-9127568,,4416833,15007,-37808,-803161,-4880353,-128121,2284005.0,,0,2201.0,-45469,-5322
2015-08-27,2,2015,,-10926,8750.0,-2093637,-38517,-50374,-1472098.0,-500000.0,49288,-78970,-627,20494,-108392,775,221268,1069296,,,-823316.0,101932,-57179,-115585,,24216.0,,-23160.0,-10228,,,-965660,,3549007.0,,1216170,-1056,-966770,-1251707,,-3104,,42418,-29969,,-140850,88699,,,-35040,20127,-104303.0,807611.0,11446.0,-433095.0,2015年01月01日至2015年06月30日,4227583,4506023,883743,278440,1156119,-9044.0,-2958474,-3598552,0.0,,361720,,3434943,1156119,0.0,-39915.0,6369838,-10691414,-4321576,,0.0,,,0,,,,,,-878271,-4754671,,4506023,-13634,-74676,-55278,-6607380,263462,7135458.0,,-304689,,-30606,552
