date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得無活絡市場之債務工具投資,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,預付款項（增加）減少
2013-05-02,1,2013,1164.0,41891.0,,-500000.0,,-31222,6998.0,0.0,4598.0,-1834,-4428,,,37120.0,5407.0,0.0,,7484,-8321,11600,177,-3082,-244882,,,18.0,0.0,-100.0,,-133413,,-2750,99936.0,,-10168,33883,124215,179.0,-232185,55451,-552.0,388,583,-17513,8395,,,2013年01月01日至2013年03月31日,711151,314915,-18586.0,-396236,-8497,,32240,26791,,,4450,,-196468,-8497,,-46347,39744,-6603,204236.0,,,,0,,35288,314915,5449,,,-22619
2013-08-07,2,2013,,123832.0,,-500000.0,,-1043,7174.0,,-469.0,10689,435,0.0,68118.0,,,-832.0,,1594,-12865,22064,1430,-3932,-539245,,,,-146.0,-119.0,,-166206,,-26758,260889.0,0.0,-13414,78729,17771,292.0,-356512,111267,-598.0,388,1175,-46920,18585,,,2013年01月01日至2013年06月30日,711151,401112,4826.0,-310039,-15839,,5604,11766,,,119274,,39439,-15839,,-30832,-65395,-96227,200000.0,,,98487.0,0,-2635.0,27605,401112,-6162,,,3957
2013-11-06,3,2013,,174040.0,0.0,-500000.0,-146940.0,77083,,-119506.0,-2252.0,7272,-11442,0.0,172805.0,,,,,4312,-16672,33356,-23081,-5864,-705723,,,,-179.0,-79.0,,-120710,,-9704,215012.0,,-6824,25550,60075,334.0,-140500,168002,1444.0,354,1770,-58708,26687,,,2013年01月01日至2013年09月30日,711151,503090,-4.0,-208061,36466,,197723,198477,-6617.0,-31768.0,57469,,-242203,36466,,69605,-81634,-12029,349034.0,,,367362.0,0,-10408.0,162011,503090,-754,-2004.0,,-33209
2014-03-27,4,2013,,14662.0,6006.0,-500000.0,-746940.0,-14185,,-199191.0,,7605,2445,0.0,44161.0,,,,,4191,-19758,42420,16841,-8807,-1115702,,,1763.0,0.0,-79.0,,-13031,,-19760,49947.0,0.0,-5233,4389,-12426,-848.0,441676,223788,-2618.0,405,2364,-33620,31687,47868.0,,2013年01月01日至2013年12月31日,711151,712518,15.0,1367,197240,,130245,140150,-6617.0,-31768.0,0,-67319.0,-587395,197240,-47868.0,-35039,-36713,-71752,948004.0,,,1432351.0,0,-188289.0,-57090,712518,-9905,1990.0,-1654.0,-18495
2014-05-12,1,2014,0.0,58134.0,,0.0,0.0,-20064,0.0,-1669.0,,12589,17013,-273081.0,0.0,,,,-4584.0,0,-6251,10415,1069,-3047,-86026,,,66.0,,-7.0,,10203,,6278,0.0,-349865.0,-52,19886,35927,38.0,-316349,57551,100.0,0,603,-10200,5835,,,2014年01月01日至2014年03月31日,712518,410137,,-302381,17864,,152031,156746,,,222536,0.0,-139132,17864,,-1111,81859,80748,0.0,,,44561.0,7,-4503.0,138882,410137,-4715,312.0,,-1170
2014-08-11,2,2014,0.0,96438.0,4799.0,0.0,0.0,-22389,0.0,-5640.0,6828.0,19732,11264,-266332.0,0.0,,,,-2377.0,0,-13949,21456,-5142,-4875,-890380,,,122.0,0.0,-5.0,,379,,22589,0.0,-61.0,475,75135,112348,81.0,-1080833,115046,-520.0,0,1190,-14454,2340,,,2014年01月01日至2014年06月30日,712518,442038,,-270480,44523,,372229,384351,,,463299,,443266,44523,,19968,223422,243390,0.0,,,75997.0,7,-27804.0,339828,442038,-12122,492.0,,17468
2014-11-10,3,2014,,48634.0,4799.0,0.0,0.0,-8629,3663.0,0.0,-1621.0,-882,14962,-189409.0,0.0,,,,-3491.0,0,-22123,33840,4806,-17942,-1753122,-16666.0,,195.0,0.0,-5.0,,-46316,,16963,199977.0,,680,31294,145113,123.0,-1068909,172798,-392.0,-215,1786,-33447,6817,,,2014年01月01日至2014年09月30日,712518,569015,,-143503,165969,,338239,353929,0.0,-111186.0,523635,,582361,165969,,7863,131463,139326,0.0,342.0,,899768.0,-76,-137743.0,187960,569015,-15690,152.0,-476.0,-11754
2015-03-24,4,2014,,39360.0,35219.0,0.0,0.0,5972,10495.0,0.0,,20073,21646,,264384.0,,,,-6397.0,0,-29069,46665,15167,-18667,-2067750,-16802.0,,112.0,,-6.0,,56779,,-9863,224901.0,,827,29781,162039,244.0,-464969,230757,-28.0,-105,2401,-38804,27718,26896.0,,2014年度,712518,1145004,-8.0,432486,207977,,518912,539996,0.0,-111186.0,278334,0.0,363376,207977,-26896.0,17225,275434,292659,0.0,345.0,,1290091.0,-76,-184419.0,332019,1145004,-21084,5.0,-476.0,5294
2015-05-04,1,2015,,,,,-102600.0,-11046,,-2154.0,,14809,26099,-9157.0,,,,,0.0,1378,-3404,10884,-3695,-2149,-458964,,,0.0,-1.0,0.0,,-23315,,31701,,-249898.0,-792,-10831,38612,,-118886,60250,0.0,51,615,-10988,2892,,27686.0,2015年01月01日至2015年03月31日,1145004,764425,,-380579,101592,42.0,186993,187228,,,0,-79350.0,-444991,101592,,34714,23236,57950,,,,347114.0,5,-40718.0,85636,764425,-235,54.0,,-7380
2015-08-05,2,2015,,,15443.0,,-206099.0,-19646,,-4569.0,,-9966,17131,-5354.0,,,,,0.0,4243,-6320,21159,-5045,-7904,-1379738,,,0.0,-1.0,0.0,1.0,-69824,,7773,,-49111.0,670,6742,17156,,-17272,118666,0.0,511,1221,-21475,7543,,10303.0,2015年01月01日至2015年06月30日,1145004,870721,,-274283,240267,84.0,153977,183055,,,0,-124688.0,-405943,240267,,-21085,-46430,-67515,,,937.0,1347557.0,16,-123684.0,-57212,870721,-29078,-755.0,,-18146
