date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融負債增加,以成本衡量之金融負債減少,償還公司債,償還特別股負債,償還長期借款,其他借款增加,其他借款減少,其他應付款－關係人增加,其他應付款－關係人減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他金融負債增加,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得採用權益法之投資,取得避險之衍生金融資產,合併發行新股追溯調整,員工執行認股權,員工購買庫藏股,子公司發行特別股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付款項增加,應付款項減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,按攤銷後成本衡量之金融負債增加,按攤銷後成本衡量之金融負債減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,現金減資,發放現金股利,發行公司債,發行特別股負債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分子公司股權（未喪失控制力）,處分待出售非流動資產,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分避險之衍生金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,金融資產證券化款項,附買回票券及債券負債增加,附買回票券及債券負債減少,除列避險之衍生金融負債,非控制權益變動
2013-04-24,1,2013,22003.0,,,,,,,,,,-17012,6216,,,,,,,,-10983.0,,851,-5401,6704,,,-21114,,,,,,,,,,,,2.0,3971,,,,,,,,56900.0,,,,-15676.0,-425.0,-32095,11372,94888,,,,-4973,11155,,7750,13141,,2013年01月01日至2013年03月31日,1856530,2176572,8999.0,320042,174798,,345433,325663,,,,,,,,,174798,,39463,89399,128862,,,,,0.0,,,150865,2176572,-1121.0,,,,,
2013-07-24,2,2013,26260.0,,,,,,,,,,33727,-749,,,,,,,,-33557.0,,848,-11578,9309,,,-23911,,,,,,1416.0,,,,,,-204.0,9994,,,,,,,,127594.0,,,,-143133.0,-849.0,-57672,23674,110016,,,,-26108,21577,,12912,22946,,2013年01月01日至2013年06月30日,1856530,2391215,17847.0,534685,428468,,581632,591328,,,,,,,,1416.0,428468,,160472,-23872,136600,,,,,0.0,,,162860,2391215,-45554.0,,,,,
2013-10-25,3,2013,27131.0,,,,,,,,,,9901,-24845,,,,,,,,,-29318.0,945,-17494,6674,,,-27568,-2597.0,,,,,14254.0,,,,,,1025.0,-14943,,,,,,,,34350.0,,,,-70281.0,-1277.0,-58458,35938,98254,,,,-43173,33173,,17389,26861,,2013年01月01日至2013年09月30日,1856530,1971553,17742.0,115023,655077,,711549,713367,,,-558996.0,,,,,-544742.0,655077,,42974,-11815,31159,,,,,0.0,,,58290,1971553,-46068.0,,,,,
2014-01-27,4,2013,29514.0,,,,,,,,,,64577,-19463,,,,-106068.0,,,,-38926.0,,-65,-23211,11023,,,-31296,-4176.0,,,,,84749.0,,,,,,1063.0,49176,,,,,,,,-19090.0,,,,-88893.0,-1855.0,-179403,48208,77836,,,,-61252,45719,,22134,26861,,2013年01月01日至2013年12月31日,717490,1050620,20115.0,333130,882032,,975757,973834,,,-558996.0,,,,,-474247.0,882032,,43632,18656,62288,,,,,0.0,,,91802,1050620,-47072.0,,,,,
2014-04-25,1,2014,17642.0,,,,,,,,,,-54250,-12292,,,,,117798.0,,,,-7751.0,407,-6371,-8,,,-2313,,,,,,,,,,,,-7.0,-59935,,,,,,,,37564.0,,,,56590.0,-435.0,107727,12008,100166,,,,-7332,11346,,9769,5842,,2014年01月01日至2014年03月31日,1050620,1431162,7584.0,380542,191698,,272823,276748,,,,,,,,,191698,,-17121,84529,67408,,,,,,,,85050,1431162,-19536.0,,,,,
2014-07-24,2,2014,21523.0,,,,,,,,,,-19103,-7937,,,,,54686.0,,,,-33412.0,-424,-13408,-3935,,,-9791,,,-7632.0,,,0.0,,,,,,-5.0,-37724,,,,,,,,58931.0,,,,-69479.0,-861.0,3846,23842,115569,,,,-19565,23909,,15444,30191,,2014年01月01日至2014年06月30日,1050620,1515412,7169.0,464792,433523,,464881,494442,,,,,,,,0.0,433523,,38967,429,39396,,,,,,,,60919,1515412,-75196.0,,,,,
2014-10-28,3,2014,22903.0,,,,,,,,,,-46736,-8810,,,,,-27636.0,,,,-45064.0,941,-19829,1421,,,-14880,0.0,,-7632.0,,,0.0,,,,,,-321.0,-38037,,,,,,,,29652.0,,,,-30690.0,-1278.0,-95083,35796,140003,,,,-37892,37588,,21145,40849,,2014年01月01日至2014年09月30日,1050620,906049,6299.0,-144571,678647,,695446,745654,,,-746355.0,,,,,-746355.0,678647,,-18362,62466,44104,,450.0,,,,,,67007,906049,-112202.0,,,,,
2015-01-26,4,2014,20346.0,,,,,,,,,,68,-15926,,,,-32630.0,,,,-52247.0,,336,-26480,8683,,,-20338,0.0,,-7632.0,,,0.0,,,,,,-487.0,24448,,,,,,,,4064.0,,,,-47552.0,-1687.0,-112884,47843,104737,,,,-57440,51272,,26476,40849,,2014年度,1050620,1179235,4815.0,128615,938519,,979171,1027017,,,-746355.0,,,,,-746355.0,938519,,2445,65707,68152,,450.0,,,,,,88498,1179235,-115171.0,,,,,
2015-04-27,1,2015,,,,,,,,,,,-67902,2034,,,,,-298132.0,,,-14941.0,,51,-6671,-1355,,,-7338,,,-10042.0,,,,,,,,,177.0,-34365,,,,,,,,-13851.0,,,,108417.0,,-330276,11968,-185274,,,,-6104,15579,,10083,10833,20387.0,2015年01月01日至2015年03月31日,1179235,889125,5564.0,-290110,190025,-401.0,41521,19070,,,,,,,,,190025,,-82154,-109188,-191342,,,,,,,,-170955,889125,1535.0,,,,,
2015-07-27,2,2015,,,,,,,,,,,-8123,272,,,,-392386.0,0.0,,,-35038.0,,1233,-14573,-2990,,,-17516,,,-10042.0,,,,,,,,-12.0,,-27640,,,,,,,,5805.0,,,,-24970.0,,-454994,23975,-456091,,,,-25149,31411,,16808,36150,26540.0,2015年01月01日至2015年06月30日,1179235,663261,9643.0,-515974,451153,-797.0,-57990,-33851,,,,,,,,,451153,,-3115,-508429,-511544,,,,,,,,-485004,663261,-77097.0,,,,,
