date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人增加,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融負債增加（減少）,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得無形資產,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,長期應收租賃款減少,非控制權益變動,非金融資產減損迴轉利益,預付設備款增加,預收款項增加（減少）
2013-04-30,1,2013,31063.0,6667.0,-792771,-291131,0.0,0,,,297881,,-8149,2546,-264188,-5334,125680,108500,,0.0,152.0,,-7899,8095,45380,-269719,-62000.0,,,-3200,0.0,-3700.0,-80.0,0.0,,,,-918,-188576,-1726,-182946,35672,-234923,1.0,4258,-4850,2815,0.0,,2013年01月01日至2013年03月31日,2194434,3748515,1554081,600644,53729,68128,,,0.0,,1637918,600644,0.0,-433447,-130132,-563579,2435000,0.0,,17368,11,,19366.0,116.0,-3270,-532516,5259,3748515,-12364,-1709,,,-611.0,-4212.0,,
2013-08-13,2,2013,-36711.0,7433.0,-1693937,270887,0.0,-904,,,264486,,22424,-16241,-123532,-8106,66231,159274,,0.0,874.0,,-26094,19725,57391,-306264,-170178.0,,,-8138,0.0,-3879.0,-146.0,0.0,-3319792.0,0.0,,182,-234789,-141846,-159299,69980,-340888,1.0,8895,-19064,15441,12727.0,,2013年01月01日至2013年06月30日,2194434,2088686,-105748,1646644,-2100972,-1936933,,,,,2097132,1646644,-12727.0,250310,-3797176,-3546866,3825000,0.0,73067.0,17380,96,5763.0,48909.0,123.0,-83897,-3583577,15022,2088686,-160416,-2661,,0.0,-30052.0,-10152.0,,
2013-11-12,3,2013,178.0,7433.0,-4365000,454159,0.0,5379,,,242748,,-8440,-22061,15254,-11085,-21834,-631647,,0.0,921.0,,-40569,39548,13035,-336623,-168555.0,,0.0,-9052,0.0,-3222.0,-833.0,0.0,-3596269.0,0.0,,6536,-495358,-4497,-971368,102699,-136120,-242.0,13082,-36742,24866,18001.0,,2013年01月01日至2013年09月30日,2194434,1985673,-208761,2402767,-1494811,-1165232,-698357.0,,480970.0,,2244383,2402767,-17763.0,454465,-4022642,-3568177,6860044,3700.0,73235.0,17380,610,5763.0,48909.0,123.0,-84915,-3567999,3411,1985673,-317703,-2243,,0.0,-30052.0,-10152.0,,
2014-03-25,4,2013,18697.0,13071.0,-6695000,811369,7045.0,6568,,,244018,0.0,29656,-10578,99354,-14657,19959,-780739,,0.0,804.0,,-53231,41907,62921,-396972,-168763.0,,-11542.0,-15843,27894.0,,-6693.0,0.0,-3704171.0,0.0,,6226,-315733,-8424,-1185327,129124,-128179,-232.0,16957,-38230,33231,18161.0,,2013年01月01日至2013年12月31日,2194434,1605974,-588460,3112960,-162115,174177,-698357.0,,517325.0,,696061,3112960,-17923.0,980244,-3937724,-2957480,7567206,4300.0,73122.0,17380,753,5763.0,62624.0,-95.0,-82174,-2938783,7112,1605974,-331293,-9342,3518.0,,-30052.0,-10565.0,,
2014-04-29,1,2014,36790.0,0.0,0,-1417151,4875.0,392,,,-2544,,-48733,-25619,-138252,-2645,15281,195868,,,73.0,,-18327,14774,61399,-20065,0.0,,-16474.0,-24063,781.0,0.0,-368.0,,-236913.0,,,9690,125790,20481,134971,33453,186793,0.0,3774,-14305,13395,,,2014年01月01日至2014年03月31日,1605974,1639443,33469,325726,-1229942,-1158993,,,31385.0,,1067041,325726,,-1586852,65343,-1521509,1030000,,,0,31,,0.0,0.0,-74,-1484719,-8079,1639443,-70039,1556,,,,1603.0,,
2014-07-29,2,2014,40463.0,2333.0,-4345000,-1162138,3391.0,-6944,,21000.0,-16455,,-41968,-16294,-44891,-5581,-15173,106999,,-3273.0,0.0,,-32924,35312,-27202,-43336,0.0,-19145.0,-16474.0,-30695,418.0,0.0,0.0,1393.0,-520524.0,-7668.0,,3830,273433,31313,72258,60981,177104,3.0,9936,-33857,32162,16579.0,,2014年01月01日至2014年06月30日,1605974,2368908,762934,717749,-1020583,-594777,,3000000.0,,-101237.0,1738461,717749,-16579.0,-1275985,-77004,-1352989,3210000,6.0,0.0,23618,308,0.0,8505.0,-1259.0,-7339,-1312526,-8701,2368908,-424111,-9806,,,-29111.0,1830.0,12416.0,
2014-10-30,3,2014,88879.0,2334.0,-4550000,-1174454,6074.0,-6526,,21000.0,1926,,-74713,-30657,40206,-8420,-66872,0,420983.0,,-3358.0,,-42564,55664,37901,-152055,0.0,-19145.0,-20013.0,-57897,2431.0,0.0,0.0,3620.0,-654334.0,-7668.0,,-190,367207,37752,254298,93368,187313,-416.0,17394,-53360,32790,21740.0,,2014年01月01日至2014年09月30日,1605974,1445897,-160077,905035,-1029523,-407192,-1307324.0,3000000.0,0.0,-534634.0,577247,905035,-21522.0,-1301893,-99213,-1401106,3989811,14.0,0.0,23618,1187,0.0,8505.0,-1259.0,-7548,-1312227,-19344,1445897,-601761,-7964,,,-29111.0,2539.0,12620.0,
2015-02-25,4,2014,129268.0,2333.0,-4550000,-1085319,8236.0,23766,,21000.0,15031,,-27896,-8766,-47880,-10464,79361,0,749048.0,-456.0,0.0,,-60338,71847,176481,-180013,-5095.0,-19145.0,-74199.0,-53925,3894.0,,0.0,709.0,-1213210.0,-15533.0,165361.0,-2445,383214,37179,508510,129586,215180,-405.0,26396,-69124,46052,21822.0,,2014年度,1605974,2865766,1259792,1382676,-619053,13543,-1307324.0,3000000.0,0.0,-540799.0,1193854,1382676,-21603.0,-916565,-581836,-1498401,4608958,396.0,0.0,23617,4154,0.0,24926.0,-2053.0,-33676,-1369133,-21513,2865766,-609524,11302,1104.0,,-29111.0,2954.0,13025.0,
2015-04-28,1,2015,,,-100000,-701231,0.0,-20242,-4011.0,,33161,,-27700,2215,53859,-3885,-57542,-125121,0.0,-49.0,0.0,,-12211,18291,-57136,-16966,,,-6843.0,-6750,0.0,-2013.0,0.0,2853.0,-432412.0,,-157605.0,8796,5764,-4209,-115508,37131,11863,,9319,-18267,7797,153.0,35920.0,2015年01月01日至2015年03月31日,2865766,2621555,-244211,131923,-1138045,-1122978,,,0.0,-5476.0,1066478,131923,-153.0,-903318,-387503,-1290821,1177978,,,37215,147,,,,-26248,-1254901,-1653,2621555,-4597,9644,,,,0.0,,
2015-07-30,2,2015,,0.0,-700000,-539341,0.0,-15534,-7036.0,0.0,41695,,265018,-35083,89541,-3344,-13902,-83575,0.0,-245.0,,,-26769,35611,-141522,-40388,,0.0,-3854.0,-29257,1664.0,,,3622.0,-565723.0,0.0,-94227.0,-1566,-29054,-3233,-99883,74521,11904,4.0,19926,-48719,63415,15139.0,72426.0,2015年01月01日至2015年06月30日,2865766,2851770,-13996,471825,-440993,-351491,,0.0,,-20963.0,668402,471825,-14778.0,-312904,-582838,-895742,1431031,12.0,,37215,265,,0.0,0.0,-26288,-823316,-2893,2851770,-104198,9934,,,-36294.0,0.0,1448.0,
2015-10-29,3,2015,,8400.0,-1191180,-608096,0.0,-11447,-6224.0,179000.0,-35644,,46238,-123468,115149,-4908,-63818,-749129,0.0,-623.0,,10733.0,-37593,52040,93092,-75063,,0.0,-7359.0,-37084,0.0,-26952.0,,718.0,-963458.0,0.0,-106505.0,-3613,44848,-3521,-517416,113622,-230001,-254.0,31344,-64360,86116,30661.0,78012.0,2015年01月01日至2015年09月30日,2865766,2518167,-347599,617026,-232640,6241,-613437.0,0.0,,-4420.0,309365,617026,-30300.0,627355,-1316152,-688797,2187872,35.0,,112311,1085,,0.0,0.0,-63466,-610785,-9957,2518167,-260637,11534,,,-36294.0,0.0,9984.0,1269404.0
2016-02-25,4,2015,,38400.0,-1691180,-172135,0.0,-8361,-9721.0,179000.0,41716,,194189,-255954,-219260,-9546,47350,-1393167,0.0,-1455.0,,,-45262,181207,-91073,-114668,0.0,0.0,0.0,-42522,0.0,-22472.0,,897.0,-929938.0,0.0,-79437.0,-2440,78713,-50021,-1164681,153281,-299001,-243.0,43068,-197141,93785,36844.0,245600.0,2015年度,2865766,3437772,572006,784026,1647964,2004516,-613437.0,0.0,191635.0,0.0,179796,784026,-36483.0,2398921,-1424031,974890,2361265,35.0,,122267,2463,,0.0,0.0,-67906,1220490,-8388,3437772,-253196,11813,3662.0,,-36294.0,0.0,9688.0,2647403.0
2016-04-28,1,2016,,,-300000,-222639,,-16331,-1804.0,,23373,,-138986,-154332,-352354,-3756,28216,0,566884.0,-788.0,,,-10454,38330,-36518,-9724,,,,-2087,600.0,0.0,-3117.0,0.0,-480132.0,,-14071.0,-3004,-59921,13171,571435,37960,-131000,2.0,11818,-27169,10454,169.0,70819.0,2016年01月01日至2016年03月31日,3437772,4666303,1228531,-54835,239813,299701,,,,-194995.0,453801,-54835,-169.0,1076314,-792597,283717,950000,18.0,,0,39,,13320.0,-5215.0,-18,354536,2496,4666303,-43173,-1474,,,,,6760.0,1792987.0
2016-07-28,2,2016,,,-2416506,62732,,-12118,-4947.0,,25563,,-168614,-244735,-310258,-5234,-46144,0,147079.0,-149.0,,,-23290,70146,-115784,-31045,,,-1200.0,-25097,1537.0,,-9140.0,0.0,-792381.0,,-28284.0,-3330,-197386,33938,125325,75114,-153286,5.0,23872,-94995,23290,8915.0,130771.0,2016年01月01日至2016年06月30日,3437772,4069696,631924,217839,1287586,1456157,,,,-218814.0,-665203,217839,-8696.0,2441068,-1333521,1107547,1994085,18.0,,0,241,,26896.0,-527.0,-94,1238318,12251,4069696,-96866,-2575,,,-20558.0,-3425.0,9048.0,2934833.0
2016-10-27,3,2016,,0.0,-3448926,108400,,-7624,-2951.0,0.0,4465,,-205810,-311890,-279159,-7069,-30127,-262692,,0.0,169.0,,-47978,90047,-302677,-54776,-498.0,,-7499.0,-31961,,-212.0,-8755.0,0.0,-935723.0,,-39628.0,-4695,-214296,49333,-283609,111236,-196285,-219.0,36796,-104106,38806,14356.0,170469.0,2016年01月01日至2016年09月30日,3437772,2755308,-682464,455412,1488633,1753722,-442288.0,,,-214741.0,-1584811,455412,-14137.0,2739306,-1611465,1127841,2544865,256.0,32000.0,0,253,,26896.0,-527.0,-149,1298310,4308,2755308,-199789,-2688,,,-20558.0,-2165.0,8895.0,3193641.0
