date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,19035.0,0,-1490,,0.0,-13030.0,-102.0,69.0,,-1208,-626,,-4007.0,,,356.0,,-422,6392,-8122,-4858,,563,2180.0,-1472.0,-4526,5294,10000.0,,1973,10255,820.0,-536,,-5896,10979,,0.0,-5389,422,,2013年01月01日至2013年03月31日,20984,27104,6120,-24918,-3003,1964,,-3604.0,23141,-24918,4677,3170,7847,27595.0,4085,1523,,,,26882,27104,0.0,,-2184,108
2013-08-12,2,2013,35347.0,0,-1977,9758.0,-65.0,-13094.0,540.0,5.0,,-1998,-1142,,-19978.0,,,517.0,,-452,13164,-10519,-13070,,205,2188.0,-1492.0,2203,-3441,,-10000.0,82,17350,765.0,-2167,,-26763,22269,,0.0,-12883,452,,2013年01月01日至2013年06月30日,20984,312930,291946,-48096,-18918,-6487,,-2054.0,348146,-48096,-9137,15399,6262,77466.0,7260,161,283882.0,,,41609,312930,0.0,,-2155,-1738
2013-11-12,3,2013,63480.0,-17600,212,0.0,278.0,-184418.0,1327.0,851.0,,-5915,-2076,,49861.0,,,-352.0,,-1116,17409,-3384,-20302,-1200.0,-75,2167.0,-1472.0,3952,9278,,-10000.0,1738,25050,19.0,-2748,,42821,32637,-50.0,,-20194,1116,,2013年01月01日至2013年09月30日,20984,50402,29418,-91000,-18977,157,,-151975.0,8958,-91000,5591,22086,27677,86902.0,16286,14675,283882.0,,,91157,50402,-56.0,,-4289,0
2014-03-28,4,2013,113894.0,-25833,-8741,0.0,0.0,-184623.0,880.0,334.0,2203.0,-2630,1826,,76000.0,,-7047.0,0.0,36030.0,-1297,20465,-2150,-16401,-1200.0,-54,0.0,-2234.0,2255,3703,,-20000.0,1383,13837,2935.0,-1388,,66738,44851,-46.0,,-18374,1289,,2013年01月01日至2013年12月31日,20984,25201,4217,-155320,-46391,-29295,,-154308.0,-13980,-155320,-7365,19496,12131,86902.0,15417,13945,283882.0,,,126025,25201,-11.0,,-1183,-1080
2014-05-13,1,2014,10712.0,-11802,-6977,0.0,132.0,-4908.0,-2.0,531.0,,-1338,-589,,21783.0,,149.0,0.0,0.0,-1055,2730,2938,-2666,,-39,0.0,0.0,6399,-11163,,0.0,2078,10801,0.0,-330,,20466,9030,-29.0,,-1344,1055,,2014年01月01日至2014年03月31日,25201,34064,8863,-19242,-12941,-12652,,-8390.0,-1600,-19242,-17344,13222,-4122,23500.0,0,0,0.0,1200.0,75.0,6590,34064,0.0,,-3588,-76
2014-08-14,2,2014,24228.0,-19092,-3759,24020.0,-2498.0,-28824.0,933.0,-785.0,288.0,145,-122,,16680.0,,,0.0,717.0,-1066,5393,7305,-3260,,-17,0.0,-15.0,8453,-566,,0.0,466,5361,0.0,-3513,-357.0,14893,19155,-29.0,,-2834,1066,,2014年01月01日至2014年06月30日,25201,14976,-10225,-44034,-22136,-20368,,-6391.0,-10287,-44034,-2912,2350,-562,20000.0,0,0,0.0,1200.0,75.0,23666,14976,0.0,,-7620,3300
2014-11-12,3,2014,38703.0,-53427,1118,34020.0,440.0,-28824.0,-1575.0,-690.0,428.0,1502,80,0.0,,10386.0,,,717.0,-1068,8229,2795,-3769,0.0,-24,,3215.0,1458,1553,,0.0,177,4210,0.0,-3628,-357.0,11945,30199,-29.0,,-7573,1068,,2014年01月01日至2014年09月30日,25201,29818,4617,-63082,-29895,-23390,,-23411.0,19772,-63082,11399,-10410,989,91414.0,485,604,0.0,1200.0,75.0,39692,29818,0.0,,-9908,6609
2015-03-27,4,2014,53962.0,-20065,-8210,,0.0,0.0,-1628.0,0.0,,-1133,66,,14284.0,,-17.0,,717.0,-1116,11278,-2328,-3998,0.0,137,0.0,682.0,4494,-2455,,0.0,-92,494,0.0,-6607,,12639,39886,-29.0,1207.0,-9721,1116,,2014年度,25201,28567,3366,-73309,-40500,-31895,,12687.0,33555,-73309,-3417,-9131,-12548,40933.0,488,1807,0.0,1200.0,75.0,41414,28567,0.0,,-5950,8473
2015-05-11,1,2015,,-14585,1129,,-2241.0,0.0,,103.0,,-147,-249,,7210.0,,,167.0,,-5,2558,450,-73,,166,,,-5226,-536,,0.0,-260,4027,,6743,,9378,9209,0.0,1574.0,-1509,5,13720.0,2015年01月01日至2015年03月31日,28567,14825,-13742,-22173,-6471,-4967,,-2514.0,-17099,-22173,-1805,5291,3486,0.0,2074,218,0.0,0.0,0.0,17206,14825,0.0,,-107,250
2015-08-10,2,2015,,-28006,3848,,3659.0,0.0,103.0,0.0,307.0,258,-13,,7206.0,,,,0.0,-29,6025,4156,-1013,,370,,0.0,-5708,8653,,0.0,-520,1316,,642,0.0,14158,18045,0.0,2936.0,-5398,29,27129.0,2015年01月01日至2015年06月30日,28567,17662,-10905,-48742,-15578,-10209,,14365.0,-13641,-48742,15568,-4164,11404,0.0,7658,-218,0.0,0.0,0.0,38533,17662,0.0,,-504,-330
