date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-06,1,2013,121531.0,-212256.0,105136,-143062,,3460,-37160,,19833,,,,-21130,17908,136633,-149202,0.0,,,,,-244204.0,,-11382,,-130.0,,4107.0,-306797,,53190,,3,0.0,350285,,-343009,,230707,,403.0,-364982,165486,,1231010,687,1860,-18564,22184,,,2013年01月01日至2013年03月31日,1929908,3218742,-20957,1288834,338558,,1330170,1377518,,,,399396,0.0,187013,338558,,527496,389933,917429,0.0,4484,,195,-18.0,0.0,,1038960,15022,3218742,-50968,-7833,,,,-3285.0,-241756
2013-08-09,2,2013,423228.0,-640872.0,161101,-179249,,7338,-43575,,-7613,,103962.0,0.0,-50994,33755,193305,-259372,0.0,,,,-4108.0,-1166257.0,,6150,101.0,0.0,-15182.0,,-295768,,60932,,299514,0.0,596598,,-914170,,76163,,-91.0,-1418259,343492,,1484476,2842,3976,-32876,57669,,,2013年01月01日至2013年06月30日,1929908,4265097,-17017,2335189,805338,,2049147,2183544,288000.0,,,1564253,0.0,1510996,805338,,825878,129100,954978,0.0,34273,,349,-365.0,0.0,,1378206,0,4265097,-159190,-7998,,,5076.0,0.0,1223
2013-11-11,3,2013,643380.0,-642168.0,151530,14826,,3864,-46723,,-36382,,154666.0,-4952.0,-91891,55485,159825,-303363,0.0,,,,-6788.0,-1338157.0,,9868,1751.0,0.0,-15000.0,0.0,-377002,,-82264,,729061,,-148396,,-336358,,-207915,,326.0,-1612535,511111,,1484824,3855,6204,-55187,97429,473.0,,2013年01月01日至2013年09月30日,1929908,3683876,6410,1753968,1153090,,1730217,1963790,,-662274.0,,1666091,0.0,1476461,1153090,-473.0,-103102,270422,167320,0.0,91634,,-8269,-365.0,0.0,,810700,-28162,3683876,-275815,-8513,,384000.0,5292.0,0.0,-261230
2014-03-21,4,2013,640879.0,-641304.0,-36192,14482,,14821,-22852,,-16002,0.0,,-4963.0,-130657,79138,450464,-713866,0.0,,,-44708.0,-9041.0,-1690379.0,,-1226,612.0,,,3129.0,-501084,,420147,53205.0,299564,0.0,-794763,,-94096,7607.0,-196128,-7538.0,717.0,-2388182,708160,,1475460,4985,8887,-76520,137966,473.0,,2013年01月01日至2013年12月31日,1929908,3328483,-10673,1398575,1558741,,2063200,2345854,,-662274.0,,1892495,0.0,1273093,1558741,-473.0,-123384,269618,146234,0.0,87175,,-13362,-968.0,0.0,,787113,218681,3328483,-344100,-5620,0.0,384000.0,2844.0,-156.0,-406233
2014-05-12,1,2014,153831.0,0.0,-6501,-82863,,110036,-5193,,-1291,,986.0,,-46214,28988,66413,-208747,0.0,,,,-4578.0,471597.0,,9770,19870.0,0.0,,-4809.0,-39993,,-163452,30196.0,35170,0.0,48075,,-942955,-30501.0,369163,10787.0,-57.0,256562,178285,,8915,-854,1763,-25790,41794,,,2014年01月01日至2014年03月31日,3328483,4361960,-10725,1033477,466524,,58977,105281,,,,596485,0.0,651525,466524,,127896,-642970,-515074,0.0,4390,,-12,,0.0,,-361243,109599,4361960,-62308,1259,,,1287.0,-10702.0,69670
2014-08-11,2,2014,302386.0,0.0,117770,136272,,27715,-14848,,-30396,,1960.0,,-90655,61146,-61917,-583078,,,,,-4905.0,0.0,,20996,25652.0,,-4448.0,,45206,,-275107,57156.0,0,-149622.0,-401576,,-1352977,-21842.0,301285,-36629.0,643.0,668013,343973,,-57446,-1188,3795,-61061,88051,,,2014年01月01日至2014年06月30日,3328483,4135383,-20962,806900,943684,,81238,237258,,,,243536,,119566,943684,,-290596,-718216,-1008812,,50793,,75,,1240047.0,,-706426,182803,4135383,-183010,-2463,,0.0,1433.0,-15724.0,282763
2014-11-12,3,2014,439291.0,0.0,136069,113624,,-6384,-7594,,-48754,,3694.0,-76143.0,-145256,79701,43521,-710560,-15000.0,,,,-5604.0,0.0,,-4160,28377.0,,-6808.0,,180702,,-631354,36364.0,519739,,-417743,,-730367,483.0,-805909,-45445.0,1351.0,533373,517138,-2125.0,-73205,-1428,5607,-84628,144918,836.0,,2014年01月01日至2014年09月30日,3328483,3848240,-12529,519757,1404229,,-122621,96144,,-682142.0,,0,-56490.0,65484,1404229,-836.0,-650445,-1096931,-1747376,,96847,,1021,,1298559.0,,-1308085,233377,3848240,-279055,-5287,,256000.0,1626.0,0.0,270780
2015-03-23,4,2014,566956.0,-303060.0,242546,83489,,-6615,-1078,,-83238,0.0,,-76587.0,-196109,101079,300354,-1004896,-15000.0,,,0.0,-7522.0,0.0,,-7208,30238.0,,,0.0,-153039,,-549060,38770.0,469876,0.0,-478266,21330.0,-692874,-7775.0,-1190618,9679.0,1838.0,1068405,706421,-2014.0,-146820,-1502,12394,-108766,195323,836.0,,2014年度,3328483,4598024,-40868,1269541,1741916,,-56997,140312,,-682142.0,,106867,0.0,-42221,1741916,-836.0,-505275,-1663285,-2168560,0.0,114479,,-1293,0.0,2140333.0,,-1601604,226196,4598024,-283866,-6963,0.0,336000.0,1841.0,0.0,435751
2015-05-08,1,2015,,,-140973,-15234,,9058,-7082,,-164230,,1460.0,-7508.0,-44454,21191,-111457,-139127,,,,,0.0,,,12893,0.0,-999.0,,,-202558,,103511,95116.0,0,-24.0,199820,24068.0,-803937,-27036.0,1181576,-14902.0,,-174217,172788,-4395.0,6036,-1319,1810,-17538,46704,,223182.0,2015年01月01日至2015年03月31日,4598024,5406550,62997,808526,413117,16.0,949113,1014753,,,,146110,,145087,413117,,320915,57539,378454,,3592,,284,,,133056.0,601636,34694,5406550,-94806,-4468,,,,,-59324
2015-07-30,2,2015,,,-94448,36033,,47769,-1700,,-214603,,2893.0,52542.0,-85832,46323,-204692,-235666,,-299958.0,,,-2081.0,,-851923.0,30478,0.0,-1385.0,,,482475,,-95158,12079.0,50210,0.0,221614,41561.0,-1059677,-21270.0,805006,-69863.0,,-1271210,340860,-4379.0,-656136,-3400,3601,-42893,83998,,390603.0,2015年01月01日至2015年06月30日,4598024,4222599,60263,-375425,807660,645.0,676376,838610,,,,375276,,424101,807660,,154883,-514536,-359653,,4344,276135.0,-522,-1416.0,,0.0,30950,25200,4222599,-203339,-2645,,,,,-29404
