date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,備供出售金融資產（增加）減少,償還公司債,償還特別股負債,償還金融債券,其他借款增加,其他借款減少,其他籌資活動,其他負債增加（減少）,其他資產增加,其他資產減少,其他資產（增加）減少,其他金融負債增加（減少）,其他金融資產（增加）減少,其他項目,出售及攤銷不良債權之損失,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債增加,取得不動產及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得投資性不動產,取得持有至到期日金融資產,取得無形資產,取得無活絡市場之債券投資,各項保險負債淨變動,呆帳費用提列（轉列收入）數,員工福利負債準備增加（減少）,央行及銀行同業存款增加（減少）,存入保證金減少,存出保證金增加,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,已收現之出售不良債權,庫藏股票買回成本,應付商業本票增加,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,持有至到期日金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行公司債,發行金融債券,短期借款減少,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產及設備損失（利益）,處分待出售資產,處分待出售資產損失（利益）,處分承受擔保品,處分承受擔保品提存損失（利益）,處分承受擔保品損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,調整項目合計,買回應付公司債損失（利益）,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,購買承受擔保品,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,金融資產減損迴轉利益,附買回票券及債券負債減少,附賣回票券及債券投資（增加）減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-04-26,1,2013,14062490.0,13989.0,0.0,,,,,,,,1216190,-426350.0,,611306,2868177,-565485,23879.0,,-14666741,1412828,-213747,,-78055,0.0,-93853953.0,-201371,-14474154.0,-32130,-107751386.0,25115541,280338,-79323,-1290866,-1492160,-1022397,20354658,2752462,,,-399731,-4940317,7743350,-67242891,388242,0.0,,,50,71802,-1163808.0,,14057123,71058,,2013年01月01日至2013年03月31日,65485403,52112941,-13372462,8740789,6698045.0,67536598,55139151,,,,-737280.0,,-13452422,8740789,,,526323,31809549,32335872,6929,,67104684.0,-203,,,2130.0,-2130.0,,8750189.0,-7627644.0,-1882396,68020939.0,46398362,,2805965,52112941,0.0,-566926.0,,6649261,10951029,,-2105.0,-10823251,-5789506,,,
2013-08-27,2,2013,27662072.0,120515.0,0.0,,-5000000.0,,,4141050.0,,,2787530,-1332666.0,,-192962,2534826,-131769,,,-29870796,2792560,252547,,-244005,-16933.0,-164034773.0,-201931,-23537638.0,-96518,-171287668.0,50399405,446976,-168249,263154,-1685366,-2159050,11595151,26726628,,,1799121,3401936,2436051,-86307398,795345,0.0,,,2517,143625,-2595904.0,,24049577,646355,,2013年01月01日至2013年06月30日,65485403,52770340,-12715063,8797086,10542865.0,84056403,62397509,1937073.0,0.0,,,,-10716615,8797086,21723.0,-584137.0,35545825,-9607474,25938351,9379,4999.0,138525364.0,-3470,,,2880.0,-2880.0,,8875435.0,-7640211.0,-4899513,118522347.0,53600423,,-9069109,52770340,0.0,-441134.0,,-9697918,16063033,,-2105.0,-11908493,-4546918,,,
2013-11-26,3,2013,24269939.0,132610.0,0.0,,-5000000.0,,,4147112.0,,,4302023,-1360970.0,,-2772400,1043478,-24712,,,-45281961,4188701,330504,,-508713,-345467.0,-214625143.0,-202548,-35833347.0,-124635,-205248050.0,75685065,531958,-263611,1381058,30375,-623663,14922321,30115109,,,2948836,-6800061,773671,-99453420,1189308,0.0,,40950.0,1684,220455,-3310791.0,,39107862,7306111,,2013年01月01日至2013年09月30日,65485403,45301821,-20183582,13219248,12068702.0,82254650,40658664,6500000.0,0.0,,,,-3315316,13219248,21723.0,-7005779.0,29777996,-26608519,3169477,10598,4999.0,191722579.0,35029,,,13412.0,-13412.0,,8881343.0,-7654757.0,-7012324,146543923.0,27439416,,-21055588,45301821,0.0,-1507196.0,,-18114609,9455557,0.0,-89928.0,-11597514,-337202,-344125.0,,-1380.0
2014-03-14,4,2013,50053960.0,143721.0,0.0,,-5000000.0,,0.0,4514014.0,,,5854516,-1723133.0,,-1838515,2678462,-142105,,,-61274675,5605778,225615,,-784990,-260671.0,-253318015.0,-2006282,-58883051.0,-195665,-246659293.0,113523468,773357,-938067,931298,-39578,-797327,8486225,56224258,,,3048180,-1423672,-197113,-126286551,1571212,0.0,,40950.0,5969,302456,,-949548.0,51482412,7699217,,2013年01月01日至2013年12月31日,65485403,43625253,-21860150,12684602,13374900.0,110867939,58675977,6500000.0,0.0,-5300000.0,,,-6667153,12684602,21723.0,-7378728.0,63326795,-67389380,-4062585,35966,10762.0,248576273.0,31953,,,25582.0,-25582.0,,8916343.0,-7679112.0,-7781954,167217379.0,45991375,,-35652093,43625253,0.0,,,-39197541,12364511,0.0,-89929.0,-9780718,1151762,-344125.0,83513.0,
2014-05-27,1,2014,28815700.0,,,8588109.0,,-1654000.0,,,,,-1556196,-810448.0,,-716687,460779,-6305078,,,-16393605,1460081,-356730,,-283198,,,-31528,,-76000,,37518502,411071,-74749,3137956,-1621336,-4104379,473877,19856088,,,1949431,3260130,-18302433,-5296038,379505,,-21125176.0,,-70826,88315,-1250674.0,,16520080,311188,,2014年01月01日至2014年03月31日,43625253,43130365,-494888,1747092,,2982621,-12155507,,,,-2667650.0,,2175259,1747092,,-114529.0,25084008,-67802307,-42718299,5205,,,-3923,,,4310.0,-4310.0,,0.0,0.0,-3860415,,-13902599,,-22444687,43130365,,-442466.0,,-5256500,9425915,,-20081.0,6168814,-2713732,,,
2014-08-26,2,2014,31959042.0,,,-10653250.0,0.0,-1654000.0,,0.0,-4097382.0,,-2010924,-1606828.0,,-509042,2257154,17155781,,,-33239685,2957267,-429786,,-502920,,,-44487,,-66716,,72797110,816528,-140188,4935387,-1389645,-4757555,-13783056,29868492,,,1399320,4628622,-11377862,-6960608,762466,,-37126060.0,,-68022,180011,-2917652.0,,29589453,1838062,,2014年01月01日至2014年06月30日,43625253,51691229,8065976,4133218,,12822000,-15757231,0.0,,2500000.0,,,2634370,4133218,0.0,-1515985.0,39538543,-91388034,-51849491,2001,,,1468,,,12820.0,-12820.0,,3077.0,5909.0,-10521319,,-19890449,,-19964819,51691229,,69368.0,,-10065371,-183805,,-20081.0,5876077,-5064355,,,
2014-11-25,3,2014,67498048.0,,,-2406241.0,0.0,-1654000.0,,0.0,-2596299.0,,-102586,-3464693.0,,-3130136,4109790,-18987600,,65408.0,-50347272,4494687,36010,,-835322,,,-34917,,-110612,,122065042,1428308,-223181,3294955,-1208379,-3955450,-117161,30408385,111381.0,,-3598394,95822,-7549606,-7363174,1144770,,-50934752.0,95296.0,-69326,276461,-4923764.0,,44889090,8506433,,2014年01月01日至2014年09月30日,43625253,70705813,27080560,9274578,,36064009,-12060873,0.0,5000000.0,2500000.0,,,-1656285,9274578,0.0,-7560811.0,37583185,-126416684,-88833499,778488,,,-459784,,,12820.0,-12820.0,,39835.0,41145.0,-13554757,,-21335451,,-25598585,70705813,,-346877.0,,-12801205,10055698,,-20081.0,340859,-4891398,-440072.0,,-48620.0
2015-02-26,4,2014,109995492.0,,,-28345197.0,0.0,-1654000.0,0.0,0.0,-3443738.0,,-769591,-3529714.0,,-908636,5659432,-78986701,,65408.0,-68733438,6023659,-421862,4448734.0,-1145487,,,-66650,,-173418,,158787820,1906732,-1034141,10179363,-598736,-7012935,5035054,49198415,111381.0,,-5397756,8125962,-6069720,-10781644,1535642,,-62003203.0,95296.0,-107067,368643,,-652922.0,58178575,8817697,,2014年度,43625253,60836043,17210790,10365140,,26072751,-33434523,0.0,5000000.0,5000000.0,,,2341545,10365140,0.0,-7755042.0,71359440,-225154595,-153795155,887228,,,-599060,,,12820.0,-28810.0,15990.0,39835.0,41145.0,-13289483,,-43799663,,-32908523,60836043,,,,-16436425,31686395,,-20081.0,0,-4531244,-450807.0,97039.0,
2015-05-26,1,2015,,,,18205291.0,,0.0,,,,-214.0,2484451,121434.0,,-1558259,1435141,-28340880,,,-18809967,1563519,546249,,-1136841,,,-496453,,-5277,,39109344,338405,-37157,-12209109,-1344852,-1167156,-10149272,8782200,,,799676,-3474639,-489496,-112331,418851,,1911206.0,,55913,91897,-1274818.0,,18356542,294020,11219254.0,2015年01月01日至2015年03月31日,59425032,56550922,-2874110,4263295,,-3528460,-20350879,,,,815453.0,,220432,4263295,,-163190.0,-3019113,-32814315,-35833428,9963,,,-675,2561999.0,-705030.0,0.0,0.0,0.0,,,-4336871,,-24614174,,107676,56550922,,-553325.0,,-13893613,-6096124,,0.0,-49631,1393032,,,-246818.0
2015-08-25,2,2015,,,,16259599.0,-876539.0,0.0,,,-2304091.0,-282.0,-1126199,103273.0,,-1516547,4312870,-72852325,,,-38126102,3133544,983606,,-1614471,,,-580091,,-41428,,81650422,701259,-54183,-13431434,-259711,4266973,-531803,15700321,,-840150.0,-400080,-986760,-2864983,4707082,820885,,2305107.0,,124513,187951,-2972769.0,,31874815,2479461,25325128.0,2015年01月01日至2015年06月30日,158692624,167332214,8639590,7753499,,11309611,-20018597,,,0.0,,109025029.0,-8360709,7753499,,-1895335.0,4414615,-57511839,-53097224,10827,,,-52,2561999.0,-705030.0,0.0,0.0,0.0,0.0,0.0,-7496319,,-27772096,26974.0,1335158,58307185,,-53299.0,,-2444300,-12856057,5293.0,0.0,-3679856,2798255,,,-246818.0
