date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債減少,其他金融資產增加,其他金融資產減少,其他非流動負債增加,其他非流動資產增加,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得持有至到期日金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分持有至到期日金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融負債增加（減少）,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,160128.0,,-407794,-13625,64624,6764.0,0.0,-543443.0,0,-150000.0,,0.0,1964,-14364.0,,-4938,5683,-194992,0.0,,,8277,46726,-55081,-22494,20710,270947,-58339,0.0,,-408131.0,,,,-186258.0,230023,7712,-1935953,1488,15756.0,-211140,124312,-3726.0,,,15153,-5683,4938,,2013年01月01日至2013年03月31日,3613671,980713,-2632958,214897,,-2592159,-2590892,0.0,,326732.0,0,170341,214897,-1588918,-1376999,-2965917,,611,,-2805789,-3747,980713,-522,11030,0.0,,-2215,
2013-08-08,2,2013,302689.0,-71428.0,-265374,-33692,-73424,34258.0,0.0,-843483.0,0,-150000.0,,0.0,-173,0.0,0.0,-11543,11955,-294849,0.0,,0.0,8229,76429,-78805,-90523,83109,236096,-102702,0.0,,-270888.0,,,,48145.0,246137,1647,553863,633,254.0,-302263,261783,-6577.0,,,17772,-11955,11543,,2013年01月01日至2013年06月30日,3613671,2973578,-640093,392588,,-225693,-15944,0.0,,111840.0,0,-112137,392588,-1414912,703691,-711221,,5643,,-408532,-8545,2973578,-209337,8850,0.0,,-227569,
2013-11-07,3,2013,411324.0,-71428.0,-343664,-38071,35000,,,724403.0,0,-150000.0,,0.0,1787,0.0,0.0,-16793,5219,-420270,0.0,,-2243.0,7342,115857,-110844,-201083,187699,-54224,82952,,,-1136057.0,,,,-23881.0,314803,13629,-761897,1488,7674.0,-435897,392139,,-2221.0,,26390,-5219,16793,,2013年01月01日至2013年09月30日,3613671,1643133,-1970538,449517,,-971329,-710466,,-594852.0,246168.0,0,-563312,449517,-665242,-906065,-1571307,,6147,,-1159983,-27901,1643133,-272437,-9120,,,-414572,51232.0
2014-03-21,4,2013,537490.0,-142857.0,84281,81341,227798,,-98670.0,97249.0,0,-220000.0,-41960.0,0.0,1803,0.0,0.0,-21112,6542,-656698,0.0,,-14358.0,7048,150027,-134537,-248502,238259,103230,142836,,,-917760.0,,,,54406.0,386826,22360,-3061535,648,14880.0,-686992,523406,,10520.0,,36240,-6542,21112,,2013年01月01日至2013年12月31日,3613671,126267,-3487404,502403,,-2309446,-2049294,,-594852.0,449450.0,0,-490966,502403,-512946,-2576241,-3089187,36267.0,-13763,,-2551697,-30587,126267,-274722,-871,,,-248759,41749.0
2014-05-09,1,2014,196909.0,0.0,-635552,-136386,25941,0.0,99282.0,-313577.0,0,0.0,,30000.0,4911,0.0,35046.0,-2786,2868,-324738,0.0,,-19.0,-2167,47805,-47044,-63733,66907,-185246,150973,,888671.0,,,,-115062.0,,49491,1198,1455234,440,11520.0,-291583,133411,-10362.0,,,3351,-2868,2786,,2014年01月01日至2014年03月31日,126267,749669,623402,54657,,1166182,1166562,,0.0,0.0,-256869,-251197,54657,-31133,946129,914996,,161,,1111905,8076,749669,-298,27025,,,-363825,-15820.0
2014-08-12,2,2014,306427.0,-71429.0,-595959,-36757,48439,0.0,99389.0,-187154.0,0,0.0,,30000.0,280,0.0,35046.0,-6080,4503,-663212,0.0,,-15327.0,-2601,85878,-87395,-134269,121877,-285153,-35834,,590255.0,,,,-313509.0,,22450,-17554,1352059,485,23040.0,-660931,266298,,,,7582,-4503,6080,,2014年01月01日至2014年06月30日,126267,147093,20826,152280,,782488,814767,,0.0,0.0,-28065,-100731,152280,-541399,897459,356060,,2160,,662487,13810,147093,-33856,-481,-17586.0,,-285899,-18462.0
2014-11-11,3,2014,445231.0,-71428.0,-493929,-30272,37126,0.0,97111.0,-500732.0,0,-43500.0,,30000.0,1451,0.0,35046.0,-9468,6588,-881054,0.0,-4000.0,-21981.0,-1889,113174,-117850,-279842,284924,-325647,114531,,288801.0,,1099448.0,,228.0,-233267.0,-274791,-5662,419333,630,34560.0,-871953,398914,-8167.0,0.0,,12158,-6588,9468,,2014年01月01日至2014年09月30日,126267,70049,-56218,284275,,-244980,-150718,,-378564.0,457984.0,0,1060715,284275,-816843,-63381,-880224,,2350,,-434993,1345,70049,-97142,1532,,,18791,-20213.0
2015-03-20,4,2014,626031.0,-142857.0,-228528,-90952,96365,0.0,98481.0,-940732.0,0,-43500.0,,1341960.0,1523,0.0,35046.0,-10581,14550,-1401741,0.0,-4000.0,-23911.0,-4166,129373,-130659,-405864,401686,37900,454143,,803850.0,,999599.0,,-441434.0,,-25726,-14686,-3447947,630,46079.0,-91870,535703,-8167.0,0.0,93.0,16443,-14550,10581,,2014年度,126267,344342,218075,529515,,-2837124,-2735044,,-378564.0,2712154.0,0,3147069,529515,-353930,-3536660,-3890590,0.0,4365,,-3264559,-2111,344342,-98111,34578,,,-190725,-37030.0
2015-05-08,1,2015,,,-275963,-28365,-20942,,-852.0,0.0,0,0.0,,0.0,127,,0.0,-1635,7068,-96030,,,0.0,-3693,45763,-44484,-97425,93415,-242416,-363623,,-734421.0,,,-350267.0,143926.0,,-726586,6558,3774516,210,,-100040,139721,-29031.0,,284.0,3931,-7068,1635,143908.0,2015年01月01日至2015年03月31日,344342,155397,-188945,155934,6639.0,2105922,2111355,,,,-1845966,-2194827,155934,-1259894,3071407,1811513,,2293,,1955421,-14965,155397,0,-4061,,,309284,7544.0
2015-08-11,2,2015,,0.0,-135502,-30629,-41591,,-693.0,0.0,0,,,0.0,-368,,0.0,-2584,9201,-202579,,,-1748.0,-3341,84731,-86281,-266928,246785,-287664,-397374,,-1599806.0,,,-999599.0,0.0,281049.0,79202,-20729,7267373,210,,-224470,285417,-24836.0,,404.0,7554,-9201,2584,290749.0,2015年01月01日至2015年06月30日,344342,1809884,1465542,246827,13278.0,5526606,5903830,,,,-2831299,-3836594,246827,-1903812,7270066,5366254,,2894,,5657003,-51088,1809884,-370607,-8796,,-3778.0,304587,10467.0
2015-11-10,3,2015,,0.0,-73077,-34161,-33831,0.0,-299.0,746747.0,0,-45000.0,,0.0,148,-85.0,0.0,-4246,9801,-322365,0.0,0.0,-12129.0,-6329,130750,-123524,-398710,414905,-79243,-283534,,-1503023.0,,-999599.0,0.0,0.0,76666.0,210195,-548,7272357,210,,-318384,436520,-38022.0,0.0,522.0,11247,-9801,4246,453811.0,2015年01月01日至2015年09月30日,344342,2387893,2043551,346797,19917.0,7102156,7479933,,-371783.0,-3327435.0,0,-4740221,346797,-954203,7633528,6679325,,3023,,7133136,-32709,2387893,-372222,3273,,-3778.0,298848,132832.0
2016-03-15,4,2015,,0.0,183999,30133,-28035,0.0,277.0,373046.0,0,-45000.0,,0.0,143,0.0,0.0,-5918,10576,-516328,0.0,0.0,-13004.0,-6387,178830,-159582,-628391,618649,5739,-441683,,-1997186.0,,-999599.0,0.0,0.0,38990.0,117956,-1965,5774751,-2190,,-521305,589245,-38022.0,0.0,856.0,14969,-10576,5918,606900.0,2015年度,344342,723724,379382,579025,26556.0,5191226,5568256,,-371783.0,-2889770.0,0,-4290539,579025,-1857919,6240250,4382331,17769.0,286,,4989231,-1128,723724,-372372,3273,,-3778.0,343584,-2491.0
2016-05-10,1,2016,,0.0,-387945,25841,37660,0.0,-306.0,0.0,0,0.0,,0.0,590,0.0,-3609.0,-638,3609,-102024,,0.0,0.0,-3484,36978,-36383,-101269,96475,-446932,319760,,-1480477.0,,0.0,0.0,0.0,53634.0,87540,20329,-1296427,2400,,-5957,151726,0.0,0.0,590.0,3418,-4470,638,151452.0,2016年01月01日至2016年03月31日,723724,194000,-529724,50166,8100.0,-2933238,-2929406,,0.0,0.0,2408286,2409471,50166,-1485938,-1645086,-3131024,1861.0,-160,99000.0,-2979572,-4915,194000,0,0,,0.0,-75191,5905.0
2016-08-09,2,2016,,,-475591,-187731,10473,,-887.0,,0,,,,1037,,,-1296,10917,-130913,,,-550.0,-2558,68480,-70954,-285763,224140,-714218,523699,,-1447399.0,,,0.0,,55991.0,125569,16646,-307968,2400,,-88991,303900,-10.0,,737.0,6839,-10917,1296,319287.0,2016年01月01日至2016年06月30日,723724,183372,-540352,39601,16000.0,-2098005,-2083233,,,1652412.0,0,1646644,39601,-1339464,-1102657,-2442121,5095.0,738,99000.0,-2122834,-13454,183372,-5151,10,,-4331.0,-46941,1300.0
2016-11-08,3,2016,,,-474296,-42032,5186,,-1932.0,0.0,0,-150000.0,,,1218,0.0,,-1708,18114,-189790,,-178157.0,-4005.0,-4145,101560,-108548,-420074,409013,-1023002,47199,,-1079669.0,,0.0,,,162474.0,231874,-2669,-1183510,2400,,-278920,433383,824.0,,12120.0,10116,-18114,1708,484252.0,2016年01月01日至2016年09月30日,723724,202487,-521237,-974988,24900.0,-3499061,-3473932,,-371782.0,3788627.0,0,3256744,-974988,-1328900,-1654296,-2983196,5093.0,17196,99000.0,-2498944,-22499,202487,-8723,-824,,-4331.0,359389,12167.0
