date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他借款增加,其他借款減少,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得投資性不動產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,已實現銷貨損失（利益）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資性不動產,處分投資性不動產損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加－處分資產,預收款項減少－處分資產
2013-05-14,1,2013,26744.0,-25480,,-86970,-2268,,0.0,-266,,,,-2078,-482,,-21059.0,,,,,7500,2464,-2612,,,,,-103.0,,0.0,,56960,,-19594,,,-3000,23121,-9030.0,,-5635,,-641,,-16268,14668,,2061,-5247,168,,,2013年01月01日至2013年03月31日,145652,149765,,4113,-45437,,16696,21775,,233082,-140453.0,1221,-45437,-819,41287,40468,,,2515,,,,,,67212,149765,0,,33175.0,,-8649,-1222.0,,,8625.0
2013-08-13,2,2013,50427.0,-64056,,-86970,-3161,,-1952.0,3233,,,,6312,-570,,14000.0,,,0.0,,15932,65762,-11589,,,,,0.0,,5279.0,,12896,,20561,,,-6000,8568,-20639.0,,-1523,,-1132,-1149.0,5088,31920,,2571,-15721,257,,,2013年01月01日至2013年06月30日,145652,170712,,25060,-74094,,1595,19139,,132232,0.0,-47385,-74094,31131,11675,42806,,,4,,,,,-1382.0,93233,170712,-2080,,,,-1229,-1220.0,,,
2013-11-13,3,2013,74619.0,-78016,,-86970,5642,,-1952.0,-3092,,-1572.0,,-10160,4728,,18325.0,,,,,24280,84236,-24311,,-11025.0,,,-675.0,,3706.0,,7749,,35269,,,-11000,-14489,-23839.0,,2542,,-530,-1532.0,-15146,46445,,3884,-24425,217,,,2013年01月01日至2013年09月30日,145652,108977,,-36675,-100651,,-47476,-21188,,629043,-542098.0,-58289,-100651,14730,-9886,4844,,,10,,,,,-2138.0,79463,108977,-2080,,57218.0,,-19711,297.0,,,
2014-03-10,4,2013,-75534.0,-92510,0.0,-86970,-2784,,-1474.0,5861,,,,4810,16989,,23490.0,,,,,33188,-10770,-29856,,-11025.0,,0.0,,-1500.0,0.0,5553.0,41355,,-5595,,,-11000,16105,,-15631.0,16492,-12545.0,19,-862.0,265132,60961,,5140,-33920,475,,,2013年01月01日至2013年12月31日,145652,140354,,-5298,38904,,12441,40298,0.0,0,-135233.0,-272101,38904,11674,65254,76928,,296167.0,-174923,,,,100.0,-2424.0,1394,140354,5588,,72217.0,,-2917,-16773.0,,0.0,
2014-05-15,1,2014,23949.0,-3496,,0,-4962,,-245.0,-3379,,,,2649,-732,,-20000.0,,,,,7740,-8133,-11995,,,-3506.0,,,-15.0,-10000.0,,52004,,-10324,,,0,-4601,,-2277.0,-31403,4722.0,407,,-45320,13496,-532.0,1753,-7353,31,,,2014年01月01日至2014年03月31日,140354,182122,621.0,41768,-37802,,-29810,-21430,,67801,,125031,-37802,-17238,9661,-7577,37073.0,,871,,,,,,16372,182122,-1058,,26190.0,,-11958,0.0,181.0,0.0,
2014-08-13,2,2014,47238,-10617,,0,2063,,-245,-7661,,-95,,6267,536,729,,10770,,1323,-554,15945,-10410,-15552,,,-5306,-554,,-3,0,-10278,32027,,14544,,0,0,-30619,0,-4473,-32734,3436,429,0,-48880,28697,-1758,3552,-15258,745,,,2014年01月01日至2014年06月30日,140354,431098,542,290744,-58057,,-72999,-50625,229500,43695,0,423033,-58057,-7745,-32061,-39806,65200,501,45,39944,,,,,7432,431098,-7861,,60032,,-28728,-29015,,0,
2014-11-12,3,2014,71827.0,-18929,,0,-2358,-245.0,,-11564,,0.0,,-7223,255,706.0,,18681.0,,1323.0,-484.0,24350,-22744,-19643,0.0,,-5953.0,380.0,,-624.0,-10305.0,,-1497,,496,,,0,-38202,,-6214.0,-14738,4974.0,-148,0.0,-48257,43260,-3117.0,5435,-23842,421,,,2014年01月01日至2014年09月30日,140354,314183,565.0,173829,-116652,,-174233,-164960,229500.0,697298,-658954.0,419063,-116652,-47532,-72603,-120135,76980.0,506.0,115,39976.0,,,,,-48308,314183,14148,,60030.0,,-50591,-31543.0,,,
2015-03-25,4,2014,94859.0,-37012,0.0,0,-6128,-245.0,0.0,-5500,,-1080.0,,-11304,-12288,-2285.0,,6773.0,,1323.0,-1010.0,32990,-10664,-65059,,0.0,-6305.0,1558.0,,-648.0,-4778.0,0.0,12424,,28614,,,0,-33449,0.0,-6398.0,-20945,-1678.0,303,-1583.0,-74493,58010,-3296.0,7421,-31731,724,,,2014年度,140354,274941,-2421.0,134587,-162059,,-168576,-152207,229500.0,59407,0.0,388320,-162059,-24095,-60912,-85007,76980.0,182.0,284,18624.0,,,,,9852,274941,14638,,47867.0,,-29863,-5306.0,,0.0,
2015-05-06,1,2015,,-13460,0.0,0,-2455,0.0,0.0,169,,-766.0,,8982,-498,0.0,,574.0,,3272.0,-167.0,7994,6182,-9109,,,-341.0,268.0,,-648.0,,500.0,5962,,-28960,,,0,-3476,0.0,0.0,9488,-3178.0,-53,,1654,16077,-1440.0,1983,-8397,50,,30273.0,2015年01月01日至2015年03月31日,274941,428034,2217.0,153093,-66909,637.0,-60239,-51892,210000.0,7954,0.0,205496,-66909,-25272,10016,-15256,0.0,0.0,69,0.0,,,,,15017,428034,0,,1650.0,,-1108,-51.0,,10081.0,
2015-08-12,2,2015,,-21342,0.0,0,1783,0.0,0.0,18868,,,,19193,967,0.0,,-2660.0,,3272.0,-508.0,13807,61016,-22356,,,-4571.0,7307.0,,0.0,,448.0,-4114,,-14589,,,0,-1077,0.0,0.0,-43317,-15063.0,-70,,52011,31410,-2489.0,4055,-14844,486,,1287.0,2015年01月01日至2015年06月30日,274941,318485,5898.0,43544,-37314,161.0,-89079,-72434,210000.0,0,-170713.0,19596,-37314,5471,-41878,-36407,0.0,0.0,103,0.0,81150.0,-61568.0,,,-35120,318485,-2287,,1651.0,,851,0.0,,0.0,
