date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他項目,利息收入,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得子公司股權,取得持有至到期日金融資產,取得採用權益法之投資,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應計退休金負債增加（減少）,投資性不動產公允價值調整損失(利益),投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分待出售非流動資產,處分待出售非流動資產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融資產（增加）減少,金融資產減損損失,非控制權益變動,非金融資產減損損失,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-05-10,1,2013,5224916.0,,-1080000,-7747376,-370852,-103501,42431,138999,-787669,6635,787492,-73446,202485,-1329486,,,,,,52,57295,-38474,-35366,312351,-35193,-59355,-85346,199956.0,74519,68464,-67867.0,,-1265761,4291914,-623026,-101222,12738,-466751,62953,0.0,,2013年01月01日至2013年03月31日,10831131,12603125,321866,1771994,-1050342,,1555080,1961963,0.0,-1107.0,10900000.0,310000,-1600104.0,1280190,-1050342,0.0,-806205,-1406406,-2212611,280000,10316,,,,-998,,,0.0,,,3012305,-90108,12603125,-3085,-110536,,,,97056,-266007,,-278311
2013-08-09,2,2013,10279555.0,,-5460000,-12399252,1490414,-127415,3384,301313,942903,11546,1542832,-161365,166985,-3337487,,,0.0,,,99,119217,-70589,-42633,309540,338097,14689,21395,849720.0,-130991,-88061,-72534.0,,-6308640,8625147,1209209,-211272,25424,-1023892,151390,50261.0,,2013年01月01日至2013年06月30日,10831131,15840849,413452,5009718,-1071023,,12139290,13021276,-92013.0,,10900000.0,4025000,,-987917,-1071023,-3180.0,1669002,2143742,3812744,1140000,18795,,,,-4061,,,0.0,,,14092299,-257883,15840849,-59745,-135661,,,,188140,-3260239,,160062
2013-11-12,3,2013,14568606.0,,-5460000,-18408353,685313,-147946,-27820,162110,1634382,141263,1741347,-250109,20163,-4394614,,,0.0,,,118,158003,-135813,-65358,358618,-57515,-15974,253739,1099158.0,334707,-270548,-150910.0,,-9857693,12935461,1395328,-333333,38029,-1466051,248599,312447.0,,2013年01月01日至2013年09月30日,10831131,15707840,297711,4876709,644284,,17453257,18424733,-92013.0,,10900000.0,1275000,,-2739018,644284,-3406.0,323435,2888408,3211843,7925000,24636,,,,-6152,,,0.0,,,17780449,-396155,15707840,-66471,-109782,,,,258722,-5753155,,-355951
2014-03-27,4,2013,17845742.0,,-5460000,-26182916,2592128,-133314,-58829,20784,1262215,85907,1780821,-361433,137653,-5966226,0.0,,,,,79,204648,-179459,-134518,394101,4080,382372,177602,,-214653,-171326,-164684.0,,-12382231,17244851,1411176,-450361,50723,-1976580,339814,402805.0,,2013年01月01日至2013年12月31日,10831131,19007649,209433,8176518,-361180,,21485902,22865317,0.0,,16900000.0,-1466964,,-1064806,-361180,-65631.0,3222577,2158178,5380755,15211898,37458,,0.0,,-6008,,,0.0,742286.0,-742286.0,23226497,-426740,19007649,-145454,-132701,,,-92013.0,318255,-7396503,,555208
2014-05-06,1,2014,5216456.0,,-1080000,-6113605,-728247,24012,136097,1421693,6871,401133,821454,-124143,-228724,-1600129,,,,,,297,61134,-64122,-978,41853,-160706,-563513,107303,59956.0,-77591,-34560,-69774.0,,-3319916,4319427,-68320,-122927,12964,-616041,132071,3418.0,,2014年01月01日至2014年03月31日,19007649,19212676,239614,205027,-2511925,,1860139,2345421,,-1522.0,0.0,103735,-60000.0,1893528,-2511925,-3418.0,-48816,-310294,-359110,8987952,28994,,,,-21100,,,,,,4857346,-24646,19212676,-4730,-23076,,,,117364,-1925753,,-592765
2014-08-12,2,2014,10180101.0,,-4780000,-10336437,1949874,-228447,48859,1410551,-786899,-465282,1610870,-238810,-143089,-3305738,,,,,,88,104527,-135501,-174186,202333,53796,-18620,191754,1823184.0,-271263,-77273,-85284.0,,-10593562,8667215,125790,-263308,26618,-1010657,247065,42656.0,,2014年01月01日至2014年06月30日,19007649,19039082,137610,31433,-2871688,,8382992,9122066,200000.0,-103936.0,0.0,6918912,-3095000.0,2385092,-2871688,-27964.0,2997949,-1184296,1813653,11789343,37605,4616.0,,,-27101,,,-2550.0,,,11993754,-545217,19039082,-18138,5292,,,,292141,-7407051,,560173
2014-11-11,3,2014,15484381.0,,-4780000,-22904679,-1015221,154563,1456,1216780,-251956,-505666,2566625,-340327,50125,-5927634,,,,,,15133,118269,-154056,-299958,271592,-481312,173886,462442,2023631.0,-318297,-350965,-119773.0,0.0,-16174476,13050413,100322,-388174,40800,-1550267,348483,323839.0,,2014年01月01日至2014年09月30日,19007649,16909618,246044,-2098031,-1382495,,11502898,12420907,200000.0,-103936.0,0.0,2155000,-196000.0,2523422,-1382495,-28190.0,-533334,-1147645,-1680979,26165193,52141,4616.0,,,-33915,,,-2550.0,,,13803402,-513866,16909618,-40064,-47579,,,,406101,-10276689,,-231916
2015-03-27,4,2014,20918358.0,,-4780000,-34284523,-1755706,-200822,-101223,9333,-342329,59112,3532286,-441968,159086,-9920198,4616.0,,,,,30021,146335,-183913,-498599,330518,-412261,-443447,119499,2088138.0,-1513216,-114621,-157437.0,,-22342913,17460725,55802,-509352,55422,-2061008,454403,411683.0,,2014年度,19007649,20468151,436912,1460502,357709,,16908595,18209819,200000.0,,0.0,4213633,,6735734,357709,-29522.0,-538801,-2527447,-3066248,39440000,82451,,96862.0,,-52340,,,-6557.0,0.0,0.0,17852110,-579081,20468151,-106302,-78742,,,-103936.0,521473,-12337340,,2208926
2015-05-07,1,2015,,,-6785000,-4402817,-224138,183692,-268950,496451,398129,-36627,914902,-107241,-304996,-759467,,,,,,5540,12261,-14203,-173806,223181,31030,659412,-141439,-799165.0,-133376,162905,,,-5310631,4434260,-107042,-116316,15468,-616664,102268,0.0,5350280.0,2015年01月01日至2015年03月31日,20468151,20752727,185775,284576,2316352,-56835.0,7657516,8188887,,0.0,,9030025,-10520000.0,-1757313,2316352,0.0,-13083,535338,522255,11721586,1780,,,,-1780,,,,,,5872535,-11918,20752727,-16975,6885,,,,12787,-4333369,,-697989
2015-08-13,2,2015,,,-8585000,-8586225,894708,36335,-368108,-172380,-247439,-57737,1873925,-224619,-76889,-1868779,,,,,-13096.0,20579,70873,-79567,-580200,475316,-465113,300615,185679,-1098262.0,835849,22406,,,-4616179,8815722,67877,-248885,31370,-1167770,218525,286842.0,10180887.0,2015年01月01日至2015年06月30日,20468151,24783309,-69532,4315158,3761896,-145005.0,15270494,16058773,0.0,-157063.0,,11270025,-13820000.0,-6262268,3761896,-223050.0,1866075,249915,2115990,14722951,5753,0.0,,,-3441,,,0.0,,,12296877,-71823,24783309,-125876,48384,,,,160434,-7476675,5209610.0,932018
2015-11-10,3,2015,,,-8585000,-14184194,625952,203181,-426073,-174816,1377800,-100821,2877530,-343536,40921,-4292644,,-344.0,,,-13096.0,35621,97479,-91304,-802955,763812,-678480,1397202,-94317,-1988138.0,1709854,315888,,,-8475171,13052784,4625,-389920,49740,-1576476,339955,2332974.0,13767681.0,2015年01月01日至2015年09月30日,20468151,24481251,294172,4013100,6458812,-217469.0,25461707,24574990,0.0,-157053.0,,13530025,-17759000.0,-13014357,6458812,-1883736.0,1415629,2932868,4348497,16123172,13383,103975.0,,,-8078,,,0.0,,,18116178,-160021,24481251,-209736,-148628,,,,231732,-11738052,7916479.0,139919
2016-03-25,4,2015,,,-8585000,-19601536,569765,-205127,9688996,512938,-1252816,-14555,3848450,-466923,-340187,-6711363,245242.0,-3574.0,,-64091.0,-13096.0,49458,124621,-121159,-915853,780503,-1248012,840863,-12707,-2078113.0,1634673,136073,,,-10441578,17261774,-157350,-516140,70040,-1797212,487009,2382066.0,21546710.0,2015年度,20468151,23491085,487075,3022934,7134885,-296385.0,31790693,30958146,0.0,,,-4190523,,-17985994,7134885,-1884052.0,3369110,-1092559,2276551,16626343,20914,,0.0,,-13155,,,0.0,,,23823261,-237716,23491085,-239316,-150871,,3408.0,-157053.0,2857646,-13472830,,2006907
2016-05-12,1,2016,,,0,-8550385,-1742458,26228,3202006,404120,-490565,-55220,941690,-91229,-460312,-2376090,,-8084.0,,,,10785,30165,-15322,-122105,87305,111184,-207305,-254060,-9995.0,-314199,67282,,,-2241182,4267927,111347,-123610,23312,-439257,91260,,5831898.0,2016年01月01日至2016年03月31日,23491085,22745106,624537,-745979,1866362,-116749.0,3193598,3557108,,-462.0,,20000,-75000.0,-1238083,1866362,,-3665525,-475627,-4141152,7371000,5768,,,,-3395,,,,,,1690746,-567391,22745106,-15513,25374,13096.0,,,156507,-3038066,,-1126462
2016-08-11,2,2016,,,-2400000,-15865889,-652666,66901,5314545,-284514,-881491,-3593,1942166,-144223,-80889,-4335611,,-8084.0,,,0.0,12388,57115,-34770,-149784,83961,-37791,-356128,96756,-9995.0,-206663,53732,,,-3584186,8612943,-528513,-258687,48008,-723176,149234,5745.0,10581718.0,2016年01月01日至2016年06月30日,23491085,24959550,96843,1468465,1853419,-742482.0,8552062,9221257,,-201899.0,4700000.0,40000,-95000.0,-3418522,1853419,-5745.0,-1693151,-1520729,-3213880,10400000,14460,,63.0,,-9284,384285.0,26429.0,12.0,,,7367838,-765172,24959550,-100998,19043,13096.0,,,241825,-4896105,,1014648
2016-11-10,3,2016,,0.0,-2400000,-27007433,-997371,45003,243555,-630705,-152009,-15358,2876012,-193002,-154017,-6625710,,-8084.0,,,0.0,13943,84851,-54633,-276592,145051,-210303,325835,134720,-9995.0,186095,-69169,,,-10472675,13002138,75416,-397508,92197,-956914,150200,437812.0,15904093.0,2016年01月01日至2016年09月30日,23491085,22192084,-43618,-1299001,2876037,-3363329.0,12267896,12802886,,-2710411.0,9700000.0,115000,-80000.0,-2940205,2876037,-59927.0,-5865373,-111871,-5977244,19430500,17948,5579.0,63.0,346.0,-11337,384285.0,26429.0,12.0,,,9926849,-936054,22192084,-166088,30580,13096.0,71826.0,,496002,-9493653,5126799.0,-383111
