date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動負債增加,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付建造合約款（增加）減少,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2013,24742.0,,,-65143,761,24845,7902,-27279,,-100135,,,,,,128,-1134,2367,2161,-4533,,-20012.0,1561,1846,,-388,434,-34320,,-51695,0.0,,,-9352,86493,-209,-11785,0.0,-123150,11708,0.0,,200,-2356,1134,,,2013年01月01日至2013年03月31日,499726,794474,-2236,294748,18646,22677,22723,330000,,,38713.0,,393060,18646,,,-52384,31719,-20665,90000,1523,,-923,,,4077,,794474,-46,,2009.0,,11062.0,0,-6026,-1173
2013-07-26,2,2013,-56283.0,2491.0,,-76036,15501,24631,10832,-25551,,-100396,,,,-3486.0,,-88017,-2819,5340,2440,-89729,,-101905.0,1691,2521,-255.0,-1456,1049,-57466,,39817,0.0,,,-17131,49229,-209,2173,0.0,-290427,23598,0.0,,384,-5309,2731,,,2013年01月01日至2013年06月30日,499726,1160391,-2236,660665,91198,30160,67777,330000,,,291471.0,,918492,91198,,,49019,-16157,32862,100000,1563,,-894,,,-23421,,1160391,-37617,,2009.0,276100.0,4661.0,0,-8964,-1289
2013-11-08,3,2013,-103354.0,2491.0,,-79429,27825,18710,5219,-1076,,-100596,,,,-4262.0,,-130709,-5289,9974,343,-170906,,-125707.0,-25647,3333,-255.0,-3533,2641,-1716,,-46753,0.0,,,-7520,58939,-365,-7317,0.0,-394163,36197,0.0,,2233,-9901,5045,700.0,,2013年01月01日至2013年09月30日,499726,1101835,6,602109,133488,-54241,8430,330000,-94872.0,,382694.0,,1050170,133488,,-700.0,-21229,-475,-21704,242500,1563,,-894,,,-125058,,1101835,-62671,,2009.0,276100.0,9466.0,0,-67650,-1599
2014-03-19,4,2013,-144389.0,2491.0,,-97821,43713,24277,-1963,-20307,-438.0,-2000,,-100859.0,,-5845.0,,-216009,-6917,15362,851,-240278,,-208836.0,-20190,5059,-1830.0,-6829,4925,-15671,,214376,0.0,,,-6757,-111478,-10669,10409,0.0,-526425,46431,0.0,,3932,-15112,6813,1601.0,,2013年01月01日至2013年12月31日,499726,991993,-721,492267,175085,-87661,-23775,330000,-94872.0,,188769.0,,1105502,175085,156.0,-1601.0,249369,-303840,-54471,248125,1562,,-879,,,-198860,,991993,-63886,,2009.0,543184.0,34038.0,0,-79104,-80029
2014-04-28,1,2014,-53891.0,,,-22859,-28828,1825,-1363,-13831,-90.0,-197,,-57962.0,,-1365.0,,-59115,-1528,4745,452,-94594,,-592.0,-1011,1971,-585.0,-164,1797,-75897,,16659,,,,-9593,57355,14929,-4962,,-124649,10452,,,1724,-4559,1284,,,2014年01月01日至2014年03月31日,991993,1175050,-3462,183057,97006,-106996,-106866,48097,,275510.0,-62650.0,,414250,97006,4409.0,,-23125,-126856,-149981,179325,250,,115,,,-203872,,1175050,-130,-3309.0,0.0,,0.0,-6911,-48223,-31068
2014-08-12,2,2014,-132318.0,0.0,,-268575,27430,-15165,3705,4236,-181.0,0,26795.0,-13649.0,,-14836.0,,-161875,-3521,11946,-957,-235530,,-944.0,-2743,5183,-1592.0,-5886,4303,54190,,-89033,,,,-12518,69483,14929,3983,,-335293,21104,,,11619,-10404,3530,26.0,,2014年01月01日至2014年06月30日,991993,1709625,-188,717632,121489,-16314,17850,268000,,275510.0,-28516.0,,1070196,121489,4409.0,-26.0,-70416,99095,28679,569806,1130,,-765,,,-103639,,1709625,-34164,-2378.0,0.0,260784.0,0.0,-9900,-18731,-113881
2014-11-05,3,2014,-210857.0,0.0,,-300024,-22992,-4293,299,22647,-271.0,-35206,,-18866.0,,-13564.0,,-269327,-5531,19784,50,-409054,,-666.0,-2064,7953,-2371.0,-6030,6870,69146,,-125882,,,,-9828,201045,14929,3726,,-513522,32946,,,16469,-17773,5433,486.0,,2014年01月01日至2014年09月30日,991993,1658011,209,666018,92686,-82942,-23484,268000,-110684.0,275510.0,11231.0,,1262432,92686,4409.0,-486.0,-158403,253090,94687,869806,1427,,-900,,,-116170,,1658011,-59458,-546.0,0.0,260784.0,0.0,-5820,-34973,-63218
2015-03-10,4,2014,-330528.0,0.0,,-343311,-6318,-33182,661,23606,-358.0,-75655,,-30869.0,1938.0,-13744.0,,-409796,-8502,32059,2155,-590293,,-746.0,-1032,10237,-4003.0,-8038,6927,69613,,-148363,,150000.0,,-12905,306582,14929,3529,,-653843,55219,,,22521,-29825,8557,486.0,,2014年度,991993,1820751,-555,828758,72165,-175631,-115960,268000,-110684.0,275510.0,0.0,-38769.0,1656077,72165,4409.0,-486.0,-166925,309328,142403,1089805,2817,17472.0,-1173,-17472.0,,-188125,,1820751,-59671,-441.0,0.0,387179.0,0.0,-5279,-44522,-1626
2015-05-05,1,2015,,,,-62009,-25296,13768,647,-1571,-88.0,-18575,,-14996.0,,0.0,1156.0,-193557,-2232,9915,-4007,-23288,,0.0,-3145,2976,-532.0,-367,882,-29419,,-30408,,30000.0,,3292,-13862,0,-2071,,-39082,18098,,,5517,-10552,2078,,-160728.0,2015年01月01日至2015年03月31日,1820751,1964649,10377,143898,21342,-252896,-252643,380000,,0.0,0.0,,439883,21342,4570.0,,-51765,-61492,-113257,100000,0,,94,,,-273985,,1964649,-253,204.0,,,-822.0,-9747,-13253,-968
2015-08-07,2,2015,,,-15100.0,-128314,-33069,19051,17813,430,-173.0,-34006,0.0,-352.0,,-7715.0,,-369236,-4929,19792,-1149,-36267,-2000.0,-96.0,-4442,5432,-3048.0,-7664,7018,-14806,-40124.0,-59641,,,-100000.0,-2533,-33218,0,-3674,,-95188,35589,,,11030,-20666,4937,0.0,-307129.0,2015年01月01日至2015年06月30日,1820751,1543692,3790,-277059,20201,-488810,-446168,380000,,0.0,,-33254.0,308088,20201,4570.0,0.0,-77430,-81810,-159240,130000,150,,148,,,-466369,677.0,1543692,-42642,295.0,,133162.0,,-4413,-49068,-19545
