date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得無形資產,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付款項減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付投資款增加,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-06,1,2013,26020.0,,-100952,-844.0,354,12967,-1213,-502.0,,,-703,41,-19472,-16818,,-65000.0,,,,-2762,,-2.0,-66.0,0,-19739,22528,,924.0,0.0,-4193,26469,-1869.0,3448,-448.0,-220813,30220,,0.0,-41,703,,,2013年01月01日至2013年03月31日,1084597,1096714,12117,278977,,251480,250855,,,,,922.0,278977,,-54588,446,-54142,,137.0,18826.0,99,,,-28122,3050.0,1096714,-37,-875,,-6502,-157892.0,13304.0
2013-08-12,2,2013,55296.0,,85582,,748,7051,-54,-450.0,,,-1447,78,-14410,-179733,,-385026.0,-501.0,,,-2615,94.0,-1011.0,-8986.0,455,-9874,16439,,,,-3557,4895,,4679,-827.0,-610952,61139,,0.0,-78,1511,,,2013年01月01日至2013年06月30日,1084597,923397,-161200,610337,,669264,772329,-204185.0,,0.0,,-205102.0,610337,,114374,-7678,106696,,571.0,28853.0,756,1864.0,-913.0,161992,2343.0,923397,-104498,-1702,,-7622,-68449.0,7343.0
2013-11-11,3,2013,83368.0,,-21954,,441,12833,-310,1550.0,,-290757.0,-1941,103,-10724,-214030,,-417332.0,-594.0,,,-2893,151.0,-3011.0,-8863.0,455,-26415,14567,,,,-7424,31755,,9207,-1414.0,-595367,90798,,0.0,-103,1867,,,2013年01月01日至2013年09月30日,1084597,675242,-409355,979475,,885650,1078381,-686054.0,,0.0,,-688914.0,979475,,9128,6410,15538,,1388.0,426866.0,702,1864.0,-913.0,98906,711.0,675242,-194495,-2488,,-9818,-94364.0,11809.0
2014-03-24,4,2013,114253.0,,147744,,500,9019,-170,1550.0,0.0,-497273.0,-2498,132,-15508,-262395,,-450026.0,-22797.0,,,-2876,101.0,-3010.0,-10983.0,637,-23948,2486,,,,-2810,34271,8863.0,10972,-4027.0,-887210,122738,,0.0,-132,2498,0.0,,2013年01月01日至2013年12月31日,1084597,1068695,-15902,1427279,,1575779,1767979,-686054.0,,,0.0,-688963.0,1427279,0.0,200794,25653,226447,,1388.0,444560.0,702,1864.0,-913.0,340700,0.0,1068695,-194566,-3032,0.0,-6385,-92185.0,48382.0
2014-05-08,1,2014,32274.0,,-119445,,-283,-7293,-305,450.0,,-96723.0,-563,20,3631,-11757,,-125000.0,-9033.0,,,85,,0.0,-1150.0,150,-5580,11764,,,,-4628,-11455,2272.0,2403,-3019.0,-253485,33382,,,-20,563,,,2014年01月01日至2014年03月31日,1068695,1073270,4575,350930,,254429,255401,,,,,0.0,350930,,-111284,-16519,-127803,,46.0,25006.0,-46,,,-95529,3359.0,1073270,-1515,-604,,-4021,-35024.0,7978.0
2014-08-11,2,2014,67820.0,,92031,,-479,-2732,-564,450.0,,-298077.0,-1187,40,7373,-33254,,-585000.0,-25530.0,,,103,0.0,0.0,-2708.0,1118,11565,17808,,,,-4642,-4558,,1236,-4003.0,-941520,66376,,,-40,1187,,,2014年01月01日至2014年06月30日,1068695,660810,-407885,738152,,773405,931070,-247143.0,,0.0,,-247143.0,738152,,124403,695,125098,,114.0,45298.0,148,0.0,3740.0,192918,699.0,660810,-158812,-1400,,-6955,-43481.0,25242.0
2014-11-06,3,2014,101191.0,,-83455,,205,7055,-1295,450.0,,-289774.0,-1393,61,-1431,-96739,,-682798.0,-38471.0,-8537.0,,82,100.0,0.0,-8630.0,1348,-9871,32059,,,,-2706,-2984,,-110,-5141.0,-360930,99901,,75.0,-61,1393,,,2014年01月01日至2014年09月30日,1068695,765957,-302738,1168024,,957840,1234587,-898317.0,,0.0,,-898217.0,1168024,,-17443,-17185,-34628,,114.0,794905.0,2787,0.0,1785.0,66563,1121.0,765957,-278079,-2107,-6228.0,-3580,-26120.0,33624.0
2015-03-24,4,2014,129036.0,,151373,,-1196,27,-921,450.0,-3393.0,-465154.0,-2120,86,454,-155843,-6228.0,-685000.0,-38472.0,-11361.0,,-194,133.0,-16.0,-8974.0,1348,-33102,46333,987.0,,,-7005,-6083,-4942.0,-2164,-14242.0,-498535,128975,,150.0,-86,2120,30.0,,2014年度,1068695,1373835,305140,1689218,,1701422,1980402,-898318.0,,,,-898201.0,1689218,-30.0,213615,-51467,162148,,315.0,905324.0,2874,0.0,1785.0,291184,918.0,1373835,-281014,-2490,,-3509,-31127.0,35224.0
2015-05-08,1,2015,,,-115265,-284.0,46,-3214,25,0.0,131.0,0.0,-390,20,242,-85756,,,0.0,-1203.0,,87,,,0.0,809,-17120,16111,-987.0,,,895,-9965,3197.0,3863,,-109014,34514,-40000.0,75.0,-20,390,,34023.0,2015年01月01日至2015年03月31日,1373835,1550427,176592,419269,-4087.0,285364,285009,,,,,,419269,,-108372,-59911,-168283,,0.0,,0,,,-134260,,1550427,-15,-283,,43,-22995.0,-1541.0
2015-08-12,2,2015,,,36027,8252.0,-173,5958,-4512,0.0,-4.0,0.0,-1659,2941,584,-2357183,,,0.0,-1351.0,,38,,,0.0,822,-56907,56679,-987.0,,,1312,-6723,2371.0,4878,,-2382949,72469,61860.0,150.0,-2601,1659,,86954.0,2015年01月01日至2015年06月30日,1373835,1270749,-103086,866947,-4482.0,878863,1058996,-399584.0,,,,1400416.0,866947,,108693,-3598,105095,1800000.0,0.0,,13591,,0.0,192049,,1270749,-179191,-576,,-4392,-25233.0,5934.0
2015-11-10,3,2015,,-203333.0,-148687,12767.0,-197,13315,-1432,0.0,-41.0,0.0,-2415,12101,23,-2464670,-9526.0,,0.0,-1604.0,-5176.0,155,0.0,,0.0,779,-97195,31396,-987.0,,,-4531,-10628,-5359.0,-1322,,-2510605,111701,-587966.0,225.0,-10325,2415,,133856.0,2015年01月01日至2015年09月30日,1373835,710544,-663291,1339118,-5099.0,345454,677724,-1089830.0,995000.0,,,1501837.0,1339118,,-83344,-711906,-795250,1800000.0,0.0,,13591,,0.0,-661394,,710544,-324360,-1502,0.0,-7807,-30367.0,18482.0
2016-03-14,4,2015,,-306666.0,128681,25702.0,26,-1913,-9223,0.0,-383.0,,-3387,23136,-234,-2634649,-9526.0,,0.0,-2594.0,-4995.0,25,200.0,,,5472,-91206,31248,-987.0,,,-5617,2913,616.0,-1432,,-2646675,149781,-513825.0,610.0,-16696,3387,0.0,180629.0,2015年度,1373835,1432560,58725,1882604,-10357.0,1306930,1644713,-1089830.0,995000.0,,,1398704.0,1882604,0.0,197563,-616083,-418520,1800000.0,0.0,,14056,,0.0,-237891,,1432560,-324474,-3592,,-3952,,30806.0
2016-05-12,1,2016,,-203333.0,-52242,7131.0,-2558,120250,496,,-125.0,,-593,10579,591,-247249,,,,0.0,-20277.0,116,2820.0,,,-2010,-29909,11838,0.0,,,499,-24708,-1645.0,-139,,-269661,50335,-100000.0,447.0,-6009,652,,60876.0,2016年01月01日至2016年03月31日,1432560,1462042,29482,496946,-13540.0,464065,471489,,,35000.0,,-165513.0,496946,,73936,-160269,-86333,,,,156,,,-25457,,1462042,-2067,-164,,-1806,,
