date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他應收款－關係人減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得透過其他綜合損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付建造合約款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收建造合約款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融負債增加（減少）,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-09,1,2013,141730.0,-258557.0,21205,887,9409,1708,,,222,123,-22545.0,215.0,6587.0,,,-1967,-823,18775,-28004,-48044,0.0,,-8,-63102.0,,,-58370,0.0,-45.0,27266,-32122,185048,0.0,,15713,211893,0.0,,-1573,,-86023,168127,,-7046,1493,-18775,823,,2013年01月01日至2013年03月31日,397029,684994,-200,287965,-75942,,408759,426733,0.0,,250948.0,0,-6767,-75942,0.0,253447,107498,360945,,,0.0,,,0.0,0.0,,502675,,684994,-22,14695,,,,,-49626,-2135.0,21734
2013-08-06,2,2013,271205.0,-358820.0,3170,5897,-11589,-34690,,,218,-97,-55223.0,233.0,6971.0,,,-3972,-2150,39559,-35913,-11181,0.0,,-308,-135239.0,,,-86238,,-44.0,40875,-94839,302995,0.0,,110935,186548,0.0,,-4055,,-105848,301867,,-15551,3018,-39367,3233,,2013年01月01日至2013年06月30日,397029,635476,-1899,238447,72828,,610296,646170,0.0,,122879.0,0,-230088,72828,0.0,404567,-102430,302137,,5.0,0.0,,0.0,0.0,0.0,,573342,,635476,260,21020,,,,,-91809,,-1080
2013-11-08,3,2013,373844.0,-423798.0,65269,-8927,-5687,-20321,,,222,-120,-54403.0,0.0,8561.0,,,-5964,-3038,59726,-25351,-126920,0.0,,-347,-57921.0,,,-92027,,-45.0,80512,-171762,160350,0.0,,171712,251123,0.0,,-775,,-104671,419372,-22651.0,2066,4423,-59504,2385,,2013年01月01日至2013年09月30日,397029,468103,-4031,71074,126126,,762742,819833,0.0,,0.0,-128876,-561646,126126,0.0,357859,-37996,319863,,5.0,0.0,,0.0,0.0,0.0,,693707,,468103,28,13858,,,0.0,-18475.0,-52707,,-11014
2014-02-24,4,2013,478944.0,-464754.0,95642,15357,-5999,-24746,,,222,-137,17557.0,215.0,28463.0,,,-7933,-3861,78174,-36132,-439966,0.0,,-347,,,,-92002,,3533.0,133585,-230268,14884,0.0,,217398,385473,0.0,-36739.0,393,3671.0,-362470,539199,-27063.0,-152814,5829,-78645,4488,,2013年01月01日至2013年12月31日,397029,582751,-12431,185722,209859,,838052,912295,475000.0,,0.0,-282864,-253728,209859,0.0,285580,-62088,223492,,5.0,0.0,,0.0,0.0,1666.0,,702436,,582751,-86,12279,,0.0,-20266.0,-20044.0,-49629,-57413.0,-13031
2014-05-08,1,2014,120232.0,0.0,9942,-33111,2850,3251,,,0,151,0.0,0.0,8925.0,,,-1995,-1807,19345,3234,-96656,,,-394,0.0,,-134966.0,-660,,-14.0,12842,-304245,163974,,,87407,-93177,,,-823,76.0,-148305,121802,-1941.0,7187,1183,-17147,1744,,2014年01月01日至2014年03月31日,582751,419772,-5727,-162979,114126,,9653,25109,,,0.0,-107135,-27561,114126,,296776,-506025,-209249,112699.0,,,,7.0,,78006.0,,-89017,,419772,-53,-3970,,,-7284.0,-662.0,-127143,-7137.0,34317
2014-08-08,2,2014,283050.0,-67251.0,42183,-113825,1036,12082,,,0,64,0.0,0.0,12610.0,,,-3990,-1699,37388,16812,-105823,-850848.0,-124764.0,-686,0.0,,,3038,,-3578.0,86658,-33798,-38775,,,60104,-345860,,,-6472,133.0,-326565,244051,-2385.0,5452,2352,-31867,1471,,2014年01月01日至2014年06月30日,582751,637805,-1019,55054,180794,,155537,185679,1044225.0,,0.0,-650301,209270,180794,10465.0,68990,-347155,-278165,,0.0,604116.0,,7.0,-350.0,77808.0,,4885,,637805,254,-8090,,,42.0,855.0,8831,-13026.0,6630
2014-11-07,3,2014,443371.0,-22788.0,16544,-505899,1529,1498,,,-184,976,-56882.0,,13843.0,,,-5979,-2864,50736,-38,-144775,-1130848.0,,-696,0.0,,,3424,,-3577.0,110985,-134299,343351,,,-35073,-377542,,-215.0,-70050,217.0,-153998,367177,-2586.0,6009,3529,-53100,2828,,2014年01月01日至2014年09月30日,582751,663378,6415,80627,166450,,150561,200674,1044225.0,-138627.0,,-289232,84102,166450,10465.0,403833,-812980,-409147,,0.0,915559.0,2155.0,7.0,-711.0,113808.0,,34224,,663378,159,-12056,,,13986.0,9242.0,-195158,-20186.0,78875
2015-03-17,4,2014,589882.0,-141295.0,45348,-505899,2316,18090,,,-784,146,0.0,0.0,19329.0,-14635.0,0.0,-7991,-5485,62364,-13996,-175358,-1130847.0,67962.0,-709,,,,5201,,-3575.0,140399,-79389,12611,0.0,559.0,-135185,22028,0.0,-1888.0,-98098,273.0,29360,509546,-2731.0,6079,4736,-65587,5069,,2014年度,582751,1264428,3056,681677,167950,,582871,643466,1044225.0,-138627.0,0.0,-171387,83442,167950,10465.0,14704,-129070,-114366,,0.0,1101038.0,,7.0,-1191.0,99524.0,,475516,,1264428,-77,-11152,,0.0,14327.0,5999.0,-14437,-58014.0,91367
2015-04-27,1,2015,,,-39901,176540,-1035,-9924,,,-595,1201,,,,,8000.0,-2018,-2518,12887,-11454,-146405,-145000.0,,-242,,,0.0,7625,,0.0,-321,-184922,88636,,1022.0,-84847,28346,,1053.0,81295,,-183486,135906,-1573.0,444,1214,-12007,2332,167771.0,2015年01月01日至2015年03月31日,1264428,1403379,5592,138951,16668,97.0,-40837,-29740,,,,79706,374728,16668,,-127759,-86420,-214179,118482.0,0.0,86243.0,65873.0,-20070.0,-252.0,,47049.0,-46408,,1403379,-1422,-998,-4242.0,,29656.0,747.0,2125,-98683.0,-91359
2015-08-05,2,2015,,-7271.0,-55370,273515,-836,2676,,,550,2130,,,5068.0,,10821.0,-4025,-6505,27573,-11504,-222726,-500000.0,-31814.0,-554,,-123029.0,,1587,,0.0,24595,-133185,147331,,1365.0,4525,-84717,,-20632.0,91215,,-675695,276642,-1805.0,403,2404,-25935,6614,303820.0,2015年01月01日至2015年06月30日,1264428,1309360,5144,44932,-15160,131.0,149539,178799,693600.0,,,-377252,582592,-15160,3840.0,76871,-186732,-109861,,82518.0,331370.0,,-20572.0,-391.0,,0.0,193959,,1309360,-9939,-1788,,,21679.0,-1768.0,-48110,-246876.0,-20600
