date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產（增加）減少,其他非流動資產增加,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應付租賃款減少,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付款項（增加）減少,預付設備款增加
2013-04-30,1,2013,114939.0,,-325000,-21165,,5466,,,1372,120,-137065,-368739.0,,,-4739,4613,42285,-550270,,0.0,0.0,,99974,42517,,-91993,18050,-205,17992,277,1956,5.0,-585746,108293,,3532,-3618,4220,,2013年01月01日至2013年03月31日,863902,830558,-600,-33344,28020,,-254505,-252699,,562500.0,127327.0,,764622,28020,2606,-93731,-301927,-395658,400000,1615,-17,,-280719,,830558,-2408,1251,,,0.0,-1516,
2013-08-05,2,2013,241866.0,,-857500,2765,,2127,,,11580,-1410,-3698,-43992.0,0.0,,-3476,9116,65036,-571528,,0.0,0.0,0.0,99964,-52597,0.0,39709,0,-483,-86683,359,139,-973.0,-487192,219431,-3524.0,7098,-6204,3476,,2013年01月01日至2013年06月30日,863902,868723,-5082,4821,62963,,127460,158457,,562500.0,,0.0,299517,62963,5213,53081,-199453,-146372,595000,1620,-21,,95494,,868723,-28269,2771,6816.0,0.0,,-13872,-13550.0
2013-11-08,3,2013,349520.0,,-982500,-23445,0.0,-8992,,0.0,9511,-3534,-49282,-43497.0,0.0,,-4202,13397,63766,-568098,,0.0,0.0,0.0,102329,-119,0.0,46502,746,-801,-119165,5364,1946,-1469.0,-555049,335449,-12926.0,10584,-7922,4202,,2013年01月01日至2013年09月30日,863902,888317,-22118,24415,103792,,242439,283515,,562500.0,,0.0,273259,103792,7819,31845,-201642,-169797,695000,1680,-31,-339.0,179723,,888317,-37356,2145,6816.0,-940.0,,-20719,-41678.0
2014-03-27,4,2013,532293.0,,-1136250,22462,0.0,-813,-428.0,-1457.0,15150,-1435,-6344,-108759.0,0.0,,-6042,16517,48488,-643360,,0.0,0.0,0.0,102435,-1557,0.0,33401,0,-1024,-153576,4403,1413,-1971.0,-594346,463048,-12831.0,10910,-9616,6042,,2013年01月01日至2013年12月31日,863902,861999,24054,-1903,99043,,386001,428730,-36332.0,562500.0,50000.0,0.0,157954,99043,10425,69042,-271648,-202606,720000,1680,113,,329687,,861999,-39155,3328,9940.0,-940.0,,1935,-47300.0
2014-05-09,1,2014,122464.0,,-26250,4046,,2419,428.0,,12055,-188,-621,-34517.0,-126.0,,-2166,3161,-21294,-92633,,0.0,0.0,,-487,7524,,-2275,0,-190,105436,1272,-12843,-567.0,-102667,117379,,368,-1158,1492,,2014年01月01日至2014年03月31日,861999,1007285,8190,145286,55559,,245687,248988,,0.0,0.0,,23560,55559,2606,13259,57706,70965,50000,605,-175,,193429,,1007285,-3635,-6899,,,0.0,-11825,-9405.0
2014-08-12,2,2014,250351.0,,-146250,21117,,908,428.0,,2453,329,-53158,-212359.0,-346.0,-11797.0,-6150,5959,-50507,-170898,,0.0,0.0,0.0,-17377,-24079,0.0,86417,0,-384,11104,3623,-13479,-601.0,-260198,233748,0.0,767,-2422,4817,,2014年01月01日至2014年06月30日,861999,729959,20264,-132040,87171,,175299,202953,,0.0,,0.0,3366,87171,5212,109386,-243955,-134569,150000,5058,1020,,115782,,729959,-30049,-10469,0.0,0.0,,-10430,-11680.0
2014-11-11,3,2014,361952.0,,-196250,75897,0.0,2481,428.0,0.0,8315,-419,-28032,-253899.0,-346.0,-11772.0,-8987,7881,4289,-235958,,0.0,0.0,0.0,-489,-122233,0.0,136883,0,-556,-34360,5486,-18208,-1889.0,-291769,347620,-9314.0,1166,-3563,6970,,2014年01月01日至2014年09月30日,861999,815117,16099,-46882,159121,,277215,314032,-37058.0,0.0,,0.0,-36617,159121,7818,219206,-426247,-207041,200000,5364,902,0.0,154911,,815117,-40224,-10547,0.0,-2753.0,,3791,-20536.0
2015-03-17,4,2014,458372.0,,-246250,80554,878.0,4658,428.0,-11841.0,-137,-1279,-29373,-168799.0,-982.0,,-14053,9735,59492,-307740,-9280.0,0.0,,0.0,-2489,-61926,-85731.0,-49351,0,-707,-1220,7919,-6728,-2597.0,-362267,459436,-431.0,2527,-4814,12564,,2014年度,861999,886530,-514,24531,222086,,449806,486552,-37059.0,0.0,0.0,0.0,-122500,222086,10425,29347,-223253,-193906,250000,6960,845,-51.0,264466,,886530,-44496,-9978,0.0,-2753.0,,4125,-7522.0
2015-05-12,1,2015,,-56106.0,0,-29165,-878.0,-150,0.0,-66435.0,-12789,760,14353,46198.0,-57.0,,-2937,1391,-39831,-67561,,0.0,0.0,,1981,46309,,-32053,0,-168,78970,6511,-2601,,-113817,114904,,898,-1122,4426,140200.0,2015年01月01日至2015年03月31日,886530,968298,16769,81768,57269,-681.0,291690,290898,,0.0,0.0,,-56274,57269,2606,-75566,168995,93429,0,6917,3723,,233629,4282.0,968298,-2512,-1436,,,0.0,-7002,-3015.0
2015-08-07,2,2015,,-56106.0,-200000,-52146,-878.0,-5971,0.0,-65889.0,-5813,-3815,52589,-66475.0,-320.0,,-7880,2307,-58659,-115571,,0.0,0.0,0.0,2000,124267,0.0,6080,0,-300,76102,-3922,2715,,-157099,224392,727.0,1797,-2424,9369,242954.0,2015年01月01日至2015年06月30日,886530,1085537,12923,199007,124427,-1331.0,421171,434200,,,,0.0,-6406,124427,5212,-54088,120907,66819,250000,2278,-1387,-727.0,309773,4282.0,1085537,-19974,2035,0.0,0.0,,-2721,-32186.0
