date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得持有至到期日金融資產,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,非控制權益變動,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-07,1,2013,,96956.0,-18840,-68260,-1659,-33941.0,-4339.0,-5515.0,,-44.0,,-5190,,2539,52199,-152933,,,-561,-431,,,,,-3468,172419,,28,-81821,16688,,-153315,94771,0.0,945,-3461,,,2013年01月01日至2013年03月31日,546321,955518,4492.0,409197,188543,,324546,332344,,204607.0,,185767,188543,,64731,-17886,46845,,223,0,-170,0,,143801,955518,-4337,,56713,,
2013-08-09,2,2013,,196079.0,-3118,-58776,9722,-54684.0,-5067.0,-8725.0,,-72.0,,-5368,,4396,69407,-200984,,,-610,-181,,,,,-20396,202457,,83,-50037,101088,,-199107,191869,0.0,1714,-4800,,,2013年01月01日至2013年06月30日,546321,1061701,4492.0,515380,287614,,566065,570209,,82133.0,,79015,287614,,80355,6161,86516,,2559,0,-843,0,,282595,1061701,656,,-29149,,
2013-11-08,3,2013,,292206.0,-57130,-80304,-2982,-65.0,,,-5785.0,-56.0,,-7306,,6456,43907,-231085,,,-1064,-1676,,,,239.0,312850,177380,,10,-175035,50935,-13552.0,-220904,294527,0.0,2470,-6269,,,2013年01月01日至2013年09月30日,546321,1162386,-224.0,616065,297492,,674635,695559,-190016.0,280573.0,,118427,297492,,28782,77079,105861,85000.0,11062,0,-2041,0,,398067,1162386,-14655,,-102904,,-54687.0
2014-03-20,4,2013,,391973.0,-68516,-37115,7304,,,-65.0,-5197.0,-84.0,,-4612,-19284.0,8633,96033,-312831,-71550.0,-688658.0,-1874,230,,,,284.0,106168,263553,,59,-83894,116887,-17042.0,-1048871,396610,,3329,-8952,,,2013年01月01日至2013年12月31日,546321,511538,9461.0,-34783,397070,,921883,961305,-190016.0,169704.0,,-3828,397070,,171209,1053,172262,85000.0,5122,5364,-2041,-353,,564235,511538,-34398,,-140215,,-38181.0
2014-05-09,1,2014,,106586.0,-61855,-58227,-7379,,,0.0,-2242.0,5.0,,-2000,-6751.0,2842,2827,-12388,-4118.0,-700700.0,-78,-398,,,,7.0,-57204,-260352,,229,-55310,-11517,-5920.0,-20086,102673,,908,-3000,,,2014年01月01日至2014年03月31日,511538,427583,9461.0,-83955,31254,,-104998,-105486,,70157.0,,38302,31254,,-324596,81270,-243326,30000.0,2814,6028,-13,-136,688658.0,-136740,427583,-1946,,214922,-1631.0,-326.0
2014-08-07,2,2014,,194021.0,-44186,-34720,34721,,,0.0,-2666.0,31.0,,-1714,-14286.0,5361,-26094,-73277,-4118.0,-1415844.0,-791,-628,,,,159.0,248630,-107038,,17,-148141,-53910,-6927.0,146303,202772,,1539,-2704,,,2014年01月01日至2014年06月30日,511538,794152,1268.0,282614,53286,,260545,281045,,,-53954.0,-98140,53286,,-157913,191651,33738,0.0,21502,6028,-155,-136,1611808.0,227759,794152,-29409,,113017,-1868.0,-9245.0
2014-11-10,3,2014,6696.0,291985.0,-36522,-4152,18461,,,0.0,-14335.0,-8.0,,-5129,-23321.0,7541,884,-101012,-4118.0,-2389846.0,-891,-1467,,,,160.0,434747,-190621,,165,-149182,-55864,-13148.0,21181,301264,,1941,-7866,,,2014年01月01日至2014年09月30日,511538,749774,4668.0,238236,180596,,543142,577810,-159613.0,-130836.0,,-326971,180596,,-212623,317852,105229,0.0,22037,6028,-72,-136,2487587.0,397214,749774,-46007,,84025,-2872.0,-4867.0
2015-03-19,4,2014,522.0,411888.0,-98733,346695,70544,,,0.0,-14989.0,-58.0,,12372,-35001.0,9499,23947,-98708,-4118.0,-3660629.0,-1418,-1728,,,,201.0,457906,-554208,,46,-53941,-68516,-16994.0,-281416,400585,,2539,-9331,,,2014年度,511538,995778,23285.0,484240,335018,,969313,1018706,-159613.0,,-19258.0,-227604,335018,,-200314,472114,271800,50000.0,22724,6028,-49,-136,3439220.0,683688,995778,-50819,,81110,-8902.0,24147.0
2015-05-08,1,2015,2373.0,,-11396,-67443,-32371,,,,26652.0,13.0,,-1109,-12256.0,1825,-13564,-8945,0.0,-630128.0,-509,-27,,,,131.0,122499,-111037,,157,31410,36254,,74162,99978,,657,-2149,,91508.0,2015年01月01日至2015年03月31日,995778,1320864,0.0,325086,276991,-4354.0,439291,444731,,-163407.0,,-174803,276991,,-177008,253240,76232,0.0,59,0,67,0,707986.0,167740,1320864,-5427,,68796,-4565.0,5669.0
2015-08-10,2,2015,2373.0,,-22537,-18752,-6076,,,,28144.0,32.0,,-14279,-25061.0,2756,-71951,-30865,0.0,-1433005.0,-1157,-203,-110.0,,99.0,,209790,-2288,,-17,-94141,-61322,,113021,199393,,1106,-2204,,166167.0,2015年01月01日至2015年06月30日,995778,1580442,,584664,691092,-8882.0,934378,1009524,,-368137.0,,-390784,691092,,-4892,157157,152265,0.0,433,0,82,0,1598630.0,318432,1580442,-78162,,80762,-40987.0,25047.0
