date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少
2013-05-10,1,2013,47053.0,0.0,0.0,-2452,-6352,6226,-100,10590,4156,,633,,,5151.0,2877.0,-6925,13651,28739,-175080,,,-71198.0,,-473,,,-895858,256961,-576,0.0,,45449,-100879,,68729,172.0,-240682,42694,125942,,-9334,363,-12685,6291,,,2013年01月01日至2013年03月31日,661217,634607,12818,-26610,43212,,-512701,-506300,,697401.0,,698034,43212,,300823,-897388,-596565,0,445.0,0.0,-249,0.0,,,,-549512,-2969.0,634607,-7,-39324,,30955.0,0.0,-105604
2013-08-07,2,2013,17282.0,0.0,-2200000.0,386,-3086,-81407,1236,13689,5151,0.0,1848,,,7413.0,5118.0,-18495,29440,55742,-347572,,-1503.0,-13583.0,,354,,,-480982,-33222,-684,,-100000.0,65984,19308,,218735,365.0,-335014,85102,-141806,,-20797,733,-29388,18486,,,2013年01月01日至2013年06月30日,661217,702329,-9544,41112,95995,,-357661,-346186,,276197.0,,678045,95995,-14523.0,37027,-496490,-459463,2700000,445.0,0.0,-225,556.0,19786.0,,,-442181,-6405.0,702329,-573,-45477,,5040.0,,-36725
2013-11-11,3,2013,69766.0,5309.0,-3200000.0,25516,-5179,-25136,1666,19487,7483,,3475,0.0,-73.0,,7495.0,-25313,41938,52697,-496446,,-1503.0,-18980.0,,2388,,,-246261,198605,-1039,200000.0,,75777,-574473,,-121133,556.0,-491462,127940,-63578,,-26959,1105,-39785,24681,15534.0,,2013年01月01日至2013年09月30日,661217,828490,-20770,167273,84688,,-738903,-745243,0.0,641466.0,,1344941,84688,-15534.0,313723,-1213420,-899697,3700000,445.0,0.0,-85,313.0,19786.0,,,-829931,,828490,5910,-28752,,6000.0,,-191988
2014-03-13,4,2013,146851.0,5309.0,-4300000.0,18700,-3192,-11782,1031,16196,7579,,3413,0.0,-194.0,0.0,1307.0,-34776,57197,71617,-565577,,-1503.0,-1762.0,,-3556,,,-1054074,922190,416,200000.0,0.0,38823,-441740,,-291643,1688.0,-524297,170457,173039,,-32202,185,-55351,35034,19200.0,,2013年01月01日至2013年12月31日,661217,1236102,-13785,574885,14874,,-490583,-469626,0.0,1214735.0,0.0,1518148,14874,-15832.0,1006540,-1637891,-631351,4400000,445.0,0.0,-84,313.0,19785.0,,,-484500,11719.0,1236102,-640,-29416,0.0,47043.0,0.0,-20301
2014-05-09,1,2014,134966.0,0.0,,-9354,-1434,15172,780,17521,-944,,856,,,0.0,337.0,-7703,21359,7588,-65610,,,-41779.0,,-40,,,-889854,-790851,-1138,100000.0,,14422,-45248,,63679,-1226.0,19824,43361,-64193,,-1425,58,-17797,8338,,,2014年01月01日至2014年03月31日,1236102,1218662,11755,-17440,-220346,,-1958739,-1949280,,1513031.0,,1913887,-220346,,-768824,-1095076,-1863900,300000,0.0,,1,,,127213.0,,-1728934,3236.0,1218662,0,22278,,44985.0,0.0,-174468
2014-08-07,2,2014,151518.0,,-2200000.0,5240,-685,-25409,-6598,12118,-55,,205,,,232.0,6019.0,-20532,49489,-1001,-126616,,0.0,-539289.0,,131,-9696.0,,-266924,-1199699,-1184,200000.0,0.0,5679,-293814,,320481,-1576.0,-547864,101155,-467791,,-3403,1610,-46803,19337,,,2014年01月01日至2014年06月30日,1236102,486559,7426,-749543,-299233,,-2218621,-2190510,,1517738.0,,2017943,-299233,-8714.0,-1180107,-862688,-2042795,2500000,292.0,0.0,-78,0.0,0.0,127213.0,,-1891277,,486559,-645,28749,,-10334.0,,-122578
2014-11-07,3,2014,216328.0,2250.0,-3200000.0,26256,-1883,-23150,619,13137,-1681,,0,-830.0,0.0,262.0,8778.0,-31339,77927,2520,-149182,,0.0,-2345599.0,,689,-1822.0,,205120,-1167698,-550,200000.0,,-15414,-150220,-68737.0,349050,-1979.0,-392254,158217,-405972,,-6143,3153,-75215,30365,15854.0,,2014年01月01日至2014年09月30日,1236102,1051631,6900,-184471,-419526,,-1596650,-1566985,,1008743.0,,1801913,-419526,-8714.0,-1148131,-215656,-1363787,3794000,292.0,,19,0.0,0.0,2101545.0,,-1147459,,1051631,-669,15375,,-8534.0,,-120685
2015-03-11,4,2014,355592.0,2250.0,-4494000.0,23291,935,-15587,189,13570,679,,517,,-553.0,,1345.0,-44562,103036,13377,-201099,-284.0,0.0,-2427843.0,,348,-1812.0,,973483,-1196406,-720,200000.0,,-14371,-195352,-36489.0,504402,-2315.0,-396780,215412,-109348,,-3738,3361,-101495,44994,15854.0,,2014年度,1236102,910720,7114,-325382,-638210,,-313279,-255890,,0.0,-129217.0,371300,-638210,-8714.0,-1162823,1189551,26728,4794000,449.0,351.0,-106,31.0,0.0,2215907.0,,382320,13193.0,910720,-888,5241,,76824.0,,67574
2015-05-11,1,2015,,,-1300000.0,26452,693,40054,-380,31043,-1019,,180,,,944.0,,-12224,20254,-5373,-46381,,,,-81087.0,-910,,,213252,223914,-322,0.0,,-18935,428290,21615.0,237261,,-126524,55528,-153347,,754,1561,-19690,9719,,47099.0,2015年01月01日至2015年03月31日,910720,908370,1147,-2350,73714,-248.0,1125067,1135051,,-995700.0,,-995520,73714,,265768,748470,1014238,1300000,,,5,,,,0.0,1061337,3171.0,908370,-13,-19016,,0.0,,-37256
2015-08-07,2,2015,,,-2600000.0,-12867,2166,1384,-329,-11134,-1491,,114,,,944.0,5525.0,-25990,37290,-2915,-72887,,-6029.0,,-80637.0,1201,0.0,,63326,240847,-774,0.0,,-34299,-147877,16492.0,554180,,-158353,110617,-334868,,-2593,3449,-36362,24425,,102176.0,2015年01月01日至2015年06月30日,910720,1103989,-4371,193269,304051,-532.0,716546,728494,,0.0,-302123.0,-362009,304051,-5809.0,183407,138860,322267,2540000,256.0,,-239,,,,,424443,,1103989,-11,-16904,,0.0,,-11957
