date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他籌資活動,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現銷貨利益（損失）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分其他資產損失（利益）,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,預付款項（增加）減少,預收款項增加（減少）,預收款項增加－處分資產
2013-05-09,1,2013,44508.0,-69816,-9072,,8469,-3.0,,15151,-4730,,-433.0,,-1958,,-384,15438,537,-6602,,-3125,27261,-7133.0,,-20442,,-33423,-4733,-120000.0,-18203,,87125,61584,61093,12085,-213.0,-16100,30827,-508,1871,-13690,366.0,,,2013年01月01日至2013年03月31日,120928,181295,413,60367,30421,,195358,208705,,43127,-119428,30421,-57150,190926,133776,,26,,,-24,,178284,-6657,181295,-23,,,,-14255,,
2013-08-09,2,2013,89546.0,-471538,-9331,,-229,2.0,,5578,-4658,,-16242.0,,3911,,-926,30411,628,-23143,0.0,-244,40088,-2961.0,,-117045,,199416,-7602,10000.0,-19077,,-116615,49086,70285,-10351,-457.0,-34725,61864,-5302,3547,-25954,923.0,,,2013年01月01日至2013年06月30日,120928,185392,180,64464,55491,,156803,186566,,293208,-58242,55491,160104,-118575,41529,70000.0,3710,,,16,,131075,-8423,185392,-4732,0.0,,,10950,,
2013-11-11,3,2013,132794.0,-563077,5205,,907,,,4874,-4741,-37481.0,-11899.0,,-1630,,-1365,44910,345,-27749,0.0,1507,29809,10885.0,,174473,,-67190,-1718,10000.0,-13548,,140575,7774,73870,-3865,-633.0,-6502,92852,-10400,5162,-40765,1338.0,20000.0,,2013年01月01日至2013年09月30日,120928,244042,148,123114,55523,,422218,472206,-37481.0,135283,-292947,55523,-66172,350061,283889,170000.0,3891,,,-20,,416683,6838,244042,-10561,0.0,,,-38932,,
2014-03-27,4,2013,186880.0,-673323,-1211,,4326,,,5530,-5710,-37481.0,-9644.0,,-131878,,-2113,59849,464,-36216,0.0,15927,0,17591.0,,457676,,-105398,-4943,-410000.0,8474,,126367,18174,126686,28564,-809.0,-136204,123789,-17404,6707,-54184,2102.0,20000.0,,2013年01月01日至2013年12月31日,120928,258376,152,137448,97969,,844651,907353,-37481.0,216822,-571463,97969,-94625,717129,622504,370000.0,3943,0.0,,-27,0.0,809384,3732,258376,-10620,0.0,,,-38954,,
2014-05-13,1,2014,43189.0,-111538,16452,,-1721,,,-3502,-935,,8392.0,,9738,,-542,14939,362,-13398,,0,52371,3806.0,,-367783,,11559,938,0.0,-24945,,14885,-20425,35823,31052,-271.0,8552,30819,-4003,1565,-13871,570.0,,,2014年01月01日至2014年03月31日,258376,278493,282,20117,47982,,-214881,-201538,,284451,226084,47982,-3440,-289269,-292709,800.0,14,,,129,,-249520,-3671,278493,-42,,,,19835,,
2014-08-11,2,2014,89848.0,-271538,15775,,-12819,,,-1548,237,,9328.0,,6109,,-1238,30823,125,-17010,,-1,33932,1502.0,,-573727,,-14394,1132,100000.0,-28127,,33204,-3723,43962,31052,-580.0,416,61559,-8494,3088,-28987,1272.0,,,2014年01月01日至2014年06月30日,258376,380786,186,122410,53381,,-414265,-371102,,422940,536134,53381,-32945,-481386,-514331,250800.0,487,,,79,,-424483,-5203,380786,-15448,,,3846.0,428,,
2014-11-12,3,2014,134202.0,-643036,-8502,,-21249,,,-2902,-44,0.0,5473.0,,20715,,-1831,45654,225,-20847,,-2,32779,3852.0,,-441428,,330,631,200000.0,-27942,,79249,-87156,4415,30999,-860.0,34951,91832,-12533,4569,-43309,1863.0,17000.0,,2014年01月01日至2014年09月30日,258376,209567,-73,-48809,-10811,,-387498,-330691,-50359.0,353329,303513,-10811,-44448,-409634,-454082,410800.0,8758,,,6586,,-319880,-5203,209567,-15361,,,,25580,,
2015-03-27,4,2014,175254.0,-1871405,32760,,-3294,,,-4160,-1233,0.0,1377.0,,17008,,-2553,59330,365,-34049,,1437,-3000,-257.0,,-209972,,15054,861,250000.0,-18532,,56938,-34940,23197,31052,-14523.0,10159,122154,-18272,6519,-56691,2570.0,17000.0,,2014年度,258376,400457,43,142081,79022,,54818,136167,-50359.0,-106866,76739,79022,8630,-126739,-118109,1858369.0,9080,,,6493,,57145,-2830,400457,-27228,,,103.0,11513,,
2015-05-13,1,2015,,-137487,-34260,,-78,,,896,-1987,,-1237.0,,-838,,-628,12256,33,-9519,,-618,20945,555.0,,196257,,-38064,5551,,-12771,,65608,17670,63464,0,,-10889,30234,2635,1884,-11824,651.0,,45873.0,2015年01月01日至2015年03月31日,400457,465999,110,65542,39898,-183.0,330141,341353,,-137201,-253743,39898,-81204,336786,255582,0.0,150,,,0,,301455,-2373,465999,-39,,,,-4148,,
2015-08-11,2,2015,,-272487,-33309,,1507,,,-515,6047,,,218.0,-224,,-1345,24280,-51,-15654,,3193,29971,,55.0,-32655,,-26476,1190,20000.0,-11481,,75142,14873,6710,0,,-15360,60386,8255,3649,-24306,1374.0,,98422.0,2015年01月01日至2015年06月30日,400457,265215,62,-135242,58265,-297.0,137271,160296,,-64586,-257102,58265,-73261,76870,3609,30000.0,245,,,-58,,102031,-2373,265215,-93,,,0.0,5246,,
