date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,備供出售金融資產減資退回股款,備供出售金融資產（增加）減少,償還公司債,償還金融債券,償還長期借款,其他投資活動,其他籌資活動,其他負債增加,其他負債增加（減少）,其他資產增加,其他資產（增加）減少,其他金融負債增加,其他金融負債增加（減少）,其他金融資產增加,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得持有至到期日金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,央行及銀行同業存款增加（減少）,存放央行及拆借金融同業（增加）減少,存款及匯款增加（減少）,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付商業本票增加,應付款項增加（減少）,應收款項（增加）減少,投資活動之淨現金流入（流出）,折舊費用,持有至到期日金融資產到期還本,持有至到期日金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,符合國際會計準則第七號現金及約當現金定義之存放央行及拆借銀行同業,符合國際會計準則第七號現金及約當現金定義之附賣回票券及債券投資,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分承受擔保品,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分持有至到期日金融資產,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,貼現及放款（增加）減少,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量之金融負債增加（減少）,透過損益按公允價值衡量之金融資產（增加）減少,金融資產減損損失,附買回票券及債券負債增加（減少）,附賣回票券及債券投資（增加）減少,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益
2013-05-27,1,2013,-1344379.0,168444.0,,,,0,0,-90626,,317180.0,570339,-230638.0,-1614937,0.0,19473763,-400000.0,1459769,-525780,-1811930,721429,-191375,-40883.0,-1088292,-61602421,-3046775.0,-17.0,,-298500,-472203.0,,108010,1406115,-2382945,29089443,,-913886,4960524,-860451,-16882321,-38391563,115799,,,,-128279,176372,-975134,1957207,,,2013年01月01日至2013年03月31日,67388198,85124678,17736480,1655976,53568411,52685178,,,1107698,,34259102,23606490,2751007,1655976,,,70831675,-18458094,52373581,326183.0,,454131,25209442,,,,,,,,,51029202,867022,27259086,-98840,-1313632,-1107828,,22466098,1203146,83.0,,
2013-08-26,2,2013,-4157026.0,213141.0,,,,0,0,-30597,,,99805,,-1650616,,26127511,,-830834,147386,-4043925,1573382,-549720,-100541.0,-2367923,-80996195,-3046775.0,,,-298500,-1422029.0,,150028,1748456,-2650348,26655557,0.0,-913886,3511308,-13813018,-15250604,-12889554,232837,,,,-259274,361439,-1854663,3806382,426457.0,,2013年01月01日至2013年06月30日,66426298,97621450,31195152,3956836,44534892,42477951,-680732.0,,1015596,0.0,41788391,31596696,99534,3956836,,-308311.0,56787291,-14109150,42678141,302084.0,,3480609,67408087,,1224394.0,-860967.0,-1701072.0,,,,,38521115,505906,24236363,-321235,-2545187,2805726,510720.0,18514167,2961620,-88061.0,40731.0,
2013-11-25,3,2013,-7830822.0,337535.0,,,,0,-599931,18275,-2014.0,,1131625,,1862282,,25901045,,-6992127,188999,-6352296,2315611,181402,-138960.0,-5581649,-88934933,-3046775.0,,,-298500,-1722576.0,,224182,22906601,804410,25325441,0.0,-913886,8223304,2978116,-51699565,-21453744,345839,,,58428.0,-313598,543399,-2413132,6202791,2109494.0,,2013年01月01日至2013年09月30日,66426298,104240199,37813901,6854906,43735103,38078251,-2704828.0,,13816311,0.0,38067607,21219635,15351140,6854906,3584.0,-1789086.0,114035215,-74981048,39054167,638559.0,,2589529,70990295,,1228812.0,-862383.0,-2775637.0,,,,,31223345,-13030767,44952957,-242301,496515,-1845917,640616.0,35295872,-4079364,-59600.0,0.0,-52.0
2014-03-24,4,2013,-10243226.0,397362.0,,,,0,-600026,125350,-462.0,,-791446,,-15995224,,39213204,,-4779896,-65820,-9070269,3160509,-187807,-225040.0,-6083851,-102761112,-3046775.0,,,-298500,-1720362.0,,824715,4040063,765425,13258002,0.0,-913886,2884564,-1097570,-29313485,-18451847,453653,,,58428.0,-381579,719003,-3062476,8485989,2728853.0,,2013年01月01日至2013年12月31日,66426298,68014561,1588263,9221182,19151596,11226232,-2704828.0,,3634232,,37046527,10772037,1076321,9221182,8960.0,-2084834.0,111579291,-99331015,12248276,1883053.0,0.0,5151297,85609437,0.0,1295144.0,-777543.0,-4405975.0,,,,,2005050,-19747759,20195997,-227002,4295918,-24865771,1376328.0,52661120,-5394305,-59551.0,0.0,-374.0
2014-05-26,1,2014,-4611342.0,60123.0,,,,-2500000,-317973,-103600,596.0,,355462,,-457530,,8405485,,-21181135,-331456,-2965625,880858,182043,-92433.0,-494934,-548783,0.0,0.0,,0,0.0,,-73588,2815838,-747261,36201038,,0,7781995,-6970870,-6629056,7169712,103845,,,,-95170,175074,-1231865,3092242,102504.0,,2014年01月01日至2014年03月31日,68014561,86738680,18724119,3078472,4938294,3434871,,,1164324,,42401477,10125957,6434070,3078472,14115.0,-121849.0,58487433,-53519692,4967741,305128.0,,1143479,7205860,,,,-2197546.0,,,,,356399,-6802442,34211246,-459458,2111872,-17671914,,15568608,-30354,0.0,,
2014-08-25,2,2014,-7909704.0,146759.0,,,,-3500000,-415092,221726,-234.0,,551895,,3826660,,9265345,,-1521319,-281016,-6033774,1846274,-114573,-157349.0,-1794520,-7728562,-111150.0,,,-1932190,0.0,,-67089,-1795918,-3367775,47271912,-1188041.0,0,5293390,-4275186,-6682574,13516530,210910,,,164329.0,-210931,356816,-2165331,5962955,179778.0,,2014年01月01日至2014年06月30日,68014561,113993444,45978883,5653594,11785328,8218439,0.0,,19139020,,50219821,24255066,20791598,5653594,,-246796.0,61524919,-51050370,10474549,500059.0,,4132568,21580634,,71176.0,-17864.0,-4299148.0,,,,,2564845,-18263602,39518557,-410513,913772,-20810451,800873.0,9593099,-4231309,-114395.0,32041.0,
2014-11-24,3,2014,-12983419.0,251358.0,11504.0,,,-3500000,-128349,602865,3170.0,,3015955,,-7868953,,17578947,,-5335781,-638433,-9399859,2929541,-34139,-209971.0,-2010992,-28563305,-111150.0,,,-2227870,0.0,,50320,-525433,-4871589,39200708,6678321.0,0,12822693,-1470545,3023492,7634242,322008,,,293385.0,-365533,542025,-3098304,9086037,1837726.0,,2014年01月01日至2014年09月30日,75907801,113609103,37701302,9036839,16149741,8952058,-6014787.0,,10117302,,67051793,29679866,13951458,9036839,40140.0,-2167994.0,72015657,-59117019,12898638,3498631.0,,6540580,25940135,,113673.0,-31552.0,-5358383.0,,157196.0,57363.0,,-84781,-24417240,16877444,-627776,6827783,-21747036,1050487.0,7388242,2100088,-2736052.0,43814.0,
2015-03-23,4,2014,-17497218.0,372501.0,,380981.0,,-3500000,-838702,141870,10970.0,,-419005,,-6624768,,3373282,,-4348371,-426080,-14172239,4436123,763913,,-2356162,-64295782,-111150.0,,,-3108666,0.0,,13707,4545761,-7967395,31912977,6749398.0,-921962,3808820,2331031,10085709,2999415,438881,,1300000.0,293385.0,-435824,791042,-4480508,13524778,2319087.0,,2014年度,75907801,84753207,8845406,11924294,-2827464,-12917340,-6014787.0,1020680.0,13091788,,27577163,32045353,7909542,11924294,,-2227986.0,69549218,-76893634,-7344416,4099668.0,,8733165,55788096,,334414.0,-102926.0,-7073278.0,190000.0,157196.0,,,-24841634,-19608044,25130691,-1273481,12482184,-53005322,1261362.0,15322988,2893576,-2735783.0,,
2015-05-25,1,2015,,44053.0,,1596603.0,-8100000.0,-9000000,-275960,-74379,31052.0,,10396920,,2906775,,-22623710,,-3189046,46911,-4350652,1447098,-66414,-83966.0,-760334,-20999056,,,,-298500,,,-165247,-4813082,-2872319,30121978,,-972909,15208352,-9840650,-29472323,-3884936,131157,,18600000.0,119879.0,-198039,216466,-1834742,4762909,61238.0,-3999387.0,2015年01月01日至2015年03月31日,84850996,93981870,9130874,3162880,-16121654,-18134986,,6000000.0,26313343,,46129526,22565294,29203878,3162880,,-87991.0,-11099855,-6198624,-17298479,0.0,,1006100,17161267,,,,-1039090.0,,,,,-21297866,-1478995,25287050,-976073,-5870692,13923698,,-8470619,-6213017,,,
2015-08-24,2,2015,,75614.0,,-94659557.0,-11100000.0,-10000000,-490824,344821,-119156.0,,5949523,,-6592441,,-16790182,,4203832,170215,-7750014,2771123,-78700,-160066.0,-1311858,-21871442,0.0,,-102564.0,-920193,,,-590403,-9539722,-6272729,25011171,0.0,-972909,8329347,7092309,-1506317,115247460,273498,,18600000.0,506219.0,-280626,430007,-3266024,9162005,356178.0,-6298558.0,2015年01月01日至2015年06月30日,84850996,119144807,34293811,5931337,-77038750,-81589002,-9098673.0,13000000.0,6766591,,55121724,34868432,-3836199,5931337,,-395949.0,-9767682,-71454099,-81221781,379.0,250032.0,5326875,133110022,,,,-1081582.0,,,,,-87520339,5150406,29154651,-1701907,-5613754,23040526,155173.0,-15877027,-13417819,-150954.0,0.0,
