date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得備供出售金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債務工具投資,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收款項減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預收款項增加（減少）,預收款項增加－處分資產
2013-05-07,1,2013,4049.0,150083.0,-104286,-5992,-3689,,-92376.0,0.0,,,-227,50437,-26748,,0.0,,,,,,-91874,23582.0,,,0.0,-6933,33551,,,14,1118.0,-119124,89739,3072,,3296,-50067,216,,,2013年01月01日至2013年03月31日,400558,516203,115645,-158387,,-153427,-103545,492482,,388196,-158387,,8234,-103475,-95241,,,2876,,,-72,54842,-2674,516203,-31,-15,,,,-44549,-867,
2013-08-06,2,2013,4049.0,296101.0,-291212,-821,-5954,,-82129.0,,,,-1039,102367,-41759,,0.0,-26903.0,,,,,8571,-9121.0,,0.0,,-1064,50995,,,62,2243.0,-144209,177646,72,,9275,-100527,995,450.0,,2013年01月01日至2013年06月30日,400558,481288,80730,-418787,,-175690,-76510,691841,,400629,-418787,-450.0,-17458,63634,46176,,,4176,,,-70,342277,-7958,481288,-98,147,,,,9888,-737,6582.0
2013-11-06,3,2013,4049.0,436240.0,-547919,11326,-90766,,-84443.0,,,,-1610,154253,-84092,,0.0,-26903.0,,,,,259005,-9121.0,,0.0,,-16014,31153,,,1,3390.0,-175005,265840,2302,,8459,-152246,1424,450.0,,2013年01月01日至2013年09月30日,400558,456400,55842,-625335,,-141688,8825,920454,,372535,-625335,-450.0,9629,188291,197920,,20433.0,6562,,,-300,634160,-7865,456400,-141,-563,,0.0,,-13404,27913,
2014-03-24,4,2013,11324.0,596264.0,-781769,5907,-2387,,,6000.0,-104833.0,,-2210,207166,-84548,,0.0,-26903.0,,,,500.0,258802,-8990.0,,0.0,,-23386,39224,,0.0,30,4533.0,-84518,354135,10426,0.0,11147,-203943,2156,1150.0,,2013年01月01日至2013年12月31日,400558,398207,-2351,-849580,,-369198,-168347,1233134,,451365,-849580,-450.0,-46157,131126,84969,,20433.0,8952,,,-424,681233,-7175,398207,-214,-749,,15600.0,-8227.0,-70136,-17046,
2014-05-07,1,2014,0.0,137165.0,-233850,-18668,-1188,,,,-60855.0,,-733,42886,-39266,,,,,,,,-20962,-131.0,,,,13437,-1054,,,-50,1227.0,-39266,88027,0,,5193,-41501,752,,,2014年01月01日至2014年03月31日,398207,407036,8829,-166097,,-139291,-95333,421236,,187386,-166097,,18837,-85238,-66401,,,1444,,,0,70764,-527,407036,-3209,348,,,,-1129,23499,
2014-08-06,2,2014,0.0,267456.0,-487700,24029,-12181,,-42516.0,,,,-1457,83113,-78436,,,0.0,,,,,-94722,22059.0,,,,10169,-71144,,,32,2460.0,-120952,176569,-3000,,6700,-81089,1504,405.0,,2014年01月01日至2014年06月30日,398207,464310,66103,-295286,,-114574,-32222,789329,,301629,-295286,-405.0,98881,-103273,-4392,,,2668,,,0,263064,915,464310,-3172,268,,,,77742,39249,0.0
2014-11-10,3,2014,0.0,391785.0,-2052450,20236,-15797,,0.0,239855.0,,,-1905,111264,-123958,-12256.0,,0.0,,,,,-122841,378.0,,,-30000.0,31113,-36176,,,32,3701.0,103641,264364,117,,14108,-126670,1952,405.0,,2014年01月01日至2014年09月30日,398207,1039877,641670,-463072,,-276151,-143251,0,-2064370.0,814180,-463072,-405.0,83853,-155817,-71964,4961000.0,0.0,3873,,,-117,319821,8173,1039877,-8587,603,,,,18848,20252,
2015-03-24,4,2014,0.0,549291.0,-2242200,6391,-19531,,-38010.0,0.0,-109082.0,,-2536,159087,-181845,-19872.0,,-280000.0,,,,0.0,-213037,-131.0,,,-30000.0,33791,53762,-8514.0,,32,4950.0,-519106,352703,-4544,,18485,-211539,2612,405.0,,2014年度,398207,577368,179161,-627009,,-457521,-240345,0,-1533012.0,1155788,-627009,-405.0,106584,-269211,-162627,4961000.0,0.0,5053,621.0,-278.0,-456,386664,16957,577368,-8654,1035,,17228.0,-625.0,31703,44626,
2015-05-05,1,2015,,,-189750,2399,1669,,,10.0,152149.0,-2828.0,-141,43528,-148356,,,,,,,,-18092,12698.0,33872.0,,-220000.0,-11455,-79738,4501.0,,-3136,,-148346,89297,2167,,2636,-41350,128,,134211.0,2015年01月01日至2015年03月31日,577368,683261,105893,-112728,1265.0,29275,70441,634714,,224964,-112728,,4882,44076,48958,,,1277,,,384,183169,-14851,683261,56,58,,,,-15444,-19046,
2015-08-06,2,2015,,,-379500,8412,18590,,-690.0,,170198.0,-2828.0,-726,87929,-342183,,,,,,,,-17386,8179.0,12925.0,,,-21194,-17302,5785.0,,0,,-342873,179023,-13625,,13875,-85722,714,375.0,279568.0,2015年01月01日至2015年06月30日,577368,742323,164955,-247395,2537.0,91095,175584,535233,,416733,-247395,-375.0,612,142799,143411,261000.0,,2586,,,176,422979,-10164,742323,144,-92,,,,-3461,-83,
