date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,停業單位稅前淨利（淨損）,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人增加,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之收現類別合計,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,非金融資產減損損失
2013-05-14,1,2013,,103899.0,,-66,-124993,20802,,,-60889,-48431,866.0,0.0,-26927,,35313.0,,,,-2085,22916,24608,-32659,,,,,1022,,-23458.0,134381,44847.0,,93707,,-20000.0,-63216,-86281,-9534,-2809.0,28706,85881,9767,,3355,-21243,2085,,,2013年01月01日至2013年03月31日,671724,792834,121110,96806,,,76487,99388,,,-10014.0,,-8691,96806,,-158200,56883,-101317,,88292,,-7061,,,,,,2582,792834,-3743,-129,,,,
2013-08-12,2,2013,,247084.0,,0,-108860,19893,,,-65123,-24308,2012.0,,-81159,,232800.0,,,24708.0,-2540,46518,7685,-154911,,0.0,,,521,,-23508.0,154280,44847.0,,47384,,-50000.0,-105801,-100630,-8120,-6068.0,-150124,172309,5608,,7547,-52757,2540,,,2013年01月01日至2013年06月30日,671724,1158674,486950,247990,,467199.0,467199,538141,260000.0,,-69149.0,,162190,247990,,-238468,281535,43067,,67617,,-2814,,,,18329.0,-3520.0,290151,1158674,-20725,4355,,,,0.0
2013-11-12,3,2013,,344837.0,,-215432,-29964,11313,,,-64261,-50594,2435.0,,-331,,-2005.0,,,22083.0,-9197,71643,-1038,-183546,0.0,-41635.0,,0.0,693,,-23749.0,155984,44847.0,,7703,,-50000.0,-144407,-71349,-22874,-9104.0,-118644,252969,-43948,,8058,-76096,9197,,,2013年01月01日至2013年09月30日,671724,774719,102995,425157,,,391422,508923,260000.0,-25025.0,0.0,-159386.0,-168745,425157,,-240033,-21038,-261071,,88539,,69,,,,18329.0,-3520.0,83766,774719,-50602,2039,,,,
2014-03-28,4,2013,1903.0,445605.0,,-237533,57742,12605,0.0,549584.0,-62818,-31215,3907.0,,-38157,0.0,-41001.0,,,17171.0,-11693,90309,-9077,-255317,0.0,-11211.0,,0.0,38283,,-23755.0,125944,44827.0,,-16096,0.0,-50000.0,-162819,-160367,-2422,-12952.0,363096,315190,-87692,,6150,-121282,11693,,,2013年01月01日至2013年12月31日,671724,1562597,890873,622979,,,516662,691400,690500.0,-25025.0,,-378822.0,20192,622979,,-196943,-180241,-377184,,99868,,-3607,,0.0,,18329.0,-3520.0,68421,1562597,-65149,-21981,,17400.0,,
2014-05-13,1,2014,,110347.0,,-245083,-57762,-61205,,,3611,24485,,,-16660,,55054.0,,764.0,650.0,-3364,15422,18400,-109079,,-38767.0,,,1982,,0.0,25782,0.0,,-106603,,0.0,-28568,-42557,13765,-3704.0,-146874,105425,3956,,1708,-11072,3364,,,2014年01月01日至2014年03月31日,1562597,1156844,-405753,134052,,,61590,70653,,,,-93786.0,-338869,134052,,-193026,19280,-173746,,16868,,-8206,,,,,,-63399,1156844,-1355,-3270,,,,
2014-08-12,2,2014,,213158.0,,-1105220,-10839,-79055,,118915.0,13150,29687,,,-12367,,354967.0,,16335.0,1080.0,-6608,26550,-933,-218425,,-86192.0,-12261.0,,2098,,0.0,49266,0.0,,-38332,,0.0,-110419,-72122,-65657,-7800.0,19805,186765,73759,,2999,-28531,6608,,,2014年01月01日至2014年06月30日,1562597,1639299,76702,272302,,,518487,622065,0.0,,,-162435.0,-460657,272302,,-154240,290845,136605,854809.0,167026,46774.0,-8434,0.0,,766.0,,0.0,349763,1639299,-81655,7942,0.0,,-47811.0,
2014-11-13,3,2014,,295935.0,0.0,-1105220,-4004,-69611,,82200.0,3482,-8635,,,-11134,428085.0,,,15980.0,1363.0,-11143,38847,21620,-322110,,-107599.0,-3977.0,,2351,,0.0,-32244,0.0,,18306,,0.0,-152601,-7144,-25441,-12174.0,302180,255628,-162772,,4309,-39199,11143,,,2014年01月01日至2014年09月30日,1562597,1625670,63073,440038,,,141962,283135,0.0,-142115.0,2348583.0,-2614718.0,-402689,440038,,-146991,-305847,-452838,1110781.0,171194,49541.0,-12407,0.0,,10819.0,,0.0,-156903,1625670,-113117,6168,0.0,,,
2015-03-27,4,2014,,-201395.0,0.0,-1360295,73412,-71472,,269974.0,-2349,1732,13367.0,,0,98531.0,304570.0,0.0,28066.0,-591443.0,-13472,51781,50672,-447477,,-114539.0,-22822.0,,-4731,,0.0,-145218,0.0,-243555.0,19458,,0.0,-107527,-37792,-88079,-16620.0,87848,345168,-213942,1804.0,7368,-49346,13472,1518.0,,2014年度,1562597,1667308,104711,1115352,,469302.0,469302,643497,0.0,-142115.0,2833943.0,-3150622.0,-503111,1115352,-1518.0,-33626,-236834,-270460,1559533.0,219499,56616.0,-7210,0.0,,6411.0,,0.0,-471855,1667308,-139839,4447,0.0,0.0,,
2015-05-12,1,2015,,,,-100000,-123662,-19119,,,2437,-692,-2140.0,,-55704,0.0,0.0,-1166.0,,598.0,-2862,11038,-4727,-52639,,-1930.0,-2046.0,,671,,,95014,,,-43990,,,-18763,-46883,84588,,-113326,81730,1002,5192.0,793,-10339,2862,,113858.0,2015年01月01日至2015年03月31日,1667308,1600110,-67198,129734,-4655.0,159230.0,159230,166729,,,515563.0,-523938.0,-108375,129734,,-188633,111770,-76863,,159,,59,,,,,,36995,1600110,-22,16639,,,,
2015-08-12,2,2015,,,,-143291,-98106,10574,,0.0,1533,9677,,,-94755,0.0,,-47551.0,0.0,,-7190,21879,-37373,-134957,,-1829.0,-10189.0,,548,50.0,,170592,,,-141201,,,-59271,-3362,92692,,-288671,164456,13994,16010.0,4454,-22449,7190,,227221.0,2015年01月01日至2015年06月30日,1667308,1535317,-131991,302780,-12882.0,406795.0,406795,514241,,-45896.0,977128.0,-1000733.0,-212742,302780,,-309927,294167,-15760,0.0,496,114.0,-145,,,-5.0,,,211461,1535317,-92187,27214,,,,
2015-11-12,3,2015,,,,-143587,-38997,30223,,0.0,-16317,6243,,,-399699,0.0,,-1455.0,0.0,,-9710,33743,-13213,-191044,,-1864.0,-12264.0,,1248,50.0,,178286,,,-196866,,,-54259,94242,100190,,-604865,245603,12916,19388.0,7252,-28962,9710,,366162.0,2015年01月01日至2015年09月30日,1667308,1302689,-364619,430320,-17139.0,697544.0,697544,895004,,-436894.0,1642520.0,-1586174.0,-444085,430320,,-323578,422100,98522,80000.0,1345,116.0,-403,,,-3.0,,,464684,1302689,-178208,24044,,45000.0,,
2016-03-25,4,2015,,,,-187495,-51319,13124,,0.0,-9161,13278,,,-359299,0.0,,-1203.0,,0.0,-8257,38347,-22667,-275337,,-5869.0,-12218.0,,2749,50.0,,227663,,0.0,-204641,,,-72864,105092,94529,,-633746,328317,72653,23020.0,8845,-39576,8257,800.0,477218.0,2015年度,1667308,1445020,-222288,508080,-21591.0,942400.0,942400,1152061,,-436894.0,2345146.0,-2309082.0,-508275,508080,-800.0,-359576,526339,166763,80000.0,9413,4325.0,-2098,,,7134.0,6442.0,,643981,1445020,-179142,34961,,45000.0,,
