date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他借款增加,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,支付之股利,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少
2013-05-10,1,2013,23917.0,,0.0,,-13210,593.0,187,7820.0,-1458,-6209.0,,-867.0,-309.0,,144.0,-53,1,12050,-18493,,,,-95.0,,,,,,-37.0,0.0,1554,-12003.0,-27625,-582.0,,-959.0,62808,-187.0,568,14.0,53.0,-24387,28747,,,1272,-1,,53,,,2013年01月01日至2013年03月31日,565575,600199,-2432,34624,24598,,56206,67740,2758.0,,-9245,24598,,-43188,62413,19225,247,,,121,,,-1724,,,,43142,600199,-11586,-2159,,,,-3275.0,-5700.0,
2013-08-09,2,2013,49210.0,,,0.0,-3532,1021.0,5131,7502.0,10000,-27443.0,-867.0,,,-1439.0,288.0,-246,3,28624,-58333,,,,-156.0,,,,,,,-65.0,-14412,-12003.0,5294,6675.0,,1106.0,10813,-798.0,-5049,-20.0,105.0,-61502,56888,,-5150.0,2494,-3,,246,0.0,,2013年01月01日至2013年06月30日,565575,607487,-188,41912,60690,,85125,101724,1762.0,,-10335,60690,-2902.0,20669,-28845,-8176,247,,,237,,,-2832,,,,41034,607487,-16842,618,,-94.0,,-3702.0,,-1756.0
2013-11-11,3,2013,77448.0,,0.0,,-3446,1339.0,4547,7835.0,7382,-26006.0,-51399.0,,-2925.0,,432.0,-575,177,25801,-89052,,,,-333.0,,,,,0.0,-48.0,,9975,-12003.0,-33314,5601.0,,-2885.0,17391,-483.0,-978,14.0,157.0,-94622,87707,,-5150.0,3650,-177,-33354.0,575,10360.0,,2013年01月01日至2013年09月30日,565575,551461,664,-14114,93831,,67356,107652,0.0,-2169.0,-12649,93831,-7119.0,-25166,-38461,-63627,247,,,651,,,-3271,,,,13821,551461,-17700,282,,1523.0,,643.0,-2511.0,0.0
2014-03-20,4,2013,51931.0,,0.0,,33023,578.0,-27253,7772.0,-2183,,-13316.0,-49588.0,-2814.0,,576.0,-1185,240,50112,-112251,,,,-332.0,,,,401.0,,-207.0,,17084,-12003.0,-30678,7314.0,,-1946.0,52352,-318.0,6769,37.0,-3111.0,-74787,113383,,-10867.0,4497,-240,-34080.0,1185,10360.0,,2013年01月01日至2013年12月31日,565575,688730,-425,123155,153044,,158860,197974,-2169.0,,-11030,153044,-7119.0,2997,-9998,-7001,905,-1500.0,1294.0,46,,,-38718,45769.0,,,44930,688730,-16339,-8497,,2741.0,,-3537.0,-5651.0,0.0
2014-05-09,1,2014,13747.0,,,,-39827,,26677,,4702,-362.0,,,-297.0,,,-218,1,8328,-14599,,,,,,,210.0,7.0,,,,24669,0.0,-39362,,,-484.0,4481,,-2312,,-113.0,-15612,29834,3241.0,-3789.0,290,-1,,218,,,2014年01月01日至2014年03月31日,688730,721578,-62,32848,40952,,36226,36009,3899.0,,3906,40952,,-75084,56394,-18690,1163,,5283.0,-219,,,-3989,,,,-4943,721578,0,-7456,,,-855.0,,-7162.0,
2014-08-08,2,2014,28297.0,,,,-28112,,25974,,9513,-2536.0,,,,1478.0,2763.0,-538,1,-2825,-35218,,,,-743.0,,,217.0,,-4.0,,0.0,24511,0.0,-5512,,,-656.0,-37208,,1040,,-701.0,-6757,59267,3241.0,-7343.0,1453,-1,,538,0.0,,2014年01月01日至2014年06月30日,688730,781558,-50,92828,95159,,102414,113010,0.0,,-4,95159,0.0,-25468,15022,-10446,2218,,5284.0,-25,28111.0,-12770.0,-5139,,,,17851,781558,-11133,-9539,,0.0,,,,-7887.0
2014-11-07,3,2014,48973.0,496.0,0.0,,-28776,,23554,,6735,-3548.0,,,-5396.0,,6975.0,-740,79,4051,-147782,,28111.0,,-2390.0,,,614.0,6.0,,0.0,,19607,0.0,682,,70000.0,-69.0,-46738,,-17147,,-1297.0,-120004,88333,9083.0,-10637.0,2147,-79,-166771.0,740,14923.0,,2014年01月01日至2014年09月30日,688730,642403,-1096,-46327,156856,,-380,167915,,0.0,70006,156856,-8558.0,-22725,-15189,-37914,3709,,5980.0,-67,,-12770.0,-4524,,,,11059,642403,-17108,-10783,,0.0,,,-2732.0,0.0
2015-03-18,4,2014,79734.0,496.0,0.0,,-20359,,25742,,10327,12388.0,,,1179.0,,15633.0,-1079,556,18649,-161735,,,,-3521.0,-41785.0,,521.0,29.0,,0.0,,4975,0.0,-51745,,,-1295.0,24757,,-9266,,-2367.0,-170464,118339,9716.0,-12967.0,3069,-556,-168515.0,1079,14967.0,,2014年度,688730,631208,-235,-57522,196635,,94264,279242,0.0,,29,196635,-8601.0,-65439,68312,2873,3397,0.0,5980.0,909,28111.0,-12770.0,-4524,0.0,,,82607,631208,-31953,-21377,2260.0,0.0,,,-2586.0,0.0
2015-05-08,1,2015,,,,,-19300,,-3418,,-1364,-959.0,,,-1072.0,,,-253,13,-3649,-11582,,,,-198.0,,,0.0,-8.0,,,,22301,0.0,-4096,,,371.0,14169,,-7067,,,25555,28553,3872.0,-2297.0,1001,-13,,253,,11723.0,2015年01月01日至2015年03月31日,631208,713669,-2226,82461,25965,-85.0,40563,42112,20000.0,,19992,25965,,-24474,28898,4424,105,,5384.0,8,,,-4170,,,31750.0,16147,713669,-1789,-4450,,,-4456.0,,1168.0,
2015-08-07,2,2015,,,,,-475,,-1717,,-46,-4607.0,,,,-1321.0,-361.0,-707,60,-9038,-45684,,,,-1333.0,,,0.0,,-13.0,,0.0,36423,0.0,16263,,,266.0,-2477,,-2220,,,4499,55486,3398.0,-4910.0,1968,-60,,707,0.0,-21951.0,2015年01月01日至2015年06月30日,631208,760908,-4786,129700,115497,-1539.0,134252,136815,0.0,,-13,115497,0.0,14469,28800,43269,40,,9243.0,99,23080.0,-74848.0,-7220,,,21081.0,21318,760908,-3210,2028,11240.0,0.0,,,,-607.0
