date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他預付款項增加,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預付設備款減少,預收款項增加（減少）
2013-04-30,1,2013,12571.0,-339108,-13020,-3783,11425,-12935,,,,,5058.0,,-560,37894,11764,-56662,,,,-3913.0,0.0,6050.0,-66612,,0.0,8404,,0.0,-15036,80596,-79240,969.0,-16532,63865,-499.0,1160,-39304,560,,2013年01月01日至2013年03月31日,1006652,693761,-20662,-312891,48056,,-16821,22483,,51719,0.0,-291302,48056,,38939,-77083,-38144,0,,1012,1,-12,-25573,693761,,,,-69115.0,5390,0,27450.0,46197
2013-07-31,2,2013,211677.0,-2407923,-36792,-14343,19822,3118,,,,0.0,,,-1118,77168,33869,-45226,-5030.0,,,0.0,-4004.0,,120920,,0.0,16282,0.0,,-5124,106013,-138492,1463.0,-87283,128234,,2324,-77168,1118,,2013年01月01日至2013年06月30日,1006652,938363,5633,-68289,48770,,316511,405840,,76537,0.0,-331386,48770,,29958,115435,145393,2000000,0.0,1012,3,-12,357070,938363,-13279.0,-555.0,,,38219,-34035,,34307
2013-10-30,3,2013,296737.0,-3710089,-37181,-25489,2415,9286,,,,,,,-1888,117753,20780,-86750,-6047.0,4671.0,,-3323.0,0.0,9189.0,182892,,0.0,58539,-50000.0,,5328,137962,-58239,1287.0,-222715,173511,,556,-116804,1888,,2013年01月01日至2013年09月30日,1006652,1046800,2771,40148,40125,,619915,748490,,185580,0.0,-377832,40125,,134959,276669,411628,3200000,8551.0,1012,-143,-25,708365,1046800,-13659.0,-469.0,,,30257,-148670,,104571
2014-03-26,4,2013,269030.0,-3650493,519,-28349,-3455,3616,1392.0,,,,,,-3269,158668,14508,-96837,-11070.0,4671.0,2830.0,,,6125.0,202084,,0.0,46950,,-50000.0,-7383,275829,-45749,-661.0,-231365,216686,-569.0,743,-157792,3269,,2013年01月01日至2013年12月31日,1006652,1249583,-3331,242931,73383,,556155,730627,,401296,,-96367,73383,,67062,321152,388214,3200000,37180.0,10141,2642,-105,657244,1249583,-19949.0,,,-107675.0,-85710,-178296,,31092
2014-05-08,1,2014,55995.0,-211538,-16521,29048,-2027,-194,,,995.0,,0.0,,-963,39565,-3043,-755,-5996.0,-10066.0,,-1538.0,244.0,0.0,158011,,,-45451,,,-5817,5699,-49917,0.0,-55100,54646,258.0,192,-39718,963,,2014年01月01日至2014年03月31日,1249583,1103730,-2605,-145853,64023,,192223,231868,,0,-266857.0,-279933,64023,,-37371,149221,111850,200000,,6067,0,-43,167845,1103730,-890.0,,,-24731.0,5321,-54660,0.0,32445
2014-08-11,2,2014,187040.0,-233275,-10129,12438,-651,-562,,,,,574.0,,-3617,82084,-15418,-4418,-15106.0,13500.0,,-1339.0,788.0,,-794257,,,-44482,,,-7543,-50408,-19781,0.0,-79104,109872,,309,-82102,3617,,2014年01月01日至2014年06月30日,1249583,1098410,2027,-151173,236738,,-505505,-422823,,433468,,448854,236738,,-9781,-836820,-846601,250000,,11151,-93,1,-659561,1098410,-4197.0,14.0,,-17057.0,15750,-72093,,53024
2014-11-06,3,2014,346597.0,-260862,-8379,4035,1470,-253,,,498.0,,,,-4332,126194,-64652,-4968,-18106.0,20529.0,,2625.0,-2628.0,,-755012,,,-3648,0.0,,7047,-224017,13184,0.0,-103519,165289,,503,-126134,4332,,2014年01月01日至2014年09月30日,1249583,1201295,7855,-48288,402627,,-245481,-103171,,373601,,365364,402627,30101.0,42096,-894491,-852395,250000,627.0,11151,185,-93,-505798,1201295,-20508.0,-192.0,,558.0,67074,-89595,,45606
2015-03-24,4,2014,390983.0,-288450,17302,22538,-369,-348,0.0,,,,,,-6259,169309,59583,-33202,-24153.0,11392.0,,4360.0,,-874.0,-513529,164323.0,,-15141,,0.0,-3955,-152365,-2958,-1127.0,-166325,181788,0.0,693,-169283,6259,,2014年度,1249583,1246491,-9602,-3092,470186,,125532,302136,,-152115,,-21882,470186,30101.0,10059,-569092,-559033,250000,1014.0,23534,189,-391,-168050,1246491,-13580.0,14.0,,13749.0,77570,-132644,,13349
2015-05-07,1,2015,,-28750,-88011,-502,415,-256,,,0.0,,,,-1848,40716,-9358,-9250,-9068.0,2364.0,,4883.0,-19532.0,,253101,,,25829,,,-13108,9189,32435,,-39282,50981,0.0,199,-40197,1848,72809.0,2015年01月01日至2015年03月31日,1246491,1439739,-1077,193248,45192,,260298,299016,,5457,,-18410,45192,,-56292,237307,181015,0,1523.0,12239,5282,-177,253824,1439739,-369.0,,,-23631.0,-56660,-15194,,18583
2015-07-30,2,2015,,-239500,-80195,25300,7,-492,,,,,0.0,-118000.0,-4121,80699,-44529,-19244,-18140.0,-6630.0,,5117.0,-17898.0,,689984,,-2036.0,-68292,,,-3340,23724,4932,,-191910,101388,,394,-80333,4121,107703.0,2015年01月01日至2015年06月30日,1246491,1304600,1379,58109,31070,,556481,634118,,-25514,,-261933,31070,,-127948,623293,495345,0,2692.0,15292,5696,-212,603048,1304600,-1425.0,0.0,,-70890.0,-120155,-36612,,23872
2015-10-29,3,2015,,-268250,-78587,16503,954,-314,-480919.0,,,,,,-7474,122625,14627,-412496,-21153.0,-4993.0,,-51.0,-4494.0,,835093,,-30553.0,35710,,,16130,-4403,28600,,-940021,153093,,592,-121097,7474,286137.0,2015年01月01日至2015年09月30日,1246491,962150,16476,-284341,-90575,,874009,989437,-136441.0,102339,,-232956,-90575,0.0,-45068,838943,793875,100000,2692.0,18375,6068,-286,1080012,962150,-1805.0,0.0,,36.0,-36536,-42026,,-19275
