date,season,year,不影響現金流量之收益費損項目合計,備供出售金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,因合併產生之現金流入,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司股權（未喪失控制力）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,處分無形資產,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延貸項增加（減少）,金融資產減損損失,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-06,1,2013,-148759.0,,-308255,,89886,66747,-18179.0,,,-724.0,,,-17063,18183,33404,-1085,,-47579,,-1762,-6428.0,11523.0,0.0,,49,,660.0,1110467,,,-183399,-1979686,-75,327749,-111367,-20,589.0,-50490,10258,-10084,,24674,24379,-17993,17280,,,2013年01月01日至2013年03月31日,13615987,12817934,-798053,305528,,-571954,-526277,,,,-209013,305528,,,-2108246,1425200,-683046,93913.0,,,,,,,,,,-831805,-27106,14297.0,12817934,-44964,-217059,9724.0,,-6243.0,41708,
2013-08-07,2,2013,-387382.0,,-308255,-1087466.0,452529,78587,-9749.0,,0.0,-724.0,,,-38315,26759,43382,-4955,,-74280,-332974.0,-6983,-6428.0,42005.0,0.0,,59,,623.0,101858,,,-232778,-637727,-143,-90250,-31511,-24,1178.0,-360733,20407,530096,,-37012,38081,-27014,38446,,,2013年01月01日至2013年06月30日,13615987,12307430,-1308557,624685,,363694,565454,,,,-1354900,624685,,,-438944,767095,328151,,58560.0,,-12941.0,5000.0,,,,,945.0,-59231,-27771,14297.0,12307430,-213192,-393175,15517.0,,-6243.0,178339,
2013-10-31,3,2013,-532229.0,,-308255,-3430981.0,298206,91669,-17518.0,,,-475.0,,,-63150,32677,41481,-8374,,-152220,-646142.0,-7627,-6428.0,47198.0,0.0,,4553,,747.0,-938000,,,-224521,-57412,-143,141676,-32398,-13,1767.0,-754436,30516,808452,,-71067,49421,-34674,64622,341564.0,,2013年01月01日至2013年09月30日,13615987,8055596,-5560391,952895,,857335,712356,-2016043.0,,,-5704771,952895,,-4965.0,-29692,321382,291690,,59655.0,0.0,-12259.0,5000.0,0.0,,,,945.0,-240539,-30071,14297.0,8055596,-226533,-502216,,,-6243.0,249996,
2014-03-11,4,2013,-610236.0,,-308255,-3432107.0,-241436,143588,,,,249.0,,,-75108,35135,78328,-45075,,-186124,-685949.0,-8274,-6428.0,59843.0,0.0,,4238,,2319.0,718349,,,-279774,-887084,-143,-596725,576729,577,-60.0,-860824,53414,792882,,-158768,59216,-35448,76273,471357.0,,2013年01月01日至2013年12月31日,13615987,11166740,-2449247,1339952,,1552586,1272043,-2016043.0,2474230.0,,-3219337,1339952,,-134758.0,-1437161,1979488,542327,,61390.0,640.0,-12259.0,5000.0,0.0,,,,945.0,-67909,-68398,14297.0,11166740,-231639,-444297,,58375.0,-6243.0,344088,39734.0
2014-05-06,1,2014,-206690.0,,0,-2125.0,466903,-12426,,,,0.0,,,-19771,8404,1645,-11163,,-1012,,-2951,0.0,0.0,322829.0,,190,,616.0,560272,,,-71433,-1677482,0,136642,708451,-3,-33.0,97344,11093,-61812,,-59548,7600,-9209,19609,952.0,,2014年01月01日至2014年03月31日,11166740,10309382,-857358,405420,,282889,271683,,,-1560130.0,-1239236,405420,46200.0,-952.0,-1271486,1344439,72953,0.0,255.0,65128.0,,,-41410.0,46471.0,-2513.0,,,-133737,-628,0.0,10309382,-146,-162793,,7000.0,0.0,13315,11187.0
2014-08-04,2,2014,-378558.0,,0,-4293.0,78428,-44834,,,,0.0,,,-45716,11698,-52293,-15720,,-31133,0.0,-6202,0.0,0.0,322829.0,,419,,682.0,283425,,,-123982,-1955009,0,-78608,2230407,0,-56.0,102804,22116,235795,,-148823,12520,-12517,45177,15802.0,,2014年01月01日至2014年06月30日,11166740,10615748,-550992,618380,,956372,943088,,,-1876830.0,-1557875,618380,46200.0,-15802.0,-1947981,2651247,703266,,0.0,108706.0,251.0,0.0,-66377.0,46471.0,-2513.0,,0.0,324708,30296,0.0,10615748,-35178,-216573,,24461.0,0.0,25062,22342.0
2014-10-30,3,2014,-359473.0,,0,-6409.0,-391667,-12544,,,,0.0,,,-71996,13713,-34749,-42806,,-56354,0.0,-7284,0.0,0.0,403537.0,,361,,752.0,-459905,,,-119834,-1843519,12689,347888,1928284,-3,-66.0,61511,35313,-31618,,-161940,17793,-14604,72446,178130.0,,2014年01月01日至2014年09月30日,11166740,7348476,-3818264,777771,,87579,-39661,-1843943.0,,-2474230.0,-3932605,777771,77250.0,-178130.0,-2270555,1812596,-457959,,0.0,120732.0,2691.0,0.0,-66351.0,46471.0,-2513.0,,0.0,-817432,75541,0.0,7348476,-108732,-102149,,76846.0,-11921.0,40494,-3699.0
2015-03-19,4,2014,-272716.0,,0,-8918.0,-504817,-47402,,,,,0.0,,-94722,14452,73362,-47186,,-107376,-3215.0,-30745,0.0,0.0,403537.0,,262,-315817.0,,1124727,559.0,,-254750,-2286077,3,249643,676801,-10,-323.0,-195161,55376,-166527,,-73766,24380,-15066,79888,186771.0,,2014年度,11166740,6771182,-4395558,974462,,-289324,-379040,-1843943.0,,-2474230.0,-3984435,974462,77250.0,-186771.0,-2960775,1879989,-1080786,,0.0,262148.0,2241.0,0.0,-62903.0,46471.0,-2513.0,,0.0,-1353502,-3968,0.0,6771182,-161877,-133029,,107289.0,-61143.0,42757,89157.0
2015-05-07,1,2015,,,-41300,-2247.0,230621,-1474,,,,,,,-16777,576,-16269,-1741,,0,,-2936,,,0.0,,77,,15900.0,-559044,,,1888,-502442,91,182183,1200106,3,,13522,11715,159356,,90752,6825,-576,26190,1073.0,-193201.0,2015年01月01日至2015年03月31日,6771182,7183621,412439,80339,163.0,458656,470017,,,0.0,-43470,80339,0.0,-1073.0,-385898,968777,582879,,0.0,2299.0,,,-6533.0,0.0,0.0,,,389678,-6369,,7183621,-38048,-278686,,0.0,,-12353,-109850.0
2015-08-12,2,2015,,3375.0,-41300,-4427.0,274112,2062,,,,,,,-33109,1141,-39906,-6776,,0,-2746.0,-8186,,,0.0,,77,,15900.0,-1429697,,,138063,574775,-3,-742192,521130,-315,,36290,23306,349011,,170233,13878,-1141,37863,9779.0,-403693.0,2015年01月01日至2015年06月30日,6771182,5976889,-794293,222270,63.0,-729053,-679807,,,0.0,-61624,222270,0.0,-9779.0,846571,-1344955,-498384,,,34723.0,67.0,,-21936.0,0.0,0.0,,,-902077,-5199,,5976889,-95747,-547494,,0.0,-15974.0,-44954,-135240.0
