date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款減少,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融負債增加（減少）,其他項目,利息收入,利息費用,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得投資性不動產,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,存入保證金增加,存出保證金增加,存出保證金減少,存貨（增加）減少,庫藏股票處分,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,預付款項（增加）減少
2013-05-13,1,2013,10447.0,0.0,-430000,-72,28500.0,441,14594,44,,,-197,,-140,3549,-8840,,,-27336,,,,,-1600,,-109066,,25763,,,39569,-5637,-1983,205.0,-9276,8717,11327,-669,,-3954,103,10,,2013年01月01日至2013年03月31日,92107,130136,38029,42413,,11851,15696,,,,0.0,35454,42413,-10,79862,-117026,-37164,465454,,,,0,-1744,,,-26717,0.0,130136,-4,,744,,-12152
2013-08-08,2,2013,19931.0,33585.0,-1350000,-139,26500.0,-38581,2000,843,,,6422,,-285,7258,-36475,-52.0,,-154729,,,,,-1674,,-162836,,-10772,,-23000.0,17558,10646,-1549,414.0,-132845,17747,102531,-2527,,-7613,211,3268,,2013年01月01日至2013年06月30日,92107,102445,10338,72976,,-32735,8522,,,,0.0,175918,72976,-3268,15483,-99868,-84385,1548918,,,,0,-2254,,,-64454,,102445,-37123,0.0,3260,0.0,-10922
2013-11-07,3,2013,34188.0,37583.0,-1780000,626,3567.0,-1804,95850,1642,,0.0,5699,,-431,14376,-70824,-52.0,-3000.0,-251961,,,,,-1694,,-284255,,56307,30000.0,,18917,5445,-3726,626.0,-283381,27860,41989,-3201,,-14673,451,3782,,2013年01月01日至2013年09月30日,92107,107292,15185,99251,,-13174,50475,0.0,-174976.0,240000.0,0.0,311740,99251,-3808,178025,-260989,-82964,1999716,,,0.0,0,-3167,,,-48776,,107292,-53209,,2559,0.0,-20280
2014-03-14,4,2013,55570.0,70646.0,-2942000,-268,3567.0,-12216,16029,2442,0.0,,-207,,-617,22686,-52750,-52.0,-3000.0,-281098,,,,297.0,-1704,,-234715,,-5844,45000.0,,-24940,15571,-150,841.0,-261391,40365,-42156,-3395,,-23045,523,3929,,2013年01月01日至2013年12月31日,92107,110711,18604,128760,,-188600,-117482,0.0,-174976.0,240000.0,0.0,468595,128760,-3929,-14389,-287423,-301812,3303274,0.0,,0.0,15,-4181,,,-246242,,110711,-52525,0.0,2126,2500.0,-16199
2014-05-12,1,2014,18399.0,,-656680,558,0.0,4460,117,799,,,-3505,,-161,7790,-3022,-4602.0,,-121480,,-15001.0,,866.0,0,,29881,,29719,,,-8034,-6531,-786,208.0,-144040,11337,138675,-683,,-7788,78,0,,2014年01月01日至2014年03月31日,110711,105155,-5556,65555,,262298,270016,,,,-30000.0,-123814,65555,-18,19063,166999,186062,562000,,,65.0,3,-453,,,204461,,105155,-8,0.0,584,,501
2014-08-08,2,2014,35786.0,0.0,-1917460,429,0.0,7086,-14158,1598,,,-2042,,-443,15681,-15110,-9577.0,,-425820,,-68336.0,,1427.0,66,,196498,,-39,,0.0,-5691,-828,-1260,419.0,-453723,22647,83890,-2193,,-15890,376,154,,2014年01月01日至2014年06月30日,110711,89449,-21262,134367,,412494,441306,,,40000.0,,19967,134367,-154,-21082,292235,271153,1896000,,,5754.0,3,-842,59300.0,,306939,,89449,-13452,0.0,1087,,5251
2014-11-11,3,2014,46090.0,36639.0,-2529460,-51,0.0,7613,60954,2398,,,1209,-395.0,-605,23704,-17691,-10383.0,0.0,-425820,,-79651.0,,1820.0,86,,117596,9064.0,60018,0.0,,-5772,-23,-1094,700.0,-417640,34319,38300,-2879,,-23786,616,6074,,2014年01月01日至2014年09月30日,110711,98765,-11946,164119,,441753,487068,,-122483.0,149000.0,,-36059,164119,-6074,117058,159801,276859,2456000,4.0,,8696.0,8,-1673,70480.0,,322949,,98765,-28219,0.0,-315,,-4989
2015-03-12,4,2014,62220.0,45634.0,-4226460,552,0.0,11392,-16286,3197,,,446,-395.0,-849,31512,-40043,-11203.0,0.0,-498572,,-79651.0,,1870.0,17,,184540,9190.0,-8676,0.0,,-10627,-1191,-234,842.0,-495941,46318,68024,-3077,,-31392,793,6832,,2014年度,110711,99767,-10944,200611,,447881,499884,,-122484.0,0.0,-141000.0,37116,200611,-6832,-33749,270802,237053,4516000,37.0,,12360.0,22,-1882,75480.0,,299273,,99767,-28236,0.0,-2597,0.0,5074
2015-05-11,1,2015,,,-850000,-799,,-1318,23983,799,,,-5754,,-208,8100,-3063,-4472.0,,0,,,-4370.0,50.0,19,,-25269,123.0,17250,,,10842,146,-968,,2817,13216,52435,-967,,-7869,238,38,19614.0,2015年01月01日至2015年03月31日,99767,105482,5715,25952,181.0,107725,115335,,,,-65000.0,-104827,25952,-38,45703,24066,69769,810000,,368.0,0.0,0,-1122,,14335.0,89383,,105482,-17,,633,,-1759
2015-08-12,2,2015,,,-2172851,-970,,15551,2470,1598,,,-5737,,-407,16331,-5960,-11466.0,,-268599,,,-94255.0,50.0,19,,-1878,8642.0,-13518,,,13815,1161,-1105,,-267268,26521,74270,-2771,,-16100,436,92,31882.0,2015年01月01日至2015年06月30日,99767,87956,-11811,54240,366.0,134116,165260,,,,235500.0,121341,54240,-176,-3574,82712,79138,2050000,,368.0,18626.0,2,-10804,,93999.0,111020,,87956,-15572,,3186,,-6885
