date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他籌資活動,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得採用權益法之投資,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,員工購買庫藏股,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票處分,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,處分採用權益法之投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-09,1,2013,1694.0,-922,16221,27265,,,-2508,-5303.0,,,,3340.0,-23.0,-1008,3590,3645,-2082,-28308.0,,-346849.0,0.0,199,9490.0,,14.0,0.0,,28.0,17234,414310.0,,0.0,144793,-5888.0,,-14946.0,-125,-92564,-11908.0,-2404,89419,2297,778.0,236,-3744,1219,,,2013年01月01日至2013年03月31日,459173,728223,269050,71698,,152161,155561,,30189.0,,23825,71698,0.0,,149698,-67529,82169,,,,48980.0,,,-8939,,83863,,728223,-875,-60,,,4624,,-2644,
2013-08-08,2,2013,-9491.0,-3688,20789,41736,,,-307,-18898.0,,,,3340.0,133.0,-2688,13486,4623,-9844,,,-399399.0,0.0,1292,9490.0,,2944.0,0.0,,117.0,-31697,414310.0,,0.0,185451,-7678.0,,5027.0,6,-3115,11145.0,-73767,121591,6190,2871.0,589,-14176,2843,,,2013年01月01日至2013年06月30日,459173,751348,292175,157369,,207534,232478,,-55346.0,,-41573,157369,0.0,,179670,-95070,84600,,17.0,,113050.0,20.0,,-36649,,75109,,751348,-13611,-60,,,5325,,-39065,
2013-11-12,3,2013,-79707.0,-6455,19279,-112238,,,-4215,-17433.0,,,,3340.0,-291.0,-4335,23836,2314,-32322,,0.0,-417299.0,-606.0,3709,15243.0,,,-467.0,,142.0,-97350,414310.0,48165.0,0.0,334914,-5587.0,,-14877.0,-111,-168921,8303.0,-5343,203700,9850,6205.0,1042,-24839,4370,36051.0,,2013年01月01日至2013年09月30日,459173,722305,263132,295172,,72761,125195,-33870.0,-19536.0,,-15643,295172,9673.0,-36051.0,331062,-421332,-90270,,17.0,0.0,201302.0,20.0,-1235.0,-103022,,-169977,,722305,-31965,-60,,-3846.0,9717,,-41568,0.0
2014-03-25,4,2013,-94839.0,-9222,48727,-34823,,,-3391,-16356.0,,,,3340.0,-632.0,-6531,33611,3358,-34573,,-15037.0,-417299.0,-606.0,10819,15243.0,48165.0,,-5160.0,,-2707.0,-81535,414310.0,,0.0,458105,7191.0,,-14860.0,340,-366759,12892.0,-17321,219899,13587,5629.0,1542,-33950,6223,36051.0,,2013年01月01日至2013年12月31日,459173,739456,280283,387014,,219210,284179,-33870.0,-191235.0,,-162184,387014,9673.0,-36051.0,498007,-506003,-7996,,1312.0,0.0,236343.0,1685.0,-1235.0,-131624,,-102835,,739456,-37242,-60,,28755.0,3513,,-15066,0.0
2014-05-13,1,2014,4490.0,-2766,-23566,65793,,,-738,5617.0,,,,0.0,-12.0,-2031,8772,4137,-2859,0.0,,0.0,,5105,0.0,,0.0,247.0,-127.0,0.0,-91044,33679.0,,,104426,-16278.0,,-44971.0,-462,-71705,27095.0,-61584,43602,3363,0.0,520,-9234,2387,,,2014年01月01日至2014年03月31日,739456,688924,-50532,106773,,24682,33323,,-75463.0,,-122953,106773,,,69737,-147677,-77940,,3062.0,,9847.0,-785.0,,-14927,,-73450,,688924,-1794,0,,,4485,,-15494,
2014-08-12,2,2014,25409.0,-5533,24312,-26244,,,-633,8258.0,,,,0.0,178.0,-4485,17796,2488,-3331,,,0.0,-448.0,5817,0.0,,243.0,,-1119.0,0.0,-191937,33679.0,,,256255,-16192.0,0.0,-74967.0,-186,-186887,26781.0,-100223,41690,6758,0.0,997,-18192,4590,,,2014年01月01日至2014年06月30日,739456,722553,-16903,196183,,-27634,9000,,47663.0,0.0,-33447,196183,,,272447,-485039,-212592,,3062.0,,9847.0,-780.0,,-14927,343.0,-187183,,722553,-23032,-11,3431.0,-853.0,10292,,-5896,
2014-11-11,3,2014,137044.0,-8300,25987,-23292,,,-1034,15500.0,,,-6557.0,0.0,-632.0,-6772,27633,2606,-3414,,,0.0,-777.0,119020,0.0,,183.0,0.0,-1115.0,0.0,-334087,33679.0,0.0,,344432,-16169.0,,-74967.0,-76,-692071,30052.0,-63794,61670,10179,0.0,1522,-28372,6666,26012.0,,2014年01月01日至2014年09月30日,739456,698210,-41246,251012,,-390070,-323853,-129153.0,497638.0,0.0,284548,251012,0.0,-26012.0,369674,-1081583,-711909,,3062.0,933.0,9847.0,-780.0,0.0,-14183,343.0,-574865,,698210,-44511,11,3431.0,-853.0,23284,,2643,
2015-03-20,4,2014,131584.0,-11067,52462,24129,,,74,5052.0,,-898.0,-6556.0,0.0,-4347.0,-8916,37365,5888,-3470,,0.0,0.0,-777.0,119488,0.0,0.0,184.0,0.0,-1284.0,,-466253,33679.0,,,298776,-16286.0,,-74967.0,-313,-732413,31781.0,-20880,60529,13585,0.0,2088,-39138,9454,26012.0,,2014年度,739456,832335,92879,429917,,-333451,-256746,-129153.0,576667.0,0.0,359913,429917,0.0,-26012.0,339691,-1157938,-818247,,2145.0,933.0,9847.0,-1093.0,0.0,-14183,343.0,-686663,,832335,-47021,1897,3431.0,-853.0,7938,,5624,
2015-05-13,1,2015,,-2766,1569,30714,,7325.0,-111,,,,,,-137.0,-2218,9063,-1161,-20020,,,,-6.0,635,,,0.0,,0.0,370.0,-67287,0.0,,,-189989,0.0,,0.0,-154,217753,0.0,33688,-19656,3181,,508,-8789,2144,,6609.0,2015年01月01日至2015年03月31日,832335,973146,140811,129987,,164638,174428,,,-244.0,-3010,129987,,,-181249,219081,37832,,0.0,,0.0,0.0,,0,,44441,,973146,-3145,-3139,,,0,-1284.0,4324,
2015-08-11,2,2015,,-6293,-26538,33256,,,-120,4522.0,,,,,-61.0,-5087,17849,-2598,-108488,,,,-1883.0,3152,,,1970.0,,0.0,941.0,28273,-56846.0,,,-228096,0.0,,0.0,1201,332884,0.0,13491,-166276,6861,,1026,-18180,5289,,28708.0,2015年01月01日至2015年06月30日,832335,1065794,233459,201473,,337660,404763,,0.0,-292430.0,64673,201473,,,-248911,423493,174582,368000.0,0.0,,0.0,0.0,,0,0.0,203290,,1065794,-54212,-2224,0.0,-6574.0,7192,,15709,
