date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,其他應付款增加（減少）,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,原始認列時指定為透過損益按公允價值衡量之金融負債減少,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,呆帳費用提列（轉列收入）數,員工執行認股權,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應收票據－關係人（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付設備款增加,預付設備款減少,預付費用（增加）減少,預收款項增加（減少）
2013-05-09,1,2013,541,31089.0,-13179,-209941,,21,-216,0.0,9307.0,,,,-1,,395.0,,-335221,,,0.0,0.0,,,-28961,-19423,3429,-6535,,854.0,,75.0,-345947,28321,,1942.0,126,-560,1,,2013年01月01日至2013年03月31日,23274,28353,5079,64578,,-166495,-165936,,,,517126.0,,517126,64578,,-28004,-233599,-261603,,,,,,,,-230514,,28353,,160,3131,-10726.0,,-1238,1073
2013-08-09,2,2013,89,62519.0,-2116,-689,,9,-723,,-448.0,,-480.0,,-11,3.0,1527.0,,-556222,,,,505.0,-500.0,0.0,-49452,-19346,1993,-1557,0.0,5834.0,,144.0,-639533,56656,,5534.0,248,-2408,11,,2013年01月01日至2013年06月30日,23274,33416,10142,121302,,111694,136449,,,,,535949.0,536454,121302,,-3933,-43439,-47372,1110.0,,0.0,,,,,15147,127.0,33416,-22358.0,0,5439,,-83441.0,-1843,15256
2013-11-08,3,2013,579,134512.0,3843,-4335,,102,-6529,,9307.0,,9990.0,,-19,1085.0,881.0,0.0,-645936,-120000.0,,,1517.0,-500.0,0.0,-61721,4015,-2811,-6579,,4365.0,,213.0,-820823,89278,,9294.0,359,-3631,19,,2013年01月01日至2013年09月30日,23274,518024,494750,148599,,182469,229294,694000.0,-132170.0,597000.0,,-28124.0,1132223,148599,32453.0,6682,-60499,-53817,846.0,,1536.0,,,,82.0,80695,10.0,518024,-43213.0,-135,4924,-65223.0,,69,1310
2014-03-28,4,2013,676,172397.0,18959,-22098,21682.0,97,-1051,,9307.0,0.0,9964.0,94.0,-590,2834.0,0.0,0.0,-690369,-120000.0,22.0,0.0,1516.0,-500.0,0.0,-113626,824,-1336,24807,,105.0,,-152.0,-815963,122513,,12167.0,470,-3681,590,,2013年01月01日至2013年12月31日,23274,677204,653930,193780,,238571,284492,694000.0,-132170.0,597000.0,106000.0,-35024.0,1231322,193780,32426.0,20264,-101949,-81685,846.0,45051.0,1673.0,,-51.0,,82.0,90712,337.0,677204,-42830.0,103,2035,-82659.0,,-1428,1535
2014-05-09,1,2014,331,40615.0,-1548,18513,,87,580,,0.0,,,,-460,1491.0,-80.0,,-94538,136.0,,,,,,378,-8136,653,-28842,,3171.0,,-12452.0,-110910,34442,,3802.0,111,1902,460,,2014年01月01日至2014年03月31日,677204,669839,-7365,79948,,134625,134808,,,,75000.0,-106000.0,-31000,79948,1002.0,15882,-1637,14245,,,,,,,,54860,-579.0,669839,-2545.0,-104,2461,-33013.0,16505.0,2102,37857
2014-08-13,2,2014,682,41224.0,51068,20473,,85,362,,0.0,,0.0,,-1057,2251.0,-77.0,,-188368,-93000.0,,,0.0,-510.0,,-54562,19158,2566,-7338,,,-327.0,-12376.0,-342291,69211,,5991.0,173,-18,1057,,2014年01月01日至2014年06月30日,677204,585578,-91626,193165,,236742,254659,,,,135000.0,-121000.0,14000,193165,4007.0,59025,-38755,20270,0.0,,13.0,,,-40117.0,,61494,-547.0,585578,-18956.0,70,2697,-60413.0,,-60,-929
2014-11-12,3,2014,682,78200.0,41919,20792,,266,-858,,0.0,0.0,,,-1383,5194.0,101.0,,-223101,-93000.0,,,0.0,-510.0,,-57688,-15774,-314,-27134,,410.0,,-12294.0,-390209,101584,,5991.0,211,-23,1383,,2014年01月01日至2014年09月30日,677204,441878,-235326,266884,,247053,283190,0.0,-118271.0,0.0,327000.0,-301000.0,-92271,266884,6393.0,-1606,-60288,-61894,0.0,,13.0,0.0,,-40117.0,,16306,-511.0,441878,-37497.0,-368,3206,-73598.0,,984,-14898
2015-03-13,4,2014,3184,119134.0,65917,30159,,62,850,0.0,0.0,,0.0,0.0,-1814,8394.0,,,-275814,-93000.0,0.0,,0.0,-510.0,,-103180,-1984,-433,-54049,,3134.0,,-11691.0,-462660,134455,0.0,5991.0,248,-28,1814,,2014年度,677204,399044,-278160,335094,,358771,395046,0.0,-118271.0,0.0,391694.0,-447694.0,-174271,335094,9133.0,59500,-118682,-59182,0.0,0.0,116.0,,0.0,-40117.0,0.0,59952,-67.0,399044,-38061.0,-456,3478,-93336.0,,926,7696
2015-04-29,1,2015,0,,-9599,-1005,,103,161,0.0,,,,,-286,3186.0,0.0,,-24241,-90000.0,,,,,,9082,8849,-996,-9286,,3995.0,,,-139468,33606,,0.0,38,-10,286,38482.0,2015年01月01日至2015年03月31日,399044,366474,-32570,113667,-75.0,156898,156650,,,,0.0,-50000.0,-50000,113667,1918.0,-189,4690,4501,,,636.0,,,,,42983,-187.0,366474,-28.0,-616,-188,-26491.0,1264.0,1931,1716
2015-08-12,2,2015,0,,26847,-3854,,107,-558,,,,,,-639,6234.0,0.0,,-56146,-198000.0,,,,0.0,,31258,5398,-3021,-99696,,4891.0,,,-299091,66066,,0.0,70,-10,639,74358.0,2015年01月01日至2015年06月30日,399044,320334,-78710,263021,-154.0,270381,293340,,,,10000.0,-60000.0,-50000,263021,2860.0,24905,-68944,-44039,,,636.0,,,0.0,,30319,-75.0,320334,-23588.0,-869,-423,-54034.0,9089.0,-562,-4197
2015-11-10,3,2015,0,,1870,-641,,121,-796,0.0,,,,,-933,8059.0,0.0,,-116575,-231000.0,,,,-440.0,,37742,-1959,-3760,-79016,,-3941.0,,,-358153,97675,,0.0,91,-15,933,108188.0,2015年01月01日至2015年09月30日,399044,159748,-239296,378071,-237.0,397739,441015,,-228882.0,,35000.0,-85000.0,-278882,378071,4053.0,826,-46070,-45244,,,636.0,,,0.0,,62944,187.0,159748,-44194.0,-1393,-211,-68455.0,58317.0,793,4604
2016-03-30,4,2015,2,,46778,1112,,-74,105,0.0,,,,,-1135,9456.0,,,-139476,-261000.0,,,,-440.0,90.0,-43977,-6229,-5945,68800,,4879.0,,,-413192,130047,,0.0,112,-15,1135,142477.0,2015年度,399044,370208,-28836,451490,-75.0,663239,706573,,-228883.0,,35000.0,-85000.0,-278883,451490,5247.0,85062,27544,112606,,,636.0,,,0.0,,255083,363.0,370208,-44454.0,-1888,-4258,-78038.0,65672.0,883,50244
