date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動資產增加,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得備供出售金融資產,取得子公司股權,取得無形資產,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付公司債匯率影響數,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過其他綜合損益按公允價值衡量之金融資產減資退回股款,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,避險之衍生金融資產（增加）減少,金融資產減損損失,非金融資產減損損失,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-07,1,2013,49058.0,,-35421,-3731,-31580,7397,,1050,-4387,2475,29921,-133315,-993870.0,,-133.0,-61547.0,,-4148,4.0,,,1997.0,271296,367.0,81568,6949,-206608,18583,-1947.0,-459407,64657,,224,-2556,4286,,,2013年01月01日至2013年03月31日,995885,954291,-9288,-41594,225504,,329663,347771,,58225.0,0.0,58229,225504,,19569,53640,73209,1090,726371,332,-2922,,,122267,954291,-19838,,698,-927.0,,,-32370,,
2013-08-06,2,2013,117772.0,0.0,3979,7179,-14078,3606,,1645,-11748,5791,63631,-225689,-786518.0,-186926.0,-135.0,-312426.0,,-3473,8.0,,,4165.0,106062,,234319,160045,-309871,-21054,-4027.0,-778228,132839,,435,-6385,11123,,,2013年01月01日至2013年06月30日,995885,852775,-18682,-143110,541293,,601388,708918,,157017.0,,-29901,541293,,380238,-330385,49853,3608,546591,398,-3925,,,167625,852775,-112268,,2456,-5501.0,0.0,12036.0,-110806,-7824.0,
2013-10-31,3,2013,161479.0,0.0,-18574,6224,-113562,4421,,2477,-17763,10124,49771,-271746,,-186926.0,-136.0,-290720.0,,-3927,8.0,,,1265.0,-74622,,203106,343255,-277144,-207657,-6018.0,-302082,205097,,643,-9448,16295,5590.0,,2013年01月01日至2013年09月30日,995885,818684,-25025,-177201,902630,,579603,770109,-610000.0,292425.0,,-504493,902630,-5590.0,455573,-749573,-294000,10792,1350945,1320,-13033,0.0,,-132521,818684,-197353,-1087209.0,2141,-6743.0,0.0,5015.0,-194052,-20863.0,47366.0
2014-03-18,4,2013,230883.0,3759.0,-26884,10299,-105478,11500,,1835,-23675,13654,73681,-366359,-1983424.0,-186926.0,-219.0,-552569.0,,-3132,19.0,,,1434.0,-189210,,294410,341615,-225437,10558,-7920.0,-925069,290228,,852,-13197,22956,5648.0,,2013年01月01日至2013年12月31日,995885,698823,-29178,-297062,1106915,,1057068,1258139,-610000.0,294165.0,0.0,-502742,1106915,-5648.0,528475,-608134,-79659,30710,1956793,179,-17076,,,151224,698823,-210830,,2844,-19353.0,0.0,,-206491,-20842.0,32732.0
2014-05-02,1,2014,83601.0,,-76952,-57779,-2228,-2107,,2967,-7713,5140,-4678,-29476,-822983.0,,-230.0,-112803.0,,-2138,45.0,,,-10860.0,165666,,-43967,94065,-64249,40850,-3518.0,-242147,80663,,220,-4169,6640,,,2014年01月01日至2014年03月31日,698823,573329,365,-125494,191608,,319924,321141,,0.0,-198638.0,-198593,191608,,-32908,78840,45932,0,734205,0,-6181,,,129533,573329,-3688,,10278,2655.0,,,-6196,,-308.0
2014-08-05,2,2014,146915.0,2319.0,8405,-5095,44934,-3128,,1679,-18250,6984,-33887,-113140,-1562543.0,0.0,-226.0,-839095.0,,-1641,43.0,,,-466.0,249689,,-46596,-133454,-266583,14592,-5241.0,-33042,159746,,437,-6921,17625,,,2014年01月01日至2014年06月30日,698823,1109703,-7244,410880,455492,,383909,481714,,93857.0,,93900,455492,,-133028,12335,-120693,508,1503014,1,-8441,976587.0,,26222,1109703,-108509,,1047,16277.0,,12597.0,6583,0.0,-1076.0
2014-11-04,3,2014,187777.0,2319.0,-21352,-5549,9156,-15780,,2513,-26966,10862,6962,-304048,-1992143.0,0.0,-3952.0,-1301081.0,,-6800,46.0,,,5830.0,43273,,-76000,-61650,-177303,-34955,-6903.0,111554,242422,,800,-11283,25446,5564.0,,2014年01月01日至2014年09月30日,698823,905112,749,206289,779157,,640637,804153,-610000.0,57090.0,,-552864,779157,-5564.0,-157199,-5582,-162781,6747,2557778,-5600,-34353,1386150.0,,24996,905112,-177679,,251,18090.0,,9463.0,166642,-251610.0,-450.0
2015-03-17,4,2014,275293.0,2319.0,-18640,-15877,-15684,-316,,13430,-30803,14019,58396,-347498,,0.0,-3954.0,-2101036.0,,-3158,-16.0,,,5245.0,76659,,-263147,-656,159399,74510,-8403.0,-689072,333768,,882,-14539,31183,5631.0,,2014年度,698823,890303,-5469,191480,968593,,1456709,1622542,-610000.0,0.0,-24537.0,-634553,968593,-5631.0,-306136,684792,378656,6881,2938866,-5722,-36023,1829045.0,,653949,890303,-182477,-2597481.0,0,18894.0,,,371523,-427090.0,394.0
2015-05-12,1,2015,,,13570,15124,29889,-2515,-370.0,9187,-7708,2648,-16800,-80499,-425533.0,,0.0,,-558799.0,0,0.0,-9910.0,-3371.0,,251617,,157011,30039,-244822,-31283,,314575,86508,,227,-3137,5777,,87044.0,2015年01月01日至2015年03月31日,890303,1190321,3219,300018,129131,-1576.0,279488,281328,,,-267335.0,-277245,129131,,228434,-163281,65153,2052,461530,-1826,-4594,,924994.0,152197,1190321,-4480,,-617,-141233.0,,,-10169,-5429.0,-499.0
2015-08-06,2,2015,,0.0,21854,27598,56708,-8813,,12546,-24996,5053,-40743,-135020,-1108020.0,,0.0,,-1249963.0,0,0.0,-9912.0,0.0,239.0,333040,,294100,300239,-563813,-37857,,15419,171958,,440,-5396,22203,,129627.0,2015年01月01日至2015年06月30日,890303,1080990,1982,190687,460237,-3125.0,556777,632675,,,-330854.0,-340766,460237,,668633,-625822,42811,28617,989145,-24696,-11040,,1512478.0,172438,1080990,-92705,,-1620,-353164.0,,,-22813,-22057.0,-1143.0
2015-11-09,3,2015,,2609.0,2926,23747,27928,-3797,,1044,-33725,7413,23426,-180483,-1711639.0,,0.0,,-2078076.0,0,0.0,-9908.0,,1225.0,266117,,230071,76847,-628564,-45770,,428080,263012,,651,-15313,28764,5982.0,211421.0,2015年01月01日至2015年09月30日,890303,591774,22012,-298529,768275,-4655.0,281634,434058,-610000.0,,-411761.0,-1031669,768275,-5982.0,333087,-878725,-545638,28681,1783290,-24750,-18421,,2625171.0,-334217,591774,-165875,,-3134,-418974.0,,3301.0,-71484,-48680.0,-30.0
2016-03-15,4,2015,,2609.0,-2354,17470,9845,750,,1911,-40096,9354,-16876,-294574,-2222611.0,,0.0,,-2291381.0,1443,-9911.0,,,1224.0,426731,,53034,-81494,-156264,-28522,,50596,363606,-319363.0,859,-9957,37251,6067.0,321781.0,2015年度,890303,755934,15037,-134369,862120,-6054.0,923762,1071124,-610000.0,,-471940.0,-1091851,862120,-6067.0,-28396,-84381,-112777,55987,2305539,-25057,-19176,,2873447.0,209004,755934,-174656,,-4856,,,24823.0,-25183,-385711.0,-1373.0
2016-05-10,1,2016,,,-37591,4186,38844,-2792,0.0,1933,-5306,1049,-22833,-137235,-102219.0,,,,-483669.0,-743,,-1.0,-28390.0,,23283,,42234,100172,-124674,-4305,,589,98141,,208,-618,7537,,92746.0,2016年01月01日至2016年03月31日,755934,687563,3738,-68371,144613,-1584.0,170020,171195,,,-216146.0,-216147,144613,,141744,-207908,-66164,1,270542,12,-1442,,613456.0,26582,687563,-8094,,-4844,40139.0,,,-143745,-131897.0,-331.0
2016-08-02,2,2016,,,28112,882,65671,-1646,,2380,-11060,1886,-43819,-427751,-596713.0,,,,-847329.0,-342,159.0,0.0,-27162.0,0.0,4127,,136518,386229,-336385,6137,,-437730,214463,,568,-1743,13506,4500.0,196309.0,2016年01月01日至2016年06月30日,755934,663092,2520,-92842,353201,-3087.0,680137,753684,,,-291589.0,-291430,353201,-4500.0,612129,-407955,204174,87,656378,14,-3462,,885424.0,400483,663092,-85310,,-6158,65125.0,,,-146195,-85164.0,-1314.0
2016-11-08,3,2016,,0.0,-20611,4748,125128,-2043,,2517,-15365,2460,-83090,-504742,-1093013.0,,,,-1199970.0,32026,244.0,0.0,,-15883.0,54398,,107420,308053,-334295,-65416,,-356585,328228,,763,-1610,17469,7451.0,338605.0,2016年01月01日至2016年09月30日,755934,490898,-1672,-265036,562114,-4802.0,943379,1070783,-457500.0,,-311484.0,-768740,562114,-7451.0,512745,-342681,170064,434,1203380,78,-4953,,1335299.0,508669,490898,-143263,,-6535,15794.0,,8509.0,-15867,-89541.0,-2443.0
