date,season,year,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加（減少）,其他應收款（增加）減少,其他應收款－關係人（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得無形資產,取得無活絡市場之債券投資,呆帳費用提列（轉列收入）數,員工執行認股權,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分及報廢不動產、廠房及設備損失（利益）,處分採用權益法之投資損失（利益）,處分無形資產損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,預付款項（增加）減少,預付費用（增加）減少,預收款項增加（減少）
2013-04-29,1,2013,8315.0,,-127141,-630173,-52355,-116564,5909,,,,-18760.0,0.0,1274.0,-2433,155,22101,-50069,,-437,-4810.0,493,20571.0,,-3329,-11446.0,,-1055108,,,1084175,-507877,4046,,353038,-268168,-21580,-165.0,-83087,42430,268,-31925,6179,-155,2433,,,2013年01月01日至2013年03月31日,2857515,2173403,-7733,-684112,651202,,-640368,-640084,,,,17242,651202,,,-123790,-1175811,-1299601,2,714,,,-1291286,,2173403,-129,-839,-18518,3176,47436
2013-08-06,2,2013,69159.0,,-41824,-656911,13883,-168823,13259,,0.0,,-27.0,,,-5067,943,-6368,-102593,,-517,,476,21891.0,,-4420,-24310.0,,-1295795,,,538854,-496279,-10438,18.0,457413,-165232,-10101,-293.0,-122258,88540,268,-77432,12292,-943,5187,,,2013年01月01日至2013年06月30日,2857515,1808775,31124,-1048740,1044639,,-937585,-740265,0.0,,,17471,1044639,16950.0,,-607853,-1246210,-1854063,2,2157,,,-1784904,7909.0,1808775,-196377,-824,-48721,-29102,37852
2013-10-22,3,2013,104715.0,,-40813,-744466,65920,-115703,7642,,0.0,,-16745.0,,,-6807,4623,-13507,-163044,,-841,,345,28354.0,,-4566,-32222.0,,-1634874,,,790778,-501333,-16944,18.0,447793,-42379,22489,-445.0,-138858,136908,268,-127211,17855,-4623,6976,66994.0,,2013年01月01日至2013年09月30日,2857515,1825641,30078,-1031874,1408967,,-673981,-302785,-1029316.0,800000.0,,-205528,1408967,45303.0,,-495399,-1321068,-1816467,24,3313,,,-1711752,17543.0,1825641,-366573,308,-10832,-53750,-7379
2014-02-20,4,2013,134292.0,,156696,-450533,98645,-160242,-4097,,,,-6945.0,,,-5372,9308,-1110,-298763,,-1088,,539,41755.0,,-4983,-40096.0,,-729269,,,-81288,-483424,-17703,333.0,414285,-119088,-17009,-588.0,-274329,191444,268,-175237,23235,-9308,5526,66994.0,,2013年01月01日至2013年12月31日,2857515,1350050,31962,-1507465,1725449,,-239482,137146,-1029316.0,,,-992544,1725449,69579.0,,-828048,-894547,-1722595,43,4350,-15425.0,,-1588303,26009.0,1350050,-367320,-91,-315274,-66863,26547
2014-04-30,1,2014,48082.0,,-140996,-266628,8650,117542,8123,,,,0.0,353.0,,-1775,1467,-3088,-43904,,-4195,0.0,681,0.0,232.0,0,-2349.0,,-1105751,,,906876,-9792,-415,-315.0,115857,232530,13740,-931.0,-47162,61144,91,-43305,4906,-1467,1800,,,2014年01月01日至2014年03月31日,1350050,1549410,-5187,199360,211734,,249378,257803,,,,232,211734,26566.0,,508866,-510879,-2013,1133,2872,,,46069,9898.0,1549410,-6958,713,89140,17322,3046
2014-08-05,2,2014,72656.0,,-98748,-241696,-55555,38345,7269,,,,0.0,3791.0,,-5683,5064,-195,-79857,-24000.0,-5596,,696,0.0,,-143,-3056.0,,-538174,,,462203,-33534,-1542,-315.0,-229375,60840,-28083,-1799.0,-99322,122437,91,-99845,9859,-5064,5666,,,2014年01月01日至2014年06月30日,1350050,1659485,-21452,309435,348521,,-390905,-175812,,800000.0,,799857,348521,53131.0,,62337,-659326,-596989,3730,7993,,,-524333,-4452.0,1659485,-210029,456,89919,2666,-25049
2014-10-28,3,2014,142186.0,,-82639,-180344,-91987,211522,1146,,-30436.0,,0.0,3875.0,,-8342,9474,-3784,-100800,-24000.0,-21065,,10820,0.0,,-668,-1906.0,,-401262,,,1296693,74525,-2930,-315.0,26483,-126350,4896,-2659.0,-60771,181805,91,-154420,13470,-9474,8366,100672.0,,2014年01月01日至2014年09月30日,1350050,1919541,2974,569491,342453,,867724,1266638,-1033010.0,800000.0,,-233678,342453,79696.0,,1075125,-293126,781999,4523,10539,,,924185,-1765.0,1919541,-389440,-3830,76009,7472,-26587
2015-02-12,4,2014,207470.0,,-372304,-109837,55265,173155,-1704,,-52176.0,,0.0,6945.0,,-11706,13766,9338,-146814,-24000.0,-23453,,12474,0.0,,-66,0.0,7222.0,374567,,,407618,35207,-4126,-315.0,-91619,35909,-903,-3532.0,-114527,242042,91,-212891,16440,-13749,11693,101332.0,,2014年度,1350050,1944359,16371,594309,642099,,1232574,1636328,-1033010.0,500000.0,,-533076,642099,93287.0,-660.0,-38569,825328,786759,4724,39489,0.0,,994229,-3248.0,1944359,-390005,-1142,246789,32074,13672
2015-04-29,1,2015,,,-111686,-134846,-29169,48273,1918,,,20775.0,-1732.0,0.0,,-3680,2679,-1739,-3609,,-27143,,-69,,0.0,-771,0.0,7757.0,-91111,,,5877,-58919,-858,23.0,44796,264882,-23688,,140,50610,1142,-64505,5076,-2679,3695,,24400.0,2015年01月01日至2015年03月31日,1944359,2149911,-4929,205552,152196,-829.0,207922,210720,,,,-771,152196,14481.0,,-284189,318313,34124,397,24429,,20.0,58524,-3008.0,2149911,-119,288,83315,19873,18139
2015-07-27,2,2015,,,-59003,-48014,-25335,-40232,578,,,21106.0,-1796.0,0.0,,-9970,3817,-3815,-5077,0.0,-28286,,143,,,-1049,0.0,15707.0,300902,,-35254.0,-106676,-59837,9403,0.0,74838,29007,664,,12035,95299,1142,-131598,11228,-3755,9898,,19831.0,2015年01月01日至2015年06月30日,1944359,2858710,-9769,914351,436057,-1626.0,642434,674970,,300000.0,,263697,436057,28962.0,,-224903,443985,219082,483,32586,,20.0,238913,-9662.0,2858710,-28781,-887,80729,22270,49934
