date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還公司債,償還長期借款,其他應付款增加（減少）,其他流動負債增加（減少）,其他流動資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,其他預付款項增加,其他預付款項減少,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得投資性不動產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,因合併產生之現金流入,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應付票據－關係人增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,無活絡市場之債務工具投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資性不動產,處分投資損失（利益）,處分採用權益法之投資,處分避險之衍生金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加
2013-05-08,1,2013,798314.0,,,0.0,-608769,215586,-347903,2507,0.0,-56140.0,0.0,-12180,,,-29925,161708,111212,-1025154,-1625.0,-45460,0,-86444,0.0,-139824.0,,,,1134.0,-13616,,390529,-13678.0,690993,,-21641,,-122270,205680,115462,-22107.0,-1309810,672426,,46991,35737.0,-155944,29925,,,2013年01月01日至2013年03月31日,3920471,5333888,65044,1413417,286060,,,,422247,604719,-44954,,0.0,-951109.0,2189768,286060,,-60080,-419575,-479655,2448794.0,111874,189694,189955,167882,-18321,0.0,87167.0,-124288,0.0,33403.0,318659,5333888,-56453,1122,,-1417,,,-211974,-736272
2013-08-14,2,2013,1607249.0,,,-1301122.0,-764575,202336,-241120,62123,,,16097.0,-35395,-71765.0,,-67196,306319,97638,-3457967,-11203.0,-150971,-38897,-103938,0.0,0.0,,-9578.0,-16555.0,,223487,,-27403,,0,-161488.0,-5027,-63045.0,-107543,207000,463010,-27683.0,-2204321,1385610,32340.0,131258,59778.0,-336742,77053,,,2013年01月01日至2013年06月30日,3920471,5133918,-81811,1213447,378042,,864862.0,,1100041,1675962,-86067,,0.0,-1640360.0,2220089,378042,,-685397,376068,-309329,5262290.0,13409,198106,208566,219451,-22226,,87167.0,-145661,0.0,,1297920,5133918,-316232,43748,,-1354,,49380.0,-82699,0
2013-11-13,3,2013,2277721.0,15390.0,,,-381575,264481,-474483,51457,,-293792.0,,-37149,,-69315.0,-106282,478952,-37633,-5457404,-93582.0,-462605,-5498351,-113043,-658040.0,0.0,,-3090.0,34398.0,,58790,,668844,-2727.0,1205510,,-56688,,-551999,105488,160107,-52677.0,-5550463,2302502,32340.0,30072,,-518845,109288,385953.0,,2013年01月01日至2013年09月30日,3920471,5585192,22137,1664721,686230,,568851.0,,1987321,2480213,-127746,-664148.0,2999999.0,,5265496,686230,-341417.0,439658,-923396,-483738,5299733.0,15985,199043,552312,5561730,-40550,,153108.0,-146748,0.0,,1793983,5585192,-469288,40751,,-3627055,,41055.0,-93553,0
2014-03-26,4,2013,2529001.0,15390.0,,0.0,-37982,-390890,-495189,74391,,-130628.0,,-8763,-271367.0,,-150778,660234,-62294,-7933902,-105868.0,-868276,-7324214,-146968,-667400.0,0.0,,,91405.0,,-190925,0.0,823523,-2501.0,1024957,,-99274,,-599925,79109,-513301,-35861.0,-6658013,2975375,32340.0,-185089,,-667457,158159,396340.0,,2013年01月01日至2013年12月31日,3920471,3566566,-124805,-353905,1050786,,994026.0,,1364961,1974609,-172069,-664148.0,1226765.0,,5001441,1050786,-351867.0,257015,-1862193,-1605178,6966531.0,802971,470488,906064,7354636,-62096,,187672.0,-380558,22955.0,4068.0,923823,3566566,-496690,30167,0.0,-3627055,,35776.0,30107,0
2014-05-14,1,2014,1012909.0,,,-888672.0,-719277,257179,-355505,77136,,-70032.0,,-31436,-39615.0,,-53556,200606,-46065,-1354416,0.0,-202413,-3261846,0,,-825865.0,,,-1408.0,,-614989,0.0,-28126,-4.0,621316,,58327,,-481800,54382,-402742,-22601.0,-2019834,762467,,122022,,-197189,43693,55.0,,2014年01月01日至2014年03月31日,3566566,3051753,74680,-514813,-247664,,,,-1809101,-1622478,-54067,,3550407.0,0.0,3360187,-247664,-55.0,-454502,-1933221,-2387723,0.0,128641,0,68800,3677331,-9492,,0.0,-30751,,11482.0,-1374814,3051753,-33182,9976,,0,,-30144.0,-78500,-151901
2014-08-13,2,2014,1777788.0,5494.0,-1248687.0,0.0,-205233,-74442,350084,14062,,119938.0,,-32805,,-38896.0,-117508,416728,19631,-2527601,-530187.0,-326259,-5649418,-16910,,-1173168.0,,-3292.0,9929.0,,51897,-85608.0,-300738,45754.0,194105,0.0,60121,,-793916,-59666,-420459,-17759.0,-4462019,1583953,1400.0,-19942,,-460031,102508,87435.0,,2014年01月01日至2014年06月30日,3566566,2730584,26790,-835982,-149727,,0.0,,-206973,209543,-81173,,2821464.0,0.0,3813379,-149727,-15221.0,-492297,-926221,-1418518,2365743.0,159300,0,226235,5657227,11685,-84675.0,13017.0,-53183,,,359270,2730584,-146428,9148,,-333308,,-41786.0,27012,-208616
2014-11-13,3,2014,2146309.0,18386.0,-1248687.0,,-49579,96757,-236837,-49684,,170669.0,,-32637,,-32587.0,-191978,657619,26442,-3362391,-530128.0,-823728,-10316816,-17344,,-1059195.0,,-886.0,8819.0,,337576,-85608.0,75194,152346.0,657130,,62288,,-1019999,-99406,-588211,-40145.0,-4764037,2403971,1400.0,-74975,,-683390,163718,485521.0,,2014年01月01日至2014年09月30日,3566566,2107509,-67890,-1459057,553883,,0.0,,575932,850179,-368374,-664148.0,1297296.0,,2702606,553883,-413390.0,296861,-2146874,-1850013,3235902.0,189849,29910,1190466,10262330,30513,-87059.0,100314.0,-150933,,,296296,2107509,-240096,19415,,-525203,,-42225.0,-171623,-411619
2015-03-24,4,2014,2963175.0,29386.0,-1138176.0,,40709,94399,49928,-8571,,-271760.0,,-33001,-113099.0,,-234261,871811,97764,-4886516,-530306.0,-1639635,-14810185,-17344,0.0,-734935.0,,,123655.0,,-79328,-85608.0,296565,194758.0,687341,,92387,,-1568289,-86304,-187212,-42381.0,-7141115,3241007,1400.0,-235851,,-820539,240689,508642.0,,2014年度,3566566,2773107,-219980,-793459,1254407,,0.0,,2337929,2853975,-165964,-664148.0,0.0,-1085975.0,3911963,1254407,-436264.0,676437,-2040044,-1363607,6646695.0,237621,30104,1260984,14800791,37698,-87059.0,113215.0,-158133,0.0,3828.0,1599568,2773107,-444838,41786,9955.0,-525203,,-45247.0,-2875,-441997
2015-05-13,1,2015,,,,-927851.0,-489163,300763,-110484,-26118,,249203.0,,-186,-11248.0,,-63800,225886,-24233,-702498,,-12113,-5425212,-4544,,,0.0,-27973.0,896.0,,-487149,,-262423,-100452.0,2022384,,-14375,,477247,185140,2810,,-1631667,870399,,184472,,-262232,92266,61.0,1289976.0,2015年01月01日至2015年03月31日,2773107,4585080,104237,1811973,37921,-4960.0,,543955.0,399373,612766,-32671,,1995037.0,,3068500,37921,-61.0,-570610,-144521,-715131,,3063,37302,74851,4164410,-533,,,-44342,,0.0,574845,4585080,-43488,14809,,5048,,-1801.0,-179414,-520863
2015-08-13,2,2015,,21771.0,-1250000.0,,-147847,506568,-134878,-1000,,264648.0,,477,,-43039.0,-126491,441511,-40712,-1579196,-146306.0,-12113,-10778064,-1740,,,0.0,-48111.0,1525.0,,-656774,-50092.0,-349712,-76018.0,2322574,,446731,,-168739,185734,-610886,,-3538080,1740094,0.0,153814,,-508202,130405,111748.0,2260448.0,2015年01月01日至2015年06月30日,2773107,3731105,102559,957998,614597,-9810.0,,782259.0,1105669,1594858,-45263,,0.0,-73285.0,3431121,614597,-1490.0,369912,-1650099,-1280187,2425256.0,22882,42171,85795,8625407,-14657,0.0,60148.0,-49325,574.0,,980261,3731105,-223140,-3162,,7576,,15593.0,-219293,-785074
