date,season,year,不影響現金流量之收益費損項目合計,以成本衡量之金融資產減資退回股款,償還長期借款,其他應付款增加（減少）,其他應收款－關係人增加,其他應收款－關係人減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產（增加）減少,其他非流動負債增加,其他非流動負債減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得備供出售金融資產,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得採用權益法之投資,取得無活絡市場之債券投資,取得無活絡市場之債務工具投資,取得避險之衍生金融資產,呆帳費用提列（轉列收入）數,存貨（增加）減少,庫藏股票買回成本,應付帳款－關係人增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款－關係人（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,採用權益法之被投資公司減資退回股款,採用權益法認列之關聯企業及合資損失（利益）之份額,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),無活絡市場之債務商品投資到期還本,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金減資,生物資產（增加）減少,發放現金股利,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分備供出售金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分無活絡市場之債券投資,處分無活絡市場之債務工具投資,處分避險之衍生金融資產,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,長期應收租賃款增加,非金融資產減損損失,非金融資產減損迴轉利益,預付款項（增加）減少,預付設備款增加,預收款項增加（減少）
2013-05-06,1,2013,254932.0,,0.0,-186128,,,,30344,-97373,,457.0,2549.0,,-12436.0,,,-10106,9718,-5732,-116181,,,-50000,,,,,,194592,,-47406,149929.0,,82212,14977,-74340,1667.0,-53022,254519,,-2513,-6932,10006,,,2013年01月01日至2013年03月31日,649056,896741,-16791,247685,-102719,,,-199531,-202605,,-56017,,353492.0,0.0,505970,-102719,,-146065,-208753,-354818,,,7174,50006,,-1541,,68415.0,,,-99886,-37293.0,896741,,21646,,,,-191049.0,,10539.0
2013-08-08,2,2013,526083.0,,-27132.0,-107294,-553942.0,0.0,,17316,-53080,,9955.0,19.0,,1617.0,,-34278.0,-21956,19417,-13838,-303715,-3674.0,,-50000,,,,,180.0,44291,,-70558,0.0,-89836.0,81123,-23063,-103482,145.0,-34759,510190,6600.0,-7024,-19047,29462,,,2013年01月01日至2013年06月30日,649056,1327835,-14282,678779,-212289,,,-18187,-28602,,-86067,,862512.0,0.0,745563,-212289,,-107498,-234898,-342396,,,7174,28128,0.0,-1541,,833053.0,,,183687,-34633.0,1327835,,34543,,40834.0,,-23452.0,,6403.0
2013-11-13,3,2013,759361.0,,-363716.0,31429,-1100613.0,0.0,,-4466,-169658,0.0,5353.0,-6873.0,,8711.0,,-37521.0,-34929,28443,-13688,-438493,-3674.0,-230000.0,-38011,-329000.0,,,,180.0,89258,,-67527,209963.0,,148182,-104551,-49144,-22842.0,-234764,766171,6600.0,-13662,-27759,46028,18022.0,,2013年01月01日至2013年09月30日,649056,1232283,4249,583227,-485230,,,-52738,-89029,,-127746,,1045043.0,,884417,-485230,-18022.0,37662,-400822,-363160,,,247325,10920,0.0,-1182,,1631471.0,,,396201,-31789.0,1232283,,26426,,39208.0,,-44334.0,,-15325.0
2014-03-26,4,2013,966687.0,15000.0,-5157.0,-27514,-1122471.0,0.0,0.0,35799,-89393,,3581.0,,-16873.0,48156.0,,-14321.0,-47661,37129,-12630,-630532,-3674.0,-525000.0,-42841,-329000.0,,,,100.0,198597,,-106504,29961.0,,115754,-393068,-84229,-22238.0,-393476,1017602,6600.0,-37848,-38206,57245,21237.0,,2013年01月01日至2013年12月31日,649056,373251,-9130,-275805,-681178,,1603184.0,-235408,-274887,,-172069,,357778.0,,365709,-681178,-18022.0,-35395,-525001,-560396,,77.0,542354,23764,-35.0,-12958,22955.0,,,,406291,-13176.0,373251,-797.0,25135,-2048.0,26696.0,,11580.0,,-17516.0
2014-05-14,1,2014,169601.0,,,-126262,-2714.0,,,-9540,88577,,,-1028.0,,-30263.0,,-32022.0,-10639,13158,-26603,-137457,,,-10438,,,,,,-77876,,-6377,209961.0,,25985,-96540,-165151,0.0,19556,262687,,14100,-9610,5504,,,2014年01月01日至2014年03月31日,373251,404810,-9985,31559,-36646,,128986.0,-342200,-333289,,-54067,,171873.0,,380806,-36646,,-118651,-347593,-466244,,71194.0,0,248,-46137.0,0,,,,,-296643,-27016.0,404810,-4805.0,10033,,-31594.0,,-42536.0,,24559.0
2014-08-13,2,2014,408775.0,,0.0,-109996,78396.0,,,-11577,163658,,,2011.0,,-52621.0,,-33606.0,-19795,29378,14757,-290133,-250000.0,,-502114,,-23514.0,,-1195.0,2370.0,-109298,-329183.0,35704,,-99978.0,225525,-31619,-347890,-8045.0,-561859,513337,0.0,-4269,-25702,21403,9254.0,,2014年01月01日至2014年06月30日,373251,771690,8088,398439,-155846,,,-11154,-10662,,-81173,,123845.0,,956695,-155846,,148787,-412378,-263591,1260000.0,71194.0,0,408128,-46137.0,-30,,0.0,,,145184,-20114.0,771690,-5447.0,-354,,-40207.0,,-6056.0,,37290.0
2014-11-13,3,2014,617898.0,,0.0,-14277,-128855.0,,,54845,38927,,,2353.0,,-85317.0,,-32637.0,-32560,46907,2218,-434916,-250000.0,0.0,-1664078,0.0,,,-2794.0,2370.0,157543,-329183.0,5421,329880.0,,15264,66883,-141061,-8045.0,-678890,745564,0.0,-12416,-43735,25995,28630.0,,2014年01月01日至2014年09月30日,373251,361917,-13449,-11334,-210118,,,333697,328302,,-368374,,0.0,-231409.0,331641,-210118,-19271.0,85909,-165387,-79478,560000.0,71194.0,0,1657017,-45864.0,-153,,158859.0,,,538420,-15377.0,361917,-5495.0,12187,,-32780.0,,80695.0,,48078.0
2015-03-24,4,2014,848203.0,11000.0,0.0,-72515,-183406.0,,,57526,86562,,,,4344.0,-282418.0,,-33001.0,-39560,63568,6773,-642323,-250000.0,-36119.0,-3344973,0.0,,,-3097.0,8610.0,-9766,-329183.0,-89051,609964.0,,125291,18776,-169415,-17405.0,-1038206,978255,0.0,-31448,-62256,41327,28630.0,,2014年度,373251,376748,-21454,3497,13202,,274816.0,734265,760504,,-165964,,0.0,-544460.0,300665,13202,-19271.0,67137,-168038,-100901,560000.0,71218.0,0,3318466,-45811.0,-310,0.0,,,,747302,-31192.0,376748,-5310.0,29070,0.0,-40445.0,,71769.0,,94483.0
2015-05-13,1,2015,,,,-94687,119197.0,,,-62766,-211,,,-14204.0,,135950.0,,-186.0,-7924,16882,-1452,-193540,,,-2872686,,,,3097.0,,-138135,,-22549,,-286.0,72778,1016,-24794,,-1246991,232816,,18162,-20079,8013,,247320.0,2015年01月01日至2015年03月31日,376748,483503,4217,106755,160944,,,63966,76040,,-32671,,85722.0,,1291232,160944,,-86801,-245423,-332224,1220000.0,0.0,4646,1674867,257.0,91,,,206880.0,,-84904,-26986.0,483503,-8.0,-11111,,,-5884.0,-50628.0,-325402.0,47409.0
2015-08-13,2,2015,,13950.0,,-5942,565413.0,,,-20189,26506,,,-12385.0,,143587.0,,477.0,-12980,33142,-4353,-476256,0.0,,-4989666,,,-262944.0,0.0,848.0,-239076,0.0,-23109,,588826.0,-35331,-61954,-65914,,-1472689,466292,,14124,-35771,15845,15630.0,496589.0,2015年01月01日至2015年06月30日,376748,902099,1364,525351,347116,0.0,,276844,297818,,-45262,,429108.0,,1725549,347116,,-86388,-459499,-545887,720000.0,0.0,4646,3797678,257.0,-151,,,206880.0,3097.0,-49298,-19647.0,902099,-1048.0,-18386,,11602.0,,-73799.0,-494704.0,17830.0
2015-11-13,3,2015,,13950.0,,42638,265456.0,,,-33113,-43742,,,-12484.0,,112626.0,,521.0,-21810,49818,789,-723365,0.0,,-6138016,,,-262944.0,0.0,848.0,-77574,0.0,10302,,388807.0,110397,-49764,-8769,,-930931,696089,,-959,-50498,21989,66805.0,677437.0,2015年01月01日至2015年09月30日,376748,564520,-35254,187772,652832,0.0,,1058020,1102229,,-106452,-120921.0,,-215508.0,59894,652832,-40379.0,161666,-389706,-228040,20000.0,2015.0,4646,6109985,209.0,-359,,,475068.0,3097.0,449397,-10103.0,564520,-15700.0,15151,,13562.0,,-103405.0,-860254.0,41545.0
2016-03-17,4,2015,,13950.0,,139822,852655.0,,,172282,-197104,,,,9847.0,179770.0,,740.0,-30848,65163,-2811,-2082160,0.0,0.0,-7173432,,,-446968.0,0.0,1096.0,250538,0.0,56825,,797950.0,119455,-160698,182391,,-1609449,924615,,-19763,-61644,30976,66805.0,906092.0,2015年度,376748,345315,-7243,-31433,860455,-16556.0,,1559761,1607023,-1200000.0,-706479,-121780.0,,215049.0,21066,860455,-40379.0,471828,-631352,-159524,320000.0,2156.0,4646,7162375,70.0,-439,,,476285.0,4851.0,746568,,345315,-16594.0,9102,,3978.0,,,-670382.0,
2016-05-13,1,2016,,,,-146721,188406.0,,,-48563,-252987,,,5876.0,,28744.0,,7058.0,-9124,19344,-1025,-890048,,-48023.0,-1501931,,,-20000.0,,,140687,,-76070,,50675.0,-58540,-68059,-147706,,-164877,231129,,-855,-15441,8073,,285187.0,2016年01月01日至2016年03月31日,345315,606010,34786,260695,79564,-3403.0,,-327064,-319641,,-23030,-12.0,,227122.0,753661,79564,,-333297,-351095,-684392,470000.0,,0,1497812,0.0,-71,,,0.0,1164.0,-399205,,606010,-55.0,-2156,,5076.0,,,578999.0,
2016-08-12,2,2016,,0.0,,-118659,,243238.0,,130415,-71899,,,10927.0,,,24631.0,6918.0,-20101,38184,-7774,-1141834,,-48023.0,-1817655,,,-20000.0,,1825.0,562333,,127728,,-598713.0,-116778,-55519,-177319,,-815495,465173,,-23939,-39095,20589,13300.0,484772.0,2016年01月01日至2016年06月30日,345315,815961,13550,470646,166154,-6802.0,,858384,877445,,-46981,-21.0,,-633667.0,435531,166154,,15904,210615,226519,1657005.0,,0,1513542,0.0,-71,,,30470.0,2884.0,711291,,815961,-555.0,-4052,,7285.0,,,383952.0,
2016-11-11,3,2016,,50.0,-1450000.0,-69510,,168230.0,,105216,-34441,,,14890.0,,,238361.0,9088.0,-30432,56617,-10217,-1439212,,-48023.0,-1827648,,,-20000.0,-4827.0,1825.0,525899,,46789,,451145.0,-44647,-97275,-132152,,-900540,703025,,-32057,-57154,30937,53261.0,713059.0,2016年01月01日至2016年09月30日,345315,417926,28204,72611,205500,-51935.0,,1189438,1216226,,49723,-659147.0,,-219964.0,-206070,205500,-30393.0,-14087,311754,297667,1657006.0,0.0,0,1825778,1604.0,-83,,,32400.0,2884.0,1010726,,417926,-571.0,-7464,,13125.0,,,118206.0,
