date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業負債增加（減少）,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他籌資活動,其他金融負債增加（減少）,其他金融負債減少,其他金融資產（增加）減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得以成本衡量之金融資產,取得採用權益法之投資,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,對子公司之收購（扣除所取得之現金）,庫藏股票買回成本,應付帳款增加（減少）,應付票據增加（減少）,應收帳款（增加）減少,應收帳款－關係人（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發放現金股利,發行公司債,短期借款增加,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股份基礎給付酬勞成本,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,舉借長期借款,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分備供出售金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產損失（利益）,處分投資損失（利益）,處分採用權益法之投資,處分採用權益法之投資損失（利益）,調整項目合計,買回應付公司債損失（利益）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,預付投資款增加,預付款項（增加）減少,預收款項增加（減少）
2013-05-10,1,2013,24872.0,0.0,,0.0,,-562375,4202,-99,0.0,-344262,,,6378.0,6651,,13411,53959,-260,,0.0,6059,400.0,,,797.0,-170258,,-136579.0,376355,0.0,-592557,-12637.0,17745.0,-65397,2612,-9340,0.0,-8524,,,,2013年01月01日至2013年03月31日,433288,545853,112565,60348,-856844,-848026,,,,1311938,980847,60348,,380557,-1313803,-933246,149350,0.0,,,0.0,,,,,-908374,0.0,545853,-294,-3521,9000,,-65934.0,,
2013-08-09,2,2013,68504.0,-409720.0,0.0,,,11582,50515,365,,24850,,,-26803.0,2613,,26742,72960,-1058,,-65934.0,23245,400.0,,,-1697.0,-1032863,,-136579.0,283348,,-1300523,-84151.0,28918.0,-68689,4886,-3289,0.0,-18393,,,,2013年01月01日至2013年06月30日,433288,753739,320451,144389,-2005498,-1956809,,,,2240327,2321678,144389,,333863,-2503565,-2169702,602400,0.0,,,5.0,,,,,-2101198,-589.0,753739,-30296,-4109,19000,,0.0,-100090.0,
2013-11-08,3,2013,152240.0,-411630.0,0.0,,,31984,65447,10576,,1863,,,,29721,,45283,38758,-2990,-40000.0,-65934.0,32274,400.0,,-1280.0,,-1635685,,-136579.0,-295116,,-1267300,,25293.0,-109971,7091,-12346,,-35116,,776.0,,2013年01月01日至2013年09月30日,433288,887951,454663,166466,-2842189,-2746095,,-66000.0,,3089911,3368065,166466,,-229669,-2835132,-3064801,890100,233.0,,,334.0,,,,,-2912561,-508.0,887951,-61754,-4109,54500,0.0,,,
2014-03-25,4,2013,281551.0,-411630.0,0.0,,,-125672,31217,-124291,,162505,,,,87905,,66915,60220,-5188,-91729.0,-65934.0,62476,400.0,,-6334.0,,-1280424,,-136579.0,-249080,,-462387,,72224.0,-168952,9294,-24683,,-54890,,776.0,,2013年01月01日至2013年12月31日,433288,883092,449804,166016,-1529785,-1409791,220000.0,-66000.0,600000.0,1120625,2088321,166016,6400.0,63192,-1920550,-1857358,599000,233.0,,,342.0,,,,,-1575807,-509.0,883092,-65880,-5549,78960,0.0,,,281055.0
2014-05-08,1,2014,51046.0,,,,,-46138,16106,28995,0.0,-104628,,,6433.0,18975,,25688,54532,-21,,,24280,0.0,,3798.0,,431836,,0.0,449245,0.0,-1092457,-77864.0,-154893.0,3786,2263,-24848,,-21136,,,,2014年01月01日至2014年03月31日,883092,980014,96922,80215,-491064,-464658,,,,932059,529668,80215,,308169,-904088,-595919,-305100,9.0,,,-9.0,,,,,-544873,,980014,-5270,-1404,6101,7337.0,0.0,,-157182.0
2014-08-08,2,2014,96960.0,0.0,,,,0,197698,27220,,51564,,,-105983.0,29909,,55630,-7658,-3975,,0.0,67344,0.0,,3340.0,0.0,-370649,-204378.0,0.0,358801,,-711180,-905984.0,-940614.0,-256257,4827,-45262,3378.0,-48425,,,,2014年01月01日至2014年06月30日,883092,766617,-116475,192295,-3070985,-3013476,,,,2980064,3218425,192295,,-15517,-3287214,-3302731,179460,,,,4.0,,,,-30886.0,-3205771,0.0,766617,-9084,-1427,13443,7337.0,-51244.0,-280024.0,-572016.0
2014-10-31,3,2014,138033.0,-1100.0,,,,-449837,291857,4445,,-98018,,,-202103.0,14459,,97588,49183,-4201,-34050.0,0.0,87659,0.0,,0.0,3154.0,-711494,-204378.0,0.0,577789,,-2187091,,-865148.0,-206497,7667,-86375,14332.0,-90937,,0.0,,2014年01月01日至2014年09月30日,883092,919951,36859,378146,-3705270,-3584075,,-170000.0,,3065744,3899443,378146,,310974,-4411228,-4100254,1095480,1456.0,,65584.0,,382.0,,,-30886.0,-3962221,,919951,-30258,-1541,34748,7337.0,-34062.0,,-558672.0
2015-03-06,4,2014,314573.0,-1100.0,,,-212713.0,-605989,14299,-12894,,-255686,,,,76507,,141937,192998,-9235,-108610.0,-31076.0,175099,0.0,,4311.0,,-1155776,-204378.0,0.0,519261,,-2170986,,,-302648,10317,-126902,23155.0,-135686,,0.0,,2014年度,883092,770298,-112794,443679,-3078719,-2866546,0.0,-170000.0,0.0,2353464,3075575,443679,7650.0,320847,-3945645,-3624798,1141560,1473.0,,65584.0,,,,,-30886.0,-3310225,,770298,-76487,-1554,39250,7337.0,-20717.0,,
2015-05-14,1,2015,,,,,176642.0,-263321,116811,-138705,0.0,-130781,,,,36765,-2681.0,46853,-41288,-1180,-4000.0,,3679,,,-2480.0,,-1322318,,,713968,,154327,,,-11742,2801,-73091,8917.0,-43315,2642.0,,30587.0,2015年01月01日至2015年03月31日,770298,795192,24894,45647,-530280,-486362,418950.0,,,382835,608204,45647,,1007421,-1570017,-562596,-62800,0.0,,,0.0,,,,,-532009,,795192,-3245,-51,7395,0.0,-4082.0,,
2015-08-11,2,2015,,,,,-46797.0,206986,4219,-8805,,48052,,,,125411,-15302.0,98673,-19322,-1201,-63662.0,-15030.0,7074,,,-4101.0,,-858223,0.0,,1579036,,-4212643,,,-83989,5550,-103121,17700.0,-91288,15012.0,,153716.0,2015年01月01日至2015年06月30日,770298,1422562,652264,215954,-3089661,-2966557,418950.0,,,3124091,3845236,215954,,1536458,-4872685,-3336227,254143,5.0,,,68.0,,,,0.0,-3182511,,1422562,-46828,-66,17729,0.0,0.0,,
