date,season,year,不影響現金流量之收益費損項目合計,償還公司債,償還長期借款,其他應付款增加（減少）,其他應收款（增加）減少,其他流動負債增加（減少）,其他流動資產（增加）減少,其他金融資產增加,其他金融資產減少,其他金融資產（增加）減少,其他非流動資產增加,其他非流動資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得原始認列時指定為透過損益按公允價值衡量之金融資產,取得無形資產,存入保證金增加,存入保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付短期票券增加,應付短期票券減少,應付票據增加（減少）,應收帳款（增加）減少,應收票據（增加）減少,應計退休金負債增加（減少）,投資活動之淨現金流入（流出）,折舊費用,持有供交易之金融資產（增加）減少,攤銷費用,支付之利息,收取之利息,收取之股利,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,淨確定福利負債增加(減少),營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,發放現金股利,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,股利收入,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分原始認列時指定為透過損益按公允價值衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分投資性不動產,處分投資性不動產損失（利益）,處分投資損失（利益）,處分按攤銷後成本衡量之金融資產,調整項目合計,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,遞延借項（增加）減少,金融資產減損損失,除列按攤銷後成本衡量金融資產淨損失（利益）,非控制權益變動,預付款項（增加）減少,預收款項增加（減少）
2013-05-13,1,2013,10398.0,,-526.0,27451,12742,-5472,39833,170,,-106330.0,,-1487.0,2169.0,,6048,11540,-246,,-164.0,-800.0,,-24205,-18155,,,-11193,1918,389,194.0,-1727,3012,-7017.0,177,-2332,,,,2013年01月01日至2013年03月31日,875425,934638,59213,-14890,,-37298,-30009,,,57000,,86698,-14890,,115839,-141356,-25517,,,,,,,,,-15119,934638,-4957,-1008,,,,31024,-58686,123014
2013-07-30,2,2013,43396.0,,-1052.0,59300,14355,8580,24754,592586,,,-133.0,-2737.0,3720.0,-2466.0,36441,14921,-269,,-164.0,,-1000.0,-85973,-2448,34732.0,0.0,16481,1316,2734,391.0,589283,6051,-9202.0,343,-34269,2455.0,,,2013年01月01日至2013年06月30日,875425,1047358,171933,-66487,,94923,138676,,-943900.0,370000,-17000.0,-527194,-66487,,414795,-253028,161767,0.0,,,,,,,,205163,1047358,-11939,-693,,,,31026,-201012,332491
2013-10-29,3,2013,-528438.0,,-28234.0,75525,14492,-8419,17411,592586,-27853.0,,,-2950.0,3720.0,-2477.0,36885,10195,-270,,-350.0,0.0,-6400.0,-173384,20583,14836.0,0.0,-14704,1196,2468,588.0,1659029,8011,-737.0,512,-42337,2477.0,,,2013年01月01日至2013年09月30日,875425,1620423,744998,484831,,-2615,99008,-151753.0,-938947.0,520000,-362000.0,-921611,484831,,532952,-390337,142615,1097866.0,,,5.0,,-577799.0,,,-385823,1620423,-61763,2705,,,,30887,-251783,459379
2014-03-10,4,2013,-537915.0,-943900.0,-28234.0,87257,6599,-9214,-55048,542586,-29126.0,,,-748.0,3720.0,-5422.0,37972,12530,-463,-161788.0,-350.0,0.0,-6400.0,-465885,65000,35000.0,-20346.0,866,1583,2742,857.0,1511274,9933,,686,-40944,5649.0,5250.0,,2013年01月01日至2013年12月31日,875425,1235743,360318,454373,,-294853,-202877,-151753.0,,580000,-363000.0,-868633,454373,-5250.0,628530,-747865,-119335,0.0,,63297.0,26.0,1097866.0,-577799.0,,,-657250,1235743,-61931,-1781,28716.0,,,30000,-266572,483764
2014-05-12,1,2014,-6610.0,,0.0,-7373,92,559,-4930,12500,-164.0,-60500.0,,0.0,0.0,-72.0,1021,10549,-194,,0.0,0.0,,-244420,-65194,,,51839,796,-626,190.0,18820,1687,-31701.0,165,-4303,71.0,,,2014年01月01日至2014年03月31日,1235743,1103000,-132743,-25016,,-371112,-366824,,,210000,-1000.0,209000,-25016,,68397,-403595,-335198,,6678.0,,,,,,,-341808,1103000,-56,-6434,-23945.0,,-2977.0,0,-38361,88376
2014-08-13,2,2014,-26276.0,0.0,0.0,93316,-34061,1058,-48237,12500,0.0,-1100.0,1002.0,0.0,0.0,-8593.0,2633,939,-839,,0.0,32605.0,0.0,-661013,-59369,34691.0,-35000.0,172205,290,-3366,373.0,19341,3403,-14887.0,330,-9670,8592.0,,,2014年01月01日至2014年06月30日,1235743,1282723,46980,-57510,,-324937,-319661,,,430000,-51000.0,351637,-57510,,537840,-773715,-235875,,6678.0,,12.0,,,,,-262151,1282723,-4198,-21084,-34640.0,,-2977.0,-59659,23299,330257
2014-11-12,3,2014,-7469.0,0.0,0.0,2118,-10224,29695,-58711,-194103,0.0,-12950.0,,0.0,0.0,-8811.0,3818,8660,-841,,0.0,32605.0,0.0,-1188581,-6863,44675.0,-35000.0,110220,58,-9450,547.0,-188266,5144,1953.0,495,-15898,8810.0,4842.0,,2014年01月01日至2014年09月30日,1235743,850136,-385607,-137703,,-808494,-802010,-227628.0,,1070000,-222500.0,602493,-137703,-4842.0,640465,-1297303,-656838,,6678.0,,12.0,0.0,0.0,-2977.0,,-664307,850136,-4238,-308,-38544.0,,,-59659,19146,504748
2015-03-23,4,2014,24535.0,0.0,0.0,-9637,-13159,6227,-86277,25000,695.0,-264988.0,,0.0,0.0,-11998.0,11277,27350,-859,-654368.0,0.0,38540.0,0.0,-1302971,30773,64604.0,-35000.0,37310,-1602,0,727.0,25080,6873,,657,-27162,11997.0,4906.0,,2014年度,1235743,1392771,157028,-206033,,-1420259,-1405691,-227628.0,,2024000,-280000.0,1524857,-206033,-4906.0,708219,-1932412,-1224193,,6678.0,647934.0,92.0,0.0,0.0,-2977.0,,-1199658,1392771,-4309,15885,-48627.0,9632.0,,-59659,-214788,642819
2015-05-11,1,2015,,,,69221,15263,1546,-12862,-9564,60.0,-213423.0,,,,-1958.0,13996,-6418,-307,,,,-2200.0,-1072416,34126,,-10000.0,-29326,395,-1094,,-9811,1582,32.0,158,-18734,1958.0,,16308.0,2015年01月01日至2015年03月31日,1392771,1056212,-336559,-56307,551.0,-1018012,-1001229,,,738572,-64690.0,697682,-56307,,317246,-1278476,-961230,,,,,,,,0.0,-944922,1056212,-7,2530,2324.0,,0.0,36000,3305,241128
2015-08-12,2,2015,,,,41632,5181,-4536,-10679,-9326,-1282.0,-111298.0,,,,-3846.0,28180,-15807,-307,,,0.0,-2200.0,-1456619,57353,54623.0,-65000.0,100651,-5922,-50786,,-10915,3128,-19989.0,315,-35886,3965.0,,26843.0,2015年01月01日至2015年06月30日,1392771,909464,-483307,-108651,704.0,-1236496,-1199454,,,1522170,-765682.0,779911,-108651,,517729,-1635375,-1117646,,,,0.0,,,0.0,0.0,-1090803,909464,-5121,-934,10894.0,,,36000,3843,321925
2015-11-11,3,2015,,,,42423,33685,12816,-32452,-18940,-1181.0,-88569.0,,,,-4485.0,44406,8637,-1377,,,2326.0,-2200.0,-1979504,19327,54623.0,-65000.0,19210,-6907,-35567,,-21498,4722,-39987.0,450,-61782,4605.0,4771.0,51999.0,2015年01月01日至2015年09月30日,1392771,945119,-447652,-49293,859.0,-1535880,-1472685,-182102.0,,2177779,-920337.0,1101089,-49293,-4771.0,660710,-2136101,-1475391,,,,2.0,,,0.0,0.0,-1423392,945119,-10789,11675,15870.0,,,36000,-2670,566075
