date,season,year,不動產、廠房及設備轉列費用數,不影響現金流量之收益費損項目合計,償還長期借款,其他應付款增加（減少）,其他應付款－關係人增加,其他應付款－關係人增加（減少）,其他應付款－關係人減少,其他應收款（增加）減少,其他投資活動,其他流動負債增加（減少）,其他流動資產（增加）減少,其他營業資產（增加）減少,其他符合國際會計準則第七號現金及約當現金定義之項目,其他金融資產增加,其他金融資產減少,其他項目,利息收入,利息費用,匯率變動對現金及約當現金之影響,取得不動產、廠房及設備,取得子公司股權,取得無形資產,呆帳費用提列（轉列收入）數,存入保證金增加,存入保證金減少,存出保證金增加,存出保證金減少,存貨（增加）減少,應付帳款增加（減少）,應付帳款－關係人增加（減少）,應付款項增加,應付款項減少,應付票據增加（減少）,應付租賃款增加,應付租賃款減少,應收帳款（增加）減少,應收票據（增加）減少,投資活動之淨現金流入（流出）,折舊費用,採用權益法認列之關聯企業及合資損失（利益）之份額,攤銷費用,支付之利息,收取之利息,收益費損項目合計,會計項目,期初現金及約當現金餘額,期末現金及約當現金餘額,未實現外幣兌換損失（利益）,本期現金及約當現金增加（減少）數,本期稅前淨利（淨損）,營業活動之淨現金流入（流出）,營運產生之現金流入（流出）,現金增資,發行公司債,短期借款增加,短期借款減少,籌資活動之淨現金流入（流出）,繼續營業單位稅前淨利（淨損）,與營業活動相關之負債之淨變動合計,與營業活動相關之資產之淨變動合計,與營業活動相關之資產及負債之淨變動合計,處分不動產、廠房及設備,處分以成本衡量之金融資產,處分及報廢不動產、廠房及設備損失（利益）,處分子公司,處分投資損失（利益）,調整項目合計,負債準備增加（減少）,資產負債表帳列之現金及約當現金,退還（支付）之所得稅,透過損益按公允價值衡量金融資產及負債之淨損失（利益）,金融資產減損損失,非控制權益變動,非金融資產減損損失
2013-05-08,1,2013,,44035.0,-80421,-15304.0,4800.0,,,3179,,-26872,12605,-753,0.0,,45195.0,-173,-222,2703,-4946,-386,,-195.0,-1203,,,-238.0,,-24025,953,-939.0,10718.0,,-9685,,,-11945,97,45040,41667,0.0,992,-4087,222,,2013年01月01日至2013年03月31日,308561,262115,,-46446,6520,-25999,-22134,,,4362.0,,-60541,6520,-51847,-20842,-72689,664,,271,,,-28654,,262115,,,,,
2013-08-02,2,2013,,111156.0,-107513,-4030.0,,,,3187,,-18735,10302,2951,0.0,,39875.0,-650,-2273,6018,-4815,-7541,,-195.0,-304,,,-210.0,,39100,-37926,-5737.0,8557.0,,-8745,0.0,,-59172,32,32592,82448,0.0,1992,-5655,2273,,2013年01月01日至2013年06月30日,308561,263134,-3659.0,-45427,-34772,-5773,-2389,0.0,,31525.0,,-67431,-34772,-75173,-3600,-78773,663,0.0,1886,,,32383,,263134,-2.0,,25698.0,,
2013-11-07,3,2013,,153316.0,-137045,24250.0,,,,3219,,-20754,12151,-7802,0.0,,32762.0,-5955,-2481,8829,1413,-5350,,-922.0,-477,,,1146.0,,8556,-9974,-5737.0,-11700.0,,1882,-7500.0,,-18944,476,28365,121647,0.0,2992,-8981,2481,,2013年01月01日至2013年09月30日,308561,353353,,44792,-126673,7466,13966,0.0,,163793.0,,7548,-126673,-10333,-2344,-12677,729,0.0,3063,,0.0,140639,,353353,0.0,,25698.0,,
2014-03-14,4,2013,,234777.0,-159714,,14100.0,-24470.0,,-4081,,-35542,15139,2453,,,40955.0,-1300,-1944,11417,1659,-21150,,-1750.0,-2001,,,-591.0,,103471,-88024,-5737.0,,,-9331,-7500.0,,127156,720,20727,160435,0.0,4083,-11600,1944,,2013年01月01日至2013年12月31日,308561,362946,-2425.0,54385,-274040,35159,44817,,,149954.0,,-3160,-274040,-160778,244858,84080,3263,0.0,2290,,0.0,318857,2326.0,362946,-2.0,,34222.0,0.0,30000.0
2014-05-09,1,2014,,36555.0,-20530,52.0,9600.0,,,6426,,-15697,-3180,-568,,,-18194.0,-325,-207,2022,332,-3197,,-54.0,853,,,35.0,,11939,-38703,0.0,-2640.0,,-449,,,-24011,-297,2079,35038,,1134,-2091,207,,2014年01月01日至2014年03月31日,362946,268419,-1226.0,-94527,-59485,-83784,-81900,,148972.0,-148556.0,,-13154,-59485,-49279,-9691,-58970,1840,21649.0,274,,-1038.0,-22415,5518.0,268419,,30.0,,,
2014-08-08,2,2014,49.0,72990.0,-22995,-17481.0,2900.0,,,5721,,2779,-2866,-393,0.0,,-12604.0,-650,-1141,3743,-232,-2864,-22001.0,-54.0,398,,,-227.0,,29697,-28055,0.0,-5280.0,,4526,,,-33406,-5208,7771,69681,,2130,-3835,1141,,2014年01月01日至2014年06月30日,362946,225359,-620.0,-137587,-98114,-77064,-74370,,148972.0,-169658.0,,-68062,-98114,-42791,-6455,-49246,1871,21649.0,288,,-1038.0,23744,-4560.0,225359,0.0,150.0,0.0,,
2014-11-11,3,2014,49.0,110619.0,-25460,-3815.0,,,-600.0,6242,,2107,-6087,-3988,0.0,-18633.0,,-975,-1340,5350,406,-5743,-22001.0,-54.0,2060,,,,10.0,-30039,55542,0.0,,-5866.0,23121,,0.0,-142042,-1415,378,103466,,2674,-5525,1340,,2014年01月01日至2014年09月30日,362946,194519,48.0,-168427,-104912,-109054,-104869,,148972.0,-155202.0,,-60157,-104912,66753,-177329,-110576,2229,22569.0,71,,-949.0,43,-10202.0,194519,,165.0,0.0,,
2015-03-30,4,2014,49.0,328151.0,-27925,-309.0,,,-14100.0,8158,,199,-2299,-447,0.0,,-21916.0,-1300,-1798,6845,2157,-11057,-22001.0,-54.0,2419,251.0,,,1560.0,-4105,20122,0.0,,-5866.0,14056,,0.0,-130372,-42,-6059,136267,,3672,-4164,1798,,2014年度,362946,156005,166.0,-206941,-313483,-95938,-93572,,148972.0,-186432.0,,-107101,-313483,20867,-129107,-108240,2839,22569.0,76,,-949.0,219911,-13201.0,156005,0.0,180.0,0.0,,182524.0
2015-05-13,1,2015,,,-2465,-12036.0,0.0,,,359,,-91,-5874,-3052,0.0,-16855.0,,-325,-204,1477,-138,-547,,0.0,-124,,,,2661.0,20904,-39308,,,0.0,-2880,,,10292,-122,-14641,14764,,909,-615,204,16042.0,2015年01月01日至2015年03月31日,156005,109493,-472.0,-46512,-12697,-29025,-28614,,0.0,,-243.0,-2708,-12697,-54466,22507,-31959,100,0.0,32,,0.0,-15917,-151.0,109493,,-15.0,,,
2015-08-10,2,2015,1.0,,-4930,-20600.0,0.0,,,863,,519,1708,-3470,0.0,-17564.0,,-650,-1307,2879,-890,-4148,0.0,0.0,-1107,233.0,,,2617.0,1390,-36010,,,0.0,-4004,,,105153,-364,-18995,27566,,1885,-1175,1307,29288.0,2015年01月01日至2015年06月30日,156005,162786,-56.0,6781,-33731,40582,40450,,0.0,,-9219.0,-13916,-33731,-60387,105280,44893,100,0.0,32,,0.0,74181,-292.0,162786,,45.0,,,
2015-11-10,3,2015,1.0,,-7394,-19974.0,,,0.0,2512,,-3207,122,-3972,0.0,-23725.0,,-975,-1575,4280,-342,-4693,0.0,0.0,-1502,235.0,,,2658.0,42307,-71689,,,0.0,-10323,,,121352,-150,-25660,39761,,2937,-1731,1575,42008.0,2015年01月01日至2015年09月30日,156005,151126,-1166.0,-4879,-45167,53371,53527,,0.0,204582.0,-229671.0,-32248,-45167,-105485,162171,56686,100,0.0,202,,0.0,98694,-292.0,151126,,45.0,,,
2016-03-23,4,2015,1.0,,-9859,-12360.0,,,0.0,-4042,,-3345,2860,-3516,0.0,-9941.0,,-1300,-1957,5558,-699,-6231,0.0,0.0,-707,222.0,,,2716.0,46167,-40695,,,0.0,-14799,,,82093,-42,-23826,50206,,3886,-2168,1957,48059.0,2015年度,156005,130195,-1072.0,-25810,-65106,35059,35270,,0.0,261809.0,-288516.0,-36344,-65106,-71203,123520,52317,366,0.0,211,-10736.0,-6812.0,100376,-4.0,130195,,45.0,,,0.0
2016-05-09,1,2016,,,-2465,-20038.0,,,,1462,,135,-2889,386,0.0,-45284.0,,-325,-192,1372,-1658,-502,,,570,,,,0.0,3644,8572,,,,-3368,,,32959,-70,-45736,9574,,298,-465,192,14767.0,2016年01月01日至2016年03月31日,130195,115758,3493.0,-14437,-24925,815,1088,,,67577.0,-32970.0,32142,-24925,-24246,35492,11246,50,,-23,,,26013,-9547.0,115758,,0.0,,,
